Date,Season,Kodagu,Somvarpet,Virajpet,Kodagu_Trend,Kodagu_SMA,Kodagu_EWMA,Kodagu_DES,Kodagu_TES,Kodagu_ARIMA,Somvarpet_Trend,Somvarpet_SMA,Somvarpet_EWMA,Somvarpet_DES,Somvarpet_TES,Somvarpet_ARIMA,Virajpet_Trend,Virajpet_SMA,Virajpet_EWMA,Virajpet_DES,Virajpet_TES,Virajpet_ARIMA
1996-02-29,POMRB,5.99625,8.2025,10.931428571428572,,,5.99625,5.339197224502384,6.00625,0.0,,,8.2025,7.307191986425167,7.807680497736182,0.0,,,10.931428571428572,12.589647327195028,10.579012460762598,0.0
1996-05-31,PREMON,6.06875,9.195714285714287,11.941666666666668,,,6.02525,5.356630355131506,6.088195983379502,5.996241765357252,,,8.599785714285716,7.503827104545983,9.117824967583738,4.443914857287984e-09,,,11.33552380952381,13.346597678280071,12.360161848141338,10.931398156337968
1996-08-31,MONSOON,5.0325,6.20125,7.7385714285714275,5.6503125,,5.62815,5.374120402152938,5.06084094274906,6.036642158450253,7.537142857142857,,7.640371428571429,6.917304355995038,5.682712160809457,2.2179303300261542e-09,9.416845238095238,,9.896742857142858,11.95167603441375,7.682083602652923,11.446749743029638
1996-11-30,POMKH,5.53875,6.872857142857143,7.9700000000000015,5.8249330357142854,5.6590625,5.59239,5.391667558572629,5.575439239595707,5.623926932467332,7.4440848214285715,7.618080357142858,7.333365714285715,6.6302461008209645,6.653957228895445,1.7839387547429957e-09,9.137708333333334,9.645416666666666,9.126045714285716,10.674875237132266,8.621213269866185,10.006059699747194
1997-02-28,POMRB,5.9262500000000005,7.555,9.102857142857145,5.944709821428572,5.6415625,5.7259340000000005,5.4092720103076575,6.039693888576199,5.815774271287641,7.276183035714286,7.456205357142858,7.422019428571429,6.617754466944503,7.820003042796408,8.040967945886434,8.825535714285715,9.18827380952381,9.116770285714288,10.010751778109729,10.628205664336418,9.361069259492131
1997-05-31,PREMON,7.5357142857142865,9.09875,11.537142857142856,5.7693973214285705,6.008303571428572,6.449846114285715,5.42693395011182,6.11465288772947,5.885234511498809,6.992075892857143,7.431964285714287,8.092711657142857,7.090916632466259,9.12862106996767,9.014622835852771,8.557500000000001,9.087142857142856,10.084919314285717,10.476811554277557,11.57194167872687,9.568736123511671
1997-08-31,MONSOON,4.5237500000000015,4.955,5.645714285714285,5.422366071428571,5.881116071428572,5.67940766857143,5.444653544216741,5.1656197837110565,5.677596064420677,6.665625,7.120401785714286,6.837626994285714,6.4040902133608535,5.695622813104522,6.079128616224181,8.441964285714286,8.563928571428571,8.309237302857145,8.526597033724503,7.240011162963559,7.006013642512629
1997-11-30,POMKH,4.645,5.84625,7.918571428571433,4.921339285714286,5.657678571428572,5.265644601142857,5.462430995429038,5.6487908651218355,5.555811627816136,6.262343750000001,6.86375,6.441076196571428,6.062289966352921,6.665419913243175,6.737509781411604,8.26607142857143,8.55107142857143,8.152970953142859,7.882776156079363,7.426424619778631,7.046464000907216
1998-02-28,POMRB,4.043749999999998,5.9700000000000015,8.23,4.55453125,5.187053571428572,4.776886760685714,5.4802664893018,6.053129584225099,5.749806038528051,6.127633928571429,6.467499999999999,6.252645717942857,5.831027427555204,7.829134855244774,7.787988885711079,8.251785714285715,8.332857142857144,8.183782571885715,7.592366124849091,9.202539582933188,8.328195554991261
1998-05-31,PREMON,5.41,7.4575,11.002857142857142,4.391406249999999,4.655625000000001,5.0301320564114285,5.498160224493153,6.183641059380908,6.1310886388817885,6.130111607142858,6.0571874999999995,6.734587430765714,6.078863626513468,9.138869580479733,9.051963899343491,8.101964285714287,8.199285714285715,9.311412400274286,8.604329933209181,11.089503978410146,9.73604311211169
1998-08-31,MONSOON,3.715,5.51857142857143,6.065714285714285,4.43984375,4.4534375,4.504079233846857,5.516112376943593,4.889678833792327,4.8501904743386355,6.205357142857144,6.198080357142857,6.248181029888,5.799467674977571,5.702446802510687,5.501707801287332,7.924999999999999,8.304285714285715,8.013133154450285,7.516280681297023,5.88634247454662,5.810747439417572
1998-11-30,POMKH,4.14875,5.302500000000001,6.299999999999999,4.61546875,4.329375,4.3619475403081145,5.5341231472836085,5.292966637120906,4.9974460964319425,6.45310267857143,6.062142857142857,5.869908617932801,5.516134846154424,6.6718710467071265,6.278515457293617,7.911249999999999,7.899642857142856,7.327879892670171,6.75955034872681,7.6126415273809185,7.347592597891817
1999-02-28,POMRB,4.9275,7.115714285714287,8.432857142857143,4.562812500000001,4.5503124999999995,4.588168524184869,5.552192728510507,5.569930350383655,5.119124405043833,6.313125000000001,6.348571428571428,6.368230885045396,5.797959211608015,7.830589393905251,7.120805685908038,7.761071428571428,7.9503571428571425,7.76987079274496,7.077694255271674,8.184849067210683,7.884406782855263
1999-05-31,PREMON,5.93125,8.293750000000001,10.69,4.66359375,4.680625,5.125401114510922,5.5703213136941745,5.892118092870181,5.949447006982246,6.19044642857143,6.557633928571428,7.138438531027238,6.422660602779754,9.141186158158979,8.465434576193282,7.800178571428571,7.872142857142857,8.937922475646975,8.387529203768423,10.828295883416795,9.940733301072745
1999-08-31,MONSOON,2.7725,3.5625,5.177142857142857,5.0840625,4.445,4.184240668706552,5.588509076148211,4.59062416928133,4.542899343200113,6.288593750000001,6.06861607142857,5.708063118616343,5.670963835044149,5.711958525899994,5.504440359653697,8.01125,7.65,7.433610628245328,7.238204808829299,5.76046413283469,5.562134761543362
