Date,Season,99dadenggiri,99dadenggiri_Trend,99dadenggiri_SMA,99dadenggiri_EWMA,99dadenggiri_DES,99dadenggiri_TES,99dadenggiri_ARIMA
1996-02-29,POMRB,3.1060000000000003,,,3.1060000000000003,2.1361314091237666,3.115986663917598,0.0
1996-05-31,PREMON,3.1049999999999995,,,3.1056,2.1486817894270325,3.1238332531135793,3.105998918340835
1996-08-31,MONSOON,1.7785714285714287,2.3594553571428567,,2.5747885714285714,2.1613058998029135,1.8051046027442719,3.105434051888217
1996-11-30,POMKH,1.85625,2.2671428571428573,2.461455357142857,2.2873731428571427,2.1740041807302424,1.889388038359204,2.5626018148334264
1997-02-28,POMRB,2.29,2.293599837662338,2.2574553571428573,2.288423885714286,2.1867770698313294,3.1430707682438244,2.8439058212685215
1997-05-31,PREMON,3.1825,2.3583380681818182,2.276830357142857,2.6460543314285716,2.199625007833044,3.0504517855427355,2.7713649018317796
1997-08-31,MONSOON,1.912727272727273,2.466306818181818,2.3103693181818183,2.352723507948052,2.21254842443566,1.7377389139657984,2.01369733930656
1997-11-30,POMKH,2.24,2.476775568181818,2.4063068181818186,2.307634104768831,2.225547771393394,1.8357746196301774,2.031600809433033
1998-02-28,POMRB,2.77,2.3841950757575763,2.5263068181818182,2.492580462861299,2.2386234958712827,3.004458026456068,2.5313423181138544
1998-05-31,PREMON,2.78625,2.3192140151515153,2.4272443181818177,2.6100482777167793,2.2517760439395413,3.137788966293406,3.0286947176380514
1998-08-31,MONSOON,1.5683333333333334,2.2378503787878787,2.341145833333333,2.193362299963401,2.265005860546668,1.7808769984349082,1.9683384662628347
1998-11-30,POMKH,2.0645454545454545,2.2370123106060604,2.2972821969696966,2.1418355617962224,2.2783134085715013,1.8699465986831623,2.113420927277531
1999-02-28,POMRB,2.2945454545454544,2.197064393939394,2.1784185606060604,2.202919518895915,2.2916991433247182,2.909024422758346,2.637737716066012
1999-05-31,PREMON,3.255,2.11864898989899,2.295606060606061,2.6237517113375493,2.3051635279696705,2.9729629149016725,2.705892358119255
1999-08-31,MONSOON,0.7799999999999999,2.2140404040404045,2.0985227272727274,1.8862510268025297,2.318707006749381,1.700808063653765,1.8524067136807323
1999-11-30,POMKH,2.225555555555556,2.2732118055555555,2.1387752525252526,2.02197283830374,2.3323300647307685,1.7678797846067547,1.878995686303855
2000-02-29,POMRB,2.8966666666666665,2.3364236111111114,2.2893055555555555,2.371850369648911,2.34603316544053,2.6980819694894373,2.4198625181059374
2000-05-31,PREMON,3.12625,2.385815972222222,2.257118055555556,2.673610221789347,2.359816776858183,2.989359103024116,3.040081349318685
2000-08-31,MONSOON,1.4144444444444444,2.3527256944444446,2.4157291666666674,2.169943910851386,2.373681361921105,1.5105832639114984,1.3953528936038673
2000-11-30,POMKH,1.98625,2.3843229166666666,2.3559027777777786,2.0964663465108315,2.3876274082350726,1.8898471008655358,2.148969902288616
2001-02-28,POMRB,2.87125,2.460069444444444,2.349548611111112,2.406379807906499,2.401655396034536,2.7448305013180474,2.6364333436457583
2001-05-31,PREMON,3.4044444444444446,2.5142187500000004,2.419097222222223,2.8056056625216774,2.4157658049208375,3.021690513074039,2.9902642032838096
2001-08-31,MONSOON,1.742222222222222,2.5193229166666664,2.5010416666666675,2.380252286401895,2.429959107735707,1.537644979295164,1.655545716232304
2001-11-30,POMKH,2.091666666666667,2.339583333333333,2.527395833333334,2.2648180385078036,2.44423580195439,1.9879425635198629,2.1156783615572126
2002-02-28,POMRB,2.806666666666666,2.15875,2.511250000000001,2.4815574897713484,2.4585963794235304,2.8574945104909806,2.7340845690467623
2002-05-31,PREMON,2.03111111111111,2.171,2.1679166666666676,2.301378938307253,2.473041325237168,3.1632659887412773,3.1521389635059873
2002-08-31,MONSOON,1.6688888888888893,2.1722651515151514,2.149583333333334,2.0483829185399074,2.487571137229946,1.4819296002278843,1.471460653989522
2002-11-30,POMKH,2.263,2.240724747474747,2.1924166666666673,2.1342297511239443,2.5021863189822624,1.9045606398652688,2.043602600278615
2003-02-28,POMRB,2.645454545454545,2.3942474747474747,2.152113636363637,2.338719668856185,2.5168873709655815,2.769456297749404,2.6831084556140614
2003-05-31,PREMON,2.74,2.5003118686868686,2.3293358585858592,2.499231801313711,2.53167479619565,2.888909167141972,2.543562123665949
2003-08-31,MONSOON,2.1881818181818184,2.539393939393939,2.459159090909092,2.374811808060954,2.5465490987814325,1.522378734384385,1.660272987698462
2003-11-30,POMKH,2.5922222222222224,2.6015419823232326,2.5414646464646475,2.4617759737254614,2.56151079411708,2.0308164819543633,2.253980280233836
2004-02-29,POMRB,2.628888888888889,2.627238005050505,2.5373232323232338,2.5286211397908325,2.576560393750748,2.8514746480529287,2.747976995333283
2004-05-31,PREMON,3.25375,2.5673660714285713,2.6657607323232337,2.8186726838744995,2.5916984172001754,2.96609938379292,2.837723990851375
2004-08-31,MONSOON,1.88,2.626850198412699,2.588715277777779,2.4432036103246997,2.6069253735971762,1.7884843873715603,1.996129204944103
2004-11-30,POMKH,2.421428571428572,2.5258085317460317,2.5460168650793666,2.4344935947662485,2.6222417953966604,2.227942235076294,2.3597112167606134
2005-02-28,POMRB,3.2755555555555564,2.282996031746032,2.7076835317460333,2.7709183790819716,2.637648209857109,2.889959575815541,2.716216642338276
2005-05-31,PREMON,1.79875,2.118824404761905,2.3439335317460332,2.382051027449183,2.653145133601355,3.1597876333258834,3.1933117008492014
2005-08-31,MONSOON,1.3924999999999998,1.938784722222222,2.2220585317460335,1.9862306164695098,2.6687331039579765,1.7700056308852967,1.6075170468041038
2005-11-30,POMKH,1.5955555555555554,2.0042187499999997,2.0155902777777794,1.8299605921039281,2.6844126590163486,2.1633458712126137,2.1863404444758254
2006-02-28,POMRB,2.6611111111111105,2.2402083333333334,1.8619791666666679,2.1624207997068012,2.7001843413425966,2.7542789935826173,2.711874665574901
2006-05-31,PREMON,2.936666666666666,2.411138888888889,2.1464583333333342,2.4721191464907473,2.716048688105974,2.671330764523581,2.3647771776713995
2006-08-31,MONSOON,2.1425,2.4748993055555557,2.3339583333333342,2.3402714878944484,2.732006238178621,1.5994783466850464,1.6405654190197723
2006-11-30,POMKH,2.213,2.4435624999999996,2.4883194444444454,2.289362892736669,2.748057543647685,2.0613041886495704,2.0491804119950405
2007-02-28,POMRB,2.5537499999999995,2.569083333333333,2.4614791666666678,2.3951177356420015,2.7642031567560346,2.8125211553208755,2.7354562421120616
2007-05-31,PREMON,2.793333333333333,2.711590277777778,2.4256458333333346,2.554403974718534,2.7804436310616416,2.776519047988897,2.8185977367702897
2007-08-31,MONSOON,3.29,2.7928159722222223,2.712520833333335,2.8486423848311206,2.796779525235862,1.7273695681765546,1.8610267398699825
2007-11-30,POMKH,2.205555555555556,2.8839305555555557,2.710659722222224,2.5914076531208945,2.8132113916831365,2.2510483012466067,2.4729774032795606
2008-02-29,POMRB,3.2110000000000007,2.8181666666666674,2.8749722222222243,2.839244591872537,2.829739805123969,2.930826308567946,2.7371855455656418
2008-05-31,PREMON,2.8649999999999998,2.8160833333333333,2.892888888888891,2.849546755123522,2.84636532577807,3.015172126090939,2.9950277414513753
2008-08-31,MONSOON,2.6922222222222225,2.9422083333333338,2.743444444444447,2.7866169419630022,2.8630885250771105,2.210779286100781,2.4341553250816155
2008-11-30,POMKH,2.786666666666667,2.986736111111111,2.8887222222222246,2.7866368318444685,2.879909978298404,2.372998786064526,2.354065664167927
2009-02-28,POMRB,3.638888888888889,2.893068181818182,2.995694444444447,3.1275376546622367,2.896830266647571,3.16389114665993,3.129444761645558
2009-05-31,PREMON,2.793333333333333,2.743219696969697,2.97777777777778,2.993855926130675,2.913849961988574,3.2143116643513947,3.130738762273763
2009-08-31,MONSOON,2.014545454545455,2.624219696969697,2.8083585858585884,2.6021317374965873,2.9309696487118986,2.491661218867014,2.3473317885728022
2009-11-30,POMKH,2.265555555555556,2.638550439915024,2.6780808080808107,2.467501264720175,2.9481899196443466,2.5421732966605455,2.5150205067742504
2010-02-28,POMRB,3.208,2.7612991121532793,2.5703585858585885,2.763700758832105,2.965511369337972,3.262334199038044,3.1772660953694305
2010-05-31,PREMON,3.3388681657848327,2.8415503747795414,2.7067422939714634,2.993767721613196,2.9829345880299734,3.1019429018077878,2.959507222717649
2010-08-31,MONSOON,2.451,2.8706892636684307,2.8158559303350996,2.7766606329679178,3.0004601683491794,2.4333529903387796,2.21361988569174
2010-11-30,POMKH,2.4711111111111115,2.9680251873897707,2.8672448192239886,2.6544408242251953,3.018088716415399,2.566757633142881,2.4802014808068624
2011-02-28,POMRB,3.235555555555555,3.0551666666666666,2.8741337081128773,2.8868867167573393,3.0358208410594383,3.342225490261353,3.166156194460883
2011-05-31,PREMON,4.09,3.1005,3.061916666666669,3.3681320300544035,3.0536571512899453,3.222893709455162,3.2252448248167416
2011-08-31,MONSOON,2.397,3.246611111111111,3.048416666666669,2.979679218032642,3.071598245992365,2.5935771180344567,2.5388630247817847
2011-11-30,POMKH,2.8877777777777784,3.3699246031746033,3.1525833333333355,2.9429186419306967,3.0896447521490558,2.6917310299394144,2.5869158966043586
2012-02-29,POMRB,3.9877777777777776,3.4074186507936512,3.340638888888891,3.360862296269529,3.1077972922463895,3.504583382645889,3.3256711436021815
2012-05-31,PREMON,4.324285714285715,3.4205638528138533,3.3992103174603203,3.7462316634760033,3.126056485296884,3.6160575527396426,3.7424237003182697
2012-08-31,MONSOON,2.462666666666667,3.354073953823954,3.415626984126987,3.2328056647522683,3.1444229464971216,2.8152585996433794,2.6409182027223195
