Date,Season,Bhadravati,Chandrapur,Rajura,Pomburna,Nagbhir,Brahmapuri,Sindewahi,Ballarpur,Gondpipri,Korpana,Jiwati,Warora,Saoli,Mul,Chimur,Bhadravati_Trend,Bhadravati_SMA,Bhadravati_EWMA,Bhadravati_DES,Bhadravati_TES,Bhadravati_ARIMA,Chandrapur_Trend,Chandrapur_SMA,Chandrapur_EWMA,Chandrapur_DES,Chandrapur_TES,Chandrapur_ARIMA,Rajura_Trend,Rajura_SMA,Rajura_EWMA,Rajura_DES,Rajura_TES,Rajura_ARIMA,Pomburna_Trend,Pomburna_SMA,Pomburna_EWMA,Pomburna_DES,Pomburna_TES,Pomburna_ARIMA,Nagbhir_Trend,Nagbhir_SMA,Nagbhir_EWMA,Nagbhir_DES,Nagbhir_TES,Nagbhir_ARIMA,Brahmapuri_Trend,Brahmapuri_SMA,Brahmapuri_EWMA,Brahmapuri_DES,Brahmapuri_TES,Brahmapuri_ARIMA,Sindewahi_Trend,Sindewahi_SMA,Sindewahi_EWMA,Sindewahi_DES,Sindewahi_TES,Sindewahi_ARIMA,Ballarpur_Trend,Ballarpur_SMA,Ballarpur_EWMA,Ballarpur_DES,Ballarpur_TES,Ballarpur_ARIMA,Gondpipri_Trend,Gondpipri_SMA,Gondpipri_EWMA,Gondpipri_DES,Gondpipri_TES,Gondpipri_ARIMA,Korpana_Trend,Korpana_SMA,Korpana_EWMA,Korpana_DES,Korpana_TES,Korpana_ARIMA,Jiwati_Trend,Jiwati_SMA,Jiwati_EWMA,Jiwati_DES,Jiwati_TES,Jiwati_ARIMA,Warora_Trend,Warora_SMA,Warora_EWMA,Warora_DES,Warora_TES,Warora_ARIMA,Saoli_Trend,Saoli_SMA,Saoli_EWMA,Saoli_DES,Saoli_TES,Saoli_ARIMA,Mul_Trend,Mul_SMA,Mul_EWMA,Mul_DES,Mul_TES,Mul_ARIMA,Chimur_Trend,Chimur_SMA,Chimur_EWMA,Chimur_DES,Chimur_TES,Chimur_ARIMA
1997-11-30,POMKH,3.818750000000001,5.783333333333334,6.1374999999999975,3.3,3.4333333333333336,4.0,3.6,7.85,4.65,1.7,3.56125,5.557142857142856,2.45,4.25,3.457142857142857,4.890243055555556,5.338298611111114,4.867769120000001,4.933139980543471,4.838264925556191,5.277141838377694,6.682583333333334,6.763499999999999,6.324556757333333,7.173499291625416,5.292768656402665,4.966485857071201,6.8259375,6.928749999999999,6.616172607999999,6.481578511265123,5.540186941335338,6.338353095260194,4.3025,4.7025,4.188721536,4.036426362364843,2.9928189782547223,3.227389621701416,4.7629166666666665,5.604166666666667,4.684447701333333,4.183236930155718,3.233976171990154,3.298757083915417,4.8931249999999995,5.69125,4.741495168,3.3527676483496576,4.3458368884865965,4.07411644831693,4.20125,4.640000000000001,4.123767168,1.602321238736474,3.4633283351961293,3.4635384365733897,8.165624999999999,8.469999999999997,7.90809056,8.780499718253221,6.486017091999698,6.66298373745957,5.338125,5.912500000000001,5.318944896,2.8563173468114043,3.35011123417694,3.833906083706349,3.6453125,3.58875,2.99599808,3.2357638552367667,2.6333076147192065,2.4364625860279756,4.386145833333333,4.386145833333333,3.8962406400000003,4.569706222338634,3.625992906717366,3.5612498453554124,6.413571428571429,6.647142857142858,6.1795387794285705,6.166835434755602,5.529655768842434,5.848884030375775,3.7150000000000003,3.8633333333333333,3.3120597760000003,2.954502424205043,2.6483544225948394,2.0855675381228984,5.065625,5.668750000000001,5.051409344,4.405151602092767,4.63179369697587,4.978695246898231,3.9867857142857144,4.55392857142857,4.079695561142857,3.8626897522582215,3.883213096439697,3.8002571359024877
1998-02-28,POMRB,4.628888888888889,6.316666666666667,6.3050000000000015,3.25,3.4666666666666663,4.43,2.7,7.95,4.525,3.85,5.375,5.9628571428571435,3.1333333333333333,3.85,3.1871428571428573,4.808125,4.9299652777777805,4.7722170275555555,4.7515439713954555,5.877847242871786,5.890022163883714,6.3258333333333345,6.795583333333333,6.3214007210666665,7.154964207302993,6.297222566474628,5.806916970093014,6.5678125,6.716874999999999,6.4917035648,6.4845027182449835,6.905079746140861,6.714924657789688,3.855,4.3374999999999995,3.8132329216,3.1945878381043853,4.385906226572376,4.308730058351114,4.477916666666666,5.158333333333333,4.197335287466666,3.132080824637347,4.7425765632157235,4.582288007092823,4.63,5.19625,4.6168971008,3.406532438878845,5.73560329978212,5.72923359391373,3.955,4.335000000000001,3.5542603007999998,1.4848108625716971,4.423818586716833,4.109878478415028,7.853125,8.187499999999998,7.924854335999999,8.054475178966015,8.406018094959391,8.323671901713325,4.72625,5.768750000000001,5.0013669376,2.960003317396326,4.615150594246677,4.829920795934642,3.3531250000000004,3.6937500000000005,3.337598848,3.255944444157715,4.353038774128367,3.5779692282935285,4.386145833333333,4.386145833333333,4.487744384,4.685313701082188,5.445463809096169,5.374999897061036,6.336428571428572,6.464285714285715,6.0928661248000004,6.160539083151015,7.093851013984845,6.526323844855294,3.609583333333333,3.765833333333333,3.2405691989333336,2.6057585543056265,3.6965871295437864,2.66128216169984,4.71875,5.212500000000001,4.5708456064,3.504288222841381,5.586354313677363,5.3237865284384736,4.041071428571429,4.044999999999999,3.722674479542857,3.066898102065883,4.858569939385483,4.632670185235081
1998-05-31,PREMON,6.007777777777778,7.7600000000000025,8.2475,6.42,6.903333333333332,8.525,7.27,10.625,6.154999999999999,6.2875000000000005,6.099999999999999,8.38,5.87,7.525,5.62,4.830190972222223,4.850520833333336,5.266441327644445,4.77867031995244,6.406280183024526,5.723173141820601,5.964791666666668,6.569583333333334,6.896840432640001,7.573220900785669,8.166711769429151,7.828355352241605,6.056875000000001,6.934999999999999,7.19402213888,7.175142613737068,8.44247082331383,7.408207790629939,3.2237500000000003,4.267499999999999,4.8559397529599995,4.627737033357676,6.618365334817291,6.052392011701588,4.445416666666667,4.3675,5.279734505813332,5.090507339819799,8.154608243848635,8.389231285718505,4.35125,4.590000000000001,6.18013826048,7.508425082040874,9.597417109048633,10.115032993348034,3.6775,4.067500000000001,5.040556180479999,2.2770371084960925,6.786442311245073,7.438732283626519,7.253125,8.143749999999997,9.0049126016,8.925943477194986,10.66677104872114,9.907855118899668,4.3931249999999995,4.907500000000001,5.46282016256,3.4101438859756708,6.560520239816567,7.5858823421936314,3.0256250000000002,3.5968750000000007,4.517559308800001,3.689519586373733,5.858371865245064,5.718194186190738,4.386145833333333,4.386145833333333,5.1326466304,5.059353292058115,6.1756885295502935,6.099999846941173,6.294419642857144,6.362857142857145,7.007719674880001,6.15426241548483,8.82051490942261,7.865122857895502,3.595416666666667,3.6641666666666666,4.292341519360001,4.7370843007090775,5.677707296622943,5.206028892292538,4.24,4.918750000000002,5.7525073638399995,5.753901263466318,7.684516569863939,8.078266417890289,4.1466071428571425,3.928571428571428,4.4816046877257145,4.073915005131664,6.399661141467852,5.664635794450217
1998-08-31,MONSOON,4.6075,4.468333333333333,4.1125,0.8,4.55,1.725,1.8,3.825,2.85,0.6,2.5083333333333333,5.340000000000002,2.766666666666667,2.45,4.35,4.965260416666667,4.76572916666667,5.0028647965866675,4.633061087577667,4.081685820828477,4.815105285895243,5.7475000000000005,6.082083333333334,5.9254375929173335,6.804819164188118,4.594020123525711,5.2379863263909625,5.8343750000000005,6.200624999999999,5.961413283328,6.298186087246602,5.059232602879085,6.53863798970129,3.0050000000000003,3.4424999999999994,3.2335638517759993,2.616235970645453,2.283249705899992,3.6624777523829364,4.364999999999999,4.588333333333333,4.987840703487999,4.884377153575301,2.69521369019231,2.6567658004408257,3.938125,4.670000000000001,4.3980829562879995,4.32247250109951,1.9240533207112853,1.6607976630048142,3.4499999999999997,3.842500000000001,3.744333708288,2.0153834205406365,2.65592782116043,2.0190962277418962,6.8500000000000005,7.562499999999998,6.93294756096,6.445483177751569,4.916614594123281,6.356870359872673,4.250625,4.545000000000001,4.4176920975359995,3.2046522026196476,2.7577706546022718,3.588859032011436,2.7668749999999998,3.109375000000001,2.950535585280001,3.179840031115704,2.160418036635308,2.662546454898623,4.386145833333332,4.386145833333333,4.082921311573333,4.236278550855352,2.588762042245778,2.508333241416226,6.266815476190477,6.310000000000002,6.340631804928,6.14797556041854,4.377250288740658,4.985530827480825,3.5879166666666666,3.5549999999999997,3.682071578282667,3.7802795148925807,2.2301962094960044,3.192159362408944,3.9581250000000003,4.518750000000002,4.431504418304,3.8820154603456585,3.1350017308871623,3.255008569092143,4.337083333333333,4.153571428571428,4.428962812635429,4.170912002655697,1.8857814902110448,2.8734602579697373
1998-11-30,POMKH,4.334444444444445,4.845,4.9875,1.55,2.29,1.4500000000000002,2.28,5.375,3.435,1.03,3.56125,5.4325,2.773333333333333,2.02,3.401428571428572,5.0822569444444445,4.894652777777781,4.735496655729778,4.47184823994001,4.575397736404679,4.607036538435133,5.681750000000001,5.8475,5.4932625557504,6.208108232066106,5.304383606209211,5.369908084224264,5.6746875,5.913124999999999,5.571847969996799,5.813807579291826,5.416085084420811,5.203695849589879,3.0149999999999997,3.005,2.5601383110655993,1.7441554672958568,3.0245967720423765,2.2457374100896828,4.552083333333332,4.302499999999999,3.908704422092799,3.2530389735505962,3.2464485143221937,3.6719534444570194,3.4718750000000003,4.032500000000001,3.2188497737727997,2.2202868119576022,3.5916403270396553,4.170274309987644,3.10375,3.5125000000000015,3.1586002249728,1.8978737111584647,3.0833374789269588,3.084505216359691,6.71875,6.943749999999998,6.309768536576,5.410089390276017,6.512454166408888,6.314752960483379,4.309375,4.241250000000001,4.0246152585215995,3.1440055919244805,3.350111234225091,3.898215994733326,2.6309375,2.941875000000001,2.1823213511680004,2.7735289089408344,2.1113484893811734,1.4361434364208046,4.386145833333333,4.386145833333333,3.874252786944,3.8750393272700796,3.645946717318311,3.561249911311903,6.204613095238096,6.278839285714288,5.9773790829568,6.141695663457882,5.400961266457388,5.6539700041335355,3.41875,3.6358333333333333,3.3185762803029335,3.0824531599073843,2.670611770208663,2.1331246143809564,3.845625,3.9612500000000015,3.4669026509823997,2.4810110410239528,3.560356421640791,3.936794145198936,4.694523809523809,4.1396428571428565,4.017949116152686,3.7040032412659425,3.810772223161623,3.9142971811051503
1999-02-28,POMRB,5.19375,5.516666666666668,5.675,3.25,3.9666666666666655,3.675,2.2,7.2,4.6,2.45,5.375,5.866666666666667,2.75,3.825,4.766666666666667,4.964513888888889,5.035868055555559,4.918797993437867,4.446711784891158,5.710188239866193,5.657940913092347,5.804333333333333,5.647500000000001,5.502624200116907,5.901427552615741,6.296929693123522,5.977127034498942,5.750625,5.755624999999998,5.613108781998079,5.646763563170334,6.669733426092514,6.17928255217155,3.15875,3.005,2.8360829866393598,2.2068228792604128,4.4176840203600305,3.7450816130326237,4.490104166666666,4.427499999999999,3.9318893199223455,3.3530398813640123,4.755047537058907,4.19243433256354,3.113125,3.843750000000001,3.4013098642636796,2.78684867419745,4.409762269630987,4.541247340170261,2.7562499999999996,3.387500000000002,2.77516013498368,1.8037149883369752,3.861540529284624,3.1013815825965185,6.965625,6.756249999999999,6.6658611219456,5.670264023432588,8.432452269457562,7.620387501520958,4.347083333333334,4.260000000000002,4.254769155112959,3.3344296639773594,4.615150594229569,4.474006357493653,2.9968749999999997,2.5918750000000013,2.2893928107008,2.6301009590027493,3.7971791897119243,3.1133411920291856,4.386145833333333,4.386145833333333,4.4745516721664,4.185893880606892,5.463504581772264,5.374999928328231,6.069613095238095,6.254791666666669,5.933094116440747,6.13542458642141,6.966189874855382,6.278902622879031,3.2308333333333334,3.54,3.09114576818176,2.668541282125029,3.7825681789536993,2.886459064159599,3.7554166666666666,3.9550000000000014,3.61014159058944,2.8916745063661637,4.0959271290344095,3.755263091569068,4.668065476190476,4.534523809523809,4.317436136358278,4.2005194605828695,4.792479965877402,4.2223453733081655
1999-05-31,PREMON,6.378888888888889,8.033999999999999,7.6,6.5,7.899999999999999,5.55,5.0,10.325,6.55,6.6,6.099999999999999,7.978571428571428,4.9,6.65,6.9,4.6764930555555555,5.128645833333336,5.502834351618276,4.5956018084768,6.328344409005822,5.953185932921116,5.896541666666667,5.716,6.515174520070143,6.480952767174604,8.15639429613582,7.804037265067515,5.888749999999999,5.593749999999998,6.407865269198847,6.210037908479661,8.164329755508344,7.4264181152528215,3.38,3.025,4.301649791983616,5.009986294490589,6.650143128604945,6.2372775254160056,4.281354166666666,4.676666666666666,5.519133591953407,6.706354572284251,8.16707979492994,8.407512945268625,3.2556249999999998,3.100000000000001,4.2607859185582075,5.045553895264557,8.44287004025961,9.297570148399085,2.6287499999999997,2.820000000000002,3.6650960809902076,2.2816636412633113,6.236241256336972,6.9154983248615896,7.2837499999999995,6.681249999999999,8.129516673167359,7.668112506565715,10.693204332400631,10.076005431132803,4.2472916666666665,4.358750000000002,5.172861493067776,3.9274560622179604,6.560520239803488,7.1433155845253085,3.3856249999999997,2.670000000000001,4.01363568642048,3.1899134556995934,5.10920927502467,4.840452558374258,4.386145833333333,4.386145833333333,5.124731003299839,4.743076922754249,6.191867025686755,6.099999898867363,5.887514880952382,6.154434523809526,6.75128504129302,6.1291714976940606,8.700880294389137,7.9933419021067245,2.955833333333333,3.2975000000000003,3.814687460909056,4.166950075905353,5.664356445860749,5.327707518200271,3.7720833333333332,3.7362500000000014,4.826084954353664,5.597015389521877,6.7240556875217,7.211437074927069,4.382142857142857,4.854523809523809,5.350461681814967,6.015505491401815,6.958392488818646,6.1872750222823765
1999-08-31,MONSOON,3.2944444444444443,5.175,5.3675,1.87,3.0575,1.83,1.29,6.1,2.7566666666666664,3.215,2.5083333333333333,4.661428571428573,2.2333333333333334,2.603333333333333,2.858333333333334,4.45046875,4.800381944444448,4.6194783887487425,4.336465629907697,4.058797611031378,4.857196776740924,5.949375,5.892666666666667,5.979104712042085,6.074886373647966,4.5872664780211085,4.978561731608985,5.90375,5.907499999999998,5.991719161519308,5.936228575970965,4.741039649132595,5.535098198580359,3.5175,3.2924999999999995,3.3289898751901696,4.091022573618217,2.315027499687646,2.728470262131533,4.270833333333333,4.303541666666666,4.534480155172044,5.322151347024635,2.7076864065712,3.3128779812037776,3.5474999999999994,3.126250000000001,3.2884715511349247,3.2849101415368644,0.4575263040820592,0.7781401516480893,2.59375,2.6925000000000017,2.7150576485941245,2.0297911020547654,1.7722222058590282,1.339156861962953,7.373749999999999,7.249999999999999,7.317710003900416,7.157688276114463,4.943047491646384,5.4285584956079225,4.087291666666666,4.335416666666669,4.206383562507332,3.731624310078152,2.7577706546104075,3.439882373113638,3.625625,3.323750000000001,3.694181411852288,3.178641444308629,1.6543696971177222,2.0862236259589295,4.386145833333332,4.386145833333333,4.078171935313237,4.065243898503263,2.6031315090726626,2.5083332716433704,5.829226190476191,5.984791666666668,5.915342453347241,6.122906681352649,4.185744738643782,4.940229908021916,2.7329166666666667,3.164166666666667,3.182145809878767,3.133221195088169,2.014367485805751,2.8100016126946077,3.8877083333333333,3.774583333333335,3.936984305945532,4.405589048451962,2.2054474594384432,2.327467113399964,4.124880952380953,4.481607142857143,4.353610342422314,4.7903413720545345,2.7183705541536995,4.13679449213576
1999-11-30,POMKH,3.3433333333333333,4.876,4.8375,2.25,2.1125,2.485,1.77,5.645,2.73,1.525,3.56125,4.654285714285714,1.106666666666667,2.0,2.6057142857142863,4.259722222222222,4.55260416666667,4.109020366582579,4.10587770481968,4.393907132070918,4.128917374171806,6.086166666666667,5.9004166666666675,5.537862827225251,5.623795123949834,5.306572716958981,5.192666972844066,5.9281250000000005,5.869999999999998,5.530031496911585,5.514497896169381,5.2684831047308505,5.595340224249507,3.62375,3.4674999999999994,2.897393925114102,3.384862232732081,3.0563745658300308,2.3800436368741855,4.075833333333334,4.259166666666666,3.565688093103226,3.514652457178906,3.258919448794578,3.034263369039667,4.115,3.3850000000000007,2.967082930680955,2.616364397499147,2.222210735359375,3.2520935413914964,2.94125,2.5650000000000017,2.3370345891564748,1.9001091160785504,2.2721011062070957,2.128151698629287,7.140624999999999,7.317499999999999,6.648626002340249,6.4718986229144795,6.538889654706032,6.959767219802361,3.845,4.159166666666669,3.6158301375043993,3.5363555671203013,3.3501112342282138,3.728472745426438,3.6725,3.447500000000001,2.8265088471113726,2.8933246824409844,2.320001169749041,1.7723521617622429,4.386145833333333,4.386145833333333,3.871403161187942,3.8146396384676056,3.658562609504389,3.561249936682249,5.711309523809524,5.790238095238096,5.41091975772263,6.116648255421101,5.085230624360758,5.316599571458343,2.709166666666667,2.7475000000000005,2.351954152593927,1.746628089220321,2.3875821733201077,2.213143915700377,3.7964583333333337,3.769583333333335,3.1621905835673187,3.0213741853880487,3.02242443322973,2.9492569859606936,3.843869047619048,4.282678571428572,3.6544519197391026,3.636649152287697,3.7608671374906795,3.4394921996652905
2000-02-29,POMRB,4.376666666666667,5.908333333333334,5.945,3.65,4.0600000000000005,4.975,2.43,7.65,4.025,3.875,5.375,6.178571428571429,2.6333333333333333,4.7700000000000005,3.504285714285714,4.097083333333333,4.348333333333336,4.216078886616214,4.035338315913273,5.428867009715354,5.242473386398263,5.89525,5.998333333333334,5.686051029668484,5.581553450135718,6.299479886241051,5.85752211050725,5.7353125,5.937499999999998,5.696018898146951,5.549067143398375,6.521871402400258,6.001528479810272,3.52125,3.567499999999999,3.198436355068461,3.6188314860748125,4.449461814147685,3.7320436050708086,3.710416666666667,4.2825,3.7634128558619357,3.609449438754462,4.7675182466010435,4.001532809548527,4.435,3.71,3.770249758408573,4.404402961229133,3.8233686749155904,4.5841450242365696,3.22375,2.6225000000000014,2.374220753493885,1.9194949619399926,3.1087201152017006,2.599269614326723,6.410625,7.429999999999999,7.04917560140415,6.938815794710608,8.458888037530048,7.273908409608002,3.5175,4.015416666666669,3.7794980825026396,3.6115594241990894,4.6151505941948265,4.361862946604237,3.351875,3.8037500000000017,3.2459053082668237,3.00969905542931,4.071403659256548,2.8880234035257843,4.386145833333333,4.386145833333333,4.472841896712765,4.214606786921901,5.474424291664311,5.374999945133688,5.408333333333334,5.868214285714286,5.71798042606215,6.110404590434363,6.532503786236101,5.867543427423694,2.5208333333333335,2.7183333333333337,2.46450582488969,2.020848588567802,3.2066873403459053,2.4533232435257304,3.40125,4.005833333333335,3.8053143501403914,4.02367330022905,3.7453033219044016,3.4450716960059427,3.583154761904762,3.967083333333334,3.5943854375577473,3.3428535508832082,4.45939939026347,3.850229159207724
2000-05-31,PREMON,5.67,8.736666666666666,7.525,6.95,6.246666666666667,8.79,7.55,8.01,5.1866666666666665,5.55,6.099999999999999,6.723333333333333,4.826666666666667,4.975,5.9142857142857155,4.069045138888889,4.171111111111115,4.797647331969729,4.153563735636744,5.9806693644988,5.766316085493055,5.6225,6.174000000000001,6.906297284467756,6.5185835681063775,8.163822087910816,7.8618979779475415,5.6346875,5.9187499999999975,6.427611338888171,6.168356988030351,8.061779072324846,7.5583719647566445,3.5612500000000002,3.679999999999999,4.699061813041077,6.045245495157639,6.6819209223925995,6.393299328798321,3.790729166666667,3.8691666666666666,4.756714380183828,5.410079157501399,8.179550600211844,8.200482665728355,4.544375,4.52,5.778149855045143,9.777675569192603,7.9981940177704285,8.584627003369532,3.3575,3.2600000000000016,4.444532452096331,3.0069439944211074,5.674010033550963,6.281394870635368,5.9281250000000005,6.851249999999999,7.43350536084249,7.5227751790595185,10.719640596791898,10.408190085646861,3.389166666666667,3.6745833333333353,4.34236551616825,3.9228056824619237,6.560520239737862,6.869398362343078,3.390625,3.541250000000002,4.167543184960095,3.4083852102962324,5.646954318723567,6.04336725389557,4.386145833333333,4.386145833333333,5.123705138027658,4.84445490026253,6.201149622075288,6.099999924452321,5.4315476190476195,5.554404761904762,6.120121588970623,6.104170313179448,8.457355529060727,8.116416736041124,2.4312500000000004,2.7000000000000006,3.4093701616004806,4.2350963184601085,5.185669765496763,5.183732245392986,3.359166666666667,3.5870833333333354,4.273188610084235,4.92462730963257,6.841989421439148,7.19699589141374,3.685940476190476,3.7206547619047625,4.522345548248934,4.69475188761933,6.272466856396051,5.815406938358622
2000-08-31,MONSOON,2.7022222222222214,2.945,3.9,0.6,1.7875,1.15,1.0,2.575,1.5,1.7000000000000002,2.5083333333333333,3.492857142857144,0.7999999999999999,1.1166666666666665,1.758333333333333,4.224076388888888,4.023055555555559,3.9594772880707256,3.880193781888536,3.6661013610290683,4.260317876633321,5.719244047619048,5.616500000000001,5.321778370680653,5.467794581840387,4.6034092180356865,5.028280272224303,5.777500000000001,5.551874999999997,5.416566803332902,5.44813535858755,4.641476447920708,5.467774637870974,3.92875,3.362499999999999,3.059437087824646,3.7961936788428985,2.3468052934753003,2.6284383550410695,4.2082291666666665,3.5516666666666667,3.5690286281102965,3.4953730175446105,2.72015523951796,3.097746060406685,4.991875,4.35,3.9268899130270856,5.763488011212697,1.518442821709717,2.0565721334028098,3.455,3.1875000000000018,3.066719471257798,2.73554850702207,1.8135169409950405,1.954124394138833,6.17375,5.969999999999999,5.490103216505494,5.325068504799022,4.969481072291861,4.574175415995762,3.4163541666666664,3.360416666666669,3.2054193097009502,3.478219080517288,2.7577706544715577,2.9705985475764467,3.73125,3.1625000000000023,3.1805259109760566,3.155834481603274,1.828530817589753,1.461046219067562,4.386145833333332,4.386145833333333,4.077556416149928,4.204465357346422,2.6108374853922696,2.5083332867349513,5.695476190476191,5.262261904761905,5.069215810525231,6.097924763044467,3.6841846910600804,4.35489850717625,2.558333333333333,2.3416666666666677,2.365622096960288,2.5098126639551466,1.6214751468567512,2.641225692806744,3.356666666666667,3.215416666666669,3.0105798327172075,2.838999375409508,1.6749733630956642,1.9157269152608947,4.1475654761904766,3.4456547619047626,3.4167406622826935,3.261912851831922,1.918618491640267,3.186704775662374
2000-11-30,POMKH,3.71125,4.924,5.5,3.84,4.025,4.04,3.13,5.3100000000000005,2.9599999999999995,3.35,3.56125,6.008571428571428,1.8233333333333333,3.15,4.5280000000000005,4.420340277777777,4.115034722222226,3.8601863728424353,3.763584901460563,3.9759806507382214,3.742760499265886,5.898404761904761,5.628500000000001,5.162667022408392,5.179501902076919,5.294559568966983,5.110224711514608,5.885375000000001,5.717499999999998,5.449940081999742,5.375432694162128,5.0205860846509,4.8770605250038495,4.21375,3.759999999999999,3.3716622526947875,3.8669396058955092,3.088152359617685,1.9064772218840258,4.648020833333334,4.029791666666667,3.751417176866178,3.665209689963584,3.2713867632776115,2.45426260629926,5.355,4.73875,3.972133947816251,4.902083589502185,2.70298265304771,2.8168704624894256,2.895,3.5275000000000016,3.092031682754679,2.8870031977109396,2.2491509449768476,2.6507588763361265,6.9825,5.8862499999999995,5.418061929903296,4.967781761159285,6.565319123243091,5.630310713532085,3.585208333333334,3.4179166666666685,3.10725158582057,3.3471729646946797,3.3501112340218677,3.2104454554601,3.96,3.6187500000000026,3.248315546585634,3.1830647443028948,2.107354702929045,1.7612698675795475,4.386145833333333,4.386145833333333,3.871033849689957,3.968641344575687,3.664753641235534,3.561249950658208,6.089077380952381,5.600833333333334,5.44495805774371,6.091699383836049,4.413550776101706,4.673143181661798,2.6095833333333336,2.5208333333333344,2.148706591509506,2.0070767633634317,1.7744771470496532,1.5728802857212074,3.3372916666666663,3.5029166666666685,3.0663478996303244,2.7833823095373877,2.14614684278646,1.9562328229655304,4.422119047619048,3.9262261904761906,3.8612443973696164,3.8257347046975863,2.8471142595210965,2.6341847682946598
2001-02-28,POMRB,5.2490000000000006,6.6342857142857135,6.4250000000000025,5.0,5.4875,7.0,1.85,9.95,4.0125,4.775,5.375,6.935714285714285,2.9333333333333336,3.6,5.275,4.618065972222222,4.333118055555559,4.415711823705461,3.8691443416131994,5.106768041656718,5.1457068099300205,6.0189047619047615,5.809988095238095,5.751314499159321,5.511587875709941,6.288218847491766,5.867258994391486,5.78725,5.837499999999999,5.839964049199846,5.659104853287334,6.372694317456945,6.221778616780983,4.39875,4.097499999999999,4.022997351616873,4.632328501502526,4.481239607935339,4.348543115755645,4.931875,4.386666666666667,4.4458503061197066,4.924687396006567,4.779987810739677,4.446022641693682,5.515,5.244999999999999,5.183280368689751,6.781502395732037,4.6916914290155685,5.1374332464004935,2.3825000000000003,3.3825000000000016,2.5952190096528076,2.7639832282399883,3.353952573144876,2.7762037938557675,7.525625,6.46125,7.230837157941978,7.218379041940465,8.485317090359858,7.61962073891498,3.716875000000001,3.4147916666666682,3.469350951492342,3.438765615058587,4.615150594000834,4.349833391436168,4.0875,3.8437500000000027,3.8589893279513805,3.448631911172872,4.325365796575564,3.7647115580132366,4.386145833333333,4.386145833333333,4.4726203098139745,4.371891766352384,5.479163003335479,5.37499995553545,6.435357142857144,5.790119047619047,6.041260548931939,6.085485465256975,6.3775420441874555,6.478168713040546,2.59375,2.5958333333333345,2.4625572882390374,2.5427930285888727,2.8750327751022002,2.669266878694165,3.4641666666666664,3.210416666666669,3.2798087397781948,3.149284829112155,3.6018215013913664,3.547343495792643,4.534827380952382,4.368904761904762,4.42674663842177,4.7722024440180135,4.622458943697872,4.2180376150542385
2001-05-31,PREMON,6.3677777777777775,9.443999999999999,7.907999999999999,7.88,8.3375,9.67,3.65,12.18,6.5500000000000025,6.48,6.099999999999999,9.115,4.9366666666666665,5.9899999999999975,6.3400000000000025,4.691746527777777,4.507562500000004,5.196538205334388,4.133160805339963,5.804788851339757,5.9675326948935385,6.102571428571428,5.986821428571428,7.228388699495592,6.799898129815362,8.161802025575614,8.045664123409075,5.556875000000001,5.9332499999999975,6.6671784295199075,6.465099431736551,7.980827521153676,7.7148566448599265,4.300000000000001,4.329999999999999,5.565798410970124,7.193192543145318,6.713698716180254,6.735766814542485,4.850416666666667,4.909375,6.002510183671824,8.219856761068774,8.192021839760068,8.423719176441342,5.460624999999999,5.465,6.9779682212138505,10.479248936012251,9.093009034916737,9.235971616235418,2.2312499999999997,2.4075000000000015,3.0171314057916847,2.9985799280348195,5.759212861959799,6.816034674050345,7.701875,7.50375,9.210502294765186,10.493720542047436,10.746072251581129,10.722221661454137,3.706458333333334,3.755625000000002,4.701610570895406,4.052984734845198,6.560520239543198,6.5317840554279165,4.03625,4.076250000000003,4.907393596770829,4.000139716351708,6.048855184575657,6.379110706299948,4.386145833333333,4.386145833333333,5.123572185888384,4.996675150559265,6.204499363594421,6.099999939686901,6.258035714285714,6.3880357142857145,7.270756329359164,6.079289844941054,8.535024079337322,8.143439430308188,2.6068749999999996,2.623333333333334,3.452201039610089,4.739080143891144,4.98770692304218,5.17587885643596,3.404166666666666,3.4641666666666686,4.363885243866916,5.368957708240804,6.327271111272547,6.376981987043494,4.459363095238095,4.475333333333334,5.1920479830530635,6.184483411948632,7.0459350996406265,6.818056615115736
