Date,Season,Pohri,Kolaras,Narwar,Pichhore,Shivpuri,Khaniyadhana,Badarwas,Karera,Pohri_Trend,Pohri_SMA,Pohri_EWMA,Pohri_DES,Pohri_TES,Pohri_ARIMA,Kolaras_Trend,Kolaras_SMA,Kolaras_EWMA,Kolaras_DES,Kolaras_TES,Narwar_Trend,Narwar_SMA,Narwar_EWMA,Narwar_DES,Narwar_TES,Narwar_ARIMA,Pichhore_Trend,Pichhore_SMA,Pichhore_EWMA,Pichhore_DES,Pichhore_TES,Pichhore_ARIMA,Shivpuri_Trend,Shivpuri_SMA,Shivpuri_EWMA,Shivpuri_DES,Shivpuri_TES,Shivpuri_ARIMA,Khaniyadhana_Trend,Khaniyadhana_SMA,Khaniyadhana_EWMA,Khaniyadhana_DES,Khaniyadhana_TES,Khaniyadhana_ARIMA,Badarwas_Trend,Badarwas_SMA,Badarwas_EWMA,Badarwas_DES,Badarwas_TES,Badarwas_ARIMA,Karera_Trend,Karera_SMA,Karera_EWMA,Karera_DES,Karera_TES,Karera_ARIMA
1996-02-29,POMRB,9.81,9.353333333333332,8.915,7.43,6.764285714285713,7.539999999999999,6.006666666666668,6.8775,,,9.81,6.413846663390959,8.493030243756849,0.0,,,9.353333333333332,7.674775413751051,7.819493055635605,,,8.915,8.679711328470125,7.207889851194919,0.0,,,7.43,6.455610190545483,6.60354990193844,0.0,,,6.764285714285713,6.008244214622517,6.595651594488204,0.0,,,7.539999999999999,12.04784238447578,7.279084622519047,0.0,,,6.006666666666668,3.5663971304979434,6.164534991341509,0.0,,,6.8775,5.88718926942356,6.849606393536556,0.0
1996-05-31,PREMON,13.26,11.866666666666665,9.3,8.899999999999997,9.38,10.39,9.726666666666668,9.3625,,,11.190000000000001,7.5505139203495055,10.999731472215185,9.809944813195328,,,10.358666666666664,8.441124535788804,11.963435973503202,,,9.068999999999999,8.733732087503324,9.20754382994118,5.093352436526633,,,8.017999999999997,6.895528745808581,8.742139455233282,6.188081332682843,,,7.8105714285714285,6.719115997565295,7.771659662296768,6.764254785020189,,,8.68,14.516301424447967,9.015436113250804,7.539966205555753,,,7.494666666666668,4.756073393787165,8.53459644472518,4.090801905005144,,,7.871500000000001,6.556912905932354,8.711690799514724,5.992736913254674
1996-08-31,MONSOON,2.25,0.9366666666666666,2.275,2.023333333333333,1.87125,2.873333333333333,2.15,1.225,7.4225,,7.614000000000001,6.312745523757092,6.3016381012523395,11.94988464568034,6.276249999999999,,6.589866666666666,7.087004029786688,3.016977104400926,5.845625,,6.351399999999999,7.043223803715955,5.326639548305168,5.856205851469329,5.461666666666666,,5.620133333333331,6.000141159935153,4.78281547529053,7.420653471889146,5.354598214285714,,5.434842857142857,5.779040847465765,3.4363821710165663,8.600470547633767,6.365,,6.357333333333333,10.547776491327681,5.443304538979056,8.871100398719426,5.485416666666667,,5.356800000000001,3.982216852382179,4.4860868470778135,6.50228724999235,4.9553125,,5.2129,5.5380827913822746,4.5584569803243795,7.850652674326127
1996-11-30,POMKH,5.05,3.3666666666666667,3.85,4.533333333333333,3.71375,4.873333333333334,4.316666666666666,3.1925,6.997083333333334,7.5925,6.5884,5.799026525134076,6.7255193579285635,6.705784808361053,6.082083333333333,6.380833333333333,5.300586666666666,6.418030367280038,5.149191267843825,5.559374999999999,6.085,5.35084,6.163632516406997,5.605847354825164,3.76682887411293,5.207916666666667,5.721666666666666,5.185413333333331,5.726898191244441,4.55643593987339,5.556755832432015,5.13671875,5.432321428571429,4.746405714285714,5.3941232829638555,5.247187043685177,3.9651628192814696,6.206666666666666,6.419166666666667,5.763733333333333,8.097252303002499,6.002517443385807,7.142477701058468,5.332083333333332,5.550000000000001,4.9407466666666675,3.8799496783656497,3.969540859910504,3.1925106134998824,4.606249999999999,5.164375000000001,4.40474,5.091362310383543,3.4166160991145,3.197773250109948
1997-02-28,POMRB,8.450000000000001,8.516666666666667,7.0,5.3500000000000005,6.1425,7.1066666666666665,5.4899999999999975,5.205,7.492916666666667,7.2524999999999995,7.3330400000000004,6.089931082208581,8.075212363407307,8.59905555391722,6.492916666666666,6.171666666666667,6.587018666666667,6.803766415153946,7.447433428662039,5.7718750000000005,5.60625,6.010504,6.280413701313328,6.305615676857068,7.1578065982275,5.602500000000001,5.201666666666666,5.251247999999999,5.652762907815038,5.916159884397801,5.8048637027865535,5.380625,5.276875,5.304843428571429,5.573587138005277,6.526783171039418,5.7074813416035335,6.4437500000000005,6.310833333333335,6.300906666666666,7.4571530017487015,6.594456880038178,6.392354422653392,5.58125,5.420833333333333,5.160448,4.06909380353359,5.626813883391177,5.433425828611225,4.7559375,4.746250000000001,4.724844000000001,5.115988182552184,4.6373777176650055,5.441539502486898
1997-05-31,PREMON,11.216666666666667,11.15,8.925,8.950000000000003,8.25875,9.556666666666667,9.016666666666667,8.2425,8.422916666666667,6.741666666666667,8.886490666666667,7.008174034230302,10.366648062993004,11.24849333548615,7.182083333333334,5.9925,8.4122112,7.597405036953891,11.450949833539903,5.923750000000001,5.5125,7.1763024,6.8439693009357185,7.985145035541729,7.421869749823155,6.1137500000000005,5.214166666666667,6.730748800000001,6.249034388370267,7.4895797256542656,7.003113005673353,5.807812500000001,4.9965625,6.486406057142856,6.14391567784207,7.533514113447328,7.10458949006663,6.891666666666667,6.102500000000001,7.603210666666666,8.503202227268668,8.414175684305844,9.057600394021076,5.951249999999999,5.243333333333334,6.702935466666667,5.014181721154981,8.195774019462307,8.548045541005699,5.2375,4.4662500000000005,6.1319064,5.718394751115791,6.914209282020809,7.536817953017124
1997-08-31,MONSOON,8.26,4.94,4.35,5.13,4.9437500000000005,5.603333333333333,4.8533333333333335,3.5425000000000004,8.115416666666667,8.244166666666667,8.635894400000002,7.255290938214199,5.346347138481195,3.9719083177038446,6.625,6.993333333333333,7.02332672,7.121599939702645,2.4427778242228335,5.57125,6.03125,6.04578144,6.140787121518153,4.372105175068121,2.8042352859843467,6.051250000000001,5.990833333333334,6.09044928,6.039008425094917,4.058879917714487,3.0756795771790117,5.66203125,5.7646875,5.8693436342857135,5.935110163013921,2.9278718037815272,4.280217715437757,7.014999999999999,6.785,6.8032597333333324,6.974840047388597,4.765053555398098,4.058824983388886,5.753333333333334,5.919166666666667,5.963094613333333,4.810718610355499,3.424121075164578,2.4092021493298357,5.260624999999999,5.045625,5.09614384,5.304315043954076,3.281576907699163,1.91665508012776
1997-11-30,POMKH,6.48,4.876666666666666,2.99,5.516666666666668,4.05875,5.726666666666668,4.573333333333333,4.7275,7.281666666666666,8.601666666666667,7.773536640000001,7.102726514382855,7.36162671571317,7.459836638489164,5.522916666666666,7.370833333333334,6.164662698666667,6.720212611887802,5.958541714843333,5.2925,5.81625,4.8234688640000005,5.279924567791318,5.608954739715154,4.718764420274129,5.617083333333334,6.236666666666668,5.860936234666667,5.938044589224282,5.387092395296653,6.103951658046942,5.1663169642857145,5.8509375,5.145106180571428,5.589060780044615,5.835012694587856,5.114972659518016,6.9070833333333335,6.998333333333333,6.372622506666667,5.981110532379166,6.454959032732663,6.169944598629809,5.405,5.983333333333334,5.407190101333333,4.595849825638076,5.697370113139375,5.57419912267682,5.0090625,5.429375,4.948686304,5.196654055061248,4.90178849296313,4.843284148033104
1998-02-28,POMRB,4.56,2.55,5.04,3.8666666666666663,4.6312500000000005,7.2399999999999975,3.65,3.855,6.417916666666667,7.629166666666666,6.488121984,6.544653658416389,8.892704737883873,9.11429155641573,5.125833333333333,5.879166666666666,4.7187976192,5.969361184338346,8.468553748155653,5.5649999999999995,5.32625,4.9100813184,5.13986612255269,6.035893124314965,6.381745222998184,5.412916666666667,5.865833333333335,5.063228407466667,5.554557484712973,6.808777942460672,6.738594239924609,4.746227678571429,5.473125,4.939563708342857,5.426082415369914,7.0402670915611925,5.777153684155257,6.805833333333333,7.031666666666665,6.719573503999999,6.263818463291807,7.17989493265121,7.581504894949218,5.257499999999999,5.523333333333334,4.7043140608,4.227740330183204,6.342127694557245,5.549545188040744,4.858125,5.091875,4.5112117824,4.942262977841311,6.160839459339638,6.302654345317482
1998-05-31,PREMON,8.436666666666667,8.299999999999999,8.655,6.960000000000001,5.804285714285713,8.56,8.07,7.58,5.70875,6.934166666666666,7.267539857066668,6.867000873471109,10.108593773477361,10.323178764191308,5.100833333333332,5.166666666666666,6.15127857152,6.3968094405521665,10.360026046621146,6.4875,5.25875,6.408048791039999,5.926618326673119,7.181122466205396,7.063079082250839,5.630416666666667,5.368333333333334,5.82193704448,5.80576765327196,7.417953829632328,7.381069239143899,4.792633928571429,4.859508928571428,5.28545251072,5.531195027862622,7.427120263012796,6.854404503612006,6.98125,6.782499999999999,7.4557441024,7.4080096894414815,8.849627293560776,9.510100606961444,5.3429166666666665,5.286666666666667,6.05058843648,4.946524357540604,7.399334652876268,7.697341349258367,4.9534375,4.92625,5.738727069439999,5.450842430430257,6.229598448098452,6.906207069250004
