Date,Season,Danta Ramgarh,Lachhmangarh,Neem Ka Thana,Srimadhopur,Piprali,Fatehpur,Dhond,Khandela,Danta Ramgarh_Trend,Danta Ramgarh_SMA,Danta Ramgarh_EWMA,Danta Ramgarh_DES,Danta Ramgarh_TES,Danta Ramgarh_ARIMA,Lachhmangarh_Trend,Lachhmangarh_SMA,Lachhmangarh_EWMA,Lachhmangarh_DES,Lachhmangarh_TES,Lachhmangarh_ARIMA,Neem Ka Thana_Trend,Neem Ka Thana_SMA,Neem Ka Thana_EWMA,Neem Ka Thana_DES,Neem Ka Thana_TES,Neem Ka Thana_ARIMA,Srimadhopur_Trend,Srimadhopur_SMA,Srimadhopur_EWMA,Srimadhopur_DES,Srimadhopur_TES,Srimadhopur_ARIMA,Piprali_Trend,Piprali_SMA,Piprali_EWMA,Piprali_DES,Piprali_TES,Piprali_ARIMA,Fatehpur_Trend,Fatehpur_SMA,Fatehpur_EWMA,Fatehpur_DES,Fatehpur_TES,Fatehpur_ARIMA,Dhond_Trend,Dhond_SMA,Dhond_EWMA,Dhond_DES,Dhond_TES,Dhond_ARIMA,Khandela_Trend,Khandela_SMA,Khandela_EWMA,Khandela_DES,Khandela_TES,Khandela_ARIMA
1997-11-30,POMKH,27.088,21.634,8.87,30.52,34.24,26.87777777777778,40.9825,8.485,27.415499999999998,27.227999999999994,27.0793854592,27.553430270677016,26.93079074151641,26.558078180396933,21.4255,21.098499999999994,21.197210828800003,21.599626696171338,21.12053023547779,21.142651953699293,9.659791666666667,9.479375,9.3967877888,9.233380544241374,10.290714615091801,9.77916782689783,30.740000000000002,30.172500000000007,30.371971455999997,30.467839055887257,29.876457963101352,30.33147986604657,35.9609375,34.49450000000001,34.1300194816,35.250710274537624,34.97151119384935,34.28392894622402,27.00480902777778,27.494097222222216,27.05021075911111,26.017978168484916,27.792508222382104,27.544370755893848,40.9790625,40.878750000000004,40.767761344,41.69371136719858,41.527523316102766,39.959755654502935,9.165,8.9825,9.019204864,9.208882912606716,11.440567487962543,9.045921627969955
1998-02-28,POMRB,27.746,22.056,9.2725,30.95,38.98,26.79000000000001,40.8225,8.795,27.44175,27.414999999999996,27.346031275519998,27.71470576235843,27.330844754656777,26.98658070393929,22.02175,20.944499999999994,21.54072649728,21.93641393312782,22.898280664781854,21.267267155397263,10.082291666666666,9.535625,9.34707267328,9.190964281165995,8.93644004183152,9.38454392033002,31.25625,30.585000000000004,30.603182873599998,30.65648172452272,29.718983984396484,30.447487345669604,36.4011875,35.972500000000004,36.070011688959994,36.213488614559736,34.694581205949696,34.269511250514554,26.854288194444447,27.466319444444444,26.94612645546667,25.9350686964561,28.38771798136645,25.60688140824891,41.0521875,40.931250000000006,40.789656806400004,41.88511741848028,40.91962970823516,40.99832794247054,9.20125,9.1725,8.9295229184,9.13313411263712,9.695627057250217,8.441813471059179
1998-05-31,PREMON,27.478,22.628,10.843333333333335,31.5,39.66,27.206666666666663,41.3075,10.19,27.5195,27.415999999999993,27.398818765312,27.81075033729473,27.856390551672348,27.18651287882237,22.207500000000003,21.906499999999994,21.975635898368,22.362842974408032,22.619123517068157,21.658105275606825,10.731875000000002,9.783958333333334,9.945576937301334,9.84174337257764,10.588640099739358,8.8638856150348,31.845000000000002,30.895000000000007,30.961909724159998,30.957102226128157,32.24490265889052,30.561193144828724,36.96824999999999,35.949375,37.50600701337599,37.12319716853906,37.640277917361786,35.811781310133114,28.078055555555558,26.543298611111112,27.050342539946666,26.10365347774955,26.793455020354987,26.33033014089628,41.1490625,41.026875000000004,40.99679408384,42.11780665003649,42.757361176969496,41.078637841761065,9.42625,9.157499999999999,9.433713751039999,9.660937606910805,9.453687433988357,8.96192652028848
1998-08-31,MONSOON,27.558000000000003,22.23,12.536666666666667,33.5,34.532,27.786666666666665,41.1975,9.510000000000002,27.585500000000003,27.467499999999994,27.462491259187203,27.90478700226012,28.790941717396,27.450273114234466,22.360750000000003,22.136999999999993,22.077381539020802,22.487568016415864,22.108562719258607,22.116213102973013,11.5198125,10.380625000000002,10.982012829047466,10.936146775032098,8.719990785987726,9.767250725124448,32.30875,31.61750000000001,31.977145834496,31.783566945867182,31.317484695362143,30.891695948389255,36.64775,36.853,36.316404208025595,36.79207061816001,37.456785526152146,37.070352656418315,29.050833333333333,27.165277777777778,27.344872190634668,26.476426040026087,24.897655125920693,26.494171760872497,41.3653125,41.0775,41.077076450304,42.305697079135406,42.701440327800704,41.27583993239544,9.851875,9.245000000000001,9.464228250624,9.697862395762805,11.381695155729467,10.372621674412512
1998-11-30,POMKH,27.504,22.198,11.68,32.34,35.162,34.18,41.555,9.935,27.74925,27.571499999999993,27.47909475551232,27.97651222892631,27.38553444704726,27.551411803453213,22.192187500000003,22.277999999999995,22.12562892341248,22.555278196828773,22.303884720038553,22.063493185744115,12.292583333333333,11.083125000000003,11.261207697428478,11.185507115662594,11.773445837959247,11.359320014630548,32.825,32.07250000000001,32.1222875006976,31.996883033230585,31.297838039366574,31.68760930547709,35.728,37.0835,35.854642524815354,36.65744773458128,36.54886640716489,36.24058957779964,29.243375,28.99083333333333,30.078923314380802,29.843056949224767,28.20665649100848,26.98396464207356,41.633125,41.220625,41.2682458701824,42.518011127259136,42.1387058081904,40.643034397322445,10.280625,9.607500000000002,9.652536950374401,9.894624779898681,11.603507579999242,10.19886488560947
1999-02-28,POMRB,27.858,22.718000000000004,12.765999999999998,32.84,35.494,27.270000000000003,41.98,10.75,28.07175,27.599499999999995,27.630656853307393,28.09198026994585,27.77898918370541,27.586297434174387,21.235562500000004,22.443499999999997,22.362577354047488,22.79085152781055,23.85890626057441,22.126480923928245,12.719833333333334,11.956500000000002,11.863124618457086,11.792621815470522,11.07426279604309,11.906840569365993,32.80500000000001,32.545000000000016,32.40937250041856,32.29911971252335,31.26489106326836,32.22471066291639,36.59875,36.212,35.71038551488921,36.618369861468715,36.136180007379814,35.8880884751671,29.543555555555557,29.11083333333333,28.95535398862848,28.051889839922396,32.41388836390074,30.43384275283413,41.925625,41.51,41.552947522109434,42.76077871847168,41.51985648608017,41.476942828765054,10.7825,10.096250000000001,10.09152217022464,10.34743510103288,10.357232672150804,10.022704724111554
1999-05-31,PREMON,28.676,20.6175,13.532000000000002,33.74,35.78800000000001,28.267000000000003,42.2925,11.665,28.478749999999998,27.898999999999994,28.048794111984435,28.316015174147363,28.24727896984505,27.57811652814078,20.19975,21.940874999999995,21.664546412428493,22.16396376469059,23.4723590014357,22.4478777861679,12.926312499999998,12.62866666666667,12.530674771074253,12.464087195867876,13.395575770646323,11.914220714562038,32.7925,33.10500000000002,32.94162350025114,32.78657924120348,33.89830275939762,32.13650604933385,38.01408333333334,35.24400000000001,35.74143130893353,36.64780513567834,38.06112778920189,35.759306931884176,28.73313888888889,29.375916666666665,28.68001239317709,27.674306779820974,28.960056831516365,30.114937837796116,42.2296875,41.756249999999994,41.848768513265654,43.014817149267984,43.51541972437012,41.88726663298429,11.402500000000002,10.465000000000002,10.720913302134782,10.994795912208737,10.616412836184189,9.932554034459685
1999-08-31,MONSOON,28.94,16.5875,13.265999999999998,31.1,45.37000000000001,29.12777777777778,42.5525,12.05,28.94275,28.24449999999999,28.40527646719066,28.547265337224005,29.31930672453965,27.700915650782413,20.99075,20.53024999999999,19.633727847457095,20.27312963179564,21.931957235232442,21.33107299459408,13.0174375,12.811000000000002,12.824804862644552,12.728585758601426,11.468553184187785,12.838558244567388,33.3975,32.50500000000002,32.204974100150686,32.30765052813205,33.1541358650301,32.64734309066137,38.13125000000001,37.953500000000005,39.59285878536012,38.648481396211146,36.988374301837354,35.76868291397297,28.17313888888889,29.711194444444445,28.859118547017367,27.920030409749632,26.48414321694001,27.252751659961813,42.4925,42.095,42.13026110795939,43.27155192408462,43.523773578569966,42.11408484887774,12.059375,11.100000000000001,11.25254798128087,11.540983227220876,12.665409934276504,10.749565581126353
1999-11-30,POMKH,29.378,19.553999999999995,12.6025,34.64,35.64666666666667,26.355555555555547,42.6325,12.355,29.39375,28.71299999999999,28.794365880314395,28.811408580997277,28.059300449154268,28.10569634196101,22.671687499999997,19.869249999999987,19.601836708474256,20.164694492525676,20.161663999481007,18.84493045724201,13.4055,13.041625000000002,12.735882917586732,12.592793800225552,13.525390307047308,13.139189776513849,34.0325,33.08000000000002,33.17898446009041,33.070766434840365,31.810979168929826,32.38567600851892,38.25058333333334,38.07466666666667,38.01438193788274,38.24099082119668,38.42257101244527,38.90602212005622,28.62931944444444,27.75508333333333,27.85769335043264,26.662303756860187,29.66447188140883,28.16355433621318,42.792187500000004,42.364374999999995,42.331156664775634,43.50619825686416,43.111901745828945,41.85009136185686,12.771250000000002,11.705000000000002,11.693528788768521,11.99366100600166,13.373964368724625,11.495794938095669
2000-02-29,POMRB,29.696000000000005,31.69,12.5725,35.38,35.946666666666665,30.61444444444445,43.005,13.585,29.856,29.172499999999992,29.15501952818864,29.08509460512034,28.657192936072097,28.55893007738027,24.74846875,22.112249999999985,24.437102025084556,24.58557198230195,21.53623840658505,19.82539808843151,13.8985625,12.993250000000002,12.670529750552038,12.503312536831952,12.41682368275639,12.705422191509053,34.97875,33.71500000000002,34.05939067605425,33.827725589770594,32.336238559266675,32.470450696332,37.19114583333333,38.18783333333334,37.187295829396305,37.97724988109896,37.72214629504627,37.84100090728151,28.70499494949495,28.59119444444444,28.960393788037365,28.16932260124399,29.004199715237185,27.207887395146777,43.648854166666666,42.620625,42.60069399886538,43.76130397862831,42.52259357890061,42.63107651422438,13.338750000000003,12.413750000000002,12.450117273261114,12.770375324416396,12.379352031568413,11.821606261468256
