Date,Season,Pamgarh,Shakti,Akaltara,Malkharoda,Dabhra,Baloda,Bamhnidih,Jaijaipur,Nawagarh,Pamgarh_Trend,Pamgarh_SMA,Pamgarh_EWMA,Pamgarh_DES,Pamgarh_TES,Pamgarh_ARIMA,Shakti_Trend,Shakti_SMA,Shakti_EWMA,Shakti_DES,Shakti_TES,Shakti_ARIMA,Akaltara_Trend,Akaltara_SMA,Akaltara_EWMA,Akaltara_DES,Akaltara_TES,Akaltara_ARIMA,Malkharoda_Trend,Malkharoda_SMA,Malkharoda_EWMA,Malkharoda_DES,Malkharoda_TES,Malkharoda_ARIMA,Dabhra_Trend,Dabhra_SMA,Dabhra_EWMA,Dabhra_DES,Dabhra_TES,Dabhra_ARIMA,Baloda_Trend,Baloda_SMA,Baloda_EWMA,Baloda_DES,Baloda_TES,Baloda_ARIMA,Bamhnidih_Trend,Bamhnidih_SMA,Bamhnidih_EWMA,Bamhnidih_DES,Bamhnidih_TES,Bamhnidih_ARIMA,Jaijaipur_Trend,Jaijaipur_SMA,Jaijaipur_EWMA,Jaijaipur_DES,Jaijaipur_TES,Jaijaipur_ARIMA,Nawagarh_Trend,Nawagarh_SMA,Nawagarh_EWMA,Nawagarh_DES,Nawagarh_TES,Nawagarh_ARIMA
1996-11-30,POMKH,1.93,3.91,2.615,2.47,6.99,3.43,2.585,4.335,4.215,2.96,4.715,3.7040800000000003,9.768490652129339,1.9594002971269677,-4.3319170153796935e-13,5.68125,5.055,4.39216,0.8511597526459797,3.268463266062865,0.42264204940777705,2.533125,2.4074999999999998,2.34608,2.438263017256742,2.3214058543505223,6.056310913594513e-07,4.36875,4.001666666666667,3.3424799999999997,1.4605404402414137,3.208096814652658,-4.3638146382427935e-10,6.28625,6.026249999999999,5.94984,9.936588960125924,4.5570984625636735,5.52519527808728,4.5024999999999995,4.415,3.98128,3.693007905868783,2.6390585847002033,2.097020168770383,4.597083333333333,3.8637500000000005,3.2477600000000004,8.472852616838571,1.6949716126516843,3.720299073402252,5.75375,5.0075,4.58592,9.335782223637768,4.095706480765614,2.496315795137926,4.927625000000001,5.039166666666667,4.689807999999999,3.9262454496088286,4.199272261108851,5.545068067713498
1997-02-28,POMRB,2.45,6.6,3.065,5.29,6.95,3.6,6.169999999999999,7.535,5.416666666666668,2.3750000000000004,3.8449999999999998,3.202448,6.260478303363874,5.954814793158102,5.424556300145875,6.0737499999999995,5.43,5.275296,1.0053058888767268,4.482870835899224,4.797673562985962,2.625,2.47375,2.633648,2.477094682797526,2.899882664739384,2.800000217367877,4.666458333333333,4.215,4.121487999999999,1.8168903692618608,4.365878421870255,4.142177280347834,6.326874999999999,6.23875,6.349904,9.417947441773721,6.47254753131558,6.067396739563167,4.7787500000000005,4.220000000000001,3.828768,3.6246554747792117,4.314456403054532,3.916048081147718,4.940416666666667,4.417916666666667,4.416656,7.657844971627089,4.1184126580590075,3.8892594043516313,5.96125,5.626250000000001,5.765552,9.203647007998608,5.516986595566108,4.8796468022666035,4.848541666666667,4.994833333333334,4.980551466666666,4.110069565858113,5.43289670263497,5.375987956468023
1997-05-31,PREMON,3.22,12.05,3.77,9.436666666666666,8.79,9.56,9.56,9.285,6.628333333333334,2.64125,2.0749999999999993,3.2094688000000002,4.261148053904678,9.685545336888353,9.422079239713748,6.0575,5.932499999999999,7.9851776,2.006788841327976,10.191800827536177,9.56952142174357,2.5425,2.5925,3.0881888,2.579949858305027,3.638875849291071,3.356461753741712,4.822916666666667,4.5225,6.247559466666666,2.883630961861513,7.151683488229509,7.661938740980728,5.991875,6.333749999999999,7.325942400000001,9.70272789162531,8.719565884469691,8.258976857752698,4.8025,4.785000000000001,6.1212608,4.696567381078496,8.350881629443183,6.080490360702822,5.052291666666666,4.776250000000001,6.4739936,9.373493065833472,7.032710103547904,7.808938442473133,6.041250000000001,5.8812500000000005,7.1733312,9.927722211656844,8.553187545882414,8.801245542120023,4.837708333333334,4.8604166666666675,5.639664213333333,4.688578324168839,7.233111942740509,6.825298382071309
1997-08-31,MONSOON,3.1,2.3,1.18,2.045,2.55,2.5,2.103333333333333,3.01,3.0866666666666664,2.9137500000000003,2.6749999999999994,3.1656812800000003,3.0716274325590667,-1.1810224724601168,0.640335482310643,5.2162500000000005,6.215,5.71110656,1.4999450702460657,1.8210796924495782,1.609781861456095,2.240625,2.6574999999999998,2.32491328,2.4503563840269043,1.1906728972603546,1.0493632427695923,4.586666666666666,4.810416666666666,4.566535679999999,2.6818168975491887,2.3185362222943757,0.8340371984219447,5.37875,6.319999999999999,5.41556544,6.717668371322195,3.741947712810353,3.2961413386422054,4.813750000000001,4.772500000000001,4.67275648,4.216856338065623,2.6574709880703713,3.52342194567268,4.453749999999999,5.104583333333334,4.725729493333333,5.363959334013194,0.47069301462716506,1.6153959122620885,5.5925,6.041250000000001,5.50799872,6.607526560769309,3.2281268091723345,2.6871901391967232,4.749791666666667,4.836666666666668,4.618465194666666,4.18434049398869,3.0541106994761167,3.3932575108690606
1997-11-30,POMKH,1.66,2.65,1.695,2.5700000000000003,4.365,3.67,2.1666666666666665,4.335,4.223333333333334,3.18625,2.6074999999999995,2.563408768,1.8528106083798697,0.5872508198054809,1.7654964012279157,4.12,5.8999999999999995,4.486663936,1.2526870341671192,3.6876601595589085,3.653619645701001,2.01,2.4274999999999998,2.0729479680000003,2.3696275995049128,2.677579732134876,2.7336666685823654,4.1154166666666665,4.835416666666666,3.7679214079999994,2.5881285173774358,3.5546654074349546,2.3060506121045843,5.00625,5.6637499999999985,4.995339264,5.296908849319375,5.120641220697763,6.758187733453833,4.7749999999999995,4.832500000000001,4.2716538879999995,4.055526823483963,3.1068388487853955,3.1903587169752035,3.450833333333333,5.000000000000001,3.7021043626666663,3.0164453013891834,1.8435145406929334,2.912633873974933,5.060625,6.041250000000001,5.038799232,4.997920671515217,4.636649472940128,3.966587972900929,4.765833333333333,4.838750000000001,4.460412450133333,4.083353304997634,4.120195410469335,4.2962328821687805
1998-02-28,POMRB,4.9,1.13,1.57,3.3000000000000003,4.67,3.45,1.8,3.945,4.704999999999999,3.0174999999999996,3.2199999999999998,3.4980452608,3.029220927645154,1.8978456275871,2.2411741880872507,3.4725,4.532499999999999,3.1439983616,0.9159946823424959,5.080619965518921,5.440632617360761,1.859375,2.05375,1.8717687808000003,2.2805510027297773,2.8867775327114695,2.8731954534164044,3.7279166666666668,4.337916666666667,3.5807528447999997,2.631711982622161,4.676917357820752,4.713105171079978,5.25,5.093749999999999,4.8652035584,4.512601223611339,6.33914480415579,6.092522090668929,4.485000000000001,4.795000000000001,3.9429923327999994,3.885327007172614,4.528064777241934,3.783313961559492,2.8745833333333333,3.9075000000000015,2.9412626176,1.739154172858994,4.2669555812557425,5.039409344675555,4.8175,5.143750000000001,4.6012795392,3.8779919081506633,5.95705562362398,6.110362177621237,4.7645833333333325,4.660833333333334,4.5582474700799995,4.159634897565153,5.3658886857202726,5.41841116596283
1998-05-31,PREMON,2.95,8.75,3.42,7.656666666666666,8.09,9.4,5.906666666666666,8.620000000000001,7.468333333333333,2.815,3.1524999999999994,3.2788271564800002,2.880589160129516,4.3657021094559605,2.945543218628962,3.5525,3.7074999999999987,5.3863990169600005,1.9483665806882389,10.38519120619255,9.65388065815676,1.8931250000000002,1.96625,2.49106126848,2.359770328247041,3.2303272365587303,3.1284111637293353,3.537916666666667,3.892916666666667,5.211118373546666,3.4384563754264095,7.131150901512017,8.538935521835583,5.581874999999999,4.918749999999999,6.15512213504,5.752595370181832,8.234428324432322,7.859609849314207,4.2065625,4.755000000000001,6.125795399679999,4.874150445771016,8.778554740044601,7.630236379368115,2.8966666666666665,2.994166666666668,4.127424237226666,4.06932977361416,7.181252988129124,8.029952704444597,4.609583333333334,4.977500000000001,6.20876772352,6.0862806083717285,8.241737385357746,7.637591362113421,4.709166666666667,4.870833333333334,5.722281815381333,5.103410910594905,7.077095097569146,6.644567943523029
1998-08-31,MONSOON,2.02,0.42,0.325,0.7250000000000001,5.2,0.34,1.1466666666666667,1.73,2.236666666666667,2.5034374999999995,2.8824999999999994,2.775296293888,2.293092851734273,2.9536354216267835,2.835771421661419,4.1499999999999995,3.237499999999999,3.3998394101760003,1.5093771897849828,1.550729895710925,1.4851597944968384,2.16234375,1.7525,1.624636761088,2.1638428027286234,0.756290177632974,0.7576765449887577,3.6637500000000003,3.5629166666666667,3.4166710241279996,3.036800016181018,2.044470642200652,1.4525523556395852,5.74875,5.581249999999999,5.773073281024,5.403395734530967,3.0638137363360665,2.672607517135212,4.287812499999999,4.215000000000001,3.8114772398079997,3.950207846023609,2.789994043529007,2.9824958648197586,3.1070833333333336,2.7550000000000012,2.9351212090026664,2.4682175524113554,0.6192358667174931,1.265278841564788,4.765729166666667,4.657500000000001,4.417260634112,3.846257871930992,2.8507473837525246,2.6222647317829426,4.862864583333334,4.658333333333334,4.328035755895467,4.383060514735002,3.035615149251642,3.2972493477908547
1998-11-30,POMKH,1.12,5.17,2.82,2.37,4.37,3.6025,3.3000000000000003,3.951666666666666,4.630000000000001,2.221875,2.7474999999999996,2.1131777763328,1.4897189894735694,1.408713993490922,1.5185098580509533,4.735,3.8674999999999993,4.1079036461055995,1.9620542443366067,3.0382389424077334,2.944553247075911,2.2690625,2.03375,2.1027820566527997,2.1954569902715235,1.8522556051708936,1.7282925420331026,3.8687499999999995,3.5129166666666665,2.9980026144767997,2.924653108245968,3.129884399279198,2.431145245721243,5.921875,5.5825,5.211843968614399,4.763908405289784,4.962691497275108,5.9261005167825616,4.315,4.198125000000001,3.7278863438847996,3.83018237133541,2.9548972098663073,2.5875746871696252,3.458333333333333,3.038333333333335,3.0810727254016,2.830174382762522,1.99205738333811,2.3218357079026415,4.794791666666667,4.561666666666667,4.231023047133867,3.5364323968294245,4.090951173307175,3.8568144560524207,5.0246875,4.760000000000001,4.44882145353728,4.432694977290038,3.9868929980501173,4.196881986374133
1999-02-28,POMRB,2.9475,3.39,2.59875,4.506666666666666,6.0,4.1675,2.35,5.5775000000000015,5.527916666666666,2.031875,2.2593749999999995,2.44690666579968,2.043897557334442,4.036632913496147,4.482348376174501,5.069999999999999,4.432499999999999,3.8207421876633596,2.0921710564689615,4.070190574848008,4.366396878429075,2.3853125,2.2909375,2.30116923399168,2.2087685071390943,2.4721455213258765,2.242315570987678,4.095208333333333,3.8145833333333323,3.6014682353527463,3.1827500206937285,4.284526493080914,4.137658592967937,5.7250000000000005,5.914999999999999,5.52710638116864,5.124765717750593,6.085914807706405,5.598474589135797,4.42,4.377500000000001,3.90373180633088,3.841273051026981,4.1552945532662,3.6064136563670024,3.7504166666666667,3.1758333333333346,2.78864363524096,2.4756113274368987,4.4154984323169115,3.8745024782832513,4.7325,4.9697916666666675,4.76961382828032,4.404464924485209,5.44163481721907,5.733232618089595,5.1253125,4.965729166666668,4.880459538789035,4.75576248453387,5.3071404812415786,5.221135018688014
