Date,Season,Dalsinghsarai,Khanpur,Gore,Rosare,Sarairanjan,Samastipur,Singhia,Ujjiarpur,Vidyapatinagar,Patori,Kalyanpur,Warisnagar,Bibhutipur,Tajpur,Dalsinghsarai_Trend,Dalsinghsarai_SMA,Dalsinghsarai_EWMA,Dalsinghsarai_DES,Dalsinghsarai_TES,Dalsinghsarai_ARIMA,Khanpur_Trend,Khanpur_SMA,Khanpur_EWMA,Khanpur_DES,Khanpur_TES,Khanpur_ARIMA,Gore_Trend,Gore_SMA,Gore_EWMA,Gore_TES,Gore_ARIMA,Rosare_Trend,Rosare_SMA,Rosare_EWMA,Rosare_DES,Rosare_TES,Rosare_ARIMA,Sarairanjan_Trend,Sarairanjan_SMA,Sarairanjan_EWMA,Sarairanjan_DES,Sarairanjan_TES,Sarairanjan_ARIMA,Samastipur_Trend,Samastipur_SMA,Samastipur_EWMA,Samastipur_DES,Samastipur_TES,Samastipur_ARIMA,Singhia_Trend,Singhia_SMA,Singhia_EWMA,Singhia_DES,Singhia_TES,Singhia_ARIMA,Ujjiarpur_Trend,Ujjiarpur_SMA,Ujjiarpur_EWMA,Ujjiarpur_DES,Ujjiarpur_TES,Ujjiarpur_ARIMA,Vidyapatinagar_Trend,Vidyapatinagar_SMA,Vidyapatinagar_EWMA,Vidyapatinagar_DES,Vidyapatinagar_TES,Vidyapatinagar_ARIMA,Patori_Trend,Patori_SMA,Patori_EWMA,Patori_DES,Patori_TES,Patori_ARIMA,Kalyanpur_Trend,Kalyanpur_SMA,Kalyanpur_EWMA,Kalyanpur_DES,Kalyanpur_TES,Kalyanpur_ARIMA,Warisnagar_Trend,Warisnagar_SMA,Warisnagar_EWMA,Warisnagar_DES,Warisnagar_TES,Warisnagar_ARIMA,Bibhutipur_Trend,Bibhutipur_SMA,Bibhutipur_EWMA,Bibhutipur_DES,Bibhutipur_TES,Bibhutipur_ARIMA,Tajpur_Trend,Tajpur_SMA,Tajpur_EWMA,Tajpur_DES,Tajpur_TES,Tajpur_ARIMA
1996-02-29,POMRB,6.87,7.901999999999999,2.07,6.23,5.4766666666666675,5.796666666666668,4.3,6.37,6.45,6.375,9.803888888888887,7.25,4.78,6.7,,,6.87,4.229254381294827,5.578176518226382,0.0,,,7.901999999999999,7.011714772661368,7.329236868764351,0.0,2.07,,2.07,2.0799999999999996,0.0,,,6.23,5.0632725085535775,4.837409519789927,0.0,,,5.4766666666666675,5.270102075782357,5.486673950957357,0.0,,,5.796666666666668,5.399591315565658,5.806653154810347,0.0,,,4.3,5.319841067753453,4.31,0.0,,,6.37,5.438964050087966,5.694055388755891,0.0,,,6.45,5.483014095553532,5.873514345189983,0.0,,,6.375,4.866242957418829,5.2220693409816805,0.0,,,9.803888888888887,9.626821629785159,9.785845001529376,0.0,,,7.25,5.877697624768361,5.987830406449396,0.0,,,4.78,7.37414636067446,4.8393575735471,0.0,,,6.7,5.1478580533692515,5.448459847088812,0.0
1996-05-31,PREMON,6.165,9.563999999999998,,6.6,8.396666666666668,8.535,4.91,7.64,7.1,7.135,10.285333333333336,6.21,6.330666666666668,5.79,,,6.588,4.384224628536367,7.659694439096107,6.869990410678614,,,8.566799999999999,7.040007310948088,8.512140864208972,7.901924507365813,,,,,,,,6.378,5.053670946121245,6.848902313221448,6.229984165279463,,,6.644666666666668,5.690333098487537,8.416102777368828,2.5022353992364722e-11,,,6.892000000000001,6.253646206979241,8.55442278581001,2.040059964276505,,,4.544,5.808336079180697,4.927451523545707,1.5077726452274622,,,6.878,5.942094883024361,7.719323172404589,6.369991149690714,,,6.71,5.711067205618789,7.6220361013442375,6.449985213262741,,,6.679,5.166687668386115,8.019906525151379,6.37498845246277,,,9.996466666666667,9.617337506397277,10.806766458966987,5.821783009878157,,,6.834,5.907434497995045,8.069729933976042,6.303946888463533,,,5.400266666666667,8.777546868513213,6.266764988970437,3.390171478505453e-07,,,6.336,4.568228243318912,7.278116596827431,6.699988719014219
1996-08-31,MONSOON,2.6,3.736666666666667,,1.6,6.22875,5.62,3.71,3.59,6.73,2.8,7.4656249999999975,3.92,2.8027777777777767,5.7,4.4799999999999995,,4.9928,4.271464227765136,4.119213293288162,6.4542004898851,6.182166666666666,,6.634746666666667,7.055534986644086,3.6628431865622657,8.994247879777253,,,,,,4.49125,,4.4668,4.2521052156455355,3.3264990350124495,6.419688259084956,6.589687500000001,,6.478300000000001,5.717299251032805,6.257094443844898,6.477895776489962e-11,6.619583333333334,,6.3832,5.951187070069373,5.648302279642607,3.25064117860189,3.3775,,4.2104,5.5508492480374,3.732560830564529,3.2742105017804715,4.9575,,5.5628,5.343239743071065,4.956672332818979,7.117343846265687,5.8475,,6.718,5.855265678096433,5.703564423123429,6.735872645446082,4.7075,,5.1274,4.830902656582361,4.431606527967922,6.868269630106947,9.174466503267974,,8.984129999999999,9.262640861243792,7.290284775615911,6.753255307644113,5.305000000000001,,5.6684,5.442270829351093,4.554915819009343,6.167426158509668,4.384861111111111,,4.361271111111111,7.495402601842938,2.7340987198504614,6.531059654873631e-07,5.3175,,6.0816,4.156593593496787,4.433221534543728,6.209384995448442
1996-11-30,POMKH,3.57,4.448,,4.19,6.256666666666668,6.526666666666667,1.77,3.45,3.98,3.635,9.090588235294117,5.0,3.626,4.03,4.161874999999999,4.80125,4.423679999999999,4.236385671122786,4.046332040351386,4.500953394114758,5.393666666666666,6.4126666666666665,5.760048,7.072626221958024,5.204528698773335,5.864237051809857,,,,,,4.35625,4.655,4.35608,3.982442523473496,4.188978626108826,4.680090166570244,6.589687500000001,6.5896875,6.389646666666668,5.7575027546520054,6.293344994415826,1.0153874511073937e-10,6.619583333333333,6.619583333333334,6.4405866666666665,6.0528098377430615,6.5633852385449964,3.263201022321791,2.9425,3.6725000000000003,3.2342400000000002,4.380696073341652,1.7955945679920418,3.5786011664077515,4.45625,5.2625,4.7176800000000005,4.85829419343492,4.94474026722616,5.337609107367022,5.602500000000001,6.065,5.6228,5.593451402448607,5.1440221875738095,6.838491037173432,4.42,4.98625,4.53044,4.656379308489138,4.431262067058658,4.640440470653136,9.274485600490197,9.161358864379086,9.026713294117645,9.1536000123166,7.945177094475986,6.688083726795411,5.0325,5.595000000000001,5.40104,5.309873901710191,4.6767303693777,5.284323904471908,4.384861111111111,4.384861111111111,4.0671626666666665,6.433375013700656,3.678305303087801,5.427068234952057e-07,5.10375,5.555000000000001,5.26096,3.6194202167535505,5.310616320988649,5.998064100302595
1997-02-28,POMRB,4.3,6.057999999999999,2.07,4.92,5.4766666666666675,5.796666666666668,1.94,3.93,4.71,4.145,9.90875,4.93,4.78,4.8,4.20125,4.1587499999999995,4.374207999999999,4.256359077100862,4.561004434736163,4.695827167116011,4.553166666666667,5.951666666666666,5.8792288,7.093260884736633,7.822969888958903,6.9485484276484675,2.07,,2.07,2.0894459833795014,0.0,4.4725,4.3275,4.5816479999999995,3.8931149089416293,4.711123781943045,5.47197586702214,6.5896875,6.5896875,6.024454666666667,5.662777242581186,5.5211697579678445,5.341556037805514,6.619583333333334,6.619583333333335,6.183018666666667,5.890237430439588,5.841151278011826,5.650673095785761,2.49375,3.0825000000000005,2.716544,3.4280029218278396,4.31948681751827,4.143381137276931,4.10125,4.6525,4.402608000000001,4.6088622078261405,4.596210638377117,4.661042489318146,5.1125,5.630000000000001,5.25768,5.470727478747242,6.070127070919597,6.100014006500608,4.41,4.42875,4.376263999999999,4.576093269052152,4.26553369434078,5.879880961421243,9.611796875,9.187574142156864,9.379527976470587,9.159548324385337,10.062252106257862,9.356959593573219,5.050000000000001,5.015000000000001,5.212624,5.191709766629833,5.580725143159388,6.362932396332278,4.384861111111111,4.384861111111111,4.3522976,5.957730173712411,4.845027479334735,4.779999775254391,4.6025,5.080000000000001,5.076575999999999,3.357077762966223,5.425852365790153,5.687195789234317
1997-05-31,PREMON,6.19,5.1000000000000005,,6.83,8.396666666666668,8.535,3.79,6.07,6.88,7.065,10.980625,6.35,6.330666666666668,5.98,4.202500000000001,4.165,5.1005248000000005,4.4112759652462765,5.9033134849872635,4.074775936476894,4.125916666666667,4.835666666666667,5.56753728,7.111806692207677,8.50499295771549,8.092640293656205,,,,,,4.49,4.385,5.4809888,4.167253516924966,6.455287004025455,5.581343463112115,6.589687500000001,6.5896875,6.973339466666667,6.109938585799723,8.448424813086346,8.189518964838607,6.619583333333335,6.619583333333334,7.1238112000000005,6.823728796285824,8.586747104044168,8.147470907258727,2.29375,2.8025,3.1459263999999996,3.399202641433887,4.324238609129143,4.087888139529598,3.8950000000000005,4.26,5.0695648,4.937664062047677,5.9708762287510275,4.979796588317554,4.68,5.575000000000001,5.906608,5.669636568649134,7.000309063085448,6.118408913690992,4.414375,4.411250000000001,5.451758399999999,4.907356783807879,6.499388577054852,5.9084372200279365,9.738853930995475,9.36139705882353,10.019966785882353,9.297005564954011,10.936918580159226,9.782739556146447,4.9325,5.050000000000001,5.6675743999999995,5.402391646735337,6.80610912511924,5.196874451375914,4.384861111111111,4.384861111111111,5.143645226666667,6.287804641083107,6.270898034241511,6.330665919099484,3.90875,5.127500000000001,5.4379456,3.391350658721331,6.598527185159909,4.935006887339232
1997-08-31,MONSOON,2.89,1.4766666666666666,,2.3,6.22875,5.62,1.24,2.32,3.03,2.79,9.468823529411765,3.92,2.8027777777777767,1.5,4.08625,4.2375,4.2163148800000005,4.3175783155742025,3.2108416957513475,3.163381299444549,3.753416666666667,4.270666666666666,3.9311890346666667,7.122399353862912,2.41114662141121,2.9263142314944135,,,,,,4.356249999999999,4.56,4.2085932800000005,3.6902457300116214,3.0737207661323223,2.591348360478176,6.589687500000001,6.5896875,6.67550368,6.1495252926820525,6.287267625290694,6.075085301974999,6.619583333333334,6.619583333333334,6.52228672,6.5218144279952766,5.678477707297744,5.473142623515324,2.3937500000000003,2.1850000000000005,2.3835558399999996,2.442388163124629,2.8855113860243877,2.720017269111998,3.8075,3.9425,3.96973888,4.279915620250576,3.2947265384725757,3.1232302200982778,4.6274999999999995,4.650000000000001,4.7559648,5.300543669797764,5.742319736338009,6.331732524165503,4.340624999999999,4.40875,4.38705504,4.606324346886225,3.553483043213727,3.316447689137548,9.50316742081448,9.862196691176472,9.799509483294118,9.231312483653669,7.7242731542085945,7.650137890557864,4.776249999999999,5.050000000000001,4.968544639999999,5.048464154571004,3.919778645188625,4.191326231229917,4.384861111111111,4.384861111111111,4.207298247111111,4.773683371578167,2.737111479471616,2.8027774258197207,3.53375,4.0775000000000015,3.86276736,2.7425199669305447,4.057939573157164,5.259518098279463
1997-11-30,POMKH,3.29,3.2900000000000005,,3.63,6.256666666666668,6.526666666666667,2.64,3.07,4.22,3.68,8.103846153846153,4.06,3.626,2.68,3.9987500000000002,4.1674999999999995,3.845788928,4.259147077772503,3.7084337743678315,3.5690994933237894,3.844166666666668,3.981166666666666,3.6747134208000003,7.136961010412378,3.5780027027885417,3.8416343278056995,,,,,,4.19625,4.419999999999999,3.9771559680000004,3.496789408268756,4.151375433113734,4.223149902225543,6.589687500000001,6.5896875,6.507968874666667,6.1900658973675,6.321398885673106,6.102313258040281,6.619583333333333,6.619583333333334,6.524038698666667,6.5756257647602325,6.5914413226620905,6.315071870155227,2.3875,2.4025000000000007,2.4861335039999997,2.2695039289223433,0.40143011386384153,1.072802200368747,3.64375,3.8475,3.609843328,3.965496409467219,3.4727879875383474,2.651481585529897,4.4925,4.710000000000001,4.54157888,5.150104583194754,3.577023173415975,3.7658842408018476,4.141875,4.42,4.104233024,4.469253828848087,3.937606572658574,3.7963715522845276,9.290078879147813,9.615511170814479,9.121244151514933,9.006499279762878,9.063916534666259,9.633194254202223,4.66625,4.815,4.605126783999999,4.8023450525028535,4.325981484948623,4.956711215401708,4.384861111111111,4.384861111111111,3.9747789482666667,4.015274004632293,3.680501436916381,3.625999423319198,3.19125,3.740000000000001,3.389660416,2.4218462515134918,3.5968978767619064,3.194916373827196
1998-02-28,POMRB,3.65,4.2360000000000015,2.07,4.41,5.4766666666666675,5.796666666666668,1.87,3.61,4.05,3.51,9.010000000000002,4.62,4.78,3.15,3.8099999999999996,4.004999999999999,3.7674733568,4.230681929885221,4.250668084249108,4.282672239600907,4.401833333333334,3.525666666666666,3.8992280524800007,7.153598241705864,6.157114238248546,6.01479145993606,2.07,,2.07,2.098340942749058,0.0,4.08625,4.292499999999999,4.1502935808000005,3.474518842825512,4.555542696009773,5.027991598067715,6.5896875,6.5896875,6.095447991466667,6.084088592968853,5.5471382317696465,5.454006995186135,6.619583333333334,6.619583333333335,6.233089885866667,6.332518934526425,5.867121900670362,5.752748106717066,2.584166666666667,2.385000000000001,2.2396801024,1.907918640405852,1.564686599720253,1.518811930986172,3.40375,3.7675,3.6099059968,3.8590160843402836,3.6535760724632595,3.339442346616314,4.671250000000001,4.545000000000001,4.344947328,4.996888349023532,4.8129410378979065,4.829966999715584,3.88,4.2612499999999995,3.8665398144,4.327967669832182,4.010433888261458,4.453130869117716,8.78832730015083,9.39082367081448,9.07674649090896,8.922287595574115,10.262670257012521,9.169915554791704,4.4906250000000005,4.737500000000001,4.611076070399999,4.729855991196574,4.96613385731995,5.343012561952724,4.384861111111111,4.384861111111111,4.29686736896,4.0681039221867055,4.846628338480341,4.779999799607202,2.9374999999999996,3.3275000000000006,3.2937962495999997,2.265141334004138,3.8394149473681844,3.619312706812612
1998-05-31,PREMON,6.14,7.6480000000000015,,6.06,8.396666666666668,8.535,3.81,5.08,6.46,6.109999999999999,10.174666666666667,5.78,6.330666666666668,4.89,3.5849999999999995,3.992499999999999,4.71648401408,4.383751341404956,5.431283504565416,4.36561920657122,4.590250000000001,4.1626666666666665,5.3987368314880015,7.177736943737718,6.549651202857122,5.872979283836384,,,,,,4.12375,4.099999999999998,4.91417614848,3.7599128490673936,6.219664087548012,5.758998990121247,6.589687500000001,6.5896875,7.015935461546668,6.514097587532608,8.472345742798046,8.361925514835596,6.619583333333335,6.619583333333334,7.1538539315200005,7.172256811974735,8.610670126961331,8.427861095963813,2.7533333333333334,2.3900000000000015,2.86780806144,2.4550359595871627,3.5104549360523314,4.1199263228216,3.235,3.5199999999999996,4.19794359808,4.133735847158217,5.330060259939487,4.7577085629261315,4.75625,4.440000000000001,5.1909683968,5.2032474396073765,6.330305230186079,6.222297046099845,3.671875,4.022499999999999,4.76392388864,4.562852391279952,6.076041434648783,6.345339559027492,7.973756410256411,9.189334087481146,9.515914561212043,8.99250911993053,10.802114329415534,9.888366296794128,4.23625,4.595000000000001,5.07864564224,4.920707004605553,6.327901281944429,5.3439072110343915,4.384861111111111,4.384861111111111,5.110387088042668,4.9908787644801365,6.272064971324633,6.33066616986777,2.87,3.0550000000000006,3.93227774976,2.4617485997680157,4.98984643343789,3.5325322961533914
