Date,Season,Rahatgarh,Rehli,Jaisinagar,Khurai,Banda,Bina,Deori,Malthon,Kesli,Sagar,Shahgarh,Rahatgarh_Trend,Rahatgarh_SMA,Rahatgarh_EWMA,Rahatgarh_DES,Rahatgarh_TES,Rahatgarh_ARIMA,Rehli_Trend,Rehli_SMA,Rehli_EWMA,Rehli_DES,Rehli_TES,Rehli_ARIMA,Jaisinagar_Trend,Jaisinagar_SMA,Jaisinagar_EWMA,Jaisinagar_DES,Jaisinagar_TES,Jaisinagar_ARIMA,Khurai_Trend,Khurai_SMA,Khurai_EWMA,Khurai_DES,Khurai_TES,Khurai_ARIMA,Banda_Trend,Banda_SMA,Banda_EWMA,Banda_DES,Banda_TES,Banda_ARIMA,Bina_Trend,Bina_SMA,Bina_EWMA,Bina_DES,Bina_TES,Bina_ARIMA,Deori_Trend,Deori_SMA,Deori_EWMA,Deori_DES,Deori_TES,Deori_ARIMA,Malthon_Trend,Malthon_SMA,Malthon_EWMA,Malthon_DES,Malthon_TES,Malthon_ARIMA,Kesli_Trend,Kesli_SMA,Kesli_EWMA,Kesli_DES,Kesli_TES,Kesli_ARIMA,Sagar_Trend,Sagar_SMA,Sagar_EWMA,Sagar_DES,Sagar_TES,Sagar_ARIMA,Shahgarh_Trend,Shahgarh_SMA,Shahgarh_EWMA,Shahgarh_DES,Shahgarh_TES,Shahgarh_ARIMA
1996-02-29,POMRB,7.1225,12.32,7.05,7.85,6.17,21.593823529411765,5.500000000000001,4.255,2.92,6.775,5.797499999999999,,,7.1225,5.362784763152034,6.6563333287094455,0.0,,,12.32,11.26251171713409,11.652062861344916,0.0,,,7.05,5.670900299344749,6.3319411034310304,0.0,,,7.85,5.549695767215407,7.242249127539024,0.0,,,6.17,5.802958740642807,6.010258335132138,0.0,,,21.593823529411765,18.566820918844346,21.44283446985984,0.0,,,5.500000000000001,11.101486854254752,5.728591256996249,0.0,,,4.255,10.003874997875624,4.40109375,0.0,,,2.92,5.3581542188687115,2.5303565661907026,0.0,,,6.775,12.170758163917474,6.77470666548035,0.0,,,5.797499999999999,8.391635654933156,5.107904558697521,0.0
1996-05-31,PREMON,9.1625,13.97,8.33,11.25,7.788000000000001,23.13147058823529,8.816666666666668,8.459999999999999,6.05,10.0775,7.797999999999999,,,7.9384999999999994,5.669535323592664,8.846092128345147,2.83394090205572,,,12.98,11.687003371683062,14.522714090639337,12.319902965778155,,,7.561999999999999,5.950317700899033,8.820427097997754,3.8440799059006654,,,9.21,6.1438942348698475,11.874156850104821,7.849189614964716,,,6.817200000000001,5.99630966683339,7.399653064287418,3.106713251589574,,,22.208882352941174,18.884754659262338,22.209261053470243,21.59324636932861,,,6.826666666666668,14.616354129353494,8.355597453878644,4.510369291056411e-06,,,5.936999999999999,14.918661567227009,8.735190443213295,-1.933948863204299e-09,,,4.172,5.307846085501658,6.845693796482216,2.9199752737935936,,,8.096,15.334552588971931,9.375876262280999,6.774972008063728,,,6.5977,10.215327413851943,8.158203449862226,3.3755729471295126
1996-08-31,MONSOON,3.0225,6.065,1.4433333333333334,1.4,2.052,8.406071428571428,2.4288888888888893,1.2375,0.01,2.4625,1.8520000000000003,6.1609375,,5.972099999999999,4.569277720528026,3.500148371105613,4.004868628750509,10.657500000000002,,10.214,10.347024070265554,7.936813550330183,13.192698533969915,5.405,,5.114533333333333,4.636064833275717,3.030958796198771,4.950091932428404,6.4625,,6.086,5.656206830122416,0.6991220568349945,9.94580622694292,5.286250000000001,,4.91112,5.647361141534302,3.5643665126638773,4.239715331840543,16.541959033613445,,16.687757983193276,18.30116206973404,8.29527891014456,22.60359207727364,5.58263888888889,,5.067555555555557,11.651477003899684,3.004039993056188,9.483924505524521e-06,4.408125,,4.057199999999999,10.053304109997624,1.6251488092383424,-6.384697125215198e-09,3.2299999999999995,,2.5071999999999997,4.854584263133582,0.03781508855185223,4.517427073275924,5.96125,,5.8426,11.463193589419252,3.834654530552992,8.88616898911508,4.905520833333333,,4.69942,8.299428925395008,2.901845341511333,4.761199303601788
1996-11-30,POMKH,5.61,10.36,5.156666666666667,5.3,5.2040000000000015,13.036470588235295,4.914444444444444,3.3775,3.45,4.60375,4.305,6.1115625,6.229375,5.82726,4.34446572993805,5.158183375134378,3.050606735068884,10.701875000000001,10.678749999999999,10.272400000000001,10.08932335680438,8.554034544205704,10.380055224248565,5.5225,5.494999999999999,5.131386666666667,4.408660594360929,3.9849744469653623,3.0878799901717087,6.475,6.45,5.7716,5.622877182340132,4.961993018225298,5.321983673280122,5.33175,5.3035000000000005,5.028272000000001,5.601229152005291,4.849136872346545,2.8124984911696247,16.541959033613445,16.541959033613445,15.227243025210083,18.02891114275743,13.771197819027904,14.999944183663587,5.793750000000001,5.415000000000001,5.006311111111112,9.718462808744048,4.129283549653963,5.710014868521587e-06,4.561562499999999,4.3325000000000005,3.785319999999999,6.972534836577825,3.8614741748592194,-7.412999422550678e-09,3.4775,3.1075,2.8843199999999998,4.653514428472075,1.5203487797510697,2.9129303725436078,5.795,5.979687499999999,5.34706,8.862468596159228,4.60457944535447,4.973662815726296,4.960666666666667,4.938124999999999,4.541652,7.382841162865496,3.721366219215639,2.8917443678695234
1997-02-28,POMRB,6.575,12.15,6.329999999999999,7.95,6.032,21.593823529411765,6.841111111111113,4.86,3.9,6.627500000000001,5.536666666666666,6.069999999999999,6.0925,6.126356,4.479394891478069,6.775502704748865,6.704912579554321,11.16375,10.636249999999999,11.02344,10.294915360972738,11.734599665517926,11.27100722168406,5.85875,5.314999999999999,5.610832,4.5521358050012335,6.3266022148092995,6.7161618399135605,6.425,6.475,6.64296,5.867581857380622,8.374503190757498,7.320624994225973,5.764,5.269,5.429763200000001,5.634103029316215,5.939372842591834,5.798181778250536,16.541959033613445,16.541959033613445,17.773875226890755,18.28560262647134,21.627094550665028,19.24524277442841,5.9333333333333345,5.750277777777779,5.740231111111113,8.886720314463552,5.981500459553054,5.500001011676975,4.7484375,4.483750000000001,4.215191999999999,5.6793875086392624,4.781351709889985,4.0418077425759,3.62,3.3524999999999996,3.290592,4.495407728041153,3.1807634803669176,2.8883882852284386,5.6879687500000005,5.942812499999999,5.859236000000001,7.820953823902555,6.492595407018557,6.474517166211306,5.140666666666666,4.872916666666666,4.939657866666666,6.978730467351976,5.070519362688567,5.506908887513729
1997-05-31,PREMON,9.315,14.495,9.99,11.25,8.290000000000001,23.13147058823529,9.164444444444444,9.0825,7.05,8.895,8.5,5.889375,6.130625,7.4018136000000005,5.3873209861098434,8.860276596221922,8.381674407168296,11.397499999999999,10.767499999999998,12.412064,11.059479468240063,14.5261480960083,12.824230440061937,5.7875,5.729999999999999,7.3624992,5.657966616550685,8.574824032620445,7.666984717212079,6.25,6.475,8.485776,6.429041219325975,12.437548053274973,10.236827612627382,6.108,5.3945,6.573857920000002,5.87853933332493,7.311314788007019,7.18528863867706,16.343650210084032,16.541959033613445,19.91691337142857,18.619734801559446,22.345123897013526,19.619705167089478,5.9725,5.837222222222222,7.109916444444446,9.457716619758763,9.151142980612152,9.353171153446606,4.8871875000000005,4.639375000000001,6.162115199999999,8.150269671631605,9.093297021164538,8.036120682454476,3.3737500000000002,3.602499999999999,4.7943552,4.5623586883374845,7.576769103776231,5.547602025652073,5.58859375,5.647187499999998,7.0735416,8.367114751949385,9.16256027762766,9.701487544546183,5.093229166666666,5.048416666666666,6.36379472,7.948173440605931,8.059762273910726,7.305147109559818
1997-08-31,MONSOON,2.5375,9.235,2.473333333333333,1.0,5.008,8.406071428571428,3.1977777777777776,2.11,0.15,2.7887500000000003,2.59,5.583125,6.009375,5.45608816,4.535208626783491,3.536114315629833,3.177820380009531,10.870625,11.559999999999999,11.141238399999999,10.61176195260267,8.103619108871438,7.782778913387124,5.2316666666666665,5.987499999999999,5.406832853333333,4.853026103480676,3.4260064446248952,2.502595833069039,5.758750000000001,6.375,5.4914656,5.870537197850469,1.6571496144580422,3.0192455543337307,5.929,6.1335,5.947514752000001,5.809575394817079,3.6295426799689072,2.4895264002863504,16.14534138655462,16.541959033613445,15.312576594285714,18.05140760182873,8.395456399348973,11.328836970092606,5.68125,6.029444444444444,5.545060977777778,6.32511075061351,3.5763043034978557,2.6250409260364695,4.71125,4.857500000000001,4.541269119999999,4.611372874737514,1.9725859090867175,1.1754963760407708,2.765,3.6374999999999993,2.93661312,4.166663439183546,0.8347101104071766,1.282795026187685,5.140625,5.728749999999998,5.35962496,5.367238916350303,3.126021286626804,2.300551319292146,4.660458333333334,5.232916666666666,4.854276832,5.97262853885098,3.0221203272950063,2.4378932837744234
1997-11-30,POMKH,4.65,9.06,3.556666666666666,4.3,5.0,11.45,4.45888888888889,3.6150000000000007,1.34,3.4825000000000004,3.1875,5.165,5.769375,5.133652896000001,4.340389785447492,5.112109310293045,5.229026749053027,10.216249999999999,11.235,10.30874304,10.165386322288033,9.661538970125386,11.31460106023106,4.597083333333334,5.587499999999999,4.666766378666667,4.401072015438011,4.593488732702417,5.5036822034665125,5.495,6.125,5.01487936,5.711510370603217,5.6156598147781605,5.131315625590963,5.59,6.0825,5.568508851200001,5.7407732150408375,5.666056963693447,6.119936661403578,15.200157563025208,16.145341386554623,13.767545956571428,17.6983880239776,13.845062969215956,13.618771450984434,5.416388888888889,5.915555555555555,5.110592142222223,4.867255305598522,4.79959551024378,5.103945577726613,4.1825,4.916875000000001,4.170761472,3.499236167158544,4.235744086928582,3.208273948272005,1.9462499999999998,3.1099999999999994,2.297967872,3.8704802719195244,2.1564677776564096,3.666768176892006,4.6226562499999995,5.448437499999999,4.608774975999999,3.824935473222014,4.4248401199436795,4.760521379906454,4.163,4.953541666666666,4.1875660992,4.635302068304514,4.010431180729078,4.5270965896019915
1998-02-28,POMRB,5.085,9.235,3.483333333333333,5.02,4.8039999999999985,21.593823529411765,4.966666666666667,3.215,1.14,4.164999999999999,3.192,5.0740625,5.3968750000000005,5.114191737600001,4.319179189961909,6.585506579192774,6.458423915878704,9.713125000000002,10.50625,9.879245824,9.809570542003867,12.087994848500163,12.157284609621387,4.338333333333334,4.875833333333333,4.193393160533334,4.0062590714278885,6.192629106299217,5.868486946475253,5.85125,5.3925,5.016927616,5.64347048887289,8.544358126119452,7.384312101243499,5.35875,5.775499999999999,5.2627053107199995,5.654979611966116,6.490807895767333,5.818984298067187,14.254973739495798,16.145341386554623,16.898056985707562,17.974117946127862,21.264860561442326,19.888321642177083,5.417673611111112,5.446944444444444,5.053021952,4.329117505174246,6.090393988129678,6.233307701984108,3.823125,4.505625000000001,3.7884568832,2.7982523494201645,5.284679690117692,4.444055127696732,1.50375,2.4199999999999995,1.8347807232,3.5779830359138116,3.1447658095694306,3.3165486179220016,4.45328125,4.832812499999998,4.4312649855999995,3.3708280035168743,5.831681734125426,6.052689426526227,3.9061250000000003,4.367375,3.78933965952,3.6849500398343498,4.9752481601862035,5.141264059712056
1998-05-31,PREMON,7.460000000000001,12.175,7.7600000000000025,12.07,6.806,15.57,8.920000000000002,6.4975000000000005,3.26,7.21375,6.865,5.301875,4.933125,6.0525150425600005,4.9600005005456405,8.465560121471178,8.31068445377479,9.54875,9.926250000000001,10.7975474944,10.166133105463208,13.855774852853424,12.632949539592044,4.465,4.318333333333333,5.620035896320001,4.739246793969986,7.528861908132342,7.488872802943179,6.43125,5.5975,7.838156569600001,6.312982185102116,11.935698750038078,9.791562727599702,5.3927499999999995,5.404499999999999,5.880023186432,5.758776744405567,7.400016874132929,7.170886382368753,14.2605987394958,14.254973739495803,16.366834191424537,17.872663338391558,22.078033273864094,20.941784537963795,5.427934027777779,5.385833333333334,6.599813171200001,6.560487275878437,8.271036932776514,8.439173373758896,3.8334375,3.859375000000001,4.87207412992,5.1568687831531355,9.318539143638988,8.54756330721806,1.5425000000000002,1.4724999999999995,2.40486843392,3.445508017746379,6.874067851510186,5.3694240843452405,4.6161111111111115,4.412499999999999,5.5442589913599996,5.09451042230495,7.580916602383649,7.897047782375433,3.8486875,3.9586249999999996,5.019603795712,4.673480632435391,7.349856093462453,6.717084788299399
