Date,Season,Riga,Sonbarsa,Tariani Chowk,Bajpatti,Parsauni,Parihar,Batnaha,Runi Saidpur,Dumra,Pupri,Majorganj,Balsand,Riga_Trend,Riga_SMA,Riga_EWMA,Riga_DES,Riga_TES,Riga_ARIMA,Sonbarsa_Trend,Sonbarsa_SMA,Sonbarsa_EWMA,Sonbarsa_DES,Sonbarsa_TES,Sonbarsa_ARIMA,Tariani Chowk_Trend,Tariani Chowk_SMA,Tariani Chowk_EWMA,Tariani Chowk_DES,Tariani Chowk_TES,Tariani Chowk_ARIMA,Bajpatti_Trend,Bajpatti_SMA,Bajpatti_EWMA,Bajpatti_DES,Bajpatti_TES,Bajpatti_ARIMA,Parsauni_Trend,Parsauni_SMA,Parsauni_EWMA,Parsauni_DES,Parsauni_TES,Parsauni_ARIMA,Parihar_Trend,Parihar_SMA,Parihar_EWMA,Parihar_DES,Parihar_TES,Parihar_ARIMA,Batnaha_Trend,Batnaha_SMA,Batnaha_EWMA,Batnaha_DES,Batnaha_TES,Batnaha_ARIMA,Runi Saidpur_Trend,Runi Saidpur_SMA,Runi Saidpur_EWMA,Runi Saidpur_DES,Runi Saidpur_TES,Runi Saidpur_ARIMA,Dumra_Trend,Dumra_SMA,Dumra_EWMA,Dumra_DES,Dumra_TES,Dumra_ARIMA,Pupri_Trend,Pupri_SMA,Pupri_EWMA,Pupri_DES,Pupri_TES,Pupri_ARIMA,Majorganj_Trend,Majorganj_SMA,Majorganj_EWMA,Majorganj_DES,Majorganj_TES,Majorganj_ARIMA,Balsand_Trend,Balsand_SMA,Balsand_EWMA,Balsand_DES,Balsand_TES,Balsand_ARIMA
1996-02-29,POMRB,2.255,2.575,2.401,2.385,2.1275,2.255,3.3366666666666664,3.51,4.28,2.291,2.3040000000000003,4.43,,,2.255,2.3124912972982967,2.340757246148354,0.0,,,2.575,2.7737290988738414,2.5145691190323576,0.0,,,2.401,4.4755295003011515,2.395828711276651,0.0,,,2.385,7.022445911857993,2.3949999999999996,0.0,,,2.1275,1.226832181904609,2.1374999999999997,0.0,,,2.255,2.2324329236783025,2.326022160977297,0.0,,,3.3366666666666664,2.879065032750574,3.3442052363265486,0.0,,,3.51,3.091928441002886,3.5199999999999996,0.0,,,4.28,3.699295555692526,4.290031905803354,0.0,,,2.291,2.000723313833162,2.506720064085558,0.0,,,2.3040000000000003,1.466216733400589,2.3140165853020465,0.0,,,4.43,2.7693225884693855,2.323307550896099,0.0
1996-05-31,PREMON,3.37,3.0250000000000004,3.755,5.2650000000000015,3.4199999999999995,3.37,4.54,2.3,4.9925,3.245,3.5690000000000004,3.41,,,2.701,2.3276906532837387,3.25601012973534,2.2549970758359112,,,2.7550000000000003,2.7757903484021216,3.4188264857157993,1.526346997861587,,,2.9425999999999997,5.7278678155795415,3.780661186566362,1.7121346927504089,,,3.537000000000001,10.629109206297192,5.284445983379503,2.297421163212807e-07,,,2.6445,1.4639080868517171,3.439445983379501,3.088241128241673e-07,,,2.701,2.266713670446584,3.1082607745016224,0.7112224618007906,,,3.8179999999999996,3.3336717264267612,4.482492491657533,1.9513098029500555,,,3.026,2.6857761866508563,2.3181717451523545,1.1471016939079453e-13,,,4.5649999999999995,3.813904108474511,5.011912756370951,4.072854881098255,,,2.6726,2.1636610311158444,3.1687108033574587,1.137530110370419,,,2.8100000000000005,1.7968160586030317,3.5884421352831186,-1.160559505413642e-08,,,4.022,2.2388749016435914,3.8556065474424024,1.0988870466467737
1996-08-31,MONSOON,1.315,1.39,2.35,1.8833333333333333,1.51,1.315,3.1225,2.79,3.9139999999999997,1.5700000000000005,2.2825,1.51,2.22375,,2.1466000000000003,2.3224174995290943,1.104874222501721,2.7897777336249376,2.416875,,2.209,2.777853125384129,1.1401370523132206,1.9258454997456813,2.7699375,,2.7055599999999997,4.962258061204774,2.339598787071701,2.6189100372182677,3.1291666666666664,,2.8755333333333337,8.110354048612393,1.9116742760823913,5.345484633109562e-07,2.294375,,2.1906999999999996,1.2589757615266994,1.5383409427490584,5.874045021883298e-07,2.22375,,2.1466000000000003,2.2492342008835995,1.0535008533303323,1.1458442902373007,3.5222916666666664,,3.5397999999999996,3.1892821309101844,3.2189363967476785,2.7796624420517233,2.0825,,2.9316,2.496380613406127,2.8146001795566336,2.8745958549495066e-12,4.215375,,4.304599999999999,3.722359114873037,3.9423404220617924,4.593549697587729,2.3127500000000003,,2.2315600000000004,1.8207537429957632,1.3392992095116314,1.9578795279443586,2.6213750000000005,,2.599,1.8023493691660049,2.310838695275314,5.841967288622598e-09,2.6537499999999996,,3.0172000000000003,1.6430363434552213,1.2505644760253656,0.6108729221413993
1996-11-30,POMKH,1.98,2.43,2.5737500000000004,2.983333333333333,2.12,1.98,3.09,0.89,3.675,2.1450000000000005,2.33,2.12,2.1212500000000003,2.23,2.0799600000000003,2.323743805968665,1.9745432130150482,2.3696009523847943,2.5625,2.355,2.2974,2.779917438027435,2.184104175956295,1.4910265061156163,2.7699374999999997,2.7699375,2.652836,4.107891439788579,2.5244962039229124,2.039016120974998,3.129166666666667,3.129166666666667,2.9186533333333333,6.008302074311059,3.020022572929037,1.2785067075430663e-08,2.2943749999999996,2.2943749999999996,2.16242,1.2817852454406637,2.1566892395957047,1.875350071494301e-07,2.1212500000000003,2.23,2.0799600000000003,2.2482987101380965,1.9475217996813519,0.8989112664667573,3.5222916666666664,3.522291666666667,3.3598799999999995,3.0730369032307583,3.065661405030057,2.5503925631517386,1.8812499999999999,2.3725,2.11496,1.9187207463427067,0.9194002971269692,-2.062501240876092e-13,4.215375,4.215375,4.052759999999999,3.607398974842216,3.711664272933273,4.085754072253163,2.3127500000000003,2.3127500000000003,2.1969360000000004,1.7553032882736463,2.3064544943814695,2.1362742861752206,2.621375,2.6213750000000005,2.4914,1.8408723770940272,2.3666869493368434,2.3272369923721755e-08,2.4725,2.8674999999999997,2.6583200000000002,1.3389927222980926,1.922904385639659,1.127185087258669
1997-02-28,POMRB,2.205,3.0700000000000003,2.401,2.385,2.1275,2.205,3.3366666666666664,1.19,4.28,2.291,2.3040000000000003,2.72,1.9081250000000003,2.2175000000000002,2.129976,2.327278450161481,2.3722469589051247,2.2521204892536666,2.618125,2.47875,2.60644,2.7819832864156684,2.592681693952382,2.435517374028623,2.7699375,2.7699375,2.5521016000000003,3.2081093541715373,2.41448608884257,2.3604582048224287,3.129166666666667,3.129166666666667,2.705192,3.792634382392049,2.4294955201551423,2.3849994551837326,2.294375,2.2943749999999996,2.148452,1.3416944129013815,2.171995520155143,2.1274996212063875,1.9081250000000003,2.2175000000000002,2.129976,2.252879765764466,2.3616845401158617,2.07711031388127,3.5222916666666664,3.522291666666667,3.3505946666666664,3.095066421702567,3.3345905092085446,3.28121501369468,1.9699999999999998,1.7925,1.7449759999999999,1.5454990581597357,3.5348147931581027,3.4365873679650294,4.215375,4.215375,4.143656,3.6301231328364576,4.324528597421283,4.037288079083268,2.3127500000000003,2.3127500000000003,2.2345616,1.7857226534668202,2.291,2.1843212791087137,2.621375,2.6213750000000005,2.41644,1.886315598682598,2.34851135830107,2.2277812245156645,2.40125,2.44,2.6829920000000005,1.2445001451520052,2.3233075509613026,4.129367773041646
1997-05-31,PREMON,2.6,3.695,3.755,5.2650000000000015,3.4199999999999995,2.6,4.54,3.01,4.9925,3.245,3.5690000000000004,3.67,1.80125,2.0250000000000004,2.3179856,2.334700789834237,3.2874956861266433,2.999387036842684,2.583125,2.6462499999999998,3.041864,2.7840506716504296,3.6790517643063594,3.031648217533087,2.7699375,2.7699375,3.0332609600000002,3.5002175276275502,3.7911190316037287,3.461786276771739,3.129166666666667,3.1291666666666673,3.7291152000000007,4.678031236874446,5.316767742956177,5.2649991786749055,2.294375,2.2943749999999996,2.6570712,1.7750010911271674,3.4717677429561755,3.4199991541475216,1.80125,2.0250000000000004,2.3179856,2.2672631992774748,3.192380492060928,3.019133924831193,3.522291666666667,3.522291666666667,3.8263568,3.6334394177002522,4.4770552488935484,4.428759720032369,1.97,1.97,2.2509856,1.7100326699463204,1.8976228992152224,2.2518948565013015,4.215375,4.215375,4.4831936,3.7938993931557903,5.044235680974065,4.541942640942046,2.3127500000000003,2.3127500000000003,2.63873696,2.167972118265246,3.245,3.0788068624842473,2.6213750000000005,2.6213750000000005,2.8774640000000002,2.2765992559426764,3.6207631509415705,3.4509336755540043,2.3075,2.505,3.0777952,1.3639952005677298,3.8556065474547947,2.792863090447828
1997-08-31,MONSOON,0.38,1.165,2.35,1.8833333333333333,1.51,0.38,3.1225,2.79,3.9139999999999997,1.5700000000000005,2.2825,0.68,1.763125,1.7912500000000007,1.5427913599999998,2.3200417562493962,1.136318893476172,1.6067815731196329,2.52875,2.59,2.2911183999999998,2.7861195865322426,1.5793679280468986,1.7434490496053983,2.7699375,2.7699375,2.759956576,2.7635664149157053,2.345460624966045,2.3852125763514427,3.1291666666666664,3.1291666666666673,2.990802453333334,2.7411264926629273,1.94184720467445,1.8833329068576758,2.294375,2.2943749999999996,2.1982427199999997,1.6737091355564953,1.5685138713411173,1.5099995409267701,1.763125,1.7912500000000007,1.5427913599999998,2.2257325855072922,1.0775514083555868,1.0585062693238942,3.5222916666666664,3.5222916666666664,3.54481408,3.5140035298125056,3.2158615711689835,3.0992131117459456,1.93125,1.97,2.46659136,1.8365502517272323,2.5354121006324783,2.7316463694081006,4.215375,4.215375,4.255516159999999,3.7415079679727667,3.972514487991712,4.208199813305587,2.3127500000000003,2.3127500000000003,2.2112421760000003,1.9590404980573597,1.5700000000000005,1.5947408189549983,2.6213750000000005,2.6213750000000005,2.6394784000000002,2.306080079889405,2.341010876152441,2.2069924674486763,2.24125,2.2975,2.11867712,1.0394972664974067,1.250564476045847,1.6251834416146733
1997-11-30,POMKH,2.06,2.375,2.5737500000000004,2.983333333333333,2.12,2.06,3.09,0.89,3.675,2.1450000000000005,2.33,2.2,1.834375,1.8112500000000007,1.749674816,2.3220909669402845,2.0059385814988477,2.03286655607498,2.5103125000000004,2.57625,2.3246710399999997,2.7881900420860766,2.333173071769809,2.06046978110478,2.7699374999999997,2.7699375,2.6854739456,2.4615963222412387,2.5277818849954863,2.491670991980322,3.129166666666667,3.1291666666666673,2.9878148053333335,2.5117942921695398,3.0480762400506993,2.9833331624590795,2.2943749999999996,2.2943749999999996,2.166945632,1.752962147883212,2.184742906717367,2.1199998357959076,1.834375,1.8112500000000007,1.749674816,2.2262474246742787,1.8666735810929957,1.5441807398840992,3.5222916666666664,3.522291666666667,3.3628884479999996,3.3806902103694494,3.0639225545225988,3.050137712680783,1.9425,1.97,1.8359548159999999,1.5019032695365793,0.6553934818591469,0.8713854009939819,4.215375,4.215375,4.023309695999999,3.6567762095073837,3.7397190456836653,3.8879953211619824,2.3127500000000003,2.3127500000000003,2.1847453056000004,1.973900626895909,2.1450000000000005,2.1204907346861814,2.621375,2.6213750000000005,2.51568704,2.3409858211895838,2.394739861081757,2.252921117240335,2.20625,2.3175,2.151206272,1.0401352051444681,1.9229043856347268,1.9506500337724177
1998-02-28,POMRB,1.82,2.69,2.401,2.385,2.1275,1.82,3.3366666666666664,0.88,4.28,2.291,2.3040000000000003,2.11,1.9725,1.7150000000000007,1.7778048896,2.3217309198168703,2.4036448026589308,2.1816509836677263,2.543333333333333,2.4812499999999997,2.470802624,2.790262037090548,2.6526053286910463,2.7336715222293684,2.7699375,2.7699375,2.5716843673599996,2.227559275072274,2.4163277808690267,2.3900956438398664,3.129166666666667,3.1291666666666673,2.7466888832,2.110995915506924,2.4554638090961687,2.384999968385688,2.294375,2.2943749999999996,2.1511673792,1.8348184081820764,2.1979638090961697,2.1275002676072554,1.9725,1.7150000000000007,1.7778048896,2.220620474322836,2.261172454739885,2.135584891606581,3.5222916666666664,3.522291666666667,3.3523997354666664,3.3612150593889267,3.333607168524684,3.3048343891750775,1.8900000000000001,1.8925,1.4535728896,1.2345034834761002,1.4660048411246516,1.165110817059369,4.215375,4.215375,4.1259858176,3.7032784420716873,4.350497943128022,4.162079861590054,2.3127500000000003,2.3127500000000003,2.2272471833600003,2.046501916408069,2.291,2.2457894594610814,2.621375,2.6213750000000005,2.431012224,2.3613088685454513,2.374478878997916,2.2514367344504835,2.315,2.1649999999999996,2.1347237632,1.0548780822806636,2.3233075509588557,3.464514412750378
1998-05-31,PREMON,3.555,3.9275,3.755,5.2650000000000015,3.4199999999999995,3.555,4.54,3.41,4.9925,3.245,3.5690000000000004,4.0,2.0187500000000003,1.9537500000000008,2.48868293376,2.338572986999555,3.3188722843049394,2.796021723816201,2.550416666666666,2.5393749999999997,3.0534815744,2.7923355751286802,3.54679957949845,3.1430398312972967,2.7699375,2.7699375,3.045010620416,3.117735383489481,3.7921513379795684,3.689995239013786,3.129166666666667,3.1291666666666673,3.7540133299200007,4.603251108992927,5.340688529550297,5.264999912585386,2.294375,2.2943749999999996,2.6587004275199995,2.2811488095988666,3.4956885295502955,3.420000015478917,2.0187500000000003,1.9537500000000008,2.48868293376,2.2584895876412814,3.0005439989758838,2.6574136998372326,3.522291666666667,3.522291666666667,3.8274398412799995,3.847030799333203,4.476499158018353,4.479986914214779,1.8587500000000001,1.9925000000000002,2.23614373376,1.67082950027068,2.8612006400741374,2.9470450078560506,4.215375,4.215375,4.472591490559999,3.886455272671271,5.068157480446582,4.769564674237993,2.3127500000000003,2.3127500000000003,2.634348310016,2.4531171785774215,3.245,3.1750839366982984,2.6213750000000005,2.6213750000000005,2.8862073344,2.716479083247012,3.6446831576117127,3.4875771284655626,2.39125,2.2474999999999996,2.88083425792,1.4183760334694824,3.8556065474335703,3.0429238426982868
