Date,Season,Nahar,Khol,Bawal,Rewari,Jatusana,Nahar_Trend,Nahar_SMA,Nahar_EWMA,Nahar_DES,Nahar_TES,Nahar_ARIMA,Khol_Trend,Khol_SMA,Khol_EWMA,Khol_DES,Khol_TES,Khol_ARIMA,Bawal_Trend,Bawal_SMA,Bawal_EWMA,Bawal_DES,Bawal_TES,Bawal_ARIMA,Rewari_Trend,Rewari_SMA,Rewari_EWMA,Rewari_DES,Rewari_TES,Rewari_ARIMA,Jatusana_Trend,Jatusana_SMA,Jatusana_EWMA,Jatusana_DES,Jatusana_TES,Jatusana_ARIMA
1996-02-29,POMRB,10.483333333333333,20.966666666666672,16.52,11.26,12.616666666666667,,,10.483333333333333,9.741821170008281,10.493333333333332,0.0,,,20.966666666666672,20.8456177324033,20.616547316257236,0.0,,,16.52,16.36788749673623,14.602404834958277,0.0,,,11.26,11.270724717644654,11.100387549085077,0.0,,,12.616666666666667,11.650512042148096,11.835239403617125,0.0
1996-05-31,PREMON,7.9625,20.97,14.616666666666667,13.295,11.995,,,9.475,8.710363317445987,7.979951523545706,10.483314796165962,,,20.968000000000004,20.814311542446703,21.162679596994245,20.963755262987664,,,15.758666666666667,15.298299740173844,15.456918585620995,16.51997881022428,,,12.074,11.84071318042419,12.372949165493122,11.259738858678492,,,12.368,11.270794185657147,13.179048481342855,12.616631169450315
1996-08-31,MONSOON,10.06,20.41,12.125,10.25,11.4,9.913541666666667,,9.709,8.752120052519825,10.082560830564528,9.172146555484893,20.69125,,20.7448,20.66077299068328,20.239416541681575,20.966933997798805,13.361666666666666,,14.3052,13.445482427456794,14.585264610687197,15.219327303166315,11.09875,,11.3444,11.435486550853833,11.151310297918748,11.758150400250393,11.696250000000001,,11.9808,10.854085110392996,11.431469062050704,12.26799393537429
1996-11-30,POMKH,12.545000000000002,20.776666666666667,12.44,10.08,10.730000000000002,9.723437500000001,10.262708333333334,10.843399999999999,9.878095062593333,12.57059456799204,9.506492938136812,20.632604166666667,20.780833333333334,20.75754666666667,20.628035601865935,20.606648636883946,20.76920352969967,12.491458333333334,13.925416666666667,13.55912,12.787077436267857,13.607134517553543,13.503063976203105,10.661875,11.22125,10.83864,11.092957838052808,11.20536280738628,12.563159552570236,11.680625000000001,11.685416666666667,11.48048,10.365648086885438,12.040278921366385,11.872257425378253
1997-02-28,POMRB,7.69,20.25,12.01,10.28,12.703333333333333,9.685625,9.564375,9.58204,9.010267828154717,10.50703067716739,10.559229474176124,20.561979166666667,20.601666666666667,20.554528,20.481113361445644,21.327050932212934,20.836262224228523,12.046249999999999,12.79791666666667,12.939472,12.25534129225119,13.987862388161306,13.307676977455447,10.35125,10.97625,10.615184,10.896257104542443,11.163916722125059,10.51195558150546,11.547500000000001,11.707083333333333,11.969621333333333,10.881958366905646,11.037574263711218,11.55498766445437
1997-05-31,PREMON,9.235,21.2175,12.165,10.78,11.783333333333333,9.035208333333333,9.8825,9.443223999999999,8.895526712594615,7.272579596639469,9.097425289028404,20.214270833333334,20.663541666666667,20.819716800000002,20.592455756157506,21.382295294693765,20.732925684420238,11.8225,12.185000000000002,12.629683199999999,12.102628282492395,13.224120412723934,12.845014580851743,10.547500000000001,10.3475,10.6811104,10.887326166411409,12.39907284127497,11.240130479161406,11.480416666666667,11.654166666666667,11.895106133333332,11.03383886326919,12.785962365321444,11.8680213019371
1997-08-31,MONSOON,8.485,19.5975,11.015,10.28,10.546666666666667,8.708333333333332,9.48875,9.0599344,8.558548216041979,9.750378805838107,9.74917089554043,19.881875,20.460416666666667,20.330830080000002,20.302900758048164,20.648167631539295,20.614356611050898,11.822916666666666,11.907500000000002,11.983809919999999,11.401975960868223,12.2615438212631,12.7257935688787,10.908124999999998,10.355,10.52066624,10.745741489399776,9.931813453496078,10.254148241481747,11.341666666666667,11.440833333333334,11.355730346666665,10.70330305035316,11.121381774296934,11.678734520659843
1997-11-30,POMKH,8.916666666666666,18.8075,11.76,11.62,11.046666666666667,8.516874999999999,8.581666666666665,9.002627306666666,8.48894627491286,11.880713511271933,10.163353687485516,19.7734375,19.968125,19.721498048,19.898393617493397,20.831527336071215,20.568080602956677,12.046458333333334,11.737500000000002,11.894285951999999,11.498171876315467,11.787619098242583,11.966372237135642,11.260625,10.74,10.960399744,11.004033531214393,10.246776216174762,10.818481249703243,11.177499999999998,11.52,11.232104874666664,10.670176690876051,11.481658274034375,11.044104736522515
1998-02-28,POMRB,8.703333333333335,19.56,12.693333333333333,11.625,11.276666666666666,8.339375,8.834999999999999,8.882909717333334,8.397548774614284,8.09169071668939,8.67630254634106,19.6703125,19.795625,19.6568988288,19.762746324447754,20.58720485056765,20.21421459619033,12.430625000000001,11.908333333333337,12.213904904533333,12.056241320069256,12.64172585363918,12.145132145210908,11.638333333333334,11.07625,11.2262398464,11.194445279216547,10.943377292472174,10.501950200570063,11.225520833333333,11.163333333333332,11.249929591466664,10.78024917003325,10.879394813362056,11.620266205047724
1998-05-31,PREMON,6.69,21.040000000000006,13.27,12.255,11.896666666666668,8.688541666666667,8.198749999999999,8.0057458304,7.593247792704544,7.014998061155437,8.496083587677917,19.7884375,19.751250000000002,20.21013929728,20.001298385856582,21.11438790144192,20.320746328320578,12.542291666666667,12.184583333333338,12.636342942719999,12.625719763580054,12.721068725039292,12.55774588307805,11.758541666666666,11.445,11.637743907840001,11.50398029180566,12.362866943713914,11.75228760879579,11.262291666666666,11.191666666666666,11.508624421546665,11.16342971965037,12.047453997685226,11.170951859718036
