Date,Season,Mundwa,Riyan,Nagaur,Makrana,Didwana,Ladnu,Jayal,Kuchaman City,Parbatsar,Degana,Merta,Mundwa_Trend,Mundwa_SMA,Mundwa_EWMA,Mundwa_DES,Mundwa_TES,Mundwa_ARIMA,Riyan_Trend,Riyan_SMA,Riyan_EWMA,Riyan_DES,Riyan_TES,Riyan_ARIMA,Nagaur_Trend,Nagaur_SMA,Nagaur_EWMA,Nagaur_DES,Nagaur_TES,Nagaur_ARIMA,Makrana_Trend,Makrana_SMA,Makrana_EWMA,Makrana_DES,Makrana_TES,Makrana_ARIMA,Didwana_Trend,Didwana_SMA,Didwana_EWMA,Didwana_DES,Didwana_TES,Didwana_ARIMA,Ladnu_Trend,Ladnu_SMA,Ladnu_EWMA,Ladnu_DES,Ladnu_TES,Ladnu_ARIMA,Jayal_Trend,Jayal_SMA,Jayal_EWMA,Jayal_DES,Jayal_TES,Jayal_ARIMA,Kuchaman City_Trend,Kuchaman City_SMA,Kuchaman City_EWMA,Kuchaman City_DES,Kuchaman City_TES,Kuchaman City_ARIMA,Parbatsar_Trend,Parbatsar_SMA,Parbatsar_EWMA,Parbatsar_DES,Parbatsar_TES,Parbatsar_ARIMA,Degana_Trend,Degana_SMA,Degana_EWMA,Degana_DES,Degana_TES,Degana_ARIMA,Merta_Trend,Merta_SMA,Merta_EWMA,Merta_DES,Merta_TES,Merta_ARIMA
2012-08-31,MONSOON,55.06145833333333,40.773125,43.77658333333334,37.3,24.19904067460317,27.86416666666667,40.1,25.65,22.646666666666665,34.39604166666667,41.76479166666667,54.62317708333333,54.507239583333316,54.40974030865467,54.81295918796553,53.98835398834262,53.95551503848935,42.40578125,38.70828125000001,40.81881642103108,41.14066436063998,40.39367298282977,41.02118652101178,44.15772916666666,41.5376875,42.976359496512195,43.20330120924826,43.60575476997289,41.54609816348256,37.300000000000004,37.29999999999998,37.12590408765445,36.72360477997579,35.52294771264739,37.62695057176247,24.565533978174603,24.19372842261905,24.484587949063823,24.584414798636644,24.93562891568088,25.364340187550003,27.859791666666666,28.588541666666668,28.302069343127016,28.456318648238987,27.93614538325754,29.203117298532312,46.044374999999995,43.15874999999999,41.90760908899151,41.13755344370088,41.83317875045585,40.43314022442517,23.721874999999997,24.76374999999999,24.578554183250212,24.40475767617631,23.26798723784171,22.975611330080586,23.954375,22.979374999999997,23.700620672474543,24.784715999590233,29.092821582903113,27.525195474242615,31.37717708333333,31.63934375,32.565257743912966,32.89067284305355,31.176436899535286,31.582221200136,28.91057291666667,37.4393229166667,37.28564314943216,34.458990738436256,37.694050841736654,36.85689068426368
2012-11-30,POMKH,54.56,39.37,49.675,37.3,22.17444444444445,27.49,51.63,21.14,22.4125,28.74333333333333,22.2,54.74817708333333,54.56098958333332,54.4698441851928,54.71853864513281,55.09899258395006,54.9765759709922,44.22328125,40.63953125000001,40.23928985261865,40.35518303705772,41.154228283823485,40.88638958579028,45.594770833333335,43.22331249999999,45.655815697907315,44.61977585830993,44.15370623705181,44.117360588332986,37.300000000000004,37.29999999999998,37.19554245259267,36.88561805403388,35.300898827334535,37.49869917675647,24.253924851190476,24.80733953373016,23.560530547216075,23.24738928813488,23.79135759765594,23.768360639865957,27.922916666666666,27.828541666666666,27.97724160587621,28.10638208188193,28.296573289387926,28.515640262076197,48.113125,44.95499999999999,45.796565453394905,46.294210803853204,43.0047071780987,41.863750602295354,23.615625,24.75124999999999,23.20313250995013,23.039030570178383,23.521855343954343,24.8641847977326,23.378125,24.429374999999993,23.185372403484727,24.479900166263782,21.32285289726518,22.841627365546028,31.982010416666668,31.329177083333327,31.036487979681112,31.92107602718225,32.179564753187584,32.51150920935326,28.289635416666666,29.783072916666693,31.251385889659296,31.751330044497973,39.83753390467676,37.86575700091376
2013-02-28,POMRB,54.58,52.2,45.152,37.3,23.62,27.545,52.01,21.44,25.675,31.898000000000003,19.49,54.807994791666665,54.68536458333332,54.51390651111568,54.69072449767134,54.78701306534845,54.67613819709376,44.782265625,44.17203125000002,45.02357391157119,46.76873861856261,41.06707405096013,40.06238162223103,45.961364583333335,45.09214583333332,45.45428941874439,44.68142038276672,43.627217502145584,46.48530703562552,37.300000000000004,37.29999999999998,37.2373254715556,37.00158970215408,38.60303170442368,37.4909789675461,24.38349119543651,24.32372842261905,23.584318328329644,23.36101981934394,24.302051584731633,24.66244353911031,28.086145833333333,27.89104166666667,27.804344963525725,27.941191826622195,28.635835075117427,27.444805228456776,49.535624999999996,47.13374999999999,48.281939272036944,48.883518765325014,45.90733735329417,47.36609883412724,25.07125,22.692499999999992,22.497879505970076,22.33875695800057,24.67003306060731,23.674188508991683,23.23270833333333,23.47937499999999,24.18122344209084,24.731707276445093,22.320167044651892,22.969511277601132,32.46538020833333,31.425177083333327,31.38109278780867,32.00963351719207,31.332628215711846,31.267037253925153,26.942057291666668,28.038072916666692,26.546831533795576,28.827497909298952,33.102921180136434,34.64550976697123
2013-05-31,PREMON,55.0425,44.755,45.786,37.3,26.743000000000002,28.92,52.63,29.925,22.37333333333333,35.117999999999995,30.71,54.90625,54.81098958333332,54.72534390666941,54.9486961976714,54.797597244741866,54.66258520171213,46.005833333333335,44.27453125000002,44.916144346942716,45.87535534617683,47.846118596689266,46.65797835782345,44.45827976190476,46.09739583333332,45.58697365124664,44.87335803759143,45.26911324913825,45.334253460016384,37.300000000000004,37.29999999999998,37.26239528293336,37.08460403073862,38.348201133671,37.45765479797906,25.00152430555556,24.18412127976191,24.847790996997787,25.038171442658935,24.432680887020414,24.92954672392555,27.955625,27.954791666666672,28.250606978115435,28.482528516831028,28.309439929848093,27.823207704841018,50.103750000000005,49.09249999999999,50.02116356322217,50.41010272890547,52.737944870863956,50.36960812084346,26.71125,24.538749999999993,25.468727703582047,25.28865234940837,22.720946565850134,22.417909515918616,23.115104166666665,23.27687499999999,23.458067398587836,24.42891353999115,28.714400324707547,23.28617525401053,33.27375,32.53884374999999,32.8758556726852,32.90406060512584,33.233622984921915,31.47541803769033,35.38916666666667,28.541197916666693,28.212098920277345,28.205174475311406,26.21609755246869,31.530148766335806
2013-08-31,MONSOON,55.0375,44.835,42.68833333333333,37.3,25.794,28.915,43.645,29.910000000000004,22.29333333333333,33.80833333333334,28.97166666666667,55.07,54.804999999999986,54.85020634400164,55.05362665700423,54.59300246577479,54.940266790271124,45.92958333333333,45.29000000000002,44.88368660816563,45.49356262356028,45.003534047338704,45.62389758067923,42.666511904761904,45.82533333333332,44.42751752408131,44.315708423762864,45.52224812935644,44.925024288742705,37.300000000000004,37.29999999999998,37.27743716976001,37.14402699197135,36.83120343856943,37.436187375956635,25.60338194444445,24.582861111111118,25.22627459819867,25.344789857432765,24.4516999637139,25.349457581467338,27.66875,28.2175,28.51636418686926,28.774835015274117,27.727410697451717,28.19643262915645,49.684062499999996,49.97874999999999,47.4706981379333,46.37731852981931,48.964405228100304,46.72398681481413,29.833750000000002,25.60374999999999,27.24523662214923,27.052611892569622,24.957131216477965,25.405754557153738,22.56666666666667,23.188541666666655,22.992173772486034,24.160129095076844,26.671666985333122,26.038851585414257,34.569374999999994,32.39191666666666,33.24884673694445,33.23410142396411,32.31096927839702,32.67841154080427,47.59104166666667,25.342916666666696,28.515926018833074,27.450462343555397,31.478781686010247,31.361559288274822
2013-11-30,POMKH,55.37000000000001,45.09666666666666,38.738571428571426,37.3,25.52375,25.395,52.63,30.0,21.82500000000001,35.79799999999999,102.57,55.0684375,55.00749999999999,55.058123806400985,55.291312937322765,55.334553171465075,54.91288366430242,45.33020833333334,46.721666666666685,44.96887863156604,45.45072601028876,45.479217541559116,45.195209666304294,41.997297619047615,43.09122619047618,42.15193908587736,42.9861225716794,45.32560095564615,43.56821152698002,37.300000000000004,37.29999999999998,37.286462301856005,37.18656288164094,36.43125308235545,37.41600229973532,25.633388888888888,25.420187500000004,25.3452647589192,25.350565454738675,24.69461458959297,24.73191694583443,27.281875,27.693750000000005,27.267818512121558,27.317949589040488,28.580735898795595,28.374048374809703,49.139375,50.22874999999999,49.53441888275998,49.24909582946355,49.85242805805245,47.55555584195628,31.387187500000003,27.81874999999999,28.347141973289535,28.146721659911318,26.303689734500324,27.387876547063573,22.14229166666667,23.041666666666657,22.525304263491623,23.85944856293579,21.032941284465544,20.164421665577542,34.79997916666666,34.155583333333325,34.268508042166665,33.99208123854072,32.73464852195942,33.05157777000765,49.726416666666665,45.4354166666667,58.137555611299845,40.69160836718978,32.418831441193014,30.870293842008522
2014-02-28,POMRB,55.08,45.86333333333334,41.754285714285714,37.3,25.08555555555556,27.345,47.6525,37.56,21.875,35.208333333333336,36.735,55.74760416666667,55.13249999999999,55.06687428384059,55.22163155526863,55.3598570341654,55.16906732126313,44.23104166666666,45.13750000000002,45.326660512272966,45.83591959915342,46.12072850997845,45.14166127925697,40.624005952380955,42.2417976190476,41.992877737240704,42.64811768488181,41.7985760731746,43.12030527437088,37.300000000000004,37.29999999999998,37.2918773811136,37.21701074005205,37.73769772480837,37.399234790231255,25.465395833333332,25.786576388888893,25.24138107757374,25.125598375380886,26.837490653315392,25.475008500304444,26.35625,27.64375,27.298691107272937,27.420301407899526,27.768554384810532,26.803555303962618,50.2625,49.139374999999994,48.781651329655986,47.95360897222495,49.08980403382226,50.339087979700885,30.925625,31.848749999999995,32.03228518397372,31.80584530670687,30.03526894398771,31.243500621993533,22.28125,22.091666666666658,22.265182558094974,23.61276668228995,22.52220629444141,25.96164342935615,34.6791875,34.98316666666666,34.644438158633335,34.40560392393693,34.074499372241704,33.958606941533425,49.57814583333333,49.7466666666667,49.576533366779906,41.37576788829703,37.89663303599349,45.60885900782188
2014-05-31,PREMON,54.53,46.29666666666666,43.83,37.3,25.5175,26.025,52.63,26.2325,22.77833333333333,33.6525,30.548000000000002,57.1925,55.00437499999999,54.852124570304355,54.871896565093074,55.32767071492841,55.160222543057955,41.95458333333333,45.52291666666668,45.714662974030446,46.247991602725364,46.97848861262635,45.533818759900164,39.69539285714286,41.7527976190476,42.72772664234442,42.86037939928327,43.05164343228459,42.475218679846506,37.300000000000004,37.29999999999998,37.29512642866816,37.238805795686815,37.81231029956118,37.384778860132876,25.493871527777777,25.480201388888894,25.351828646544245,25.242789986063283,26.25421561216308,26.000536610902653,25.75,26.919999999999998,26.78921466436376,26.870016697375444,27.978914653623214,27.738178859022735,51.385625,49.139374999999994,50.3209907977936,49.97931844026305,50.70645388559474,48.58383391969463,30.371875000000003,30.925625,29.712371110384233,29.50226156336758,32.65727765446018,31.461685189206825,22.516458333333333,22.192916666666655,22.470442868190318,23.54513195761205,25.82645015809888,22.449780012019197,34.54058333333333,34.616791666666664,34.24766289518,34.31370631706777,36.16675347925249,34.37133965298957,40.1473125,49.7061666666667,41.96512002006794,40.69501070666063,33.46842814410168,43.78475182151306
2014-08-31,MONSOON,60.98333333333333,34.5,33.658,37.3,25.675555555555555,24.405,52.63,29.910000000000004,23.0,34.307500000000005,27.9475,57.81166666666666,56.49083333333332,57.304608075515944,58.487451628063354,54.51092659934875,54.767437345347304,40.75083333333333,42.93916666666668,41.22879778441827,40.203753026136475,45.38838242796059,45.948351249473085,40.37941071428571,39.49521428571427,39.099835985406656,40.70695201654319,43.369572555122076,43.32438372650689,37.300000000000004,37.29999999999998,37.297075857200895,37.2544070390882,37.21587469427587,37.3724581538066,24.90556547619048,25.45059027777778,25.48131941014877,25.380814486390626,24.240030794561434,25.314660927483096,25.445,25.792499999999997,25.835528798618256,25.82683534035166,26.272234185290515,26.627860869118308,51.9690625,51.38562499999999,51.24459447867616,50.91773614342095,47.2017952152263,46.949740868741976,28.810625,30.925625000000004,29.79142266623054,29.580748820793247,29.100802999270012,30.051968844949823,22.733645833333334,22.369583333333324,22.68226572091419,23.522524064163225,24.566169398638607,22.265551056280522,35.05166666666667,34.74158333333333,34.271597737108,34.41368654181019,33.76417870164535,34.13393677742632,28.531375,49.45012500000003,36.358072012040765,39.375892926530064,38.493765313032355,41.063809996797865
2014-11-30,POMKH,60.98333333333333,37.22,40.34,37.3,25.87,25.055,52.63,25.57,23.0,34.19,28.1475,57.43854166666666,57.89416666666665,58.7760981786429,59.99893411769135,58.79177762616563,58.48456267515358,40.39583333333333,40.97000000000001,39.625278670650964,38.773165918357925,40.29132826641552,39.7273031180505,41.242625000000004,39.895571428571415,39.595901591244,40.56900095820851,41.468588602283674,41.11338176566445,37.300000000000004,37.29999999999998,37.298245514320534,37.26557465433764,36.940043412739094,37.361920278810395,23.703576388888887,25.537152777777784,25.636791646089264,25.547684335308723,24.5451517588604,25.502061746751057,25.111875,25.7075,25.523317279170953,25.557525668879336,25.118630844260444,24.926627194997987,52.5525,51.38562499999999,51.798756687205696,51.35246175412417,55.397202398092894,54.641650124908715,28.2646875,29.818125000000002,28.102853599738324,27.904088390756982,28.686177542174605,28.433125211400046,22.753333333333334,22.66333333333332,22.809359432548515,23.503388822992314,20.5345677457883,22.1870294272773,36.7128125,34.33958333333334,34.2389586422648,34.458012898293376,33.866869860812194,34.19125749973157,24.578500000000002,30.844500000000032,33.073843207224456,38.00523430813395,39.02119129274237,38.36762614917036
