Date,Season,Viayawada (rural),Kankipadu,Challapalli,Nandigama,Reddigudem,G.konduru,Unguturu_kri,Veerulapadu,Kaikaluru,Penamaluru,Penuganchiprolu,Mudinepalle,Nagayalanka,Koduru_kri,Vissannapeta,Avanigadda,Chendralupadu,Nuzvid,Bapulapadu,Pamidimukkala,Gudlavalleru,A.konduru,Nandiwada,Kanchikacherla,Musunuru,Pedaparupudi,Kalidindi,Guduru_kri,Machilipatnam,Vuyyuru,Thotlavalluru,Tiruvuru,Agiripalle,Viayawada (urban),Mandavalli,Gampalagudem,Pamarru,Mylavaram_kri,Vatsavai,Ibrahimpatnam_kri,Bantumilli,Jaggayyapeta,Pedana,Chatrai,Gannavaram,Movva,Gudivada,Viayawada (rural)_Trend,Viayawada (rural)_SMA,Viayawada (rural)_EWMA,Viayawada (rural)_DES,Viayawada (rural)_TES,Viayawada (rural)_ARIMA,Kankipadu_Trend,Kankipadu_SMA,Kankipadu_EWMA,Kankipadu_DES,Kankipadu_TES,Kankipadu_ARIMA,Challapalli_Trend,Challapalli_SMA,Challapalli_EWMA,Challapalli_DES,Challapalli_TES,Challapalli_ARIMA,Nandigama_Trend,Nandigama_SMA,Nandigama_EWMA,Nandigama_DES,Nandigama_TES,Nandigama_ARIMA,Reddigudem_Trend,Reddigudem_SMA,Reddigudem_EWMA,Reddigudem_DES,Reddigudem_TES,Reddigudem_ARIMA,G.konduru_Trend,G.konduru_SMA,G.konduru_EWMA,G.konduru_DES,G.konduru_TES,G.konduru_ARIMA,Unguturu_kri_Trend,Unguturu_kri_SMA,Unguturu_kri_EWMA,Unguturu_kri_DES,Unguturu_kri_TES,Unguturu_kri_ARIMA,Veerulapadu_Trend,Veerulapadu_SMA,Veerulapadu_EWMA,Veerulapadu_DES,Veerulapadu_TES,Veerulapadu_ARIMA,Kaikaluru_Trend,Kaikaluru_SMA,Kaikaluru_EWMA,Kaikaluru_DES,Kaikaluru_TES,Kaikaluru_ARIMA,Penamaluru_Trend,Penamaluru_SMA,Penamaluru_EWMA,Penamaluru_DES,Penamaluru_TES,Penamaluru_ARIMA,Penuganchiprolu_Trend,Penuganchiprolu_SMA,Penuganchiprolu_EWMA,Penuganchiprolu_DES,Penuganchiprolu_TES,Penuganchiprolu_ARIMA,Mudinepalle_Trend,Mudinepalle_SMA,Mudinepalle_EWMA,Mudinepalle_DES,Mudinepalle_TES,Mudinepalle_ARIMA,Nagayalanka_Trend,Nagayalanka_SMA,Nagayalanka_EWMA,Nagayalanka_DES,Nagayalanka_TES,Nagayalanka_ARIMA,Koduru_kri_Trend,Koduru_kri_SMA,Koduru_kri_EWMA,Koduru_kri_DES,Koduru_kri_TES,Koduru_kri_ARIMA,Vissannapeta_Trend,Vissannapeta_SMA,Vissannapeta_EWMA,Vissannapeta_DES,Vissannapeta_TES,Vissannapeta_ARIMA,Avanigadda_Trend,Avanigadda_SMA,Avanigadda_EWMA,Avanigadda_DES,Avanigadda_TES,Avanigadda_ARIMA,Chendralupadu_Trend,Chendralupadu_SMA,Chendralupadu_EWMA,Chendralupadu_DES,Chendralupadu_TES,Chendralupadu_ARIMA,Nuzvid_Trend,Nuzvid_SMA,Nuzvid_EWMA,Nuzvid_DES,Nuzvid_TES,Nuzvid_ARIMA,Bapulapadu_Trend,Bapulapadu_SMA,Bapulapadu_EWMA,Bapulapadu_DES,Bapulapadu_TES,Bapulapadu_ARIMA,Pamidimukkala_Trend,Pamidimukkala_SMA,Pamidimukkala_EWMA,Pamidimukkala_DES,Pamidimukkala_TES,Pamidimukkala_ARIMA,Gudlavalleru_Trend,Gudlavalleru_SMA,Gudlavalleru_EWMA,Gudlavalleru_DES,Gudlavalleru_TES,Gudlavalleru_ARIMA,A.konduru_Trend,A.konduru_SMA,A.konduru_EWMA,A.konduru_DES,A.konduru_TES,A.konduru_ARIMA,Nandiwada_Trend,Nandiwada_SMA,Nandiwada_EWMA,Nandiwada_DES,Nandiwada_TES,Nandiwada_ARIMA,Kanchikacherla_Trend,Kanchikacherla_SMA,Kanchikacherla_EWMA,Kanchikacherla_DES,Kanchikacherla_TES,Kanchikacherla_ARIMA,Musunuru_Trend,Musunuru_SMA,Musunuru_EWMA,Musunuru_DES,Musunuru_TES,Musunuru_ARIMA,Pedaparupudi_Trend,Pedaparupudi_SMA,Pedaparupudi_EWMA,Pedaparupudi_DES,Pedaparupudi_TES,Pedaparupudi_ARIMA,Kalidindi_Trend,Kalidindi_SMA,Kalidindi_EWMA,Kalidindi_DES,Kalidindi_TES,Kalidindi_ARIMA,Guduru_kri_Trend,Guduru_kri_SMA,Guduru_kri_EWMA,Guduru_kri_DES,Guduru_kri_TES,Guduru_kri_ARIMA,Machilipatnam_Trend,Machilipatnam_SMA,Machilipatnam_EWMA,Machilipatnam_DES,Machilipatnam_TES,Machilipatnam_ARIMA,Vuyyuru_Trend,Vuyyuru_SMA,Vuyyuru_EWMA,Vuyyuru_DES,Vuyyuru_TES,Vuyyuru_ARIMA,Thotlavalluru_Trend,Thotlavalluru_SMA,Thotlavalluru_EWMA,Thotlavalluru_DES,Thotlavalluru_TES,Thotlavalluru_ARIMA,Tiruvuru_Trend,Tiruvuru_SMA,Tiruvuru_EWMA,Tiruvuru_DES,Tiruvuru_TES,Tiruvuru_ARIMA,Agiripalle_Trend,Agiripalle_SMA,Agiripalle_EWMA,Agiripalle_DES,Agiripalle_TES,Agiripalle_ARIMA,Viayawada (urban)_Trend,Viayawada (urban)_SMA,Viayawada (urban)_EWMA,Viayawada (urban)_DES,Viayawada (urban)_TES,Viayawada (urban)_ARIMA,Mandavalli_Trend,Mandavalli_SMA,Mandavalli_EWMA,Mandavalli_TES,Mandavalli_ARIMA,Gampalagudem_Trend,Gampalagudem_SMA,Gampalagudem_EWMA,Gampalagudem_DES,Gampalagudem_TES,Gampalagudem_ARIMA,Pamarru_Trend,Pamarru_SMA,Pamarru_EWMA,Pamarru_DES,Pamarru_TES,Pamarru_ARIMA,Mylavaram_kri_Trend,Mylavaram_kri_SMA,Mylavaram_kri_EWMA,Mylavaram_kri_DES,Mylavaram_kri_TES,Mylavaram_kri_ARIMA,Vatsavai_Trend,Vatsavai_SMA,Vatsavai_EWMA,Vatsavai_DES,Vatsavai_TES,Vatsavai_ARIMA,Ibrahimpatnam_kri_Trend,Ibrahimpatnam_kri_SMA,Ibrahimpatnam_kri_EWMA,Ibrahimpatnam_kri_TES,Ibrahimpatnam_kri_ARIMA,Bantumilli_Trend,Bantumilli_SMA,Bantumilli_EWMA,Bantumilli_DES,Bantumilli_TES,Bantumilli_ARIMA,Jaggayyapeta_Trend,Jaggayyapeta_SMA,Jaggayyapeta_EWMA,Jaggayyapeta_DES,Jaggayyapeta_TES,Jaggayyapeta_ARIMA,Pedana_Trend,Pedana_SMA,Pedana_EWMA,Pedana_DES,Pedana_TES,Pedana_ARIMA,Chatrai_Trend,Chatrai_SMA,Chatrai_EWMA,Chatrai_DES,Chatrai_TES,Chatrai_ARIMA,Gannavaram_Trend,Gannavaram_SMA,Gannavaram_EWMA,Gannavaram_DES,Gannavaram_TES,Gannavaram_ARIMA,Movva_Trend,Movva_SMA,Movva_EWMA,Movva_DES,Movva_TES,Movva_ARIMA,Gudivada_Trend,Gudivada_SMA,Gudivada_EWMA,Gudivada_TES,Gudivada_ARIMA
1996-02-29,POMRB,2.95,4.08,0.63,2.585,6.143666666666666,4.1850000000000005,2.136,4.4319999999999995,0.934,5.552000000000001,4.129999999999999,1.35,2.188,1.248,4.29,1.2,3.78,2.88,6.7650000000000015,1.29,3.5239999999999996,5.373333333333334,2.9520000000000004,2.48,34.736250000000005,0.972,1.5619999999999998,1.228,1.53,4.602499999999999,0.6,2.6,21.19,9.088333333333333,1.75,2.783333333333333,1.25,3.93,3.17,3.44,1.8961111111111106,8.76,1.9866666666666668,8.852,3.43,2.28,0.92,,,2.95,3.5861835774382564,2.940172559808291,0.0,,,4.08,2.951997074715308,3.9658514454734086,0.0,,,0.63,1.0404779130843633,0.6550592174574701,0.0,,,2.585,3.4700096872963337,3.1364267802846073,0.0,,,6.143666666666666,5.65000862850782,6.0850524101508645,0.0,,,4.1850000000000005,3.984743199605613,4.211377110411903,0.0,,,2.136,1.1947531935031201,2.146,0.0,,,4.4319999999999995,8.251848998627855,4.420119467327077,0.0,,,0.934,1.4800261916929973,0.9439957632665098,0.0,,,5.552000000000001,5.451422327543549,5.545941912291642,0.0,,,4.129999999999999,6.776985457638256,4.139999828939859,0.0,,,1.35,2.1820904569827158,1.104937415897379,0.0,,,2.188,1.824129874965808,2.197999716815995,0.0,,,1.248,1.177183982278861,1.258,0.0,,,4.29,11.06141962077898,5.262776498185104,0.0,,,1.2,2.013300638820681,1.7747544977825678,0.0,,,3.78,2.7979577492772267,3.825222795922749,0.0,,,2.88,3.5727719835183906,4.531062731559501,0.0,,,6.7650000000000015,9.890382750803775,6.775000000000002,0.0,,,1.29,2.1111867878628647,1.4164364572249792,0.0,,,3.5239999999999996,3.0301710813621328,3.5339999999999994,0.0,,,5.373333333333334,5.770491591565316,5.430929037627682,0.0,,,2.9520000000000004,2.8653334205178904,2.930600228967111,0.0,,,2.48,2.237489615678789,2.838924337021841,0.0,,,34.736250000000005,34.30370450040678,34.74924985552014,0.0,,,0.972,0.8371458521110027,0.982,0.0,,,1.5619999999999998,2.3356528052995036,1.5719999999999998,0.0,,,1.228,2.189069750572609,1.238,0.0,,,1.53,1.5644465499020135,1.4655189647295757,0.0,,,4.602499999999999,4.519875731139085,4.611332882068438,0.0,,,0.6,3.6568784322301613,0.6128124999999999,0.0,,,2.6,3.6235925994506566,2.5528347911552753,0.0,,,21.19,13.340491412646058,21.33521769013242,0.0,,,9.088333333333333,9.533459953785046,9.067174347422629,0.0,,,1.75,1.4594731766603286,0.0,,,2.783333333333333,2.262994759157119,3.1079000889146036,0.0,,,1.25,1.4512953975603968,1.2642613590171916,0.0,,,3.93,3.629426617068483,4.194774348061058,0.0,,,3.17,3.011352998393062,3.2451455621247614,0.0,,,3.44,3.0962055170411364,0.0,,,1.8961111111111106,1.5870116486401695,1.8932563914755032,0.0,,,8.76,8.349917675738972,8.070565535858572,0.0,,,1.9866666666666668,1.493141564999542,1.729363119571567,0.0,,,8.852,11.428570067235139,8.862,0.0,,,3.43,3.7000250657487648,3.314617456504249,0.0,,,2.28,1.638057493744421,2.269918988550747,0.0,,,0.92,1.095052720767482,0.0
1996-05-31,PREMON,5.283333333333334,5.93,1.58,4.905,7.710416666666666,5.2425,5.056,6.599000000000001,1.28,6.31375,5.685714285714285,1.79,3.0066666666666664,2.1425,11.29,3.31,5.095,6.335,12.92,2.1,4.647333333333334,8.13,2.568,3.5,34.219166666666666,1.085,2.06,1.8175,1.98,6.131111111111112,2.45,5.0,16.18,10.337222222222222,2.01,3.4233333333333333,1.66,5.79,3.615714285714286,5.4,2.5783333333333336,8.8,2.4466666666666668,10.235,5.45,3.5790000000000006,1.96,,,3.8833333333333337,3.642157026221793,5.324746262874406,2.0667378314443607,,,4.82,3.3174320244964943,6.032167788851409,3.6558233265283107e-07,,,1.0100000000000002,1.0441207849486736,1.6598678344758748,0.4209456820455179,,,3.513,3.6894040071028287,4.8764655331948505,1.093180628313918,,,6.770366666666666,6.290460753208855,7.833899997564728,3.08371985795357e-06,,,4.6080000000000005,4.241308430201605,5.2585221399860895,1.874752619804733,,,3.3040000000000003,0.25966208281913966,5.075445983379502,1.6437089103357613e-07,,,5.2988,10.577024983139482,6.586648269827757,1.2856192188175762e-06,,,1.0724,1.7775736044220918,1.298162792652569,1.1341269478824734e-09,,,5.856700000000001,5.626189983826344,6.25906805173541,2.548334288521236,,,4.752285714285714,8.265647790547456,5.705159569061202,4.967966054805483e-07,,,1.5260000000000002,2.675839219545988,2.162022923608097,1.3499991789407322,,,2.5154666666666667,1.9964130183143116,3.026112220221241,-4.187750392918827e-08,,,1.6058000000000001,0.864107346768776,2.1619459833795016,5.381779609032815e-23,,,7.09,22.518421307399322,8.267463931752998,2.883920364883178,,,2.044,1.83044816123247,2.981765292935439,1.1999990469052948,,,4.305999999999999,2.9496937785109467,5.158933987532939,7.550878827525331e-07,,,4.2620000000000005,4.658830974411203,3.9292915638436785,2.503228433089397,,,9.227,10.845143026306133,12.937783933518007,6.764884744659359,,,1.614,2.9001820499831883,2.680496630339417,0.4409087022559623,,,3.9733333333333336,3.336009975065923,4.6667793167128355,-1.1357490602990078e-07,,,6.476000000000001,6.220521607193514,7.879620254537857,4.490982391044428,,,2.7984,2.771919657477577,2.5366117746312256,2.9519995205123526,,,2.888,2.5875804962646067,2.857042413439205,2.479995077593473,,,34.52941666666667,33.85026362297361,33.50996895541345,34.73624999999846,,,1.0171999999999999,0.8683355410996384,1.1044459833795015,0.10316585668453948,,,1.7611999999999999,2.7431633854958646,2.0794459833795016,-1.1326038635901407e-22,,,1.4638,2.7500656036675775,1.8356717451523543,1.113016782022901,,,1.71,1.569481680035034,2.226954513073945,0.9611304965869969,,,5.2139444444444445,4.764787145222965,6.113202297844882,4.602487309125285,,,1.34,7.17226529521997,2.474915166204986,0.0,,,3.56,3.785682527856873,5.146108761753753,1.955025893258123,,,19.186,10.89066147525522,15.23235567768198,6.797902133108985,,,9.587888888888887,9.686275591466027,10.34286661308346,2.336164337152651e-12,,,1.854,1.9244268107827698,1.5539726966188936,,,3.0393333333333334,2.393037283271593,4.200465573833647,2.7833312777937818,,,1.4140000000000001,1.7431542938369737,1.6025859950743042,3.5976828006153965e-07,,,4.674,3.7973676879250364,5.5596282805672645,3.028004087057778,,,3.3482857142857148,3.0819673669689247,3.6848281477370985,3.169998808821848,,,4.224,5.183609527209171,3.439996005837624,,,2.1689999999999996,1.7276696603950747,2.586342470884491,2.6183636282836204e-08,,,8.776,8.453072376843087,9.852769839966038,8.7599800323296,,,2.1706666666666665,1.6510231684062129,2.4306312186107877,0.8594791772243453,,,9.4052,12.786725658702691,10.244474736842106,1.5013672321453115e-05,,,4.2379999999999995,5.2291219734261425,5.460662834804564,3.4299880729014216,,,2.7996000000000003,1.1889436789630348,3.600468980912069,1.4354173901198574e-07,,,1.336,1.7833304176391265,0.9199994617308659
1996-08-31,MONSOON,2.39,2.04,0.49,3.135,6.085,3.261000000000001,0.2325,3.535,0.7649999999999999,5.338125000000002,3.231428571428572,0.69,1.8266666666666669,0.8825000000000001,2.35,0.49,2.2575000000000003,3.355,22.92461538461539,0.485,2.8475,4.413333333333333,2.26,1.58,28.552142857142854,0.6575,1.3925,0.9875,1.37,3.345625,0.415,1.25,15.13,10.4975,0.7,2.21,0.63,3.9,2.072857142857143,0.57,1.7341666666666666,6.67,1.5133333333333334,1.275,1.92,2.43375,0.7,3.196666666666667,,3.286,3.5900442708038516,2.359612845539921,3.3549551054162983,3.5437499999999997,,3.708,2.644033103767604,2.310185688513651,7.72959547589731e-07,0.8162499999999999,,0.802,1.0477763922488021,0.38330015749460555,0.9737088839812691,3.34,,3.3617999999999997,3.6151469940940006,2.148597518974481,1.9630686720528534,6.2249375,,6.496219999999999,6.201838619020952,6.145941205338769,5.1448351013003964e-06,3.9014431818181823,,4.0692,4.05182831204924,2.8490744572635434,1.887406980391742,1.9267500000000002,,2.0754,0.04636779218955193,0.2608409427490579,4.0964399436373023e-07,4.30775,,4.59328,10.048797211863995,3.530625557005496,2.202747681483371e-06,0.9527500000000001,,0.9494400000000001,1.547021953548045,0.7896036116800742,-4.927703520466072e-10,5.32746875,,5.649270000000001,5.5809336639784215,5.183442688172491,2.1895972899427654,3.914563492063492,,4.143942857142857,7.625147755037813,3.2597679646413584,6.839330048591521e-07,1.0625,,1.1916,2.6290851856154642,0.804196043712064,1.5965119975893565,2.152833333333333,,2.2399466666666665,1.8007858080586465,1.8550070395314864,-4.9306208223699494e-08,1.25475,,1.31648,0.5538977185412808,0.9108409427490582,5.005146420642951e-23,4.953749999999999,,5.194,18.88266743888864,4.197611981340405,6.9856719430240215,1.3225,,1.4223999999999999,1.2817623594958067,1.468799678243181,2.6107815393538276,3.243125,,3.4865999999999993,2.484865044039409,2.1644262305223316,1.0177704212874597e-06,4.045,,3.8992000000000004,4.042659180160367,2.5652828273716723,4.559156748728121,12.032403846153846,,14.706046153846156,14.4532101800291,22.94834747691057,10.58671934563131,1.38125,,1.1624,2.6872537695218255,0.9645873464430679,0.6420666536025574,3.452,,3.5229999999999997,3.018751839913736,2.875840942749058,-8.122505598882605e-08,5.590416666666667,,5.650933333333334,5.882430092643632,4.667534638742474,6.464963764671841,2.5893750000000004,,2.5830399999999996,2.6333540999141376,2.251834443037358,2.68907014665377,2.62125,,2.3648,2.3702607188254707,1.8255103934428445,2.8762192581104378,32.00546130952381,,32.138507142857144,29.279336586859795,29.416464068367382,34.21916666742786,0.8890416666666667,,0.8733199999999999,0.8190523370983485,0.6858409427490583,-0.44366116436251335,1.597625,,1.6137199999999998,2.4528087842689157,1.4208409427490585,-1.2010956533525267e-22,1.4767499999999998,,1.27328,2.407983546412207,1.012100179556633,1.4499429263462984,1.495,,1.574,1.5745330109491678,1.254296008160151,1.435657568760992,4.220684027777778,,4.466616666666667,4.499411113651681,3.315874768120369,5.384601319455452,1.0175,,0.9700000000000001,4.492125876402965,0.45131183289723076,2.1250361086135878e-24,2.6487499999999997,,2.636,3.479928944125734,1.6802647959729349,3.521254636990075,16.3425,,17.5636,9.365595138412731,14.646061860707036,6.433819742583361,9.56301388888889,,9.951733333333333,9.845349714550144,10.525354884207035,1.0303182138922784e-14,1.135,,1.3924,1.064078025369364,1.7692402774541718,2.7645833333333334,,2.7076,2.2859080383144494,2.3079425454520974,3.1943941312337,1.07625,,1.1004,1.6651775100304584,0.5981099783525925,6.957483494985125e-07,4.2975,,4.3644,3.477684718687212,4.036607151441662,4.368119972386801,2.7596428571428575,,2.838114285714286,2.8805172072491674,2.0622974813390296,3.4940481454044057,2.5412500000000002,,2.7624000000000004,1.578067422547686,4.455177051934447,1.871438492063492,,1.9950666666666663,1.6097275164914766,1.7277138905840561,4.020196800128075e-08,7.9625,,7.9336,8.181236836080393,7.016130751238214,8.785716229233797,1.6512500000000003,,1.9077333333333333,1.564138954289707,1.6152000103544606,1.1641970933632015,5.5436250000000005,,6.15312,11.38236242088371,1.2839760638227151,1.7359321147781055e-05,3.0387500000000003,,3.3107999999999995,4.7692501507756555,2.5033579670842125,4.632647258311857,2.427979166666667,,2.6532600000000004,0.874884133112374,2.4333758475359666,2.812566603709397e-07,0.9637500000000001,,1.0816,0.790881413460053,1.4580672530550447
1996-11-30,POMKH,2.1633333333333336,2.03,0.56,2.52,4.960666666666667,2.9172727272727275,0.28250000000000003,2.665,0.8320000000000001,4.106,2.6111111111111107,0.64,1.59,0.7460000000000001,2.04,0.38,1.84,2.89,5.52,0.815,2.7891666666666666,4.476666666666667,2.5775,1.705,30.514285714285712,0.8416666666666667,1.376,1.874,1.13,2.8035000000000005,0.54,1.73,12.87,8.329,0.4,2.47,0.83,3.63,2.18,1.1,1.2771428571428574,7.66,0.9733333333333332,1.8125,1.595,1.4191666666666665,0.18,3.1966666666666668,3.196666666666667,2.8369333333333335,3.5299124760061904,2.1471189080379003,3.3058803790991362,3.5625,3.52,3.0368,2.1640186049204155,2.1021018558991473,5.385534557271719e-07,0.84125,0.8150000000000001,0.7052,1.051444799494447,0.39668621950485894,0.4555782700102764,3.5143750000000002,3.28625,3.0250799999999995,3.4607921346797874,1.8849440828291875,0.9931839148985553,6.2249375,6.224937499999999,5.881998666666666,5.677118599146944,4.94030222313191,4.213949203167595e-06,3.9014431818181823,3.9014431818181823,3.608429090909091,3.831311041497037,3.0356566096400233,1.8799016230965062,1.9267500000000002,1.92675,1.3582400000000001,0.011307375274238982,0.3191892395957041,2.843792496010852e-08,4.30775,4.30775,3.821968,8.305232152719976,2.6639637137614502,1.062866289981156e-06,0.9527500000000001,0.95275,0.9024640000000002,1.3096143868704355,0.8614127576094142,-1.6600433884947335e-09,5.32746875,5.327468750000001,5.031962000000001,5.308279411361772,4.015172742620047,3.959784233433843,3.9145634920634915,3.9145634920634915,3.5308101587301586,6.25881246262069,2.647799300036776,9.420244488319311e-08,0.85875,1.1175,0.9709599999999999,2.4362535849904687,0.8060811260756563,1.1888863911711225,2.1528333333333336,2.1528333333333336,1.979968,1.5956114076979655,1.6266885342233777,-9.058733676062589e-09,1.25475,1.2547500000000003,1.0882880000000001,0.38056512746229226,0.7826892395957047,9.534201680066962e-24,4.5512500000000005,4.9925,3.9324000000000003,14.13034179734404,3.0976175348621524,2.577020806659746,1.3287499999999999,1.345,1.00544,0.8838961368324931,1.2400788700546332,0.8767581865910372,3.2431249999999996,3.243125,2.8279599999999996,2.056796890915053,1.8075531707804942,7.341154622702962e-08,4.289375,3.865,3.4955200000000004,3.499169125022509,2.1403151498878206,3.790597578664727,12.032403846153848,12.032403846153848,11.031627692307694,11.941096839450012,5.548165047647849,15.667185355803557,1.660625,1.1724999999999999,1.0234400000000001,2.450804593402876,0.5309286118221646,0.11916090641334454,3.452,3.452,3.2294666666666663,2.771606653378161,2.8258559062623707,-2.5308252648246085e-08,5.5024999999999995,5.598333333333334,5.181226666666667,5.620084545763212,4.026169317339331,4.405380351968512,2.589375,2.589375,2.580824,2.5910665163732034,2.613862734903433,2.5376597580770426,2.77625,2.31625,2.10088,2.1977223578451675,1.9637716883201999,2.8059794356597916,32.00546130952381,32.00546130952381,31.48881857142857,29.925892032277485,30.22571835087855,28.552142866730787,0.8890416666666666,0.8890416666666667,0.8606586666666666,0.8090051700698246,0.8783559062623714,-0.014844352237661118,1.597625,1.5976249999999999,1.5186319999999998,2.0798196770623583,1.4126892395957047,4.130822150721942e-23,1.47675,1.47675,1.513568,2.5151800320541695,1.9034002971269681,1.294876375137312,1.58625,1.5025,1.3963999999999999,1.5796005975791687,1.0772640671562674,1.6279181513047758,4.220684027777778,4.220684027777778,3.8013700000000004,4.189067273796575,2.822696374507366,4.659751874200491,1.025,1.0012500000000002,0.798,2.0036991449269586,0.5870080882319964,0.0,2.6774999999999998,2.645,2.2736,3.26832952823618,0.9560749094471137,1.5530675494911357,15.899166666666666,16.3425,15.68616,8.16362726725127,13.686713325182403,9.732623450485224,9.56301388888889,9.56301388888889,9.30264,9.491974754906458,8.375346870607741,1.5865121607544039e-12,0.9425,1.215,0.9954400000000001,0.9035612370347857,1.3713631705434124,2.9458333333333337,2.721666666666667,2.6125599999999998,2.249507392052108,2.226116505114808,2.5684687471146903,1.02875,1.0925,0.99224,1.6054574171369522,0.9649253664208486,5.545352474883426e-07,4.26625,4.3125,4.070639999999999,3.2076740943258164,3.3588985502247732,3.3732660585046337,2.7596428571428575,2.7596428571428575,2.5748685714285715,2.7280178211007855,1.9996923403620641,2.4821342400819932,2.38375,2.6275,2.09744,1.5024809410650506,3.009796591579944,1.871438492063492,1.871438492063492,1.7078971428571426,1.392480114805671,1.2726204074901686,2.0474116281286916e-08,7.95,7.972500000000001,7.82416,8.120584570276378,7.326910258108883,7.673250753011741,1.5845833333333332,1.73,1.5339733333333332,1.3763380247061152,1.3680550098666457,1.1191557672286685,5.5436250000000005,5.543625,4.416872,9.905503438005384,1.8210036367861324,-5.6742826535211435e-06,2.8762499999999998,3.0987500000000003,2.6244799999999997,4.131008131467117,1.9594700695094147,3.1517043232994024,2.427979166666667,2.427979166666667,2.159622666666667,0.6142559260110171,1.4093493771461847,2.1152669241071225e-07,0.9724999999999999,0.9400000000000001,0.7209599999999998,0.4894225661063316,1.1769620285123992
