Date,Season,Sirhind,Amloh,Bassi Pathana,Khera,Khamanon,Sirhind_Trend,Sirhind_SMA,Sirhind_EWMA,Sirhind_DES,Sirhind_TES,Sirhind_ARIMA,Amloh_Trend,Amloh_SMA,Amloh_EWMA,Amloh_DES,Amloh_TES,Amloh_ARIMA,Bassi Pathana_Trend,Bassi Pathana_SMA,Bassi Pathana_EWMA,Bassi Pathana_DES,Bassi Pathana_TES,Bassi Pathana_ARIMA,Khera_Trend,Khera_SMA,Khera_EWMA,Khera_DES,Khera_TES,Khera_ARIMA,Khamanon_Trend,Khamanon_SMA,Khamanon_EWMA,Khamanon_DES,Khamanon_TES,Khamanon_ARIMA
1996-02-29,POMRB,4.793333333333334,11.97,8.68,16.23,11.535,,,4.793333333333334,5.11497544837826,4.773020327151309,0.0,,,11.97,21.361812181082044,11.980000000000002,0.0,,,8.68,8.487356546811785,7.859134446098244,0.0,,,16.23,16.26270604515269,15.095771334084903,0.0,,,11.535,13.400839135226981,11.578245735824261,0.0
1996-05-31,PREMON,5.55,21.53533333333333,8.42,16.23,12.736666666666665,,,5.096,5.34217190735463,5.345723462698605,4.7933292394043665,,,15.796133333333334,30.72639898869773,21.554779316712835,11.969917699296253,,,8.576,8.527907424184288,8.470567001133722,8.679983906387626,,,16.23,16.27270521312172,16.530807427572533,15.652269896587585,,,12.015666666666666,14.24419081919812,12.499797945667966,8.397520342523332e-06
1996-08-31,MONSOON,5.663333333333334,21.55,8.120000000000001,15.78,11.585,5.40625,,5.322933333333333,5.528550569366127,5.871960565012788,5.269687421657386,19.41803472222222,,18.09768,30.0815752980183,21.578340942749062,17.182450540505993,8.255,,8.393600000000001,8.446627200381213,9.581904971175636,8.5346795352137,15.872499999999999,,16.05,16.15536132324591,17.394796965285654,15.919150258686782,11.829166666666666,,11.843399999999999,13.997580871060089,11.688920738497444,1.3973015199109373e-05
1996-11-30,POMKH,5.1433333333333335,22.61680555555556,7.885,15.66,11.435,5.597916666666666,5.2875000000000005,5.251093333333333,5.447140578105215,5.361675543719491,5.474316874074589,19.418034722222224,19.418034722222224,19.905330222222226,27.159329200223603,22.653494795151268,18.064794935655968,8.255,8.276250000000001,8.19016,8.29972040970519,8.560293704550269,8.347103879791911,15.75125,15.975000000000001,15.894000000000002,16.037144580760824,16.876291705671843,15.831561667389007,11.687083333333334,11.822916666666668,11.68004,13.432605616499746,11.828175521712767,1.8666837964359526e-05
1997-02-28,POMRB,5.743333333333332,11.97,8.51,15.41,11.585,5.762083333333333,5.525,5.447989333333333,5.625225161267462,5.472013910195491,5.283271843866937,19.418034722222224,19.418034722222224,16.731198133333336,13.459798758891285,12.007654414891991,13.247302676104567,8.39625,8.23375,8.318096,8.409080798122352,7.98578977997283,8.153760710899352,15.72625,15.77,15.700400000000002,15.882303988360887,14.746668643679433,15.740527614814303,11.441875,11.835416666666667,11.642024,12.87729409211284,11.631358757459513,11.53501821927486
1997-05-31,PREMON,6.133333333333333,21.53533333333333,8.59,16.08,11.55,5.9433333333333325,5.670833333333333,5.7221269333333336,5.886433592914555,6.133957875404155,5.539521270652127,19.418034722222224,19.418034722222224,18.652852213333333,19.52152326814688,21.574176882966867,21.067263336679666,8.525625,8.276250000000001,8.4268576,8.51440305878177,8.495284886802292,8.298638041349523,16.053124999999998,15.732499999999998,15.852240000000002,15.95564627485235,16.045599480530704,15.60400582825524,11.259375,11.53875,11.6052144,12.335079116481992,12.710602510319276,12.755994540600108
1997-08-31,MONSOON,6.3933333333333335,21.55,9.08,15.73,10.81,6.04875,5.8533333333333335,5.990609493333334,6.150290699914097,6.587346073918949,5.847110105949802,19.41803472222222,19.418034722222224,19.811711328,22.5460195179122,21.590239514903438,21.236300998935228,8.704583333333332,8.51625,8.68811456,8.76140355256131,9.656545060539226,8.415921028757657,16.703125,15.719999999999999,15.803344000000003,15.911868495844347,17.006475457662987,15.71477558495578,11.108125000000001,11.345,11.28712864,11.525910648144988,11.242228008742243,11.166466460182827
1997-11-30,POMKH,5.863333333333332,22.61680555555556,7.96,18.325,10.75,6.139166666666667,6.033333333333333,5.939699029333333,6.113843799402391,6.082256972817325,6.124105739797667,19.418034722222224,19.418034722222224,20.933749019022223,24.39873936043454,22.658630129324813,22.126870579759746,9.137916666666667,8.535,8.396868736,8.542854986608626,8.939163382020025,8.68224850123337,17.10125,16.38625,16.8120064,16.598608019916696,16.58575656183247,15.686247949072348,11.05,11.17375,11.072277184,10.903402540587981,11.108478511221408,11.144288599918372
1998-02-28,POMRB,5.866666666666667,11.97,9.866666666666667,17.945,11.06,6.246249999999999,6.064166666666667,5.910486084266667,6.09216857924634,6.192388622604984,5.9682276232532825,19.418034722222224,19.418034722222224,17.348249411413335,13.070967390061133,12.011419855157841,12.96039297086546,9.339791666666667,8.874166666666667,8.984787908266668,9.052983141063187,8.260242998436574,8.392977562045878,17.59,17.020000000000003,17.26520384,16.990816037283775,15.310383165433636,16.427409620486088,10.982500000000002,11.0425,11.0673663104,10.653532942927875,11.119714505485177,11.041101286608528
1998-05-31,PREMON,6.7333333333333325,21.53533333333333,10.7,16.73,11.61,6.235833333333333,6.214166666666667,6.239624983893334,6.40979750327211,6.642065233624331,5.919749512518367,19.418034722222224,19.418034722222224,19.023082980181336,20.213601143363487,21.576480863012012,21.168425566239307,9.151041666666668,9.401666666666667,9.67087274496,9.721251096716859,9.141610998576759,8.98292867007869,17.785625,17.182500000000005,17.051122304000003,16.938514055109206,17.17908220960637,16.83603415588647,11.1075,11.057500000000001,11.28441978624,10.827450552893112,11.563137139938622,11.522940498020981
