Date,Season,Goh,Aurangabad,Obra,Haspura,Barun,Rafiganj,Deo,Madanpur,Kutumba,Daudnagar,Nabinagar,Goh_Trend,Goh_SMA,Goh_EWMA,Goh_DES,Goh_TES,Goh_ARIMA,Aurangabad_Trend,Aurangabad_SMA,Aurangabad_EWMA,Aurangabad_DES,Aurangabad_TES,Aurangabad_ARIMA,Obra_Trend,Obra_SMA,Obra_EWMA,Obra_DES,Obra_TES,Obra_ARIMA,Haspura_Trend,Haspura_SMA,Haspura_EWMA,Haspura_DES,Haspura_TES,Haspura_ARIMA,Barun_Trend,Barun_SMA,Barun_EWMA,Barun_DES,Barun_TES,Barun_ARIMA,Rafiganj_Trend,Rafiganj_SMA,Rafiganj_EWMA,Rafiganj_DES,Rafiganj_TES,Rafiganj_ARIMA,Deo_Trend,Deo_SMA,Deo_EWMA,Deo_DES,Deo_TES,Deo_ARIMA,Madanpur_Trend,Madanpur_SMA,Madanpur_EWMA,Madanpur_DES,Madanpur_TES,Madanpur_ARIMA,Kutumba_Trend,Kutumba_SMA,Kutumba_EWMA,Kutumba_DES,Kutumba_TES,Kutumba_ARIMA,Daudnagar_Trend,Daudnagar_SMA,Daudnagar_EWMA,Daudnagar_DES,Daudnagar_TES,Daudnagar_ARIMA,Nabinagar_Trend,Nabinagar_SMA,Nabinagar_EWMA,Nabinagar_DES,Nabinagar_TES,Nabinagar_ARIMA
2009-05-31,PREMON,11.14,13.8925,5.68,3.495,9.1,10.0,5.3420000000000005,6.425,5.251666666666667,5.35,7.456666666666668,6.168958333333332,6.059375000000001,7.60153707122201,9.021208105234841,6.46479085879835,6.067167381587038,7.194791666666666,7.231458333333335,8.908030774625638,6.810705025096749,9.590170461085108,8.688464484364873,4.70125,4.7700000000000005,5.08792706539485,4.7865544414255226,5.778167999720026,5.752534689899726,2.447083333333333,2.4470833333333326,2.8557169117650094,3.0064669631448515,3.4949264815559644,3.495,7.512083333333334,5.545833333333335,6.704021405787943,9.08727647629407,7.133072394672692,7.589352341050902,5.838958333333333,5.585208333333334,7.064982409318664,6.294126343170694,8.070510105606225,8.651801100095607,3.360416666666667,3.360416666666667,4.088915441177268,4.36019231992672,5.373712096578819,5.341999908000941,3.8725,4.05,4.863143567910537,5.332400128897387,6.42247497806534,6.41733040708028,3.7884166666666665,3.788416666666668,4.349001086264693,4.704144238118432,5.3347174776315835,5.286368829098897,3.863125,3.6975,4.132673811731168,3.0235704386293856,4.8639685741238186,4.838156261559781,3.6672916666666673,3.786666666666667,5.00559223873155,4.748928933410211,5.417826091327774,5.697528972710666
2009-08-31,MONSOON,3.01,4.3566666666666665,3.6,1.19,9.0,3.21,1.741666666666667,2.025,2.33,3.83,0.97,5.882604166666667,6.236875,5.764922242733205,7.6994363833229285,3.229429906808361,3.762851390031302,7.0981250000000005,7.318958333333335,7.087485131442049,6.694651260740271,4.731330079375089,4.7031575741902305,4.641249999999999,4.720000000000001,4.49275623923691,4.630722032030293,3.37604346123251,3.4312118928193804,2.447083333333333,2.4470833333333326,2.1894301470590056,2.279645843572479,1.1899233424625362,1.19,8.730416666666667,6.630833333333335,7.622412843472766,10.245813888821344,4.221944314915534,4.5615084418637775,5.919270833333334,5.842708333333334,5.522989445591198,6.038223057628308,3.7768930717249365,3.6214588144798814,3.360416666666667,3.360416666666667,3.1500159313730274,3.379679325890584,1.770716635520882,1.741666636671965,3.48875,4.223749999999999,3.7278861407463224,4.09831474268669,2.5296800167082654,2.1946169677412515,3.788416666666666,3.788416666666668,3.5414006517588152,3.6256555779351927,2.2568069570462788,2.2890100009792484,3.8437499999999996,4.007499999999999,4.0116042870387005,3.1234279266913263,2.8071472986812513,2.509386522738375,4.031666666666667,3.850416666666667,3.39135534323893,4.033032485020155,2.261612191690877,2.307002680814865
2009-11-30,POMKH,3.6566666666666654,3.623333333333333,4.4,2.5,8.1,4.053333333333334,2.648,2.125,3.4779999999999998,2.495,2.41,5.664166666666667,6.101041666666667,4.921620012306589,6.579080239542408,4.256798855251464,4.058942374656885,7.160937499999999,7.0706250000000015,5.701824412198563,6.530282919459571,5.064235107031743,4.84520150024018,4.5675,4.6825,4.455653743542147,4.598927719524185,4.038868412458065,3.9814537314316634,2.4470833333333335,2.4470833333333326,2.313658088235403,2.332862665154305,2.499928472092208,2.5,9.04,8.393333333333336,7.81344770608366,10.76598534833115,6.95459087906303,5.375334060515237,6.003333333333334,5.835208333333335,4.935127000688052,5.876622546068576,4.323128538354306,3.7594206458718307,3.3604166666666666,3.3604166666666675,2.9492095588238163,3.004680127327494,2.674331223043708,2.647999954396572,3.466875,3.521249999999999,3.0867316844477934,3.139046630514904,3.7709464356505755,3.796821344807136,3.7884166666666657,3.788416666666668,3.516040391055289,3.4624567021231716,3.4459822811436283,3.4578123107222627,4.00875,3.7187499999999996,3.4049625722232206,3.0828447203487883,2.8163313249608395,3.1266520521230357,4.842083333333334,3.484166666666667,2.998813205943358,3.683169541996305,3.109910392619963,3.0931432979875875
2010-02-28,POMRB,4.85,6.63,4.72,2.603333333333333,10.07,6.75,3.71,3.25,4.0939999999999985,4.2,7.48,5.643333333333333,5.6641666666666675,4.892972007383953,6.017912009294651,5.978031055972785,6.292585113748214,7.026041666666666,7.125625000000002,6.073094647319138,6.55597648128565,6.5584940785383585,6.381857887102857,4.5475,4.6,4.561392246125288,4.6164927667777755,5.020369653840826,5.203246410006967,2.447083333333333,2.4470833333333326,2.429528186274575,2.4415210946331527,2.6032616077704778,2.603333333333333,8.990000000000002,9.067500000000003,8.716068623650196,11.723538460411923,8.850744052526974,8.935097415924854,6.509583333333333,6.003333333333335,5.661076200412831,6.035392831039358,5.497157739135368,5.0525269658267655,3.360416666666667,3.3604166666666675,3.2535257352942897,3.2543561450767635,3.733758676114509,3.7099999403310724,3.7193750000000003,3.4562499999999985,3.152039010668676,2.9750566271975765,4.108710402171453,4.113460808104959,3.7884166666666665,3.7884166666666683,3.7472242346331726,3.739810899619883,4.092615842804486,4.101475877876783,4.0725,3.96875,3.7229775433339323,3.214702232890268,3.6956888631434026,3.229639125768621,5.139166666666667,4.579166666666667,4.791287923566015,4.581934553722981,3.400172236128699,3.4487285775878407
2010-05-31,PREMON,11.14,14.175,5.42,3.495,8.88,10.0,5.3420000000000005,6.51,5.251666666666667,5.67,9.56,5.825833333333334,5.664166666666667,7.391783204430372,8.262702673309498,8.261588138378638,8.511311176066597,6.760416666666667,7.196250000000003,9.313856788391483,7.061897267075572,9.663743402004613,9.258024429837056,4.60125,4.535,4.9048353476751725,4.740399504213579,5.8488902399048115,5.815506487016538,2.447083333333333,2.4470833333333326,2.8557169117647447,3.006465675774252,3.4949374618294367,3.495,9.48,9.012500000000003,8.781641174190117,11.933740914782588,10.614327672551383,10.974449990589704,7.222916666666667,6.003333333333334,7.396645720247698,6.583264615597894,8.532887485559252,9.24727933103959,3.360416666666667,3.360416666666667,4.0889154411765745,4.360185229099908,5.363241192206776,5.341999914083178,4.188124999999999,3.4774999999999983,4.495223406401205,4.647239921304093,6.072509256363405,5.981686432087383,3.7884166666666665,3.788416666666668,4.34900120744657,4.704426486993561,5.320670795721596,5.28433533513625,4.281874999999999,4.04875,4.501786526000359,3.484737802850495,5.316842966687417,5.190283478351453,5.195416666666667,5.1049999999999995,6.698772754139609,5.998228140838422,5.8416684971975785,5.950017694235357
2010-08-31,MONSOON,2.8433333333333333,2.995,3.7,1.19,8.82,7.26,1.741666666666667,3.96,2.33,4.02,1.2433333333333334,6.815416666666668,5.6225000000000005,5.572403255991556,6.625844729744394,3.3885618648514972,3.5404029368106578,6.394687500000001,6.8558333333333366,6.78631407303489,6.853510395656754,4.804903021178021,4.832228973807872,4.70375,4.56,4.422901208605103,4.598384293638639,3.4467652424733073,3.504059456997075,2.447083333333333,2.4470833333333326,2.1894301470588466,2.279641063205872,1.1899445301958502,1.19,9.98375,8.967500000000003,8.79698470451407,11.85658705952227,6.394863014904306,7.8215230127825635,7.74625,7.015833333333333,7.341987432148619,6.78785027548937,4.171263359818065,3.6716038105332123,3.360416666666667,3.360416666666667,3.1500159313726113,3.3796655792674066,1.760518993454869,1.7416666386549735,4.63,3.9612499999999984,4.281134043840723,4.678141576040363,2.2499914291911582,1.8992198031059573,3.788416666666666,3.788416666666668,3.5414007244679415,3.6260215615162776,2.2720542433158943,2.291412281160239,4.53125,4.0962499999999995,4.3090719156002155,3.5716684702909998,3.2313348429289883,3.2809653495466486,4.942500000000001,5.173333333333333,4.516596985817099,5.27385892633229,2.4393597475801796,2.10780540718154
2010-11-30,POMKH,5.283333333333333,2.86,4.73,2.5,12.2,5.71,2.648,3.94,3.4779999999999998,3.98,2.5866666666666664,7.601666666666667,6.029166666666667,5.456775286928266,6.145702314506002,4.280237699980323,4.374075334960356,5.42125,6.665000000000003,5.215788443820934,6.634661877756934,5.1378080427658475,4.853233666747365,4.805000000000001,4.6425,4.545740725163062,4.61590931122171,4.109590513289239,4.079969813390707,2.4470833333333335,2.4470833333333326,2.313658088235308,2.3328563200944243,2.499956778432064,2.5,10.39375,9.992500000000001,10.158190822708441,12.792136356577819,8.295789157414756,8.172001183854366,8.0625,7.43,6.6891924592891705,6.79070221522685,5.255173800119514,4.810572942544571,3.3114166666666667,3.3604166666666675,2.9492095588235667,3.004664820301178,2.66442071880711,2.647999957411504,4.835,4.414999999999998,4.144680426304434,4.590607476175778,3.8490836704386187,3.059497415530297,3.7884166666666657,3.788416666666668,3.516040434680765,3.462799489959682,3.45250840632212,3.4589967939084376,4.60875,4.467499999999999,4.17744314936013,3.648192398142035,3.189959070365779,2.868423369815785,4.21125,5.217499999999999,3.744624858156926,4.846932719662624,3.371322825506324,2.989258388779239
2011-02-28,POMRB,11.14,4.4675,5.21,2.603333333333333,10.0,9.28,3.71,4.97,4.0939999999999985,4.71,5.2799999999999985,7.64875,7.601666666666667,7.73006517215696,8.273064493067785,5.925262437106275,6.114502290007726,4.7025,6.124375000000003,4.916473066292561,6.517102812778927,6.632067010733658,6.481057368299132,4.890000000000001,4.765000000000001,4.811444435097838,4.7063209880577,5.091091425934497,5.225857960720982,2.447083333333333,2.4470833333333326,2.429528186274518,2.4415145444335784,2.6032942799953194,2.603333333333333,10.857500000000002,9.975000000000001,10.094914493625065,12.690052343056207,11.167136132119447,11.094513671278685,7.567499999999999,8.0625,7.725515475573502,7.216332760098096,6.535781299450155,6.140088422310482,3.4672083333333332,3.3604166666666675,3.25352573529414,3.254341706169105,3.724147639165257,3.7099999440313285,4.6925,4.844999999999998,4.47480825578266,4.983650155992556,4.4674714459664004,4.199400502128898,3.8534166666666665,3.7884166666666683,3.7472242608084585,3.7400826603671575,4.093632111951051,4.1010468063388155,4.44875,4.595,4.3904658896160775,3.7921564463179256,4.309255747126769,4.307234222255754,3.8552083333333327,4.667499999999999,4.3587749148941555,5.061160993784742,4.176369591680105,4.0336236434211195
2011-05-31,PREMON,11.14,8.549999999999999,5.74,3.495,12.23,10.0,4.95,6.43,5.251666666666667,5.78,5.91,7.487916666666666,7.601666666666667,9.094039103294175,10.172114196465593,9.831528973502559,11.077478347655756,4.761458333333334,4.718125000000003,6.369883839775536,6.658352507177519,9.737316324744821,9.63983007107234,4.81625,4.845000000000001,5.182866661058703,4.875206810072493,5.919613065008623,5.867774545554845,2.447083333333333,2.4470833333333326,2.855716911764711,3.0064596478982746,3.494972131760869,3.495,10.540000000000001,10.812500000000002,10.948948696175039,13.207501167740155,12.087167007796436,11.61206100081149,6.85875,8.0625,8.6353092853441,7.7184620702970905,9.790864714363353,10.125201515044246,3.6210000000000004,3.262416666666667,3.9321154411764843,4.140442455926945,5.353940482545598,5.3419999194111485,4.33625,4.8249999999999975,5.256884953469596,6.040816959584153,6.6512048099595535,6.587233982234199,3.9184166666666664,3.788416666666668,4.349001223151742,4.704607646487192,5.311014913589669,5.282526660066678,3.8962499999999998,4.6225000000000005,4.946279533769647,4.033687317635057,5.908050331774796,5.638010240409395,3.6970833333333326,3.7549999999999986,4.9792649489364935,5.401027014315214,6.431042228543836,6.470641793908553
2011-08-31,MONSOON,3.22,2.87,4.06,1.19,9.18,3.3,3.38,2.9,2.85,2.63,2.045,6.4750000000000005,7.695833333333333,6.744423461976505,8.237793140480532,3.814062796944853,3.887541301243444,4.9984375,4.686875000000003,4.969930303865322,6.437791498827912,4.87847591982214,4.50512205326719,4.645625000000001,4.9350000000000005,4.733719996635221,4.781231457841554,3.517489970720148,3.6269590955740827,2.447083333333333,2.4470833333333326,2.189430147058826,2.2796363796888044,1.1899792408268124,1.19,9.93375,10.902500000000002,10.241369217705023,12.465086719911175,8.53124965404536,9.448710410497968,6.25375,7.0725,6.50118557120646,7.385982823453762,5.244215592477033,5.2002762008152414,3.5624999999999996,3.6720000000000006,3.7112692647058907,4.0176803484268975,1.729820597449894,1.7416666403920658,3.935,4.559999999999997,4.314130972081758,4.970418428985693,2.722261962383636,3.0313599872191572,3.918416666666666,3.9184166666666678,3.7494007338910453,3.92306920202549,2.2855603624428245,2.2935489377266127,3.11625,4.275,4.019767720261788,3.94308844183279,3.7186521926070406,3.649613431940875,2.89375,3.955416666666665,3.805558969361896,4.7707530674194345,2.28443487466948,1.9792490272111982
