Date,Season,Shankargarh,Mainpat,Bhaiyathan,Wadrafnagar,Ambikapur,Udeypur,Kusmi,Lakhanpur,Pratappur,Balrampur,Premnagar,Batauli,Ramanujnagar,Lundra,Sitapur,Surajpur,Ramchandrapur,Rajpur,Shankargarh_Trend,Shankargarh_SMA,Shankargarh_EWMA,Shankargarh_DES,Shankargarh_TES,Shankargarh_ARIMA,Mainpat_Trend,Mainpat_SMA,Mainpat_EWMA,Mainpat_TES,Mainpat_ARIMA,Bhaiyathan_Trend,Bhaiyathan_SMA,Bhaiyathan_EWMA,Bhaiyathan_DES,Bhaiyathan_TES,Bhaiyathan_ARIMA,Wadrafnagar_Trend,Wadrafnagar_SMA,Wadrafnagar_EWMA,Wadrafnagar_DES,Wadrafnagar_TES,Wadrafnagar_ARIMA,Ambikapur_Trend,Ambikapur_SMA,Ambikapur_EWMA,Ambikapur_DES,Ambikapur_TES,Ambikapur_ARIMA,Udeypur_Trend,Udeypur_SMA,Udeypur_EWMA,Udeypur_DES,Udeypur_TES,Udeypur_ARIMA,Kusmi_SMA,Kusmi_EWMA,Kusmi_TES,Kusmi_ARIMA,Lakhanpur_Trend,Lakhanpur_SMA,Lakhanpur_EWMA,Lakhanpur_DES,Lakhanpur_TES,Lakhanpur_ARIMA,Pratappur_Trend,Pratappur_SMA,Pratappur_EWMA,Pratappur_DES,Pratappur_TES,Pratappur_ARIMA,Balrampur_Trend,Balrampur_SMA,Balrampur_EWMA,Balrampur_DES,Balrampur_TES,Balrampur_ARIMA,Premnagar_Trend,Premnagar_SMA,Premnagar_EWMA,Premnagar_DES,Premnagar_TES,Premnagar_ARIMA,Batauli_Trend,Batauli_SMA,Batauli_EWMA,Batauli_DES,Batauli_TES,Batauli_ARIMA,Ramanujnagar_Trend,Ramanujnagar_SMA,Ramanujnagar_EWMA,Ramanujnagar_DES,Ramanujnagar_TES,Ramanujnagar_ARIMA,Lundra_Trend,Lundra_SMA,Lundra_EWMA,Lundra_DES,Lundra_TES,Lundra_ARIMA,Sitapur_Trend,Sitapur_SMA,Sitapur_EWMA,Sitapur_TES,Sitapur_ARIMA,Surajpur_Trend,Surajpur_SMA,Surajpur_EWMA,Surajpur_DES,Surajpur_TES,Surajpur_ARIMA,Ramchandrapur_Trend,Ramchandrapur_SMA,Ramchandrapur_EWMA,Ramchandrapur_DES,Ramchandrapur_TES,Ramchandrapur_ARIMA,Rajpur_Trend,Rajpur_SMA,Rajpur_EWMA,Rajpur_DES,Rajpur_TES,Rajpur_ARIMA
1996-02-29,POMRB,2.18,13.63,5.880882352941178,5.286666666666666,4.4350000000000005,8.055,6.56,3.6919999999999993,4.364,5.7860000000000005,9.165,5.04,6.815,5.35,8.89,4.675714285714286,4.3225,7.789999999999999,,,2.18,1.600048478571474,2.19,0.0,,,13.63,13.63988119413817,0.0,,,5.880882352941178,4.694418379572718,5.301640152596434,0.0,,,5.286666666666666,5.365705215476463,5.302128847175143,0.0,,,4.4350000000000005,2.8279288128827145,4.203708056692345,0.0,,,8.055,7.153260531646565,8.065,0.0,,6.56,6.5659374999999995,0.0,,,3.6919999999999993,7.305839948683092,4.180262228735862,0.0,,,4.364,3.953678592360092,4.707721206680578,0.0,,,5.7860000000000005,4.418647392331098,5.712266747618918,0.0,,,9.165,8.4591803115355,9.210851938791093,0.0,,,5.04,2.745206552211267,4.937516066808375,0.0,,,6.815,5.387940320047767,6.364577250762165,0.0,,,5.35,4.662505768473314,5.328848853775801,0.0,,,8.89,8.227357893555082,0.0,,,4.675714285714286,7.604783269341788,4.75037899567672,0.0,,,4.3225,3.264386624501683,4.882986529132554,0.0,,,7.789999999999999,6.2709478719948555,7.089377204039111,0.0
1996-05-31,PREMON,3.5475,18.26,7.527843137254902,7.2399999999999975,6.335,8.67,6.655,5.843999999999999,6.9879999999999995,6.8900000000000015,12.115,7.32,8.625,9.31,10.91,6.40142857142857,7.575999999999999,9.83125,,,2.7270000000000003,1.8883544380709707,3.566336565096953,2.1799970509467497,,,15.482000000000003,18.278843551345297,3.222470932923411,,,6.539666666666668,5.244083826803609,7.208663969379985,2.401944030055883,,,6.067999999999999,5.587120485040576,7.132056245868478,5.286654709112776,,,5.195,3.326354470596544,6.53775724464806,4.434983988067612,,,8.300999999999998,7.248960669634509,8.689445983379501,8.054957233618952,,6.598,6.666546052631579,5.882258781255855,,,4.5527999999999995,9.547506977362591,5.417741450968083,3.69199122327513,,,5.4136,3.98506238654689,6.620276191292949,4.363980902648814,,,6.227600000000001,4.6579151352363635,7.445732685227519,2.981039003377133,,,10.344999999999999,9.790807639138334,11.46328352193352,9.164973089281446,,,5.952,2.4512847913773723,6.911053338271457,0.0,,,7.539000000000001,5.7588833979854614,9.158980826986681,4.220943330787261,,,6.933999999999999,3.676414201207018,8.541088766378502,-1.1136829342232897e-10,,,9.698,10.302911882148265,8.889948471700718,,,5.366,9.242946172014125,6.6662341915782894,4.675705380777549,,,5.623899999999999,3.5731832935691163,6.984913894004819,4.3224868163678005,,,8.6065,6.757050812615058,10.470403158212399,1.5373755340464548
1996-08-31,MONSOON,1.405,2.76,4.191777777777778,3.7,1.61,2.055,2.31,1.2440000000000002,3.024,3.4939999999999998,8.145,2.023333333333333,3.545,0.99,6.1,2.722857142857144,2.84,5.16375,2.3548958333333334,,2.1982,1.8156947538591184,1.4315342500441222,3.0330013914099387,11.39375,,10.3932,2.7865849420550246,3.76573845371541,5.633111928104575,,5.600511111111112,4.769327958806497,3.6329368796581236,3.3831355384417026,5.306666666666667,,5.120799999999999,5.393828644248545,4.159374315008861,6.3131620437705696,4.0375,,3.761,2.9769756762249084,1.6391741041358676,5.636494590216328,5.5175,,5.802599999999999,5.918970777114312,2.083340942749059,8.418040842866517,,4.8828,2.3268274347572535,6.0951978046046715,3.423,,3.2292799999999997,7.3040837820646125,1.8045797744445702,4.904363815402465,4.60575,,4.45776,3.130279617813132,2.5896575043635264,5.5802041186206806,5.343,,5.1341600000000005,4.310466096928641,3.474473792961124,3.8695203443694135,9.2575,,9.465,9.432742340449826,8.688862488299145,10.72400697343885,4.878333333333334,,4.380533333333333,1.6145867578587891,2.268428216767618,0.0,5.651875,,5.941400000000001,4.862165744023764,4.3728915345005985,5.623578004499673,5.01375,,4.556399999999999,2.0760615642359697,1.376884563010349,-4.157784798190193e-11,8.489999999999998,,8.2588,5.856930531366146,9.900346669653725,4.387857142857143,,4.308742857142858,7.9837437081938765,2.497542163979518,5.851317543992949,4.923375,,4.510339999999999,2.9904860435917877,2.8746949926355545,6.438855070271336,7.0482812500000005,,7.2294,6.09289271131343,4.76602090233882,1.7031507151954508
1996-11-30,POMKH,2.3425,10.96,4.931944444444444,4.84,3.46,4.42,,2.7960000000000003,3.71,5.08,7.5950000000000015,4.7700000000000005,3.965,4.14,8.26,3.648571428571429,4.0375000000000005,5.609999999999999,2.3916666666666666,2.36875,2.2559199999999997,1.8930172785879662,2.375627644054535,2.0042293880207223,11.381250000000001,11.4025,10.61992,10.993007677526824,1.8659630861755998,5.633111928104576,5.633111928104575,5.333084444444445,4.616823561724203,4.326679217668202,3.1629749087572785,5.472083333333333,5.266666666666666,5.008479999999999,5.347226521175184,4.356190507329803,5.300164361246467,4.239375,3.96,3.6406,2.9824498816043143,2.9491721823280237,3.278048127737903,5.224375,5.800000000000001,5.24956,5.385263110095213,4.456689239595705,5.494945184791325,,,,,3.3815000000000004,3.3939999999999992,3.055968,5.8111443727373295,2.9543646892785222,3.1987456720670684,4.66775,4.5215000000000005,4.158656000000001,2.764392750105309,3.608866483104137,5.01781837512684,5.55725,5.3125,5.112496,4.285306678263691,4.529982395067032,3.2543792775109384,9.339375,9.255,8.717,8.863774808902443,7.923008033532735,9.708690337631474,4.986666666666667,4.788333333333333,4.53632,1.5885610985011855,3.7005119559404704,0.0,5.63875,5.7375,5.1508400000000005,4.266382253837823,4.339557731690208,4.117911779815973,5.16625,4.9475,4.3898399999999995,1.6492969910799669,3.0544934069876035,3.3171474917666893e-10,8.36125,8.54,8.25928,7.865687024690081,8.631970678292133,4.516607142857144,4.3621428571428575,4.0446742857142866,6.904260572037273,3.2230319381670767,3.745052512720875,5.143875,4.694,4.321204,2.808911810075465,3.5637835937418014,3.8304096731223285,6.941718750000001,7.09875,6.581639999999999,5.667966962563943,6.1009991717171115,1.9080695991681493
1997-02-28,POMRB,2.069166666666667,13.56,5.880882352941178,5.6066666666666665,5.055,5.795,6.56,3.924,5.037999999999999,6.029999999999999,9.185,5.7600000000000025,6.13,5.88,8.49,4.8814285714285734,6.1575000000000015,7.38625,2.3532291666666665,2.3410416666666665,2.1812186666666666,1.9182514738761343,2.2181336154926106,2.248138791830929,11.236249999999998,11.385,11.795952,13.666484811962402,12.861098913190279,5.633111928104576,5.633111928104575,5.552203607843138,4.817796359947,5.347130241835991,5.648035613769984,5.630625,5.346666666666666,5.2477546666666655,5.390293104595819,5.433109043577712,5.10575662470233,4.403124999999999,4.115,4.20636,3.284568344070348,4.3610085241275796,4.310485898576318,5.394375,5.235000000000001,5.467736,5.266746588747917,8.097391256997248,6.741315297200472,5.52125,5.55368,6.581784236009949,3.677005090320189,3.43975,3.451999999999999,3.4031808000000003,5.082107396268854,4.120396948707406,3.6108157607477533,4.634,4.69,4.5103936000000004,2.9484057527434864,4.9211804210637435,4.208240821856004,5.74925,5.3735,5.4794976,4.440041985159547,5.735800335813588,5.400046454894406,9.385,9.260000000000002,8.9042,8.952003241061968,9.189694196307478,8.84498389662339,5.1729166666666675,4.968333333333334,5.025792000000001,1.854008151055697,5.0285619706872975,5.039997298964618,5.874375,5.566249999999999,5.542504,4.3812235773696475,5.722835157342306,6.424134631714708,5.365,5.08,4.985904,1.7656670699073513,5.3764764804539595,5.122031451604037,8.58,8.44,8.351568,8.340868989822221,8.730096968320659,4.77107142857143,4.41357142857143,4.3793760000000015,6.393462186463328,4.915923458943248,4.065408011383047,5.0725,5.152750000000001,5.0557224000000005,3.1578868344088673,4.932730375614739,4.301536795002752,6.7696875,6.9978125,6.903484,5.793601623315614,7.10762078858229,7.618908892653294
1997-05-31,PREMON,3.9525,18.23,7.527843137254902,8.243333333333334,7.33,8.585,6.655,5.28,6.8100000000000005,8.36,12.75,7.466666666666668,9.205,10.0,10.28,7.225714285714287,7.505,9.3825,2.1922916666666667,2.4422916666666667,2.8897312,2.2192879875743294,3.576856606006976,3.0558982728578385,10.518749999999999,11.377499999999998,14.3695712,18.29134248603311,16.862866498453403,5.633111928104576,5.633111928104575,6.342459419607843,5.559160892432379,7.254104724662177,7.176260557965495,5.5356250000000005,5.597499999999999,6.445986133333333,5.719839637686041,7.3163640016809115,6.313291690470626,4.385,4.36375,5.455816,4.00695510697882,6.695397206337056,6.294702400750374,5.6118749999999995,5.213750000000001,6.7146416,5.779570910257837,8.592584619760377,7.009526004406503,5.545000000000001,5.994208,6.585482308842115,6.713479793042286,3.587,3.3109999999999995,4.15390848,5.269050620766087,5.380249739359692,5.465466781861934,4.618499999999999,4.6455,5.43023616,3.7340271721420573,6.933640301435083,6.76313695169433,5.710249999999999,5.741,6.63169856,4.997634310898446,7.528531468217374,6.445495504091862,9.363125,9.418750000000001,10.44252,10.417006462141895,11.454711928848493,10.650271276765146,5.2962500000000015,5.005000000000001,6.002141866666667,2.500992279277909,7.018300681449208,7.3199960770676595,6.080000000000001,5.71125,7.0075024,5.391362658989539,8.494766234114534,7.97448444516275,5.485,5.2524999999999995,6.9915424,2.750202621413646,8.733975910343812,8.913292114912748,8.90625,8.282499999999999,9.1229408,10.389812468942537,9.82139242738759,4.9196428571428585,4.619642857142859,5.5179113142857155,7.078023082092575,6.841869121804264,5.943998608123328,4.8907291666666675,5.135000000000002,6.03543344,3.828412301656038,7.60129635718679,7.829572437996555,6.654531250000001,6.885625,7.8950904,6.480198553217478,10.425990050718465,9.514799074282564
1997-08-31,MONSOON,0.6925,1.63,4.191777777777778,3.965,1.925,3.5,2.31,2.274,2.932,3.56,7.875,3.3666666666666667,4.85,1.89,8.48,3.934285714285714,2.34,4.23625,2.1314583333333332,2.264166666666667,2.0108387199999997,1.991582353173724,1.4850239326042742,2.0396640065314715,9.36125,11.094999999999999,9.273742719999998,2.7904605106156852,2.8661596332119266,5.485501633986928,5.633111928104574,5.482186762875817,5.191376273087887,3.6783286371553237,4.118307642615829,5.347291666666667,5.663749999999999,5.45359168,5.5415110911294185,4.574751166685642,4.982385620515619,4.185625,4.4425,4.0434896,3.7208040740905295,1.7977355441847012,2.392854676039259,5.633125000000001,5.575000000000001,5.428784960000001,5.104140286111639,1.9786522742478692,4.18948793711014,4.45875,4.5205248000000005,6.689230255101836,4.61067969236304,3.5735,3.5684999999999993,3.401945088,3.676379378642532,1.7267274238012362,1.597732459721072,4.539,4.6225,4.430941696,3.3412980344989838,2.7964302294916608,3.3762577781752365,5.6270625,5.757499999999999,5.403019136,4.6821404319158075,3.9301763218850705,4.145800752534453,9.315624999999999,9.35125,9.415512,9.810526987417749,8.877096835512939,9.047174889106284,5.148750000000001,5.340833333333334,4.947951786666667,2.3357952420431647,2.3554636673671845,2.023332248989102,6.105624999999999,6.0375,6.144501439999999,5.175715087321486,4.355046842291702,4.037811367580657,5.37,5.4775,4.95092544,2.1627467317594453,1.3776843534759053,0.9478151658041493,8.995,8.8775,8.86576448,5.9049111420073555,7.213003436506358,4.904821428571429,4.922500000000001,4.884461074285715,5.876713196673937,2.836115076194782,3.629207135117207,4.566770833333333,5.010000000000002,4.557260063999999,3.370658309503745,3.2470149069469034,3.2616510491558923,6.50796875,6.6537500000000005,6.4315542400000005,5.825592918556033,4.661572730140244,4.994540008157294
1997-11-30,POMKH,1.7674999999999998,6.35,4.931944444444444,3.815,3.0,4.715,,2.944,3.678,4.702,7.69,4.413333333333333,4.305,4.2,8.49,3.6257142857142854,3.083333333333333,5.61625,2.125625,2.1204166666666673,1.9135032319999996,1.9573589733340935,2.341502969413993,2.0106678188286966,8.4825,9.942499999999999,8.104245631999998,10.861092169609044,9.791610832411077,5.337891339869281,5.633111928104574,5.262089835503268,5.086231066498054,4.3720218433123605,4.762493578053682,5.052499999999999,5.4075,4.798155008,5.365829399350433,4.729142013575666,5.302500917753367,3.786875,4.3275,3.6260937600000003,3.6289570735722156,3.108069998441352,3.4789067673037404,5.1725,5.6487500000000015,5.143270976,4.838531500412435,4.429519398658439,5.228238735714355,,,,,3.7452499999999995,3.6054999999999993,3.2187670528,2.9802510201372012,2.9614371723256907,3.0003345190218322,4.352874999999999,4.6145,4.1297650176,3.2552816264141478,3.7508265816629356,3.764172334645137,5.4845625,5.663,5.1226114816,4.601214174280794,4.880926126001633,4.728092453521606,8.99375,9.375,8.7253072,9.148780429933433,7.971113073367096,8.374915469790622,4.843333333333334,5.251666666666668,4.734104405333333,2.456271968978326,3.8421851804174856,4.769997443662943,5.8481250000000005,6.1225,5.408700863999999,4.850151980301985,5.008931305132807,4.696677088216641,5.1850000000000005,5.4925,4.650555263999999,2.178420866309927,3.339997809836419,3.9635906934291305,8.71125,8.935,8.715458688,8.047537433000741,8.477878817528751,4.685,4.916785714285715,4.380962358857143,4.750147306546094,3.7808620255929224,4.437647034902532,3.9970833333333333,4.771458333333334,3.967689371733333,3.1408450183771772,3.8112610416851456,3.556497816628822,6.362968749999999,6.655312500000001,6.105432544,5.605301059057876,5.874346049504992,5.331231631295871
1998-02-28,POMRB,2.1575,8.91,4.7,5.125,3.92,5.67,6.56,3.668,4.433999999999998,5.7425,8.709999999999999,4.9366666666666665,5.995,4.9,8.97,4.785714285714286,4.52,6.2075,2.21875,2.142500000000001,2.0111019392,1.9861234243622372,2.1083479686035345,1.999307972146526,8.2,8.779999999999998,8.426547379199999,12.98302035978438,12.093096307745848,5.338919117647059,5.337891339869279,5.037253901301961,4.926590762881848,5.392423652838742,5.752240655690041,4.836666666666667,5.287083333333333,4.928893004800001,5.353710542330084,5.411660912549015,5.224671409346994,3.46,4.043749999999999,3.743656256,3.7024746264160977,4.519327836598314,4.57057639747338,4.64875,5.6175000000000015,5.3539625856,4.840284893464475,7.608794064552024,6.812938632430495,5.52125,5.33631488,2.106754399380393,4.475237260867916,3.902249999999999,3.541499999999999,3.39846023168,3.0117483608592113,4.1382725373603755,3.783793744037717,4.135125,4.463499999999999,4.251459010559999,3.445017318191899,5.025403437365389,4.622445692321971,5.329,5.591125,5.37056688896,4.716123366010275,5.890791349711405,5.554927247427665,8.58,9.25625,8.71918432,8.941839776434131,9.252139842276268,9.019395119731813,4.49875,5.045833333333334,4.815129309866666,2.7207321253582335,5.15479712439726,5.430271828628669,5.38375,6.08875,5.6432205184,5.031792204266789,6.221099049975997,6.4395184647205035,4.99875,5.2475,4.7503331584,2.3940726553844907,5.552838510181919,5.498789279541802,8.120000000000001,9.055,8.8172752128,8.529660162921605,8.707292514050858,4.241607142857142,4.892857142857142,4.542863129600001,4.487290233508307,5.3278876857795305,5.492930522782199,3.6412500000000003,4.3620833333333335,4.18861362304,3.269870676486982,5.015430707870797,4.933382637415912,6.675225694444444,6.360625,6.1462595264,5.588435773991698,6.915548616738704,7.421550539035453
1998-05-31,PREMON,3.8175,15.85,7.527843137254902,6.366666666666666,5.275,5.025,6.655,6.9099999999999975,5.925,7.5074999999999985,10.65,5.846666666666668,7.2799999999999985,9.5,7.53,5.562857142857141,4.585,9.40125,2.3240625,2.1087500000000006,2.73366116352,2.257013072436863,3.5051019614876977,3.4126742256820153,7.615,8.184999999999999,11.395928427519998,17.09119636653098,16.45516075711718,5.248453839869281,5.337891339869279,6.033489595683138,5.693482570625065,7.29800335883176,6.914594731728819,4.880416666666667,4.817916666666667,5.504002469546667,5.479991594875937,7.165075870762628,6.79486784941739,3.141875,3.529999999999999,4.3561937536,4.018995108787043,6.85236312694923,6.347750524913231,4.314375,4.727500000000001,5.22237755136,4.710369666183685,8.605854742354605,7.656414568398191,5.545000000000001,5.863788928,6.5965328039611295,6.217404418714924,3.762749999999999,3.948999999999998,4.803076139007999,5.269327087852869,5.377130798547849,5.343890206908073,3.811999999999999,4.2422499999999985,4.920875406335999,4.11343820176634,6.884228832327302,6.596259079398086,5.146249999999999,5.378,6.225340133375999,5.137058397535958,7.5645732237045955,7.201721725492452,8.281875,8.73125,9.491510592000001,9.509771944787099,11.352805237256945,11.275855757509603,4.179583333333333,4.640833333333334,5.227744252586667,3.196634882918862,7.1262617257371765,7.3994982723913525,4.954374999999999,5.6075,6.297932311039999,5.576682130915471,8.664049321299805,8.466739018657702,4.4375,5.1225,6.65019989504,3.6260172459783333,9.015438617861456,9.450506054207985,7.586250000000001,8.3675,8.302365127680002,10.59946603134825,10.064871707723873,3.7662499999999994,4.477142857142856,4.950860734902857,4.750299589524507,7.126306932703418,6.913237222726542,3.55,3.632083333333334,4.3471681738240004,3.430457847322949,7.1079925908614445,6.90825604488044,6.92546875,6.3653125,7.44825571584,6.441245289691151,10.087418095269005,9.091256872536535
