Date,Season,Nongpoh,Nongpoh_Trend,Nongpoh_SMA,Nongpoh_EWMA,Nongpoh_DES,Nongpoh_TES,Nongpoh_ARIMA
1996-02-29,POMRB,2.1,,,2.1,1.5356820745873685,2.11,0.0
1996-05-31,PREMON,2.12,,,2.108,1.6166688188316207,2.137451523545706,2.099999015562391
1996-08-31,MONSOON,1.2,1.555,,1.7448,1.5690300187602737,1.2225608305645286,2.111506396896393
1996-11-30,POMKH,1.43,1.3087499999999999,1.7125000000000001,1.6188799999999999,1.5569735798078812,1.4555945679920412,1.7246493019266957
1997-02-28,POMRB,0.84,1.2174999999999998,1.3975,1.3073279999999998,1.4704327996177344,2.1231710280445855,1.9341393868333776
1997-05-31,PREMON,1.41,1.0625,1.22,1.3483967999999997,1.4681320620833762,1.8200616153982772,1.736298801529675
1997-08-31,MONSOON,1.18,0.9974999999999999,1.2149999999999999,1.2810380799999996,1.4364949804145428,0.7434531565271001,1.2153960487868232
1997-11-30,POMKH,0.21,1.0887499999999999,0.9099999999999999,0.8526228479999998,1.283878372574051,1.0151910775047324,1.471617855893158
1998-02-28,POMRB,1.54,1.07125,1.085,1.1275737088,1.3216543495004232,0.9639391886665619,1.1325194964422258
1998-05-31,PREMON,1.44,1.21625,1.0924999999999998,1.2525442252799999,1.3418255813011437,1.3649373966993177,1.629907552329836
1998-08-31,MONSOON,1.01,1.345,1.0499999999999998,1.155526535168,1.3040897763647727,0.7148885847550772,1.1670966074119606
1998-11-30,POMKH,1.54,1.54625,1.3824999999999998,1.3093159211008,1.3393378810398286,0.5056194808092684,0.793554050898287
1999-02-28,POMRB,1.24,1.7974999999999999,1.3074999999999999,1.28158955266048,1.3315373177294765,1.4383116034654146,1.3794651279478376
1999-05-31,PREMON,3.35,1.80625,1.7850000000000001,2.108953731596288,1.5964813099469308,1.5451680435072155,1.3914933545760932
1999-08-31,MONSOON,1.11,1.7875,1.81,1.7093722389577728,1.5397753540243313,1.4704797840022887,1.5277064160259797
1999-11-30,POMKH,1.51,1.653125,1.8025,1.6296233433746636,1.5416818774150145,1.496625076437248,1.1111312575108563
2000-02-29,POMRB,1.12,1.5325,1.7725,1.425774006024798,1.4931177776169122,1.8160378924463338,1.4920498087710015
2000-05-31,PREMON,2.395,1.5237499999999997,1.53375,1.813464403614879,1.614848226612661,2.5898691878055895,2.279423908236706
2000-08-31,MONSOON,1.1,1.5274999999999999,1.5312499999999998,1.5280786421689276,1.5545570869697862,1.241574447681315,1.203060728100034
2000-11-30,POMKH,1.45,1.658125,1.5162499999999999,1.4968471853013565,1.5468868092802157,1.4063728592204758,1.5211246062375428
2001-02-28,POMRB,1.21,1.7781250000000002,1.5387499999999998,1.382108311180814,1.509263759947166,1.4269646053813818,1.2488490324360209
2001-05-31,PREMON,3.35,1.7825000000000002,1.7774999999999999,2.1692649867084883,1.7519792248312802,2.4637003603881027,2.4940272255005964
2001-08-31,MONSOON,1.105,1.7806250000000001,1.77875,1.743558992025093,1.6751808964636496,1.3879796783178924,1.3837658137090738
2001-11-30,POMKH,1.48,1.6302272727272726,1.7862500000000001,1.6381353952150555,1.6562880212416367,1.6102981277628317,1.4977300557504096
2002-02-28,POMRB,1.165,1.4648295454545452,1.7750000000000001,1.4488812371290332,1.599185969465605,1.5096153393026213,1.2809580574762225
2002-05-31,PREMON,2.191818181818182,1.4185795454545456,1.4854545454545458,1.7460560150046927,1.6814803944607044,2.9316341766188962,2.6271684077929978
2002-08-31,MONSOON,0.94,1.3985795454545453,1.4442045454545456,1.4236336090028154,1.5922473938837252,1.0164057833493352,1.1371101485739217
2002-11-30,POMKH,1.275,1.2052272727272728,1.3929545454545456,1.3641801654016894,1.5573230530117887,1.2812397406003277,1.4371781674219977
2003-02-28,POMRB,1.21,0.9862500000000001,1.4042045454545455,1.3025080992410136,1.5183947261626307,1.0759891365188166,1.223288739633077
2003-05-31,PREMON,0.6,0.944375,1.00625,1.0215048595446081,1.405766958828443,2.4226580950151897,2.3881382295707794
2003-08-31,MONSOON,0.78,1.0508333333333333,0.9662500000000002,0.9249029157267649,1.3304098036161764,0.4453711821306554,0.7566415313468521
2003-11-30,POMKH,1.1,1.1791666666666667,0.9225000000000002,0.994941749436059,1.3056938275861825,0.7623009369162687,1.2707245733202657
2004-02-29,POMRB,2.236666666666667,1.1791666666666667,1.179166666666667,1.491631716328302,1.4304722836863413,0.6360851522628309,1.144007314636332
2004-05-31,PREMON,0.6,1.1791666666666667,1.179166666666667,1.1349790297969813,1.3288411153467161,1.5905835257053855,1.4477962610591468
2004-08-31,MONSOON,0.78,1.1791666666666667,1.179166666666667,0.9929874178781888,1.2631051970935474,0.6400945092075898,0.8174837173381572
2004-11-30,POMKH,1.1,1.1791666666666667,1.1791666666666671,1.0357924507269134,1.2468071146931095,0.9653650131257787,1.1493213242629432
2005-02-28,POMRB,2.236666666666667,1.1791666666666667,1.1791666666666671,1.5161421371028148,1.3789506251474817,1.3008752996509907,1.6484440663316775
2005-05-31,PREMON,0.6,1.1791666666666667,1.1791666666666671,1.1496852822616888,1.2837633521607341,1.1705176386547758,0.850497231444914
2005-08-31,MONSOON,0.78,1.1791666666666667,1.1791666666666671,1.0018111693570133,1.2236653810728957,0.7533169155267685,0.8604336357910227
2005-11-30,POMKH,1.1,1.1791666666666667,1.1791666666666671,1.041086701614208,1.212300098865257,1.0761486075168603,1.1097155697966472
2006-02-28,POMRB,2.236666666666667,1.1791666666666667,1.1791666666666671,1.5193186876351916,1.3487594563874608,1.70192808149406,1.9924757626673402
