Date,Season,Luni,Balesar,Osian,Bap,Mandor,Bhopalgarh,Bilara,Bawari,Shergarh,Phalodi,Luni_Trend,Luni_SMA,Luni_EWMA,Luni_DES,Luni_TES,Luni_ARIMA,Balesar_Trend,Balesar_SMA,Balesar_EWMA,Balesar_DES,Balesar_TES,Balesar_ARIMA,Osian_Trend,Osian_SMA,Osian_EWMA,Osian_DES,Osian_TES,Osian_ARIMA,Bap_Trend,Bap_SMA,Bap_EWMA,Bap_DES,Bap_TES,Bap_ARIMA,Mandor_Trend,Mandor_SMA,Mandor_EWMA,Mandor_DES,Mandor_TES,Mandor_ARIMA,Bhopalgarh_Trend,Bhopalgarh_SMA,Bhopalgarh_EWMA,Bhopalgarh_DES,Bhopalgarh_TES,Bhopalgarh_ARIMA,Bilara_Trend,Bilara_SMA,Bilara_EWMA,Bilara_DES,Bilara_TES,Bilara_ARIMA,Bawari_Trend,Bawari_SMA,Bawari_EWMA,Bawari_DES,Bawari_TES,Bawari_ARIMA,Shergarh_Trend,Shergarh_SMA,Shergarh_EWMA,Shergarh_DES,Shergarh_TES,Shergarh_ARIMA,Phalodi_Trend,Phalodi_SMA,Phalodi_EWMA,Phalodi_DES,Phalodi_TES,Phalodi_ARIMA
2002-11-30,POMKH,20.503636363636364,22.565,28.665,13.4425,23.657857142857146,20.963333333333328,20.05,31.481153846153845,3.59,62.85333333333333,20.211810606060606,20.649045454545448,20.615739813016056,20.159083321726015,20.858783718035433,20.641619174759875,23.459375,26.261250000000004,24.99408696376519,27.02130612936764,27.120097931225754,26.970512939850735,40.565416666666664,43.01370833333331,40.36713260361914,41.57267101439185,45.9243883826294,48.052868491010116,13.1703125,12.787499999999994,13.023288694901149,12.726970734257986,13.048815298393606,12.314402302796799,23.647076673326676,23.46835989010989,23.15443147026855,22.98942148238525,21.98935117124343,22.728032005926128,24.109444444444446,21.72229166666666,22.20211358010313,24.153988936122072,24.081038525163464,21.92225911397778,19.3246875,17.183749999999996,18.46464518683573,17.916372666523106,15.289469998355344,16.849594895139017,33.78867523101898,30.818027909590402,31.543873064976793,30.43268030540332,30.423298938382768,29.742372706644773,4.185,4.044999999999993,4.774692028189718,3.493087756575618,5.236474803007942,7.249746883745434,62.479791666666664,60.91541666666666,61.56635223752967,60.34353009240705,60.018473342840906,59.34416844422641
2003-02-28,POMRB,17.643333333333327,23.345,33.932500000000005,13.495,24.232307692307696,25.145,18.95,33.15,4.42,63.81999999999999,20.305422979797978,19.91712878787878,19.426777221142963,19.36784431838052,20.185725875514997,20.598691457179285,22.887083333333337,24.325000000000003,24.334452178259113,26.975657598294095,29.758257407440354,29.65389298479168,38.79649305555556,42.075833333333314,37.793279562171485,39.23040312952421,43.15701194119474,41.15460243801269,13.201493055555556,12.858749999999995,13.211973216940688,12.862124901426691,12.718236019237212,12.34556422207099,23.937782009657013,23.148186813186815,23.58558195908421,23.414192501630307,23.887624221007936,23.905160349566266,25.55763888888889,22.86187499999999,23.379268148061875,24.075146393901072,22.40406821798942,22.564145688073697,19.413541666666664,18.840624999999996,18.65878711210144,18.10767471667807,19.71818571351527,17.87623291079941,34.15932255244755,33.4180279095904,32.18632383898608,31.510564144067054,28.410053583500694,27.75727280734091,3.9325,4.324999999999993,4.632815216913831,4.3421068809403405,6.409374586954236,6.392713539354663,62.62145833333334,62.14291666666666,62.4678113425178,61.04287012004466,59.805183495215054,58.72879409296468
2003-05-31,PREMON,22.282,22.07500000000001,47.78,13.355,25.29727272727273,31.087222222222227,20.2175,33.2,3.85,62.24,20.109467171717167,20.506492424242417,20.56886633268578,20.0290912499141,20.401335625848112,19.67925245085819,23.46194444444445,22.593750000000007,23.43067130695547,26.9300697511866,27.63389066571265,27.66043411254289,39.52365277777777,39.054999999999986,41.78796773730289,40.954852529331745,40.99115856409913,41.00332475271202,12.62767361111111,13.481874999999995,13.269183930164413,12.918515897030034,12.638102254759078,13.899923568342269,23.432970501720508,24.145966533466535,24.27025826635962,24.08875736643184,24.216589641918876,23.04446106767751,26.296944444444442,25.35701388888888,26.462449777726015,24.992609704310194,26.531728314989053,22.34986821038188,18.58277777777778,19.808749999999996,19.282272267260865,18.709369682958478,20.01684499472733,18.063301342121996,34.080428321678326,34.15932255244755,32.59179430339165,32.43435604383209,27.189174562667827,30.94581636501499,3.8762499999999998,4.044999999999994,4.319689130148298,3.858366020442401,2.8786570181654643,6.442835325171719,61.89569444444444,62.81666666666665,62.37668680551068,61.39270849400255,61.570583127124905,59.28504656844594
2003-08-31,MONSOON,19.988444444444443,24.736666666666668,43.774444444444434,11.391944444444444,21.730952380952388,25.8375,16.855833333333333,38.80613636363636,3.42,60.79166666666666,20.559384785353537,20.104353535353525,20.336697577389245,19.898557490732912,19.502788646732586,20.488991074314654,24.014722222222225,23.180416666666673,23.953069450839948,26.88459498472866,26.345336900896257,21.355762751028806,41.29650173611111,38.537986111111096,42.58255842015951,41.23061567938058,44.28811879540662,45.0403614701011,11.969913194444445,12.921111111111108,12.518288135876425,12.402884811548438,13.824491709733723,12.306948998890242,22.996845921439675,23.72959748584749,23.25453591219673,23.0991220520414,24.09600539447625,24.365498162859485,26.827708333333337,25.75826388888888,26.212469866635608,25.035356788842616,23.8523555597327,25.77495831511773,17.65776909722222,19.01833333333333,18.311696693689854,17.784749816703602,18.782562848554495,18.667786123774174,33.82653409090909,34.15932255244755,35.077531127489536,34.338788745444845,34.362674581264685,31.79660145585519,3.83,3.819999999999993,3.9598134780889787,3.3082037063947065,5.44106062875101,5.813571876075562,60.65982638888889,62.42624999999999,61.74267874997307,61.42240492025572,62.12759195283243,61.96215027381895
2003-11-30,POMKH,20.544545454545453,24.817222222222227,36.55033333333333,11.095,21.28484126984127,25.272777777777772,16.565555555555555,30.85,4.04,58.60888888888889,21.043822285353535,20.1145808080808,20.419836728251727,19.951878924638994,20.547323537571692,20.33326642899554,24.622378472222223,23.74347222222223,24.298730559392858,26.839198641113413,26.240561046739394,21.52267916377691,42.18686111111111,40.50931944444443,40.169668385429034,39.63094297590005,40.36012764358382,43.99211950759949,11.274887152777776,12.334236111111107,11.948972881525854,11.952491367841857,12.890566713932284,12.071713463297838,22.717891180867746,23.136343517593517,22.466658055254545,22.325227890935693,22.325152467462505,22.674920248793605,26.734375,26.83562499999999,25.836593031092477,24.99494703472198,24.358319666903068,25.19216108881824,16.908185763888888,18.147222222222222,17.613240238436134,17.11389473000117,16.19409618146272,17.72335421082085,33.62653409090909,34.00153409090909,33.38651867649372,34.375558075057405,33.87012428543518,34.585182384286455,4.1575,3.932499999999993,3.991888086853387,3.9672209565824534,3.952446515040595,5.27293683087997,59.52779513888889,61.365138888888886,60.489162805539394,60.99884998279365,61.718592958206365,60.56585881854449
2004-02-29,POMRB,21.201765151515147,25.515,40.229958333333336,10.580416666666666,23.11632692307693,25.08166666666667,15.034375,31.75,3.6,58.1775,21.260343434343433,21.004188762626253,20.732608097557094,20.165897056053097,19.98274796700897,20.398997270738988,24.815034722222226,24.28597222222223,24.785238335635718,26.79388882883344,29.001801371537013,22.266649460597026,42.12000347222222,42.083684027777764,40.193784364590755,39.36612023308088,41.29243481421234,41.21360325780041,10.719010416666666,11.605590277777774,11.40155039558218,11.486838259145404,11.92454098349386,11.76583971508995,22.703106655497283,22.857348325285823,22.726525602383497,22.574708052190907,22.975346537734694,22.432684887249465,27.000069444444442,26.819791666666656,25.534622485322153,24.934571764927284,23.524359033500495,26.115159681545773,16.680555555555557,17.16831597222222,16.581694143061682,16.12089160418419,18.870827976871908,17.045268092444015,32.094517045454545,33.65153409090909,32.73191120589623,34.545895286413334,31.759663025747948,28.406810947179892,4.615,3.7274999999999934,3.8351328521120323,3.597914665774549,5.910700165087325,5.346653235712908,58.686840277777776,59.95451388888888,59.56449768332364,60.49400142320593,61.12715770002885,61.109393377016424
2004-05-31,PREMON,22.59906818181818,24.76625,48.60541666666666,10.709375,24.181615571928074,30.40388888888889,18.136458333333334,33.0,7.289999999999999,58.82625,21.588695707070706,21.0834558080808,21.479192131261527,20.69413144277443,21.370308101928934,20.648745717781278,24.543506944444445,24.958784722222227,24.77764300138143,26.74864608514545,26.99808783265015,21.05531320808223,42.25659375,42.29003819444443,43.55843728542112,41.261353268265,41.372220147757105,41.80705213390545,10.289010416666668,10.944184027777773,11.12468023734931,11.192515206405965,11.228803669462907,13.004931893830872,22.89425496898935,22.57843403644966,23.30856159020133,23.143296478429786,23.210456403311955,23.330717203088618,27.79840277777778,26.648958333333322,27.48232904674885,25.753517826641197,27.62658143636206,27.715418068545116,16.771805555555556,16.648055555555555,17.203599819170343,16.70917905127439,17.944727995119713,16.04442450306112,30.5875,33.601534090909084,32.83914672353774,34.9055991002282,29.90120640046823,33.280305915020165,4.5125,4.587499999999993,5.217079711267219,8.645340448335444,2.2344519340741265,4.899317541000124,58.068437499999995,59.101076388888885,59.269198609994184,60.13664097744594,60.92860720663803,60.47604544848563
2004-08-31,MONSOON,21.40354545454545,23.58666666666667,42.41416666666667,9.590555555555557,22.72833333333333,28.64638888888889,17.11583333333333,26.75,3.64,57.477777777777774,22.034030618686867,21.437231060606052,21.4489334605751,20.759609504622283,20.277662929030857,21.255508915872696,24.215729166666666,24.67128472222223,24.301252467495527,26.703464542868286,25.860797110833285,23.594032361974808,43.55572395833333,41.94996874999998,43.100729037919336,41.11775395634338,44.79157980831671,44.713475212362304,9.730381944444446,10.49383680555555,10.511030364631809,10.666698965845903,12.056340218246103,10.694794085786985,22.991814798049177,22.8277792745449,23.07647028745413,22.917795590978677,23.039409356140464,23.089590098050017,27.500416666666666,27.351180555555544,27.947952983604864,26.255633766908446,24.792384259188086,26.22563323479942,16.63750868055556,16.713055555555552,17.168493224835537,16.673928824662685,16.706883392449047,16.650748016287967,30.7625,30.58749999999999,30.403488034122645,33.93113412937498,36.27606046427717,37.103521511207035,6.27625,4.642499999999993,4.5862478267603315,4.7353716855958945,6.646621361628044,6.803935534236156,57.43541666666667,58.27260416666666,58.55263027710762,59.53794646843256,60.487191023396186,61.1866835063578
2004-11-30,POMKH,21.756262626262625,23.795,39.00333333333333,9.45638888888889,21.81664682539683,28.85055555555555,17.035555555555558,30.85,3.0,56.975555555555566,22.479608270202018,21.740160353535344,21.57186512685011,20.90128185478276,21.529192499133366,21.301564440174836,23.771197916666665,24.415729166666672,24.098751480497317,26.658362630757097,25.69493216526982,23.670866901176318,43.21296875,42.56321874999998,41.46177075608493,40.159900172282974,40.350838660462614,43.034270170520415,9.387907986111111,10.084184027777772,10.089173774334641,10.255147916200185,11.112767821475275,10.463901281328035,23.134482700459262,22.96073066343379,22.57254090263121,22.42393170428318,22.214919858717128,22.677903805568377,27.325347222222224,28.24562499999999,28.308994012385142,26.765203060677425,25.770026543519172,26.639214406348454,16.409487847222223,16.830555555555556,17.115318157123546,16.621819666831048,15.0507491474198,16.617078861742385,30.9625,30.58749999999999,30.58209282047359,33.86171681619284,31.96188102547573,26.353081600831466,9.680625,4.382499999999993,3.951748696056199,3.0971212812603195,4.711639713308912,4.799551630015418,56.56786458333333,57.864270833333336,57.921800388486794,58.88487641301141,59.294255787885575,59.55334849308502
2005-02-28,POMRB,23.55272727272727,23.915,48.17,7.75,23.365,19.12,13.49,33.15,18.75,54.74666666666667,22.329622474747474,22.327900883838375,22.364209985200972,21.483319230990134,21.045325025588312,21.443025214300327,23.435833333333335,24.01572916666667,24.025250888298388,26.613339033887932,28.403478677641207,24.336412978673515,41.71635416666667,44.548229166666644,44.14506245365096,41.739930233138544,41.96076416977867,41.633360474462236,9.169583333333334,9.376579861111106,9.153504264600786,9.479718791579698,10.18714237630801,10.22051712946708,22.98859623015873,23.022898932664557,22.889524541578727,22.731929738419662,23.160930991135196,22.612355351221318,28.3834375,26.75520833333332,24.633396407431086,25.65491402928455,25.49604204054335,26.713761644730752,16.466284722222223,16.444461805555555,15.665190894274128,15.231026163651316,18.371480162818152,16.565732432365174,31.459375,30.937499999999993,31.60925569228415,34.22900944836783,30.719403850127733,34.21725297201464,13.1325,8.169999999999993,9.871049217633718,38.980468983493815,5.855025841339625,4.260542764302176,55.836527777777775,57.0065625,56.65174689975875,57.85379623192264,58.855134050515424,59.72248999222825
