Date,Season,Veldurthi_gnt,Rentachintala,Tadepalli,Duggirala,Vinukonda,Cherukupalle,Kollipara,Amaravati,Phirangipuram,Pedakakani,Chebrolu,Ipur,Edlapadu,Bapatla,Nuzendla,Guntur,Thulluru,Dachepalle,Medikonduru,Savalyapuram,Chilakaluripeta,Pedakurapadu,Durgi,Tadikonda,Rajupalem_gnt,Gurajala,Nizampatnam,Bellamkonda,Tsundur,Piduguralla,Ponnur,Kollur,Pittalavanipalem,Krosuru,Muppalla,Atchampeta,Battiprolu,Karempudi,Bollapalle,Sattenapalli,Vemuru,Karlapalem,Macherla,Mangalagiri,Narasaraopet,Machavaram,Pedanandipadu,Nekarikallu,Tenali,Rompicherla_gnt,Nagaram,Amruthaluru,Repalle,Prathipadu_gnt,Nadendla,Veldurthi_gnt_Trend,Veldurthi_gnt_SMA,Veldurthi_gnt_EWMA,Veldurthi_gnt_DES,Veldurthi_gnt_TES,Veldurthi_gnt_ARIMA,Rentachintala_Trend,Rentachintala_SMA,Rentachintala_EWMA,Rentachintala_DES,Rentachintala_TES,Rentachintala_ARIMA,Tadepalli_Trend,Tadepalli_SMA,Tadepalli_EWMA,Tadepalli_DES,Tadepalli_TES,Tadepalli_ARIMA,Duggirala_Trend,Duggirala_SMA,Duggirala_EWMA,Duggirala_DES,Duggirala_TES,Duggirala_ARIMA,Vinukonda_Trend,Vinukonda_SMA,Vinukonda_EWMA,Vinukonda_TES,Vinukonda_ARIMA,Cherukupalle_Trend,Cherukupalle_SMA,Cherukupalle_EWMA,Cherukupalle_DES,Cherukupalle_TES,Cherukupalle_ARIMA,Kollipara_Trend,Kollipara_SMA,Kollipara_EWMA,Kollipara_DES,Kollipara_TES,Kollipara_ARIMA,Amaravati_Trend,Amaravati_SMA,Amaravati_EWMA,Amaravati_DES,Amaravati_TES,Amaravati_ARIMA,Phirangipuram_Trend,Phirangipuram_SMA,Phirangipuram_EWMA,Phirangipuram_DES,Phirangipuram_TES,Phirangipuram_ARIMA,Pedakakani_Trend,Pedakakani_SMA,Pedakakani_EWMA,Pedakakani_TES,Pedakakani_ARIMA,Chebrolu_Trend,Chebrolu_SMA,Chebrolu_EWMA,Chebrolu_DES,Chebrolu_TES,Chebrolu_ARIMA,Ipur_Trend,Ipur_SMA,Ipur_EWMA,Ipur_DES,Ipur_TES,Ipur_ARIMA,Edlapadu_Trend,Edlapadu_SMA,Edlapadu_EWMA,Edlapadu_DES,Edlapadu_TES,Edlapadu_ARIMA,Bapatla_Trend,Bapatla_SMA,Bapatla_EWMA,Bapatla_DES,Bapatla_TES,Bapatla_ARIMA,Nuzendla_Trend,Nuzendla_SMA,Nuzendla_EWMA,Nuzendla_DES,Nuzendla_TES,Nuzendla_ARIMA,Guntur_Trend,Guntur_SMA,Guntur_EWMA,Guntur_DES,Guntur_TES,Guntur_ARIMA,Thulluru_Trend,Thulluru_SMA,Thulluru_EWMA,Thulluru_DES,Thulluru_TES,Thulluru_ARIMA,Dachepalle_Trend,Dachepalle_SMA,Dachepalle_EWMA,Dachepalle_DES,Dachepalle_TES,Dachepalle_ARIMA,Medikonduru_Trend,Medikonduru_SMA,Medikonduru_EWMA,Medikonduru_DES,Medikonduru_TES,Medikonduru_ARIMA,Savalyapuram_Trend,Savalyapuram_SMA,Savalyapuram_EWMA,Savalyapuram_DES,Savalyapuram_TES,Savalyapuram_ARIMA,Chilakaluripeta_Trend,Chilakaluripeta_SMA,Chilakaluripeta_EWMA,Chilakaluripeta_DES,Chilakaluripeta_TES,Chilakaluripeta_ARIMA,Pedakurapadu_Trend,Pedakurapadu_SMA,Pedakurapadu_EWMA,Pedakurapadu_DES,Pedakurapadu_TES,Pedakurapadu_ARIMA,Durgi_Trend,Durgi_SMA,Durgi_EWMA,Durgi_DES,Durgi_TES,Durgi_ARIMA,Tadikonda_Trend,Tadikonda_SMA,Tadikonda_EWMA,Tadikonda_DES,Tadikonda_TES,Tadikonda_ARIMA,Rajupalem_gnt_Trend,Rajupalem_gnt_SMA,Rajupalem_gnt_EWMA,Rajupalem_gnt_DES,Rajupalem_gnt_TES,Rajupalem_gnt_ARIMA,Gurajala_Trend,Gurajala_SMA,Gurajala_EWMA,Gurajala_DES,Gurajala_TES,Gurajala_ARIMA,Nizampatnam_Trend,Nizampatnam_SMA,Nizampatnam_EWMA,Nizampatnam_DES,Nizampatnam_TES,Nizampatnam_ARIMA,Bellamkonda_Trend,Bellamkonda_SMA,Bellamkonda_EWMA,Bellamkonda_DES,Bellamkonda_TES,Bellamkonda_ARIMA,Tsundur_Trend,Tsundur_SMA,Tsundur_EWMA,Tsundur_DES,Tsundur_TES,Tsundur_ARIMA,Piduguralla_Trend,Piduguralla_SMA,Piduguralla_EWMA,Piduguralla_DES,Piduguralla_TES,Piduguralla_ARIMA,Ponnur_Trend,Ponnur_SMA,Ponnur_EWMA,Ponnur_DES,Ponnur_TES,Ponnur_ARIMA,Kollur_Trend,Kollur_SMA,Kollur_EWMA,Kollur_DES,Kollur_TES,Kollur_ARIMA,Pittalavanipalem_Trend,Pittalavanipalem_SMA,Pittalavanipalem_EWMA,Pittalavanipalem_DES,Pittalavanipalem_TES,Pittalavanipalem_ARIMA,Krosuru_Trend,Krosuru_SMA,Krosuru_EWMA,Krosuru_DES,Krosuru_TES,Krosuru_ARIMA,Muppalla_Trend,Muppalla_SMA,Muppalla_EWMA,Muppalla_DES,Muppalla_TES,Muppalla_ARIMA,Atchampeta_Trend,Atchampeta_SMA,Atchampeta_EWMA,Atchampeta_DES,Atchampeta_TES,Atchampeta_ARIMA,Battiprolu_Trend,Battiprolu_SMA,Battiprolu_EWMA,Battiprolu_TES,Battiprolu_ARIMA,Karempudi_Trend,Karempudi_SMA,Karempudi_EWMA,Karempudi_DES,Karempudi_TES,Karempudi_ARIMA,Bollapalle_Trend,Bollapalle_SMA,Bollapalle_EWMA,Bollapalle_DES,Bollapalle_TES,Bollapalle_ARIMA,Sattenapalli_Trend,Sattenapalli_SMA,Sattenapalli_EWMA,Sattenapalli_DES,Sattenapalli_TES,Sattenapalli_ARIMA,Vemuru_Trend,Vemuru_SMA,Vemuru_EWMA,Vemuru_DES,Vemuru_TES,Vemuru_ARIMA,Karlapalem_Trend,Karlapalem_SMA,Karlapalem_EWMA,Karlapalem_DES,Karlapalem_TES,Karlapalem_ARIMA,Macherla_Trend,Macherla_SMA,Macherla_EWMA,Macherla_DES,Macherla_TES,Macherla_ARIMA,Mangalagiri_Trend,Mangalagiri_SMA,Mangalagiri_EWMA,Mangalagiri_TES,Mangalagiri_ARIMA,Narasaraopet_Trend,Narasaraopet_SMA,Narasaraopet_EWMA,Narasaraopet_DES,Narasaraopet_TES,Narasaraopet_ARIMA,Machavaram_Trend,Machavaram_SMA,Machavaram_EWMA,Machavaram_DES,Machavaram_TES,Machavaram_ARIMA,Pedanandipadu_Trend,Pedanandipadu_SMA,Pedanandipadu_EWMA,Pedanandipadu_TES,Pedanandipadu_ARIMA,Nekarikallu_Trend,Nekarikallu_SMA,Nekarikallu_EWMA,Nekarikallu_DES,Nekarikallu_TES,Nekarikallu_ARIMA,Tenali_Trend,Tenali_SMA,Tenali_EWMA,Tenali_DES,Tenali_TES,Tenali_ARIMA,Rompicherla_gnt_Trend,Rompicherla_gnt_SMA,Rompicherla_gnt_EWMA,Rompicherla_gnt_DES,Rompicherla_gnt_TES,Rompicherla_gnt_ARIMA,Nagaram_Trend,Nagaram_SMA,Nagaram_EWMA,Nagaram_DES,Nagaram_TES,Nagaram_ARIMA,Amruthaluru_Trend,Amruthaluru_SMA,Amruthaluru_EWMA,Amruthaluru_DES,Amruthaluru_TES,Amruthaluru_ARIMA,Repalle_Trend,Repalle_SMA,Repalle_EWMA,Repalle_DES,Repalle_TES,Repalle_ARIMA,Prathipadu_gnt_Trend,Prathipadu_gnt_SMA,Prathipadu_gnt_EWMA,Prathipadu_gnt_DES,Prathipadu_gnt_TES,Prathipadu_gnt_ARIMA,Nadendla_Trend,Nadendla_SMA,Nadendla_EWMA,Nadendla_DES,Nadendla_TES,Nadendla_ARIMA
1996-02-29,POMRB,10.712133333333332,1.2,9.61,2.298,5.22,3.39,4.76,3.603333333333333,3.69,,4.07,0.56,3.26,1.62,2.224,2.49,2.4506666666666663,6.65,3.37,1.403,3.44,1.662,4.3,14.35,3.608,2.34,1.12,3.875,1.402,4.9,3.064285714285714,3.92,1.8166666666666669,2.475,1.6960000000000002,2.06,,3.305,14.642999999999995,4.46,3.16,2.4146153846153844,5.2,2.16,4.0,4.94,0.4538461538461538,1.77,2.495,1.28,1.53,2.448,1.47,1.58,3.5045,,,10.712133333333332,9.869808816748453,10.75390126022456,0.0,,,1.2,0.06683375024607041,1.0099012666268943,0.0,,,9.61,9.57732083044415,9.717085542451546,0.0,,,2.298,3.6909764006201766,2.308,0.0,,,5.22,5.238183615473958,0.0,,,3.39,5.30452258965999,3.5347128389684555,0.0,,,4.76,3.955074885083549,4.718446039426539,0.0,,,3.603333333333333,4.712256239831426,4.1446898534619,0.0,,,3.69,4.2835443787727385,3.892138555691909,0.0,,,,,,,,4.07,4.54093576445179,4.183537497002785,0.0,,,0.56,0.781893574573637,0.5485566543698039,0.0,,,3.26,2.0658832866599024,3.242173053734571,0.0,,,1.62,1.3929603636987993,1.1107711767199369,0.0,,,2.224,2.6339265462863346,2.183113213253978,0.0,,,2.49,2.5080548257209463,2.489453254604597,0.0,,,2.4506666666666663,3.7342067414576405,2.4134513615053064,0.0,,,6.65,6.620058830814968,6.519554757284024,0.0,,,3.37,3.5658453876834173,3.6459577740162183,0.0,,,1.403,1.9170801467713896,1.4433852642255904,0.0,,,3.44,3.561235987232029,3.612432766111481,0.0,,,1.662,3.5161353790613727,1.693572089532203,0.0,,,4.3,15.153383915333078,4.8568019348458815,0.0,,,14.35,3.8904143273259266,13.66774204565852,0.0,,,3.608,6.318554364780081,3.618007881582904,0.0,,,2.34,2.6431452424234303,2.562604816164585,0.0,,,1.12,1.0428520105356107,1.0184627552713919,0.0,,,3.875,3.790651249919979,3.307544485315389,0.0,,,1.402,3.686103175456553,1.364338879565398,0.0,,,4.9,4.07230543077031,4.945625000000001,0.0,,,3.064285714285714,2.464808835357132,3.0104764491647096,0.0,,,3.92,5.7826601872557815,3.9254416748616703,0.0,,,1.8166666666666669,2.487953032837501,1.826666607915587,0.0,,,2.475,3.2227689653667344,2.620968037612187,0.0,,,1.6960000000000002,0.9092822640427703,1.7060000000000002,0.0,,,2.06,0.8489779492810278,2.25153485743475,0.0,,,,,,,,3.305,3.561462445406699,3.520972643284818,0.0,,,14.642999999999995,14.25601738320477,14.813572206921965,0.0,,,4.46,4.704236376742045,4.466642947075025,0.0,,,3.16,2.9083745429613255,2.2836234230600416,0.0,,,2.4146153846153844,2.1115627521078224,2.383593007815907,0.0,,,5.2,6.895186945881785,5.21,0.0,,,2.16,1.8889216314035064,0.0,,,4.0,4.262731681441818,3.9793282593793977,0.0,,,4.94,5.250793159929351,5.336562081886501,0.0,,,0.4538461538461538,0.4562030818171575,0.0,,,1.77,1.9826585859769117,1.7817464751541832,0.0,,,2.495,2.517347881813922,2.469251098108416,0.0,,,1.28,2.066087291960166,1.29,0.0,,,1.53,1.2075036584183578,1.4744284676061945,0.0,,,2.448,4.359482451746418,2.4579993072763697,0.0,,,1.47,0.0016638230847165552,1.4800024987129126,0.0,,,1.58,1.576945639792717,1.6732011172688348,0.0,,,3.5045,3.66490239086946,3.4917690851275216,0.0
1996-05-31,PREMON,12.35426666666667,3.0,9.78,3.075,8.14,4.53,4.296666666666668,5.8066666666666675,6.83,3.86,6.55,1.5,5.0005000000000015,2.27,3.815555555555555,3.85,3.4946666666666664,7.48,5.78,2.74875,4.32,2.745,8.42,5.740833333333333,5.1724999999999985,3.54,1.87,5.13,2.75,6.15,5.001923076923077,5.3500000000000005,2.188,5.02,2.97,3.63,2.8,4.86,15.586666666666664,6.465,1.59,3.6538461538461537,6.33,3.39,6.35,5.65,0.6085714285714284,2.86,4.275,2.49,2.33,3.546111111111111,3.19,2.14,4.412777777777778,,,11.368986666666668,10.248926234975361,12.46011521154995,10.712070845376482,,,1.9200000000000002,0.42773315264152045,2.7592398091326245,1.199997835643877,,,9.677999999999999,9.59557137789076,9.662587040325613,9.60998654266827,,,2.6088000000000005,4.484882562080169,3.0944459833795017,5.414363157527152e-23,,,6.388,7.939269378288843,5.219990795430146,,,3.846,6.349550130677005,4.272858902443348,3.389999104110235,,,4.574666666666667,3.636319382874028,4.28084998539991,4.759999116448903,,,4.4846666666666675,4.699262107874061,4.989905959007096,2.0383256068858167,,,4.946,4.91904059689755,5.386995725789234,3.689998035256592,3.86,,3.86,3.8699999999999997,0.0,,,5.062,4.88175630477092,5.844292816445437,2.5929436161872763,,,0.9360000000000002,1.0379598437514952,1.3445390798837553,0.5599997519215653,,,3.956200000000001,2.0578698762547414,4.998080437070942,8.665493486343176e-12,,,1.88,1.5827073605551658,2.1826787831834444,1.6199993790832756,,,2.860622222222222,2.853395144691156,3.986730495947315,1.091154261330193,,,3.034,3.054133403519702,3.483992799178967,1.236349550936602,,,2.868266666666666,4.603041614355756,3.5217358726621484,7.835645162325179e-08,,,6.982000000000001,6.879109976897635,7.631388394742336,4.995774615216426,,,4.334,4.624699363111639,4.281415195234238,2.8964969916917496,,,1.9413,1.9137147855534322,2.7692200722517946,0.3819691187243877,,,3.7920000000000003,3.857106712556951,3.9125452507521365,3.439999287500938,,,2.0952,4.7117750871951865,2.7353026401720277,1.1285153615388435e-07,,,5.948,16.789126423420836,8.71339651821225,4.299951706494347,,,10.906333333333333,2.155487379785717,7.729014332594935,14.349758772161508,,,4.2338,7.906480907762253,5.191952780329972,1.231583997170746e-07,,,2.8200000000000003,2.8632650999388,3.2201937115136987,2.3399986248611504,,,1.4200000000000002,1.1663619827589076,1.773555251201226,1.1199998367888755,,,4.377,4.184661473644533,5.84154756000275,3.874997705009491,,,1.9412,5.338348193159395,2.813856987249518,0.38659232277988637,,,5.4,4.452106267176424,6.232908587257618,4.8999876128117945,,,3.8393406593406594,3.0837267590577024,4.995076384042957,1.7891247681298723,,,4.492,7.105173650656659,5.334711308689944,1.1254014834908529e-06,,,1.9652000000000003,2.84338973184824,2.207445787240361,4.200009575487031e-23,,,3.4930000000000003,3.396752597081221,4.241845689992774,1.7920914181203866,,,2.2056000000000004,1.297749333139422,2.9894459833795013,-7.831762625086348e-23,,,2.6879999999999997,1.17393452638307,3.789784001261766,1.0472126578486631,2.8,,2.8,2.8099999999999996,0.0,,,3.9270000000000005,4.052153127689076,3.8907961474271144,2.8796287334492248,,,15.020466666666662,14.552653837670169,15.189885789450702,14.64288896253877,,,5.2620000000000005,5.205884460534196,6.149191932865346,4.459993937614035,,,2.532,2.9197766788251593,3.93691051211133,3.1599963857839724,,,2.9103076923076925,2.330670231120174,3.6914249011500058,5.734095849405864e-08,,,5.652,6.550915659195461,6.348171745152353,5.199901036156217,,,2.652,3.830873432408076,1.2634775515992076,,,4.9399999999999995,4.967643065185404,5.536900328932206,3.9999973253633536,,,5.224,5.354089535833834,5.655986419745053,3.3026672155582992,,,0.5157362637362637,0.6039609544756875,0.35674849932884456,,,2.206,2.14808528215604,2.5178303667220727,1.7699991669557331,,,3.2070000000000003,3.849035562380626,3.7476912640750717,2.4949977555143823,,,1.7640000000000002,1.7431034840393134,2.508836565096953,1.1139165092257297,,,1.85,1.358973501737538,2.3177611187400973,1.0627296211428814,,,2.8872444444444447,5.491089374757708,3.5655560527557397,1.1306920322112614e-07,,,2.158,0.3429221005392613,3.209432393419098,1.8251922291319155e-07,,,1.804,1.879242805680694,1.9530458000109072,1.4140772799578625,,,3.8678111111111115,3.8977129160587207,4.498595493724434,2.8432166211354803
1996-08-31,MONSOON,8.884551282051284,0.6,9.87,0.6924999999999999,8.22,1.23,1.86625,4.523333333333333,3.82,,2.92,0.91,3.356666666666667,1.67,2.87375,0.37,2.555833333333333,5.22,2.46,1.6844444444444444,4.3,1.07,9.72,13.45,2.2825,3.64,0.69,2.315,1.36,3.64,3.951153846153847,2.2842857142857143,1.1233333333333333,2.34,1.1775000000000002,1.08,,3.915,13.177500000000002,3.63,0.98,2.999090909090909,10.090416666666668,2.2,3.76,4.49,0.3908333333333333,2.11,0.47,1.73,0.68,1.4431250000000002,0.83,1.98,3.55125,9.76471438301282,,10.375212512820514,9.85147028113712,8.461463465644883,11.8252050520348,1.4175,,1.3920000000000001,0.19136262072925667,1.6309288733833696,2.1348640325719304,9.43,,9.7548,9.641687855418946,9.046191267554105,9.706096988173329,1.732,,1.8422800000000001,3.861018978281427,0.7208409427490579,7.124144677353454e-23,6.512499999999999,,7.1208,8.244305027561698,7.350965719450288,2.81125,,2.7996,5.028514008388292,1.2120767635084229,4.330152816604951,3.3492291666666665,,3.4913000000000003,3.0078218001036667,1.8525081033277382,4.316143796774378,4.346666666666667,,4.500133333333334,4.686303800942556,4.144075970909111,3.3330609418962567,3.98375,,4.4956,4.578062190326227,5.378556595719003,6.145036368554349,,,,,,4.26625,,4.2052,4.725108355468503,4.421540790421661,4.153224723225753,0.86375,,0.9256000000000002,0.9911029374967119,1.3995540509632844,1.1189703476849007,3.585541666666667,,3.7163866666666676,1.844457853444187,3.340292047503922,2.6101261458740225e-11,1.6175,,1.7959999999999998,1.5945223441062564,1.5213287844873884,2.00660835495857,2.7075763888888886,,2.865873333333333,2.8642731211839245,2.7823684460443503,1.760424875462934,2.0900000000000003,,1.9683999999999997,1.7717720539207584,1.8239387916778829,1.722376434160853,2.700152777777778,,2.743293333333333,4.253226229344255,2.583555158464501,1.117368090858232e-07,6.39,,6.277200000000001,6.221520478727619,5.891775599085621,5.803266670160526,3.5412500000000002,,3.5843999999999996,3.4498726598229976,4.265883610776764,4.7126515909894655,1.7713213383838382,,1.8385577777777777,1.9103553297942781,1.7236716812960506,0.7796453119555505,3.805,,3.9951999999999996,3.996455300925101,4.043996370125845,4.068834639507728,1.6167500000000001,,1.68512,4.04951426919932,1.0404465761386295,1.7637932306614676e-07,7.236875,,7.4568,17.824910661812265,8.578014898713311,6.939578106450092,11.107708333333331,,11.9238,4.196673053643474,12.400613821208847,12.609435287919347,3.3151249999999997,,3.45328,7.0682038737655875,2.3108310559261316,5.88464478648843e-08,2.8725,,3.1480000000000006,3.034386835584661,2.725154434998292,3.236449607326814,1.0775,,1.1280000000000001,1.0918535036183266,1.09268834073072,1.660748614791248,3.203125,,3.5522,3.614381955901808,3.9372144276889056,4.989827379346721,1.67675,,1.70872,4.73522789479756,1.3697233999894751,0.6597378282913414,4.52125,,4.696000000000001,4.4296390195237585,3.752238319227138,5.534475116769873,3.4885073260073263,,3.8840659340659345,3.1339105538721994,4.054912933733831,2.962213253000815,3.4913839285714285,,3.6089142857142855,6.319038568138795,2.280719842489057,1.8150263344530402e-06,1.5103333333333333,,1.6284533333333335,2.703606033927747,1.1516739482148557,1.6892754275096465e-22,2.9725,,3.0318,3.313706516859389,3.405955619653788,3.4045112823421184,1.714625,,1.7943600000000004,1.2825029753370414,1.2058409427490584,-1.1620518999156063e-22,2.07,,2.0448,1.0236144514081216,1.3296874725351653,1.8749322544596643,,,,,,3.95125,,3.9222,3.954261731865964,3.873719613384289,4.063193119884272,13.336791666666667,,14.283279999999998,14.025536774438086,12.140511735071062,15.32429820468798,4.636875,,4.6091999999999995,4.679106373264794,4.607880593666129,5.70758335029232,1.6925000000000001,,1.9112,2.931223511461538,2.2371952358272478,2.156898234454642,2.771530969030969,,2.9458209790209793,2.3553163479309163,3.093046526635333,5.232110416800053e-08,6.725104166666668,,7.427366666666668,7.166291014261897,10.115016846223298,5.7908331115609,2.32625,,2.4712,2.6479520352306234,2.0737122775387893,4.1175,,4.468,4.551382111791462,5.493984656350303,5.69263038379958,5.215,,4.930400000000001,5.096128912211612,4.764253278034543,3.9923303852039025,0.44009844322344316,,0.4657750915750915,0.4002068807782272,0.46918805658248564,1.9100000000000001,,2.1675999999999997,2.1695154963397103,2.2974282748229253,2.4627745847207314,2.34,,2.1122,3.2159513993978477,2.041037464282815,3.5933074412390713,1.6875,,1.7504,1.4052665824923531,1.7565342500441217,1.7572354145081404,1.32,,1.3820000000000001,1.0696703276588195,1.398969015339048,1.582519479338544,2.1639340277777777,,2.3095966666666667,4.868506470647406,1.4714646443394075,1.6378919325256156e-07,1.60125,,1.6268,0.23358474595073825,0.8583475039017574,7.668636125160361e-07,1.64875,,1.8744,1.875000458200161,1.383263815005499,1.8177251592718449,3.6878819444444444,,3.741186666666667,3.782275215150162,3.495181035279955,3.563992730233464
1996-11-30,POMKH,7.107906249999997,0.92,8.72,0.8625,4.57,1.76,2.474,3.2533333333333334,2.2,,3.42,0.51,2.725,1.05,1.917,1.5,2.2994444444444446,6.25,2.68,1.2490909090909093,3.32,0.99,6.28,11.25,2.1975,1.92,0.55,1.875,1.195,3.68,1.9366666666666668,2.41125,0.9133333333333334,1.925,1.015,1.55,,3.475,9.94,3.855,2.0,2.0185714285714287,5.03,1.91,2.79,5.39,0.3071428571428572,0.95,2.16,1.25,0.72,1.2185,0.79,1.05,3.283,9.764714383012821,9.764714383012821,9.068290007692308,9.182178911687854,7.320178250968198,9.819852526913163,1.2725,1.43,1.2032,0.19839979605035354,1.0720711054156005,1.5593064303021102,9.358749999999999,9.495,9.34088,9.225064148362234,9.790369994695256,9.788538641021342,1.7320000000000002,1.732,1.450368,3.1576430986727417,0.8991892395957042,9.704475138930874e-24,6.382499999999999,6.5375,6.10048,5.211389502050324,7.164850307060551,2.86,2.7275,2.38376,3.928398299706142,1.6562182319269088,1.4269533041955245,3.349229166666667,3.3492291666666674,3.0843800000000003,2.6079811288154384,2.463938714800496,2.480088961270897,4.4054166666666665,4.296666666666667,4.001413333333334,4.673381220317213,3.9220673879157397,3.0930086214848447,3.5875,4.135,3.5773599999999997,3.9000458431831873,3.2785297764749375,3.8232543845693763,,,,,,4.245,4.24,3.89112,4.626774737340138,3.0623504305892424,2.808532178946262,0.865,0.8700000000000001,0.75936,0.8179680745799169,0.22617033313094015,1.0113605966123225,3.5855416666666673,3.585541666666667,3.319832000000001,1.638518558500452,2.7249777661891237,3.704335197470597e-11,1.4999999999999998,1.6525,1.4975999999999998,1.4343283144889312,0.8936461206222472,1.7716044112006413,2.7075763888888886,2.7075763888888886,2.4863239999999998,2.7009089083025684,1.5023371043422542,1.1758629488078132,2.23375,2.0525,1.78104,1.6074812112568884,0.5746909422524773,-0.9582952353457588,2.700152777777778,2.700152777777778,2.5657537777777777,3.535449449985647,2.270258344813349,3.21346420510599e-08,6.355,6.4,6.26632,6.181903331128559,5.288135496737693,4.875305571576133,3.3474999999999997,3.5725,3.2226399999999997,3.0009734325030246,2.7375506929673863,2.4350628501082543,1.7713213383838384,1.7713213383838384,1.6027710303030303,1.9070017704952689,1.2170552509098487,0.6805293486075674,3.6874999999999996,3.8449999999999998,3.7251199999999995,3.583720159639585,3.6110386032401633,4.083465107213444,1.6167500000000001,1.6167500000000001,1.4070719999999999,3.0468724316616704,0.9557409933617076,-3.3363369673170985e-08,7.29375,7.18,6.98608,15.82790437006486,5.3815827380299455,7.612641803909616,11.017708333333333,11.197708333333333,11.65428,5.501076723496339,7.44359921865849,7.487016553526532,3.3151249999999997,3.3151249999999997,2.950968,5.79129721170905,2.23418163743653,-2.2898897336639754e-07,2.8562499999999997,2.86,2.6568000000000005,2.5460865478536783,2.7162746054241445,3.304287072556521,1.0675,1.0575,0.8968,1.0075503995590476,0.6591889601517303,0.8233530634382414,3.09875,3.2987499999999996,2.88132,3.084435855742449,2.2486643274980254,2.1640140743522065,1.6767500000000002,1.6767500000000002,1.503232,3.4895130324493553,1.1546712391397946,0.26925295141990463,4.365,4.5925,4.2896,4.401831927998197,3.8141388556417914,4.871456250434136,3.4885073260073263,3.4885073260073263,3.1051062271062273,2.532331741834699,1.9752608916956351,3.0489220678968145,3.4913839285714285,3.4913839285714285,3.1298485714285715,5.349361325325347,2.424200370322059,6.806712541375423e-07,1.5103333333333335,1.5103333333333333,1.3424053333333335,2.4088606657915186,0.9500221171698455,1.1385664181783346e-22,2.8825,2.94,2.58908,3.200388868443858,1.6843651348082067,2.0458754211747214,1.714625,1.714625,1.4826160000000002,1.2313724632718186,1.0516892395957045,-2.974892459590546e-23,2.2150000000000003,2.08,1.84688,0.9991508589396861,1.328087739008644,1.0746149688724609,,,,,,3.66,3.8887500000000004,3.74332,3.718352547792571,4.565590063812506,3.452383858879967,13.336791666666665,13.336791666666665,12.545967999999998,12.679479680201881,9.763490106242685,13.759936210977509,4.483958333333333,4.6025,4.307519999999999,4.3874610378112475,3.2025477021423776,4.54547284991863,1.8112499999999998,1.9325,1.94672,2.942715228604156,0.705141304660934,1.8220968045666843,2.7715309690309686,2.771530969030969,2.574921158841159,2.082120767002292,1.96117996695686,3.566529259656231e-08,6.787604166666667,6.662604166666668,6.46842,6.570018091758474,5.059400297126966,7.4345510782697115,2.3675,2.415,2.24672,1.5699237426060908,2.3709357037760026,3.79125,4.225,3.7968,3.9473035988017613,3.474632197081549,3.930186561331171,5.53625,5.1175,5.114240000000001,5.169638763803786,3.9021274610425434,3.841301930659948,0.4400984432234432,0.44009844322344316,0.4023221978021978,0.29163480003108105,0.42200873191386135,1.865,1.9225,1.6805599999999998,2.0026472484809736,1.559942673563471,2.085418316144922,2.2875,2.35,2.13132,3.2570443195359675,1.4035640615875409,1.810125897719567,1.6625,1.6875,1.5502399999999998,1.1018676471685727,1.2831276440545347,1.7466008892830436,1.3437500000000002,1.315,1.1172,0.8649926153644498,0.6775051239660631,1.3108537009200918,2.1639340277777777,2.163934027777778,1.873158,3.8526818213643814,1.2551878959282927,-4.854836872337699e-09,1.53375,1.57,1.29208,0.20644723303683934,0.82669387998022,1.0281453562174032e-06,1.5949999999999998,1.6875,1.5446400000000002,1.279175296367865,1.586603130013148,1.8602199604454017,3.6878819444444444,3.6878819444444444,3.5579120000000004,3.618409037709622,3.0382413223828078,3.1843886951246785
