Date,Season,Srinagar,Pulwama,Srinagar_Trend,Srinagar_SMA,Srinagar_EWMA,Srinagar_DES,Srinagar_TES,Srinagar_ARIMA,Pulwama_SMA,Pulwama_EWMA,Pulwama_TES,Pulwama_ARIMA
1996-02-29,POMRB,7.7225,,,,7.7225,7.663495344580315,7.513533127251628,0.0,,,,
1996-05-31,PREMON,10.316666666666666,3.0380000000000003,,,8.760166666666667,8.980741444268205,8.975317401409107,7.722476411418656,,3.0380000000000003,3.4462879306281233,0.0
1996-08-31,MONSOON,4.1175,3.469375,6.357291666666668,,6.9031,6.348900534800769,8.068956219052946,9.320247549800294,,3.21055,3.455079270733955,2.9601597699250473
1996-11-30,POMKH,4.725,4.062291666666667,5.601770833333333,6.720416666666667,6.03186,5.438475374696526,5.467723309406679,6.46169264141153,,3.5512466666666667,3.4691137358532242,3.222915655073421
1997-02-28,POMRB,4.8175,,5.4315625,5.994166666666667,5.546116,5.0619160878682505,5.697712590041186,5.531657968180836,,,,
1997-05-31,PREMON,7.1775,3.0380000000000003,5.803541666666666,5.2093750000000005,6.198669600000001,6.122159527682077,6.530412769679175,5.151368952210383,3.4019166666666667,3.3459480000000004,3.427177409000911,3.6421569379681253
1997-08-31,MONSOON,5.895,3.469375,6.012708333333334,5.6537500000000005,6.07720176,5.945405120940872,5.22306238533338,6.228943899825756,3.5097604166666665,3.3953188,3.4557366989594542,3.6105451470315333
1997-11-30,POMKH,5.923333333333335,4.062291666666667,6.028645833333334,5.953333333333335,6.015654389333334,5.877731831340374,5.292191544434679,6.051388007688368,3.6579895833333333,3.6621079466666666,3.4650540301264345,3.0621033829528663
1998-02-28,POMRB,5.2925,,6.211770833333333,6.072083333333335,5.726392633600001,5.515747158506214,6.315692556502044,5.983306205695537,,,,
1998-05-31,PREMON,6.83,3.0380000000000003,6.604479166666668,5.985208333333334,6.16783558016,6.152017231223964,7.065810915780458,5.616035626192001,3.4019166666666667,3.412464768,3.4798105786926508,3.231010596470245
1998-08-31,MONSOON,7.7075,3.469375,7.1071875,6.438333333333334,6.783701348096001,6.9086241576439,5.24851960822768,6.261444009452336,3.5097604166666665,3.4352288608,3.4366351447277825,3.948369556008396
1998-11-30,POMKH,7.252500000000001,4.062291666666667,7.950625,6.770625000000002,6.971220808857601,7.023521735059685,6.349802076962433,7.030244223144839,3.6579895833333333,3.6860539831466665,3.465701790946555,3.445507835711169
1999-02-28,POMRB,7.985000000000001,,8.6621875,7.443750000000002,7.3767324853145615,7.460798702021404,7.530147438920944,7.148407189313062,,,,
1999-05-31,PREMON,10.885,3.0380000000000003,9.393125000000001,8.457500000000003,8.780039491188738,9.18377800418071,9.133949425386945,7.59318431224344,3.4019166666666667,3.426832389888,3.4757456511560827,2.9796373367925426
1999-08-31,MONSOON,9.345,3.469375,10.5075,8.866875000000004,9.006023694713242,9.181539093515507,8.464221953107572,9.343288164874117,3.5097604166666665,3.4438494339328,3.48920966403843,3.8904617462743922
1999-11-30,POMKH,11.4625,4.062291666666667,11.805833333333332,9.919375000000002,9.988614216827944,10.289515817099925,8.653972367653278,9.344198267239703,3.6579895833333333,3.691226327026347,3.4466092041717102,3.6244375899409715
2000-02-29,POMRB,12.69,,12.756979166666667,11.095625000000002,11.069168530096768,11.449634593472453,10.935079539716458,10.470399843689707,,,,
2000-05-31,PREMON,16.566666666666666,3.0380000000000003,13.306979166666666,12.516041666666668,13.268167784724728,14.021571968350296,13.289769754546878,11.650457035868985,3.4019166666666667,3.4299357962158084,3.476383762199452,3.0853390092015696
2000-08-31,MONSOON,11.2725,3.469375,13.876979166666668,12.997916666666669,12.469900670834836,12.449432708107178,13.50133475462826,14.264174878877576,3.5097604166666665,3.445711477729485,3.4851395281317576,3.728868489074978
2000-11-30,POMKH,13.935,4.062291666666667,14.145208333333333,13.61604166666667,13.055940402500902,13.109986323520245,11.895046940046571,12.673641805862225,3.6579895833333333,3.692343553304358,3.4991251368938956,3.6406143763110457
2001-02-28,POMRB,14.7775,,14.221354166666666,14.13791666666667,13.744564241500541,13.859598370832154,13.73224375990181,13.344246736518246,,,,
2001-05-31,PREMON,16.625,3.0380000000000003,14.262395833333334,14.152500000000003,14.896738544900325,15.177144600624683,15.677048837690954,14.106240205016466,3.4019166666666667,3.430606131982615,3.457300142937581,3.1351967325030907
2001-08-31,MONSOON,11.823333333333332,3.469375,14.362708333333332,14.290208333333338,13.667376460273527,13.277372060772324,14.543470288653147,15.445346531438446,3.5097604166666665,3.446113679189569,3.4857680070053063,3.8041315505564555
2001-11-30,POMKH,13.7125,4.062291666666667,14.585208333333332,14.234583333333337,13.685425876164118,13.379953174972224,12.653418034310691,13.519692168673707,3.6579895833333333,3.692584874180408,3.495049806039044,3.5517146683878553
2002-02-28,POMRB,15.8025,,16.05166666666667,14.490833333333335,14.53225552569847,14.522459178007377,13.924087091518771,13.622199040201101,,,,
2002-05-31,PREMON,17.38,3.0380000000000003,18.239687500000002,14.679583333333333,15.671353315419083,15.882006341922274,16.35010360069151,14.781362694705006,3.4019166666666667,3.4307509245082453,3.5097575527987295,3.1130285042028696
2002-08-31,MONSOON,22.8,3.469375,19.527187499999997,17.42375,18.52281198925145,19.35534820445262,15.26385466718462,16.16293614308516,3.5097604166666665,3.446200554704947,3.466693355307424,3.848621346033564
2002-11-30,POMKH,20.24,4.062291666666667,19.990625,19.055624999999996,19.20968719355087,19.63599885594145,19.297586579541836,19.691551383554895,3.6579895833333333,3.6926369994896353,3.4956686703280218,3.6185868937460524
2003-02-28,POMRB,19.575,,19.097638888888888,19.998749999999998,19.35581231613052,19.418724532324312,20.50087066609741,19.983135763082373,,,,
2003-05-31,PREMON,17.314999999999998,3.0380000000000003,17.494965277777776,19.982499999999998,18.53948738967831,18.133641364649307,21.307199829374866,19.766149139954923,3.4019166666666667,3.4307821996937813,3.505677040399883,3.0459925275749944
2003-08-31,MONSOON,15.721111111111114,3.469375,16.197126736111112,18.212777777777777,17.41213687825143,16.69895268818145,17.320307827811018,18.462988224469967,3.5097604166666665,3.4462193198162687,3.5190923059698114,3.8413348071134834
2003-11-30,POMKH,14.4975,4.062291666666667,15.335381944444446,16.77715277777778,16.24628212695086,15.38835476856602,16.07768393501393,17.00526089529665,3.6579895833333333,3.692648258556428,3.4766029862400147,3.6532696700047165
2004-02-29,POMRB,14.934791666666666,,14.98060763888889,15.617100694444446,15.721685942837183,15.005568124878401,15.823975921167587,15.67200216743636,,,,
2004-05-31,PREMON,15.061249999999998,3.0380000000000003,14.764947916666666,15.053663194444447,15.45751156570231,14.893106815461039,16.65149428127498,15.280061956443804,3.4019166666666667,3.430788955133857,3.506286307667878,3.078001572360787
2004-08-31,MONSOON,15.136666666666667,3.469375,14.529869791666666,14.907552083333336,15.329173606088052,14.880106356223378,14.051914547959537,15.163729912493345,3.5097604166666665,3.446223373080314,3.515006625413432,3.7988584302127726
2004-11-30,POMKH,13.356666666666666,4.062291666666667,13.775989583333331,14.622343750000002,14.540170830319497,13.941778218221822,14.359475524177574,15.14934165531527,3.6579895833333333,3.6926506905148555,3.528943541300825,3.652787639810671
2005-02-28,POMRB,14.195,,12.79,14.437395833333337,14.402102498191699,13.942816853368656,14.439245591986161,14.196260530509761,,,,
2005-05-31,PREMON,9.77,3.0380000000000003,11.988333333333333,13.114583333333336,12.549261498915019,11.625747103521059,15.639265149912234,14.195590365620028,3.4019166666666667,3.4307904143089134,3.487229591230506,3.0952342526932624
2005-08-31,MONSOON,12.54,3.469375,11.007708333333333,12.465416666666666,12.54555689934901,11.994853893348695,10.568224963530433,11.842711751090338,3.5097604166666665,3.446224248585348,3.5156063132023907,3.818904966487847
2005-11-30,POMKH,9.54,4.062291666666667,11.255416666666665,11.51125,11.343334139609407,10.595937134863696,11.388109232743066,12.213427175131294,3.6579895833333333,3.6926512158178753,3.5248527059556665,3.628988218242268
2006-02-28,POMRB,10.166666666666666,,11.697916666666668,10.504166666666666,10.87266715043231,10.271104906818527,10.9796539535661,10.792091464367273,,,,
2006-05-31,PREMON,15.78,3.0380000000000003,11.482916666666664,12.006666666666668,12.835600290259386,13.05940016451467,11.851181865823659,10.459582463322358,3.4019166666666667,3.430790729490725,3.539511814221894,3.0921876218401687
2006-08-31,MONSOON,10.07,3.469375,11.511458333333332,11.389166666666668,11.729360174155632,11.370472220574314,12.439281023669114,13.28819867228406,3.5097604166666665,3.446224437694435,3.496558564451289,3.83044650661151
2006-11-30,POMKH,10.29,4.062291666666667,11.04375,11.576666666666668,11.153616104493379,10.697268688127915,10.751874791960873,11.577233533678386,3.6579895833333333,3.6926513292833274,3.525442831785912,3.641525160035736
2007-02-28,POMRB,9.645,,10.68125,11.446250000000001,10.550169662696026,10.045190275139634,11.144075481578632,10.892871899844017,,,,
2007-05-31,PREMON,12.56,3.0380000000000003,11.009583333333333,10.641250000000001,11.354101797617616,11.267492014067287,11.619335207136437,10.229436998678198,3.4019166666666667,3.4307907975699967,3.5354158374390185,3.0786319676066536
2007-08-31,MONSOON,10.39,3.469375,11.393541666666666,10.721250000000001,10.96846107857057,10.701569507699798,10.481548224794755,11.468487925809352,3.5097604166666665,3.446224478541998,3.5487825188404405,3.828981108134003
2007-11-30,POMKH,12.596666666666666,4.062291666666667,11.317604166666666,11.297916666666667,11.619743313809009,11.59310729300311,10.109706162527582,10.895106531006494,3.6579895833333333,3.6926513537918657,3.506404050751598,3.648418789951762
2008-02-29,POMRB,10.41,,11.060729166666667,11.48916666666667,11.135845988285405,10.86404829503649,12.205083826656818,11.79974616634928,,,,
2008-05-31,PREMON,11.1875,3.0380000000000003,10.404583333333333,11.146041666666669,11.156507592971243,10.930917184016323,12.509376188161738,11.060883378724396,3.4019166666666667,3.4307908122751196,3.5359964188092703,3.084602346835835
2008-08-31,MONSOON,9.7075,3.469375,9.570312499999998,10.975416666666668,10.576904555782747,10.186996060143928,10.06479946823539,11.12819949156613,3.5097604166666665,3.446224487365072,3.544681413953232,3.8223167994301988
2008-11-30,POMKH,8.030000000000001,4.062291666666667,9.066354166666667,9.833750000000002,9.558142733469648,8.961142467594707,9.539465822571017,10.372880274191878,3.6579895833333333,3.69265135908571,3.558569799940788,3.647738671773229
2009-02-28,POMRB,8.302499999999998,,8.763333333333334,9.306875000000002,9.055885640081788,8.531608055400921,9.326602904736756,9.127280831375572,,,,
2009-05-31,PREMON,9.263333333333334,3.0380000000000003,8.951770833333333,8.825833333333335,9.138864717382408,8.834320443605074,10.07619546857522,8.68878358705465,3.4019166666666667,3.4307908154514264,3.516966605517143,3.0880273704151286
2009-08-31,MONSOON,9.2075,3.469375,9.568958333333333,8.700833333333335,9.166318830429443,8.946390649118813,7.925613132052453,8.994244711858318,3.5097604166666665,3.446224489270856,3.5452524683406237,3.8249786553083207
2009-11-30,POMKH,10.0375,4.062291666666667,10.432604166666668,9.202708333333335,9.514791298257666,9.433412502758545,8.347034440255056,9.107622536159875,3.6579895833333333,3.6926513602291804,3.554463580264969,3.6450618553935614
2010-02-28,POMRB,11.232499999999998,,11.199374999999998,9.935208333333335,10.201874778954599,10.286635082041897,9.982375610857083,9.601994725641992,,,,
2010-05-31,PREMON,13.2425,3.0380000000000003,11.4390625,10.930000000000001,11.418124867372761,11.737656794174354,12.045507648013837,10.46885782727868,3.4019166666666667,3.4307908161375082,3.5690742128437973,3.087617248692264
2010-08-31,MONSOON,11.3625,3.469375,11.160937500000001,11.468750000000004,11.395874920423658,11.430390448749042,11.055769353643228,11.943473147135414,3.5097604166666665,3.4462244896825047,3.5262316228109714,3.826555990357033
2010-11-30,POMKH,9.8,4.062291666666667,10.7009375,11.409375000000002,10.757524952254196,10.468606594080915,10.913963673427276,11.634597001676928,3.6579895833333333,3.6926513604761695,3.555025125125067,3.645911678571036
2011-02-28,POMRB,9.245,,10.100000000000001,10.912500000000001,10.152514971352517,9.728949606452952,10.92953336920235,10.65922791079606,,,,
2011-05-31,PREMON,11.55,3.2225,9.43875,10.489375,10.711508982811509,10.590885746769377,11.297677039699352,9.907349329074485,3.4480416666666667,3.5045908162857016,3.564962891677444,3.0869906887428513
2011-08-31,MONSOON,8.2475,3.585,8.881875,9.710625,9.725905389686906,9.263600249468144,9.762320223137097,10.780669567835899,3.584791666666667,3.536754489771421,3.5783370208457836,3.9094460703080376
2011-11-30,POMKH,7.625,4.235,8.430625000000001,9.166875000000001,8.885543233812143,8.317966988021627,8.568430181706848,9.433902241731719,3.776197916666667,3.8160526938628525,3.536104129601687,3.799905698195774
2012-02-29,POMRB,6.9650000000000025,,8.240558035714287,8.596875000000002,8.117325940287287,7.530856611047004,8.682495957227435,8.472193848336595,,,,
2012-05-31,PREMON,10.22,2.825,7.917366071428573,8.264375000000001,8.958395564172372,8.868194621471234,9.031601222622902,7.670889642404955,3.466875,3.4196316163177114,3.5656581252599753,3.228249079930496
2012-08-31,MONSOON,8.056964285714285,3.45375,7.505178571428572,8.216741071428572,8.597823052789138,8.35962091509942,8.036899484406321,9.02613193799894,3.5246874999999998,3.4332789697906265,3.5744172963187837,3.6011578648576377
2012-11-30,POMKH,5.23,3.880833333333333,7.054866071428572,7.617991071428573,7.250693831673482,6.641610625834456,7.729522445453563,8.51087100000767,3.5986458333333324,3.6123007152077093,3.588187570221002,3.4826665110152173
2013-02-28,POMRB,6.062499999999999,,6.504620535714286,7.392366071428572,6.775416299004089,6.275622308331118,6.944826422601017,6.766585927237005,,,,
2013-05-31,PREMON,7.52,3.2225,6.448124999999999,6.717366071428572,7.073249779402453,6.868124104379819,7.776305702940726,6.392256496782552,3.3455208333333326,3.456380429124626,3.5466936250725056,2.973248393143334
2013-08-31,MONSOON,6.355,3.585,6.3940625,6.291875000000001,6.785949867641472,6.534557784696673,5.947177094866291,6.991824769528323,3.535520833333333,3.5078282574747757,3.5745811898433093,4.240856583297035
2013-11-30,POMKH,6.48,4.235,6.175208333333333,6.604375000000001,6.663569920584884,6.444309753988262,5.863759893544845,6.653254938694903,3.730833333333333,3.798696954484866,3.5841519958056676,3.618689427482334
2014-02-28,POMRB,4.38,,6.15514880952381,6.183750000000001,5.75014195235093,5.3023236785296355,6.878654049049973,6.561143422165113,,,,
2014-05-31,PREMON,7.451666666666667,2.4275,5.987380952380953,6.166666666666667,6.430751838077224,6.377979142539692,6.77658102137316,5.401531869974965,3.3675,3.2502181726909196,3.5985453892497845,3.2628577512251815
2014-08-31,MONSOON,6.262857142857143,3.3225,6.317693452380953,6.143630952380953,6.363593959989192,6.257488946396398,5.485401854106659,6.491492286897392,3.3925,3.2791309036145515,3.5560269649953904,3.2908937898699215
2014-11-30,POMKH,5.23,3.526666666666667,6.882261904761906,5.831130952380953,5.910156375993515,5.660291832442525,5.615475506493617,6.369937715303677,3.3779166666666667,3.378145208835398,3.5842572474465566,3.4672306522309366
2015-02-28,POMRB,8.2725,,6.980625000000001,6.804255952380953,6.85509382559611,6.9749902969233935,6.051802602238072,5.76388635251378,,,,
2015-05-31,PREMON,8.075714285714287,2.1,7.330565476190476,6.960267857142858,7.343342009643381,7.485654025018423,8.675514473252669,7.09759844867628,2.8441666666666663,2.866887125301239,3.5944109318261925,2.604878366494227
2015-08-31,MONSOON,6.425714285714286,3.855,8.98858630952381,7.0009821428571435,6.976290920071744,6.859869538526803,6.647991638884186,7.617616716380799,3.2010416666666663,3.2621322751807433,3.6064376819556476,4.0594653246207155
2015-11-30,POMKH,7.866666666666666,4.195,10.551309523809524,7.66014880952381,7.332441218709713,7.322426426589859,6.200643548307676,6.98393815419234,3.419166666666667,3.6352793651084463,3.565232382534152,2.950880393986602
2016-02-29,POMRB,18.9,,11.431130952380952,10.317023809523809,11.959464731225827,13.316968305669548,7.821867347408937,7.453243459891474,,,,
2016-05-31,PREMON,9.95,3.575,12.067333333333332,10.785595238095237,11.155678838735495,11.427861431395865,15.561422683537902,13.538946483419252,3.4312500000000004,3.6111676190650677,3.5938897448913827,3.6731441173004744
2016-08-31,MONSOON,11.589999999999998,3.4308333333333336,10.488999999999999,12.076666666666664,11.329407303241297,11.404922661925854,10.639306159444335,11.630872140360246,3.7639583333333335,3.5390339047723742,3.6027010265420767,4.775772701602254
2016-11-30,POMKH,7.791999999999999,4.004722222222223,8.563999999999998,12.057999999999998,9.914444381944778,9.405045465933608,10.869438269800462,11.60914234229065,3.801388888888889,3.725309231752314,3.616770782722747,3.4247066701686686
2017-02-28,POMRB,6.347999999999999,,7.074249999999999,8.919999999999998,8.487866629166867,7.715179094509098,9.750951842806,9.57974697493763,,,,
2017-05-31,PREMON,7.101999999999999,3.18,5.472999999999999,8.207999999999998,7.9335199775001195,7.321215260868067,9.126577965548499,7.861578839908156,3.547638888888889,3.5071855390513886,3.5759670034281656,2.1870459800851836
2017-08-31,MONSOON,2.52,3.4850000000000003,4.6085625,5.9405,5.768111986500071,4.737522806536031,6.276137449574719,7.457746433196292,3.525138888888889,3.4983113234308334,3.603702539123464,3.7759131256373415
2017-11-30,POMKH,4.0520000000000005,4.2925,4.503875,5.0055000000000005,5.081667191900043,4.333773040544658,3.7877160052907337,4.832578483426017,3.7405555555555554,3.8159867940585004,3.6123394112945237,4.752057056198245
2018-02-28,POMRB,3.1725,,5.178625,4.211625000000001,4.318000315140026,3.6846639326033324,4.599328700363938,4.417581552195628,,,,
2018-05-31,PREMON,9.44,3.865,5.6358749999999995,4.796125000000001,6.366800189084016,6.664194023349069,5.1163164445769445,3.7556301478667504,3.7056249999999995,3.8355920764351006,3.627194720549041,3.0603749404935905
2018-08-31,MONSOON,5.58,3.115,,5.561125000000001,6.052080113450409,6.033459599801096,5.9324804571760605,6.777742715279624,3.689375,3.547355245861061,3.5856067604115047,3.3876620239915374
2018-11-30,POMKH,4.65,4.2925,,5.710625000000002,5.491248068070245,,5.409930157426803,6.140959147965588,3.8912500000000003,3.845413147516637,3.6135810252164053,3.8415405780496075
