Date,Season,Tamnar,Gharghoda,Raigarh,Pusaur,Sarangarh,Lailunga,Sarai Lengha [baram,Dharmjaigarh,Kharsia,Tamnar_Trend,Tamnar_SMA,Tamnar_EWMA,Tamnar_DES,Tamnar_TES,Tamnar_ARIMA,Gharghoda_Trend,Gharghoda_SMA,Gharghoda_EWMA,Gharghoda_DES,Gharghoda_TES,Gharghoda_ARIMA,Raigarh_Trend,Raigarh_SMA,Raigarh_EWMA,Raigarh_DES,Raigarh_TES,Raigarh_ARIMA,Pusaur_Trend,Pusaur_SMA,Pusaur_EWMA,Pusaur_DES,Pusaur_TES,Pusaur_ARIMA,Sarangarh_Trend,Sarangarh_SMA,Sarangarh_EWMA,Sarangarh_DES,Sarangarh_TES,Sarangarh_ARIMA,Lailunga_Trend,Lailunga_SMA,Lailunga_EWMA,Lailunga_DES,Lailunga_TES,Lailunga_ARIMA,Sarai Lengha [baram_Trend,Sarai Lengha [baram_SMA,Sarai Lengha [baram_EWMA,Sarai Lengha [baram_DES,Sarai Lengha [baram_TES,Sarai Lengha [baram_ARIMA,Dharmjaigarh_Trend,Dharmjaigarh_SMA,Dharmjaigarh_EWMA,Dharmjaigarh_DES,Dharmjaigarh_TES,Dharmjaigarh_ARIMA,Kharsia_Trend,Kharsia_SMA,Kharsia_EWMA,Kharsia_DES,Kharsia_TES,Kharsia_ARIMA
2000-08-31,MONSOON,6.39,8.675,4.07,1.55,1.9833333333333327,3.953333333333333,1.6127564102564105,3.78375,3.265,7.27125,6.424999999999999,6.681340319819925,6.617901852190306,4.946953903020315,5.213367451257147,7.328750000000001,7.999375000000003,7.905485082884064,6.322149244595644,4.480810192967867,5.24957534332634,7.438125,6.6175,6.556064783376704,6.2149456352298165,2.0730517021203156,2.579003908078505,3.34125,3.2850000000000015,2.9831248079265253,2.5508384435723177,1.6895111054232923,1.8126568652602821,4.217499999999999,3.9425000000000003,3.699146367853239,4.897919014495406,2.1473171111173355,2.212405815451251,5.609270833333333,5.267083333333333,5.046539401205186,5.070766945867501,2.0037207330335836,2.6563793235707953,4.467263932496076,4.467263932496076,4.089815552205618,4.44805582604175,1.5657235158353293,1.856740594354119,6.432153769841269,6.248556547619043,5.923407357796227,6.468364351961148,4.603682570500964,5.007714901918289,4.022500000000001,3.8112499999999994,3.7766129220290474,1.1244271131168597,1.3238708824490502,2.236993560442727
2000-11-30,POMKH,6.74,4.71,7.0,2.29,3.53,5.63,3.2732539682539685,5.9479999999999995,3.345,7.5287500000000005,7.034999999999999,6.704804191891954,6.673407767745794,5.482063055740262,5.740473587389145,7.0328125,7.563125000000003,6.627291049730438,6.32332482317446,6.086186625543686,5.527530163174299,7.195625,7.415,6.733638870026022,6.3081005831934265,3.733679686332391,4.129091378689772,3.7674999999999996,3.3750000000000018,2.7058748847559153,2.558266564478314,1.9665736536497478,1.9063260239659137,4.440833333333333,4.1025,3.631487820711943,4.396627407388546,3.056373298031663,2.8237458244218447,5.821875,5.549583333333333,5.279923640723112,5.375887170025335,4.252323206173152,4.061524327589242,4.467263932496076,4.467263932496076,3.763190918624958,4.314038148099949,3.225248578296725,3.286183753845754,6.4883581349206345,6.416806547619043,5.933244414677736,6.326804222240416,5.446808277639411,5.651033226205251,4.005,4.054999999999999,3.6039677532174283,1.1965776097515297,3.1984046757526032,3.1024830674929045
2001-02-28,POMRB,7.73,7.125,6.165,3.8,4.85,5.4525000000000015,5.0430731292517015,6.55111111111111,4.02,7.40375,7.507499999999999,7.1148825151351724,6.8431891045378155,6.9246865655714105,6.772981061603654,6.39,7.094375000000003,6.826374629838263,6.32450062456114,7.5738110833009005,8.072826427311412,6.58875,7.461250000000001,6.506183322015613,6.295668752054998,5.871100878107309,6.1680494826916465,4.217499999999999,3.307500000000002,3.143524930853549,2.59173542465228,2.733809432092491,2.708043073806034,4.515833333333333,4.3325,4.118892692427165,4.752099014025875,4.018704844339306,3.613654398305863,5.7184375,5.668958333333332,5.348954184433868,5.581162778668459,6.150102351138097,6.1028050472365845,4.467263932496076,4.467263932496076,4.275143802875656,4.39606774580849,5.151310592924595,4.854855728627878,6.467965277777777,6.447500992063487,6.180391093251085,6.4917479439810695,6.593164532168319,6.4344843758217065,3.6943749999999995,3.9899999999999984,3.7703806519304566,1.327217304204375,5.852117171161372,3.54067891641002
2001-05-31,PREMON,9.34,7.375,10.485,9.27,7.833333333333332,8.863333333333333,7.939972222222222,9.834,5.45,7.075,7.549999999999999,8.004929509081103,7.2012585627969825,9.325853288911127,9.00141508767405,5.994375000000001,6.971250000000003,7.045824777902958,6.325676645018254,9.598795396705697,7.92203375460902,5.885,6.93,8.097709993209367,6.7763519740826474,13.846968906129636,11.943094789816788,4.13625,4.227500000000002,5.5941149585121295,2.7194544641001226,4.491013797459329,3.7001655520213914,4.422083333333333,4.549166666666666,5.604668948789632,6.986823591481181,7.146039344515543,6.735902382115778,5.247083333333334,5.974791666666666,6.754705843993655,6.756580006617979,8.29740754169918,8.321235334128934,4.467263932496075,4.467263932496076,5.741075170614282,4.797483536098798,7.93880421054951,7.664715916838502,6.298996527777778,6.529215277777773,7.641834655950651,8.368914917374846,8.616207055897137,8.554183914251139,3.164375,4.019999999999998,4.442228391158274,1.5773363392369724,6.8689863426881255,5.555389329812369
2001-08-31,MONSOON,5.22,4.025,1.34,1.47,1.7166666666666668,1.9025,1.6127564102564105,3.29375,0.66,6.7625,7.2574999999999985,6.8909577054486615,7.052532486863726,6.2025152574165965,5.845765975810942,6.11125,5.8087500000000025,5.837494866741775,6.326852878302981,4.495732452220533,6.115920174525284,5.515625,6.2475,5.394625995925621,6.161722076546437,2.8527812197461366,2.962390748680015,3.7800000000000002,4.207500000000001,3.9444689751072777,2.7105614153573514,1.7563688695823667,1.965123393639626,4.357916666666666,4.4825,4.049468035940446,4.770207121154752,2.200975093691601,2.2461684261557684,5.0271875,5.462083333333332,4.813823506396193,5.793399614675798,2.844767602167127,3.433757400704947,4.467263932496076,4.467263932496076,4.089747666471133,4.435346271331001,1.5657246298858194,1.80819114546386,6.170424603174602,6.4067152777777725,5.90260079357039,6.462880072622671,4.688906553950962,4.735942215892732,2.8449999999999998,3.3687499999999977,2.9293370346949645,1.4247567801540548,1.4109019867115231,2.416862128749503
2001-11-30,POMKH,5.28,6.195,4.1,1.72,3.046666666666667,3.91,3.2732539682539685,5.08625,1.71,6.572500000000001,6.892499999999998,6.246574623269197,6.904914302983799,6.0056397743701275,5.738229026857474,6.1781250000000005,6.180000000000002,5.980496920045065,6.328029334089681,5.622341631948497,5.303437698085959,5.604374999999999,5.522499999999999,4.876775597555373,5.93082093788154,4.298954153753594,4.284425974089795,2.5637499999999998,4.065000000000001,3.0546813850643666,2.706107556548431,2.0334274695538985,2.146473254827842,4.37,4.361666666666666,3.648347488230934,3.787335768667469,3.152523126499204,3.033225191663574,4.897291666666666,5.032083333333333,4.4522941038377155,5.409730965885155,4.332425878449018,4.143187080973393,4.412267404718298,4.467263932496076,3.763150187184267,4.302772770718121,3.2252491863931194,3.279056011702477,6.003821428571428,6.191277777777772,5.576060476142234,5.751261393133934,5.4740993678333645,5.642221860165732,2.91125,2.9599999999999977,2.4416022208169785,1.3734949450116014,2.993018259889544,2.877386774971038
2002-02-28,POMRB,6.69,6.575,6.109999999999999,1.52,4.82,5.413333333333332,5.0430731292517015,6.3842857142857135,3.1,6.7775,6.632499999999998,6.423944773961518,6.922793917736997,6.800111317654744,6.603661091861371,6.520625,6.042500000000002,6.218298152027039,6.329206009295404,7.309978675544124,7.826396967439903,5.98875,5.508749999999999,5.370065358533223,5.954840741753604,5.369537727633337,4.631356618471495,2.2199999999999998,3.495000000000001,2.44080883103862,2.6982484047236714,2.8006461115772994,3.0124183524807826,4.7575,4.354166666666666,4.11700849293856,4.144793633669656,4.133807517881696,3.944075347532861,4.8765624999999995,5.022291666666666,4.8367097956359615,5.4592828265598525,5.756541667132653,5.439317086751382,4.35727087694052,4.467263932496076,4.275119364011241,4.386082444950728,5.151310924849602,4.885073179501079,6.2258169642857135,6.149571428571424,5.899350571399626,5.865391952282933,6.530752836556673,6.290997355579182,3.2600000000000002,2.7299999999999978,2.7049613324901873,1.4463418048428187,5.491441294359626,3.1825634302635972
2002-05-31,PREMON,8.86,8.46,11.25,1.82,7.960000000000001,7.863333333333332,7.5,8.668,6.9,7.137499999999999,6.512499999999997,7.398366864376911,7.1974282898342885,8.80638024393603,8.664905096171482,6.635,6.313750000000002,7.114978891216223,6.330382906587824,9.305593223628131,7.771470588212366,6.216875,5.699999999999999,7.722039215119933,6.561182307638856,12.665587609725263,11.804133819721761,2.7912500000000002,1.6325000000000012,2.192485298623172,2.6956807706930808,4.557787316522756,4.5106119066145,5.1275,4.385833333333333,5.654205095763137,6.567168522583317,7.249051383885265,7.041030457252754,5.009166666666667,4.772291666666666,6.047359210714911,6.204880772588421,7.997099016256659,8.123553376127989,4.357270876940521,4.35727087694052,5.565071618406744,4.73870981475804,7.938804391728356,7.706892384705774,6.64903125,5.8580714285714235,7.006810342839776,7.199139306006481,8.543159333768438,8.853717852464026,3.46375,3.0924999999999985,4.382976799494113,1.846226761188764,6.447554788586421,5.0118122223764505
2002-08-31,MONSOON,7.34,5.68,3.65,6.17,4.69,2.736666666666667,1.6127564102564105,6.235714285714287,2.0,7.2925,7.042499999999997,7.375020118626146,7.281069570752054,5.530526369084209,5.4893077306694735,6.77125,6.727500000000003,6.540987334729733,6.331560017865795,4.343977023933763,5.602171577261376,6.176875,6.277499999999999,6.09322352907196,6.233838758125235,2.3069729358672575,2.2530495481899493,2.7925,2.807500000000001,3.783491179173903,2.7684337567653574,1.8229400796337871,1.7778587602309883,5.112500000000001,5.129166666666666,5.268523057457882,6.262109087757152,2.2195277376989897,2.1320549700529323,5.247916666666667,4.980833333333333,4.723082193095613,5.420790940580318,2.3603483493636075,2.765674058244043,4.473761735784057,4.35727087694052,3.984145535146611,4.383250964602582,1.3659081677363307,1.5981167163739192,6.729464285714285,6.5935624999999956,6.69837191998958,7.013303390311055,4.505415095801321,4.1107693736864785,3.6,3.4274999999999984,3.429786079696468,1.8218428613315343,1.192751655203649,1.9638135381124915
2002-11-30,POMKH,6.04,5.455,3.615,1.59,3.0333333333333337,4.136666666666667,3.2732539682539685,5.529999999999999,2.0,7.541249999999999,7.232499999999996,6.841012071175688,7.200683301797866,6.183420459822416,6.358659514166587,6.87875,6.542500000000002,6.10659240083784,6.3327373476286875,5.656015946087089,5.502283040495315,5.8575,6.156249999999998,5.101934117443175,5.93957000605842,4.4025120091189365,4.353528946333936,3.200234375,2.775000000000001,2.9060947075043417,2.7609992215299752,2.100123383241109,2.10966516891337,5.0600000000000005,5.1258333333333335,4.3744471678080625,4.828715592135197,3.2352349847721396,3.3256337236675733,5.509166666666667,5.0375,4.488515982524034,5.07287320654609,4.194967852699413,4.10457370735987,4.518377594627594,4.35727087694052,3.6997889083895537,4.256597015274743,3.116180813077055,3.154532219549907,6.811866071428571,6.704499999999996,6.231023151993748,6.436375308753826,5.605833050395273,6.071804713252073,3.72625,3.4999999999999982,2.8578716478178805,1.80099610089454,2.944119485394098,2.6455650444673924
