Date,Season,Goharganj,Silwani,Begamganj,Gairatganj,Sanchi,Baraily,Udaipura,Goharganj_Trend,Goharganj_SMA,Goharganj_EWMA,Goharganj_DES,Goharganj_TES,Goharganj_ARIMA,Silwani_Trend,Silwani_SMA,Silwani_EWMA,Silwani_DES,Silwani_TES,Silwani_ARIMA,Begamganj_Trend,Begamganj_SMA,Begamganj_EWMA,Begamganj_DES,Begamganj_TES,Begamganj_ARIMA,Gairatganj_Trend,Gairatganj_SMA,Gairatganj_EWMA,Gairatganj_DES,Gairatganj_TES,Gairatganj_ARIMA,Sanchi_Trend,Sanchi_SMA,Sanchi_EWMA,Sanchi_DES,Sanchi_TES,Sanchi_ARIMA,Baraily_Trend,Baraily_SMA,Baraily_EWMA,Baraily_DES,Baraily_TES,Baraily_ARIMA,Udaipura_Trend,Udaipura_SMA,Udaipura_EWMA,Udaipura_DES,Udaipura_TES,Udaipura_ARIMA
1996-02-29,POMRB,6.9816666666666665,5.796666666666668,6.455,3.92,5.635,7.27,7.67,,,6.9816666666666665,10.27872493500445,6.997584844359264,0.0,,,5.796666666666668,5.338091936383154,5.86280166287062,0.0,,,6.455,5.204644687663964,5.827721914101378,0.0,,,3.92,3.494370453520444,3.6992806697150913,0.0,,,5.635,5.77478756257252,5.877958978338048,0.0,,,7.27,7.019378758776624,7.090022390873278,0.0,,,7.67,11.246575275526697,7.339910222333696,0.0
1996-05-31,PREMON,8.865,8.583333333333334,7.41,4.79,10.325,8.629999999999999,10.475,,,7.735,12.052481497649978,9.322992043547899,7.942102716401773e-06,,,6.911333333333334,5.346337801925565,8.488974985399434,5.796639445612044,,,6.837,5.336607287249177,8.925771246210854,6.4549524194968555,,,4.268,3.7503712763387327,6.637835474240392,3.9199811882250604,,,7.510999999999999,4.71842642961079,8.411175687189916,2.9710666770152425,,,7.813999999999999,7.466632545652222,8.508234498230896,6.636799290309986,,,8.792,13.823963074133134,9.839719048145227,7.669947680314565
1996-08-31,MONSOON,4.111666666666667,3.8,3.905,1.945,1.3125000000000002,4.7250000000000005,3.16,6.189375,,6.285666666666667,10.931415690916346,2.8871791198222967,1.2906001142634254e-05,5.760833333333333,,5.6668,4.2819341818559735,3.371235773671218,7.32363322181956,5.561875000000001,,5.6642,4.81431374678613,3.8353912383246413,6.947280858535725,3.3781250000000003,,3.3388,3.730674226148532,0.2783229207777014,4.465040574641273,5.320937499999999,,5.0316,2.6786551482065626,2.7271878709834576,5.473523987429896,6.621874999999999,,6.5784,6.775108443328823,4.914115636640386,7.615435827726976,6.553749999999999,,6.5392,11.5408745819364,3.2231481572588754,9.329185758650503
1996-11-30,POMKH,4.743333333333333,4.726666666666667,4.355,2.9450000000000003,3.6325,5.5,4.83,6.268541666666667,6.175416666666667,5.668733333333333,9.700995066371663,5.368029294019978,7.0129872628849785e-06,5.842916666666667,5.7266666666666675,5.290746666666667,3.7972408918167053,4.662193520859214,5.737278844704573,5.885625,5.53125,5.14052,4.468043991169223,3.9073889963430553,5.831084015482311,3.443125,3.4000000000000004,3.18128,3.7940314272505176,2.3355057178701566,3.083660750218532,5.375,5.22625,4.47196,1.9769963392785928,4.015187246166456,2.4758280093809373,6.735625,6.53125,6.1470400000000005,6.465359647491048,6.672043390005822,6.38445441137565,6.530625000000001,6.5337499999999995,5.85552,9.766242024539089,4.465305195963004,6.220883446097434
1997-02-28,POMRB,7.093333333333334,6.07,6.7,3.745,6.3925,7.995,7.83,6.346666666666666,6.203333333333334,6.238573333333333,9.336037186921974,7.054211585493063,6.981666360631702,6.270833333333334,5.795000000000001,5.602448000000001,3.8831690639093384,5.920886263087936,5.734851873509443,6.218125000000001,5.592499999999999,5.764312,4.656646722061154,5.916305733652511,5.768257306689501,3.544375,3.3562500000000006,3.4067680000000005,3.923842242919455,3.9537903636890377,3.7142406546630133,5.421562499999999,5.415625,5.240176,2.225313590371761,5.897781196350473,5.3090534332951,6.750624999999999,6.7124999999999995,6.886224,6.889402884204217,6.948459118884308,6.372196811753809,6.365,6.573749999999999,6.6453120000000006,9.41610348563463,7.597571178133369,7.419344129331867
1997-05-31,PREMON,9.386666666666663,8.966666666666667,9.755,5.484999999999999,10.0,8.815,10.13,6.381458333333333,6.33375,7.497810666666664,9.84036600776371,9.404378061655793,8.920335073600585,6.644166666666666,5.890833333333333,6.948135466666667,4.899965098403104,8.547097317400212,7.9454513570096506,6.22625,6.17875,7.360587200000001,5.497501367318118,9.049860117902094,6.445400375664626,3.595,3.530000000000001,4.2380607999999995,4.211345764440858,6.814068613131462,4.453805304725412,5.380625,5.3343750000000005,7.1441056,3.4574709495475924,8.573334734296314,10.050652150035642,6.9506250000000005,6.75875,7.6577344,7.418719967122795,8.685079397561797,7.489081589339933,6.20625,6.487499999999999,8.0391872,10.101406977712779,10.083663120042596,10.051414193233462
1997-08-31,MONSOON,4.215,6.84,4.22,2.06,2.01,4.66,2.18,6.013958333333332,6.359583333333333,6.184686399999999,8.00130155477677,3.1666219202484456,4.383755667444646,6.446666666666667,6.650833333333333,6.90488128,5.272720097301088,3.429415111597333,4.406817317462753,5.858125,6.257499999999999,6.10435232,5.186515388643376,4.463606762276985,5.496878773321727,3.575,3.5587500000000007,3.36683648,4.168221853116197,0.5490994037387731,2.6518927015772027,4.774062499999999,5.508750000000001,5.09046336,2.717602567492301,2.7953483244770463,1.4120206176048584,6.966875,6.7425,6.45864064,6.722546333011656,5.093957028869506,6.169305331888385,5.71375,6.242499999999999,5.69551232,6.944955995505758,3.3843726060170116,3.6257918595233933
1997-11-30,POMKH,4.918333333333333,4.673333333333333,4.105,3.235,2.6075,7.165,4.54,5.495833333333334,6.403333333333333,5.678145173333332,6.705210874545617,5.568250637527095,4.778619271860677,6.0225,6.637499999999999,6.0122621013333335,5.01088262820003,4.720895364558447,5.3380986762463305,5.220625,6.194999999999999,5.304611392,4.882978234836832,4.464507441482308,5.427286842317528,3.44125,3.6312500000000005,3.3141018879999997,4.223501557553436,2.5778925122626077,3.0101132377278743,4.0246875,5.252500000000001,4.097278016,2.3251610279551342,4.204780387011325,3.6532023490241983,6.136875,7.1587499999999995,6.741184384,6.862647467059526,6.761920780199599,5.943086606090178,5.076875,6.169999999999998,5.2333073919999995,5.534421438579818,4.466239965576529,4.715458248579687
1998-02-28,POMRB,3.978333333333334,4.543333333333334,4.005,3.295,2.565,6.46,4.18,5.352708333333333,5.624583333333334,4.998220437333333,5.349758024744887,7.243087306331557,7.139458916520416,5.294166666666667,6.2558333333333325,5.424690594133334,4.760417784688643,5.979568600142543,5.976798237526439,5.18625,5.521249999999999,4.7847668352,4.595706964028676,6.29021562328507,6.357022662146479,3.395,3.51875,3.3064611328,4.274264434981589,4.204854488916359,3.798607640646502,3.775,4.295625000000001,3.4843668096,2.062197933978283,5.853015460610301,5.513067343737882,5.565625000000001,6.7749999999999995,6.6287106304000005,6.7818172757402335,7.617096221160564,7.3922555802729315,4.973749999999999,5.2574999999999985,4.811984435199999,4.451762031318756,7.55764295981835,7.56480114547359
1998-05-31,PREMON,8.356666666666667,7.1000000000000005,7.35,4.865,7.8325,3.71,8.685,5.386220238095238,5.367083333333335,6.341598929066667,6.08968403782621,8.10703131038428,7.530662850043811,4.8025,5.789166666666665,6.094814356480001,5.3123839455609225,8.605501991031758,8.205130214555439,5.646875,4.919999999999998,5.810860101119999,5.025841574975152,8.727155339333331,7.032883471735319,3.4064583333333336,3.3637499999999996,3.92987667968,4.463655077259249,6.937366391324296,4.820220298066238,4.1293125,3.753750000000001,5.22362008576,3.2597180560557684,7.798680673976122,8.307894007036088,5.893125,5.498749999999999,5.46122637824,6.001315525463043,8.544016755259044,7.676341536549298,5.091875,4.896249999999998,6.36119066112,5.811472477052434,9.53668543551172,9.215542110450976
