Date,Season,Coonoor,Kotagiri,Udhagamandalam,Gudalur,Panthalur,Coonoor_Trend,Coonoor_SMA,Coonoor_EWMA,Coonoor_DES,Coonoor_TES,Coonoor_ARIMA,Kotagiri_Trend,Kotagiri_SMA,Kotagiri_EWMA,Kotagiri_DES,Kotagiri_TES,Kotagiri_ARIMA,Udhagamandalam_Trend,Udhagamandalam_SMA,Udhagamandalam_EWMA,Udhagamandalam_DES,Udhagamandalam_TES,Udhagamandalam_ARIMA,Gudalur_Trend,Gudalur_SMA,Gudalur_EWMA,Gudalur_DES,Gudalur_TES,Gudalur_ARIMA,Panthalur_Trend,Panthalur_SMA,Panthalur_EWMA,Panthalur_DES,Panthalur_TES,Panthalur_ARIMA
2006-11-30,POMKH,0.555,16.56,1.255,3.2175,1.9925,2.07,1.8912500000000003,1.6458571850193102,2.2696888477384953,1.8382028906140488,2.2619294378804122,17.43875,17.254999999999995,17.26480612617215,16.999097638865607,18.06182686683021,18.205683012472402,1.375,1.4749999999999985,1.3813052592400685,1.3917359962863673,1.2765505432756936,1.3258711250644493,4.657291666666666,5.142708333333331,4.739678941831942,4.354560270412715,4.34203400315407,4.634667037662538,2.606875,2.9906249999999988,2.3963969864195294,2.706891835392451,2.268396177269172,2.07829113917845
2007-02-28,POMRB,2.42,16.95,1.37,4.216666666666667,3.24,2.15625,2.00375,1.955514311011586,2.2766283393484485,2.015395675588457,1.5053949358186323,17.38625,17.332499999999996,17.13888367570329,16.87925766187068,16.225632145757306,17.112664642357192,1.33375,1.3949999999999987,1.3767831555440413,1.3754215792680904,1.4574180622406052,1.383236417316646,3.8022916666666666,5.0110416666666655,4.530474031765832,4.356538325342478,5.048240279364407,4.3572831658609665,2.639375,2.593124999999999,2.733838191851718,2.7762560341821723,3.618116445250662,3.3863953587040987
2007-05-31,PREMON,2.76,17.91,1.41,2.54,3.95,2.344375,2.13625,2.277308586606951,2.3074431045077817,2.5569128336565563,2.6619752292308028,17.232499999999998,17.544999999999995,17.447330205421974,17.162590644997845,17.610807884856023,16.846421534589144,1.2974999999999999,1.3549999999999986,1.3900698933264248,1.3652875676999743,1.8915046030309624,1.6853505989362616,3.2746875,4.303541666666665,3.734284419059499,4.356381020471305,6.281841870382648,5.969375193256767,2.5828125,2.6206249999999986,3.2203029151110307,3.0125483790601706,3.6482709624901775,3.5955745175327123
2007-08-31,MONSOON,2.97,17.49,1.215,3.23,1.45,2.446875,2.17625,2.554385151964171,2.3510568450242277,2.678880013651389,2.995308200469216,17.215,17.227499999999992,17.464398123253183,17.182098490475305,17.69675264999349,17.106450880857,1.2843749999999998,1.3124999999999987,1.3200419359958548,1.335505176012208,1.0580760797177384,1.0418981414231583,3.24875,3.3010416666666655,3.532570651435699,4.357101970956814,3.6325282823760907,4.093977936059966,2.31625,2.6581249999999983,2.5121817490666185,2.6704900298762975,1.9218599509674632,2.1372707590030684
2007-11-30,POMKH,1.9,16.6,1.135,3.0066666666666664,1.39,2.2581249999999997,2.5125,2.2926310911785026,2.314728682198331,1.7985968906998169,2.0738420307851104,16.88625,17.23749999999999,17.11863887395191,16.86251559773754,17.78157176511294,17.833225070449902,1.265,1.2824999999999986,1.2460251615975129,1.3006571832036673,1.1605151478916684,1.2034737267978308,3.4470833333333335,3.2483333333333326,3.322209057528086,4.357538133856649,3.277686005736822,2.959437403360084,1.97375,2.5074999999999985,2.063309049439971,2.344873107921762,2.080871409954101,2.0912482889564123
2008-02-29,POMRB,1.895,16.77,1.385,4.22,1.71,2.135,2.38125,2.133578654707102,2.2807088422246857,2.1184533854181735,1.8690079222034535,16.68875,17.19249999999999,16.979183324371146,16.727309566910716,16.076399766590338,17.110976541854015,1.2393750000000001,1.2862499999999986,1.3016150969585079,1.296591446345536,1.3305268913180415,1.279176097919657,3.717916666666666,3.249166666666666,3.681325434516851,4.359518113878689,4.137455274277746,4.173102785985006,1.9074999999999998,2.1249999999999987,1.9219854296639824,2.1283823163891515,3.340900142017124,3.218392934070803
2008-05-31,PREMON,1.775,15.46,1.24,4.123333333333333,2.74,2.143125,2.1350000000000002,1.9901471928242611,2.2405800952745807,2.595258240653873,2.353418535632287,16.935,16.57999999999999,16.371509994622688,16.155064630994893,17.448987860943504,16.734987721845144,1.240625,1.2437499999999986,1.2769690581751045,1.2775097915720044,1.7427596796369218,1.5696867919425084,3.861666666666667,3.6449999999999996,3.858128594043444,4.361373529807029,5.535523573662072,5.217840105640912,2.1025,1.8224999999999987,2.2491912577983895,2.172966592015458,3.4262596307132984,3.375736754219106
2008-08-31,MONSOON,2.97,18.36,1.1800000000000002,3.813333333333334,2.13,2.16875,2.1350000000000002,2.3820883156945567,2.2891023802938255,2.611784412876066,2.645456437385015,17.15625,16.797499999999992,17.16690599677361,16.880346024936074,16.59879275336791,15.886671856306561,1.2256250000000002,1.2349999999999985,1.2381814349050628,1.2542484447636433,0.9990210348583892,0.9732527390962262,3.955416666666667,3.7908333333333326,3.8402104897594,4.362832978521262,3.3053571784302,3.728651366172535,2.5175,1.9924999999999986,2.2015147546790335,2.092998501934904,1.313000201978681,1.7558721975148737
2008-11-30,POMKH,1.965,17.7,1.1800000000000002,3.5733333333333333,2.27,2.3125,2.15125,2.215252989416734,2.2619841998950037,1.7384145253804961,1.44473215139044,17.4825,17.07249999999999,17.380143598064166,17.08499972606732,17.488743346938683,18.15595319166545,1.224375,1.2462499999999985,1.2149088609430376,1.2337061024733373,1.0805092537612553,1.1252039323149607,4.185833333333333,3.9324999999999997,3.7334596271889735,4.363985854078315,3.1143314029031632,3.4005414356968995,3.1237500000000002,2.2124999999999986,2.22890885280742,2.0629143411924997,1.514242238800344,2.031381664250618
2009-02-28,POMRB,2.035,17.44,1.22,4.403333333333333,4.15,2.37375,2.1862500000000002,2.1431517936500404,2.241877200794093,2.071169260169893,2.223346931922271,17.78125,17.23999999999999,17.4040861588385,17.11525420267845,16.353405116616205,17.505766072624294,1.2725,1.2049999999999985,1.2169453165658224,1.219838365217221,1.29498105724085,1.2575150903280246,4.343333333333333,3.9783333333333335,4.001409109646717,4.366194137435948,4.105444929873679,4.382691042312803,3.33375,2.822499999999999,2.9973453116844517,2.478424410440147,2.621448323203036,2.9761319145384024
2009-05-31,PREMON,2.785,17.4,1.395,5.783333333333332,5.15,2.3193750000000004,2.43875,2.3998910761900243,2.277036108884035,2.5672710475408826,2.480360827675944,17.9575,17.724999999999987,17.4024516953031,17.11914406659237,17.88677512736263,17.351167265663268,1.3206250000000002,1.2437499999999986,1.2881671899394935,1.2262878460941904,1.5904156485785077,1.3978057759986455,4.191249999999999,4.393333333333333,4.714178799121363,4.370156968426561,5.542257519076659,5.58570341477602,3.3025,3.4249999999999994,3.858407187010671,3.1288398989462203,3.3644487698626184,3.629911170805318
2009-08-31,MONSOON,2.45,18.81,1.41,3.4133333333333327,1.4,2.319375,2.3087500000000003,2.4199346457140147,2.2855878161786367,2.6907468528269627,2.914226604720766,16.544999999999998,17.837499999999988,17.96547101718186,17.64706892815846,17.651165083857325,16.83385086924681,1.3275000000000001,1.3012499999999987,1.336900313963696,1.2335859848497395,1.0286351450369366,1.0229432672485985,4.1975,4.293333333333333,4.1938406128061505,4.371100520103525,3.609544106400075,4.4095085636837865,3.3675,3.2424999999999997,2.8750443122064024,2.866045051822196,2.0402415002767365,2.3104957139727698
2009-11-30,POMKH,2.05,18.66,1.335,2.7566666666666664,2.75,2.336875,2.33,2.2719607874284087,2.264823825623087,1.7556625110855764,1.1627969533129163,15.100000000000001,18.077499999999986,18.243282610309116,17.919177248310795,18.294673193591905,18.353003962800916,1.306875,1.3399999999999985,1.3361401883782176,1.2320183800031168,1.1501152545528226,1.1800619401766241,4.289999999999999,4.089166666666666,3.6189710343503565,4.371207626521755,3.291822145829852,3.317578142171623,3.3125,3.3625,2.8250265873238414,2.9096539291528787,2.1067514460691283,1.9894862962777546
2010-02-28,POMRB,1.95,5.18,1.12,5.27,4.19,2.3975,2.30875,2.1431764724570455,2.2384121852282095,2.0953981152872116,2.2695913503422345,14.87375,15.012499999999989,13.01796956618547,13.064239766953094,17.222368122926447,18.161208886949744,1.24125,1.3149999999999986,1.2496841130269307,1.2076643613844604,1.3607865598007605,1.2807635467422191,4.237083333333333,4.305833333333333,4.279382620610214,4.374513259499943,4.104068462793133,4.132494602264901,3.25875,3.3725,3.3710159523943046,3.280882276593054,3.482909320899059,3.3497431357850007
2010-05-31,PREMON,3.01,18.1,1.33,5.656666666666666,4.67,2.33375,2.3649999999999998,2.4899058834742274,2.2899624107975836,2.5802454420748777,2.198138158727454,14.514999999999999,15.187499999999988,15.050781739711283,14.863034094350601,13.384418619477142,11.573573159781661,1.143125,1.2987499999999987,1.2818104678161584,1.208592541247529,1.5951114056437308,1.3441315498029072,4.3,4.274166666666667,4.830296239032795,4.378308414173293,5.697057983332988,6.097598266685429,3.1962499999999996,3.2525,3.890609571436583,3.7461223956495537,4.248250562627696,4.001790991627348
2010-08-31,MONSOON,2.71,16.3,0.95,3.1166666666666667,1.45,2.2618750000000003,2.4299999999999997,2.5779435300845366,2.3162123081153827,2.7255674327580146,3.1406973705253387,15.922500000000001,14.559999999999988,15.55046904382677,15.309810458367071,15.27719594493345,16.17898292812888,1.124375,1.1837499999999987,1.149086280689695,1.1688147055629872,1.1012204717665321,1.062400711532399,4.3825,4.2,4.1448444100863435,4.37886806840506,3.713703454935943,4.088006794750461,3.0124999999999997,3.2649999999999997,2.91436574286195,3.411554092282276,2.0269866428706975,2.043195223241565
2010-11-30,POMKH,1.28,18.3,1.01,3.556666666666666,2.2,2.234375,2.2375,2.058766118050722,2.2379759056013278,1.8136845876510514,1.3538409128989162,15.825000000000001,14.469999999999988,16.65028142629606,16.332805616473273,15.865051127737177,16.256551396161452,1.078125,1.1024999999999987,1.093451768413817,1.1400966115425764,1.0548027709197225,1.0346132620618878,4.370833333333334,4.3999999999999995,3.9095733127184724,4.379987256007984,3.3238655192187965,3.044777820072483,2.9325,3.1274999999999995,2.62861944571717,3.238187874962027,2.5187097711318724,2.2075892479113155
2011-02-28,POMRB,2.145,16.8,1.295,5.13,3.27,2.199375,2.28625,2.093259670830433,2.2275205749929547,2.068104440547275,1.9770385814297295,12.9375,17.374999999999986,16.71016885577764,16.40936802144096,15.639469548010382,19.470756217923206,1.020625,1.1462499999999987,1.17407106104829,1.1451834987456722,1.142214745945609,1.098416635795435,4.391666666666666,4.364999999999999,4.397743987631083,4.383107885592146,4.274281363372608,4.672186366096689,2.9175,2.897499999999999,2.885171667430302,3.3059132063182752,3.816352855731571,3.449185953941235
2011-05-31,PREMON,2.595,5.7,0.785,5.703333333333332,4.95,2.2025000000000006,2.1825,2.29395580249826,2.2501066784846313,2.575855929471058,2.2887248377053644,10.025,14.274999999999986,12.306101313466584,12.319960453049928,17.203088068268507,15.527049234152063,1.034375,1.0099999999999987,1.018442636628974,1.0951896359936801,1.4753295045966852,1.3402621891028617,4.387499999999999,4.376666666666666,4.919979725911983,4.386955743362884,5.811457875308916,5.902380427325068,2.93,2.967499999999999,3.7111030004581815,3.7579186986259505,4.348339650894703,3.9787440765310995
2011-08-31,MONSOON,2.845,5.6,1.035,3.236666666666667,1.05,2.1743750000000004,2.2162500000000005,2.5143734814989562,2.2889646295340196,2.678870422287884,2.864798539902481,8.525,11.599999999999987,9.62366078807995,9.741835269889116,12.460485610687929,10.66848610575667,1.0393750000000002,1.0312499999999987,1.0250655819773844,1.0777484206120527,0.8877721444151196,0.8213336330845067,4.365,4.406666666666666,4.246654502213857,4.387661387823722,3.8159168934103302,4.024666758199382,3.115,2.8674999999999993,2.646661800274909,3.270852790092763,1.8213115921228464,1.9819169910945824
2011-11-30,POMKH,1.17,5.7,1.035,3.4033333333333338,2.7,2.2925,2.1887500000000006,1.9766240888993736,2.204839359914573,1.7857088375988757,1.7335913164404047,10.16875,8.449999999999989,8.05419647284797,8.17724921674006,9.823130424804903,9.795738054112233,1.10375,1.0374999999999988,1.0290393491864307,1.0623458981665526,0.9348908031736471,0.9958656773973217,4.702916666666667,4.368333333333333,3.9093260346616474,4.388578592627605,3.429279087390684,3.316607283162223,3.3425000000000002,2.9924999999999997,2.6679970801649455,3.1727108150244976,2.362675606331723,2.146301071642392
2012-02-29,POMRB,2.03,17.4,1.31,5.1033333333333335,4.25,2.4059375,2.1600000000000006,1.9979744533396242,2.188568876718923,2.0316772727435515,1.7982732371200942,12.7896875,8.599999999999987,11.792517883708783,11.565729473042374,6.914508357592821,12.389719609035334,1.1959374999999999,1.041249999999999,1.1414236095118584,1.0781235521545236,1.0894828283562572,1.0854141012221996,4.9753125,4.361666666666667,4.3869289541303225,4.391658599728392,4.333141603156167,4.538878061772912,3.4875000000000003,3.2375,3.3007982480989675,3.4341723628686793,3.6532917319223266,3.4786258137506048
2012-05-31,PREMON,3.655,18.25,1.285,8.433333333333334,5.79,2.5474999999999994,2.4250000000000003,2.6607846720037744,2.290037436391675,2.53133296277314,2.519132665377927,15.273125,11.737499999999986,14.375510730225269,13.9878758416071,12.293153699567752,15.388185815713708,1.2475,1.166249999999999,1.198854165707115,1.0893860763232994,1.3144734676102223,1.192863268558996,5.083541666666666,5.044166666666667,6.0054907058115266,4.398974156262928,5.854930250951134,5.921691567884052,3.5712500000000005,3.4475,4.296478948859381,4.049084062343479,4.6766008365898015,4.36633174451534
2012-08-31,MONSOON,2.6925,14.017500000000002,1.2725,2.685833333333333,1.37,2.835,2.3868750000000003,2.6734708032022647,2.3150267302970953,2.7481526419282383,3.030389710578576,16.329375,13.841874999999986,14.232306438135161,13.915362560905296,14.693757155944759,16.5517907293803,1.3668749999999998,1.2256249999999989,1.228312499424269,1.0979966861952142,1.0238094713185493,0.9943730088079246,5.409791666666667,4.906458333333334,4.677627756820249,4.3989694275149835,4.342745019484542,4.8236024808877795,3.70875,3.5275,3.1258873693156284,3.592985408099805,1.7840097711024634,1.9531858966397717
2012-11-30,POMKH,2.455,17.15,1.21,4.82,3.05,2.788125,2.7081250000000003,2.586082481921359,2.321148070397548,1.8321395931734576,1.7068400874164502,15.935625000000002,16.704374999999985,15.399383862881097,15.03779312184138,14.586492653042852,14.27170392440961,1.595,1.2693749999999988,1.2209874996545613,1.098923583299072,1.0903037346205657,1.074683872683954,5.103541666666667,5.260625000000001,4.73457665409215,4.401680763439346,3.7622160884753155,3.0784878420930912,3.9225000000000003,3.615,3.095532421589377,3.5264324851698263,2.7311789370985355,2.3633764061779354
2013-02-28,POMRB,3.045,14.4,2.09,6.296666666666668,5.0,2.6109375,2.9618750000000005,2.7696494891528154,2.369134683817288,2.2057247533069493,2.2388222669123534,16.3096875,15.954374999999986,14.99963031772866,14.710261448673915,14.4135068985448,15.179582068694657,1.7403125,1.4643749999999986,1.5685924997927367,1.1937574481641082,1.2679515776078023,1.1852795898544892,4.511145833333334,5.558958333333335,5.359412659121958,4.406269279025746,4.861061511199426,5.029883279312108,4.109999999999999,3.8025,3.857319452953626,3.9097255721500463,4.119651877112075,3.728489885098282
2013-05-31,PREMON,2.265,18.1,2.33,4.79,6.75,2.599375,2.614375000000001,2.5677896934916893,2.357657100418783,2.7920284906201944,2.8377469882870026,16.895,15.916874999999987,16.239778190637196,15.8857501079296,15.496803421671931,15.701093177979255,1.78,1.7256249999999986,1.873155499875642,1.3031467805959533,1.6121909094231595,1.4871580361116137,4.036666666666666,4.648125000000001,5.131647595473175,4.408936755191937,6.502570277524979,6.966472699389691,4.2075000000000005,4.0425,5.0143916717721755,4.694783919112829,5.357020014641283,4.832077089697927
2013-08-31,MONSOON,2.665,17.16,1.39,1.59,1.91,2.4918750000000003,2.607500000000001,2.6066738160950136,2.3757100091674617,2.83876776596025,2.6050494509537527,17.4325,16.702499999999986,16.60786691438232,16.26577307744446,16.52536217145933,17.624219130883045,1.7349999999999999,1.7549999999999988,1.6798932999253848,1.2993242141404273,1.5574777765634142,1.4623699605255291,3.3333333333333335,4.374166666666667,3.7149885572839048,4.407529655107992,4.218359986688723,3.3093777907100366,4.172499999999999,4.1775,3.7726350030633053,4.288360132140738,2.035653354416501,2.0498757683224866
2013-11-30,POMKH,2.39,18.69,1.41,2.12,3.29,2.455,2.591250000000001,2.5200042896570083,2.372714687085275,1.9105846546007088,1.411342839959577,17.6975,17.087499999999984,17.440720148629392,17.072123288772875,16.954410841809143,16.323386375749475,1.65125,1.8049999999999986,1.5719359799552306,1.2980851767670054,1.4964345117045386,1.2477431554110046,2.9550000000000005,3.6991666666666676,3.076993134370343,4.406798157821499,3.4630496322779623,3.1770011182963023,3.80625,4.2375,3.5795810018379832,4.186682223786035,3.271925684339001,2.6642484013996497
2014-02-28,POMRB,2.25,17.16,1.53,3.37,4.48,2.5031250000000003,2.392500000000001,2.412002573794205,2.3598984923732043,2.269389866809724,2.2208818908348977,17.598750000000003,17.777499999999982,17.328432089177635,17.002897541601346,16.442707313400803,16.22006148487051,1.678125,1.6649999999999987,1.5551615879731384,1.3098112395544645,1.7251967683250704,1.5132945364239851,3.0937500000000004,2.967500000000001,3.194195880622206,4.4076580502917535,4.129940926293245,4.430932809222977,3.4000000000000004,4.1075,3.93974860110279,4.347362927644589,4.830062626350555,4.091108648616228
2014-05-31,PREMON,2.765,17.46,2.22,4.69,4.34,2.5343750000000003,2.517500000000001,2.553201544276523,2.384958831213159,2.767220529071606,3.05636731898113,17.145625000000003,17.617499999999986,17.38105925350658,17.071695997514038,17.824988460901547,15.549351258726166,1.72984375,1.6374999999999988,1.8210969527838832,1.393883201682774,1.7891744214632996,1.5448889710748015,3.4306250000000005,2.9425000000000017,3.792517528373324,4.410197180199624,5.3764305554585725,5.064643418066799,3.278125,3.505,4.099849160661674,4.45257930761887,6.110161448454885,5.193886350573187
2014-08-31,MONSOON,2.55,17.01,1.715,2.8,1.07,2.5543750000000003,2.4887500000000014,2.5519209265659137,2.392759695090137,2.8680337075134474,2.621270197041982,16.57875,17.579999999999988,17.23263555210395,16.946726949328852,17.639203761394207,17.276377371657595,1.7165625000000002,1.718749999999999,1.77865817167033,1.414176074949774,1.527740770846653,1.4831200664815585,3.6187500000000004,3.245000000000002,3.395510517023994,4.410329013685702,3.276841681080617,3.2307584943149292,3.32125,3.295,2.8879094963970044,3.7874985111447836,1.95157930991006,1.6507419078579089
