Date,Season,Lar,Deoria Sadar,Gauri Bazar,Salempur,Rampur Karkhana,Rudrapur,Barhaj,Desai Deoria,Pathar Dewa,Bhatpar Rani,Bankata,Lar_Trend,Lar_SMA,Lar_EWMA,Lar_DES,Lar_TES,Lar_ARIMA,Deoria Sadar_Trend,Deoria Sadar_SMA,Deoria Sadar_EWMA,Deoria Sadar_DES,Deoria Sadar_TES,Deoria Sadar_ARIMA,Gauri Bazar_Trend,Gauri Bazar_SMA,Gauri Bazar_EWMA,Gauri Bazar_DES,Gauri Bazar_TES,Gauri Bazar_ARIMA,Salempur_Trend,Salempur_SMA,Salempur_EWMA,Salempur_DES,Salempur_TES,Salempur_ARIMA,Rampur Karkhana_Trend,Rampur Karkhana_SMA,Rampur Karkhana_EWMA,Rampur Karkhana_DES,Rampur Karkhana_TES,Rampur Karkhana_ARIMA,Rudrapur_Trend,Rudrapur_SMA,Rudrapur_EWMA,Rudrapur_DES,Rudrapur_TES,Rudrapur_ARIMA,Barhaj_Trend,Barhaj_SMA,Barhaj_EWMA,Barhaj_DES,Barhaj_TES,Barhaj_ARIMA,Desai Deoria_Trend,Desai Deoria_SMA,Desai Deoria_EWMA,Desai Deoria_DES,Desai Deoria_TES,Desai Deoria_ARIMA,Pathar Dewa_Trend,Pathar Dewa_SMA,Pathar Dewa_EWMA,Pathar Dewa_DES,Pathar Dewa_TES,Pathar Dewa_ARIMA,Bhatpar Rani_Trend,Bhatpar Rani_SMA,Bhatpar Rani_EWMA,Bhatpar Rani_DES,Bhatpar Rani_TES,Bhatpar Rani_ARIMA,Bankata_Trend,Bankata_SMA,Bankata_EWMA,Bankata_DES,Bankata_TES,Bankata_ARIMA
1996-02-29,POMRB,3.01,2.77,2.52,2.995,3.8866666666666654,3.8348774509803927,4.73,1.72,3.22,2.98,4.85,,,3.01,4.6500929011958485,3.131097265401256,0.0,,,2.77,2.369235730466985,3.091986170226899,0.0,,,2.52,4.0795142982109,2.530929308293039,0.0,,,2.995,4.3274956730381895,2.995004403377592,0.0,,,3.8866666666666654,3.1908526739416883,3.8866666666666654,0.0,,,3.8348774509803927,5.810784146902981,3.9228000770186555,0.0,,,4.73,5.682917609649601,5.3672573386656905,0.0,,,1.72,1.3545326020981028,1.7241234084366965,0.0,,,3.22,5.5874782644917715,3.809307190231659,0.0,,,2.98,2.2937526265631814,3.392186812711633,0.0,,,4.85,4.632240478218355,4.85,0.0
1996-05-31,PREMON,3.99,4.49,3.44,3.76,3.485,4.954770502645502,7.2,2.48,4.59,4.19,5.27,,,3.402,5.538149351104317,4.162736334373282,1.8199652514428841,,,3.458,2.667025194160552,4.033631770491533,2.3387234718889816,,,2.888,4.94915644536137,3.887011400076198,2.519998139682877,,,3.301,5.035477653544518,3.940811625233967,2.8730167614534797e-07,,,3.725999999999999,2.917770385859444,3.485,3.8866623766833968,,,4.2828346716464365,6.894295888711223,5.12038652953198,3.8348693652567536,,,5.718,7.835594858872034,6.500685644203578,1.8171124537385335,,,2.024,1.4108580178396408,2.4881864676495855,1.3443932490024084e-07,,,3.768,6.966458578092599,4.862908059450575,1.331526153522847,,,3.4640000000000004,2.4610609261777663,4.624241539353708,0.0,,,5.018,4.5784043571146285,5.27,1.3331485379754104
1996-08-31,MONSOON,2.21,1.6766666666666663,2.32,1.27,1.33,2.5585900297619046,3.43,0.67,1.25,1.18,6.8,3.0549999999999997,,2.9252,4.976859820427855,1.9981144291245698,2.5187359253568875,2.9047916666666667,,2.7454666666666667,2.481648454745766,1.7106392340323928,3.349307505817262,2.69875,,2.6608,4.755504817301804,1.610060360697847,3.1154061306440375,2.415625,,2.4886,4.320825996130643,1.7523702679965891,3.9689098045056537e-07,2.647708333333333,,2.7675999999999994,2.3712137634603425,1.33,3.6843748306216852,3.738949814474401,,3.5931368148926235,6.444036886917325,2.791886124145411,4.394819364849363,4.805000000000001,,4.8028,7.304937595742214,3.279654849150269,2.425966143441704,1.6662499999999998,,1.4824,1.0950784826752529,0.6817288493743574,1.9384273702248089e-07,3.56625,,2.7607999999999997,5.764090029652725,1.266044157524274,2.0455787692605716,2.55625,,2.5504000000000002,1.929024129130269,1.9995308904489508,0.0,5.038749999999999,,5.7308,4.672367341912527,6.8,1.1705921379388895
1996-11-30,POMKH,2.85,2.4450000000000003,2.37,1.78,2.36,3.25,3.76,1.77,4.35,1.9,3.69,3.11375,3.015,2.89512,4.559106959440433,2.611404768164467,2.0345907006420068,2.9125000000000005,2.8454166666666665,2.62528,2.4430257329040472,2.5716909757707493,2.7131331155277962,2.75375,2.6624999999999996,2.54448,4.316049936700456,2.3441591963471047,2.522286809961715,2.36,2.45125,2.20516,3.7206807404181874,1.7212838568988955,6.97936604763079e-08,2.5481249999999998,2.765416666666666,2.6045599999999993,2.106354261218642,2.36,2.893115693848219,3.9502438202711643,3.64955949584695,3.4558820889355744,6.0260352173894045,3.541266945973552,3.7827367516733745,4.83,4.779999999999999,4.385680000000001,6.73451217884328,4.408713621414229,1.3578948428196844,1.68375,1.6600000000000001,1.59744,1.1012649334823374,1.7850798114764563,-1.229554539715398e-08,3.95625,3.3525,3.3964799999999995,6.010909057487723,3.0326185180236527,1.3950340367777894,2.5387500000000003,2.5625,2.29024,1.700492297560897,2.220030293533279,0.0,4.92,5.1525,4.91448,4.492869715906355,3.69,2.7930719305081078
1997-02-28,POMRB,3.33,3.245,2.81,2.71,2.9450000000000003,4.55,4.93,1.77,4.93,2.93,3.94,3.3275,3.095,3.0690720000000002,4.301144721075847,3.204407253255315,2.877706934828498,3.0158333333333336,2.9641666666666664,2.8731679999999997,2.538407126211544,3.1388817596771053,2.684747587925551,2.83,2.735,2.650688,3.9891844261896274,2.6402344951798837,2.5078083730714074,2.50625,2.38,2.407096,3.49957986756139,2.39053435034733,2.994999871420596,2.6050000000000004,2.53,2.7407359999999996,2.0099470692852397,3.8866666666666654,3.623163816981603,4.021073753720238,3.828340133101852,3.8935292533613444,6.01352513672796,4.133138159356016,3.801075276030078,4.9925,4.829999999999999,4.603408,6.659861381965025,5.301051467451953,4.5886652272903055,1.71625,1.6725,1.666464,1.1339801341690963,1.7376293091528978,1.7199997917511192,4.3374999999999995,3.78,4.009888,6.27754095014797,3.921130634947359,3.180138794310057,2.7575,2.55,2.546144,1.8039662218436374,3.3949467441493852,2.9799990407239463,4.49625,4.925000000000001,4.524688,4.348799622840695,4.85,4.697239263031157
1997-05-31,PREMON,4.14,4.076666666666667,3.59,3.6,3.63,5.93,7.2,2.57,6.0,4.1,5.23,3.6287499999999997,3.1325,3.4974432,4.420477815118741,4.301553699482066,3.8718965649263164,3.1983333333333333,2.8608333333333333,3.3545674666666665,2.7573884412372682,4.210565986019136,4.162365610671965,2.89,2.7725,3.0264128,4.01966834471979,4.042675607777555,3.243306146104696,2.816875,2.34,2.8842576,3.643490401048717,3.6558115721340054,3.602224858260833,2.63875,2.56625,3.0964415999999995,2.0750388029413176,3.4328301015697136,3.289527944669944,3.985625,4.0721475074404765,4.708117552016807,6.466641247151154,5.344029235920538,4.735029723114341,5.25375,4.829999999999999,5.642044800000001,7.614395144894367,6.47487383438767,6.780739552293351,1.6937499999999999,1.6949999999999998,2.0278784,1.3781177937792692,2.502750269363327,2.492760984307035,4.508333333333334,4.132499999999999,4.805932800000001,6.8653477072574995,5.419894605362472,4.956764567996805,3.075,2.5275,3.1676864,2.2432743409768037,4.627001470791157,4.18999865121924,4.095,4.915000000000001,4.8068128,4.332403738346662,5.103628808864265,4.871766147965762
1997-08-31,MONSOON,3.77,2.9166666666666665,2.78,2.6,1.64,2.15,4.73,0.84,2.89,3.02,3.45,3.7874999999999996,3.5225,3.60646592,4.269939243249993,2.2061492896583768,2.2746222049538374,3.2002083333333333,3.1708333333333334,3.1794071466666667,2.7656980885378752,1.7082770462249963,1.9171192369810335,2.85,2.8874999999999997,2.92784768,3.5715602944710425,1.7642713606254445,2.6231610476490164,3.020625,2.6725,2.77055456,3.321605154958218,1.5923702472198418,1.2484652268082228,2.636875,2.6437500000000003,2.51386496,1.827871433216075,1.2861451467274398,1.6561826594605613,3.995625,3.9699999999999998,3.684870531210084,5.145279888797828,3.0678836359970703,2.8044602813019672,5.34625,5.154999999999999,5.277226880000001,6.971259329011222,3.257759721638205,3.3556582367319403,1.4962499999999999,1.7374999999999998,1.5527270400000002,1.2023556527822814,0.6997182504605426,0.6910869238897188,4.435416666666667,4.5424999999999995,4.03955968,5.5323417739315595,2.0760071554250765,1.7227767760342556,3.6712499999999997,2.9875,3.10861184,2.384855676244824,2.002290821884542,1.1799996201524352,4.12375,4.077500000000001,4.26408768,4.164630791034812,6.634045702534511,6.663035469694312
1997-11-30,POMKH,3.7,2.665,2.39,2.935,2.32,3.375,4.55,1.42,4.076666666666667,2.6,3.83,3.8962499999999998,3.735,3.6438795520000005,4.07137288540211,3.2314705728614084,3.4353463357446423,3.185625,3.225833333333333,2.973644288,2.733488778296898,2.946701849254388,2.724903614441233,2.80125,2.8925,2.7127086080000002,3.0026580417472992,2.576823353704656,2.600604308483423,3.1256250000000003,2.96125,2.836332736,3.169671594632331,3.0512836092432445,2.798378473350591,2.7218750000000003,2.6337500000000005,2.436318976,1.7477161403641281,2.3336869758055974,2.445325190896764,3.9775,4.00125,3.5609223187260506,4.465152079624118,3.7154566625005527,3.3544860801750125,5.34,5.352499999999999,4.9863361280000005,6.256167834412661,4.58740277342294,4.063405871863977,1.3575,1.65,1.499636224,1.1919217054151718,1.8109855348775166,1.805934464679665,4.402916666666667,4.474166666666667,4.0544024746666665,4.9349964446846375,4.2780618773652925,4.444542934267083,4.2025,3.1624999999999996,2.9051671040000002,2.4132404279052837,2.222790224978427,1.8999993883810393,4.1450000000000005,4.1125,4.090452608,4.043404860058222,2.9223845511576236,2.79135275524433
1998-02-28,POMRB,3.75,3.04,2.47,3.185,2.97,4.505,4.88,0.54,4.62,7.0,4.03,3.7090625000000004,3.8399999999999994,3.6863277312,3.921611163385935,3.8744251166710417,3.4871380155798564,3.0278125,3.1745833333333326,3.0001865728,2.766028569049953,3.4668073882785517,3.1446720622520443,2.62125,2.8075,2.6156251648000004,2.6221782782339247,2.8183375838900755,2.668305910587133,3.01125,3.08,2.9757996416,3.1464143561283544,3.5455343794347103,3.092550197464767,2.75390625,2.6400000000000006,2.6497913856000004,1.8109723835507245,3.561144829643799,3.2763026457621747,3.915625,3.9899999999999993,3.9385533912356303,4.36338829947149,4.634748326045,4.244921086759575,5.22125,5.339999999999999,4.9438016768,5.801646277486752,5.572500887262346,4.813781373031746,1.36375,1.3424999999999998,1.1157817344,0.9878968511365905,1.7533235118768906,1.663517213652993,4.282916666666667,4.396666666666667,4.2806414848,4.718824801253016,4.742158751530984,3.9755074643332007,4.0575,4.18,4.5431002624,3.706771926844731,3.397706675596881,2.9549995228920216,4.205,4.135,4.066271564799999,3.9512910020947785,3.766244797753213,4.573264040080424
1998-05-31,PREMON,4.59,4.165,3.54,3.965,4.285,5.83,7.2,2.69,6.05,4.28,5.31,3.3343749999999996,3.952499999999999,4.04779663872,4.23044860752593,4.847061169704112,4.192752076652464,2.8254166666666674,3.1966666666666654,3.46611194368,2.976846510775582,4.376613075587825,4.177678746245715,2.2825,2.795,2.9853750988800005,2.8973937719623475,4.087854283853152,3.244782692820494,2.734375,3.17125,3.37147978496,3.4623345537584553,4.130811685158088,3.782871187493678,2.7578125,2.803750000000001,3.3038748313600004,2.1244025189780573,3.485240331778815,3.4332223146960597,3.850625,3.965,4.695132034741379,4.860921849205713,5.859317984691053,5.373897018892123,4.98125,5.339999999999999,5.84628100608,6.55339806886672,6.697546540450816,6.880260196987222,1.445,1.3724999999999996,1.7454690406400002,1.3396650353332387,2.456367328076164,2.223424044905088,4.163333333333333,4.409166666666668,4.98838489088,5.296348717723187,5.890087728519795,5.34797486802749,3.9075000000000006,4.225,4.43786015744,4.1833197720531885,4.629761402255347,4.144999330163725,4.234999999999999,4.154999999999999,4.56376293888,3.9840732379500023,4.594543226667097,5.000840667289506
