Date,Season,Verka,Majitha,Chog-wan,Rayya,Gandiwind,Jandiala,Ajnala,Tarsika,Harsa Chhina,Verka_Trend,Verka_SMA,Verka_EWMA,Verka_DES,Verka_TES,Verka_ARIMA,Majitha_Trend,Majitha_SMA,Majitha_EWMA,Majitha_DES,Majitha_TES,Majitha_ARIMA,Chog-wan_Trend,Chog-wan_SMA,Chog-wan_EWMA,Chog-wan_DES,Chog-wan_TES,Chog-wan_ARIMA,Rayya_Trend,Rayya_SMA,Rayya_EWMA,Rayya_DES,Rayya_TES,Rayya_ARIMA,Gandiwind_Trend,Gandiwind_SMA,Gandiwind_EWMA,Gandiwind_DES,Gandiwind_TES,Gandiwind_ARIMA,Jandiala_Trend,Jandiala_SMA,Jandiala_EWMA,Jandiala_DES,Jandiala_TES,Jandiala_ARIMA,Ajnala_Trend,Ajnala_SMA,Ajnala_EWMA,Ajnala_DES,Ajnala_TES,Ajnala_ARIMA,Tarsika_Trend,Tarsika_SMA,Tarsika_EWMA,Tarsika_DES,Tarsika_TES,Tarsika_ARIMA,Harsa Chhina_Trend,Harsa Chhina_SMA,Harsa Chhina_EWMA,Harsa Chhina_DES,Harsa Chhina_TES,Harsa Chhina_ARIMA
1996-02-29,POMRB,6.385,2.7,6.796666666666668,5.91,9.3,7.96,7.65,4.91,7.52,,,6.385,6.787556753546811,6.814281263459758,0.0,,,2.7,2.606627460516513,2.157463462980572,0.0,,,6.796666666666668,5.842351179130296,6.8066666666666675,0.0,,,5.91,8.990858420482775,6.222890873026045,0.0,,,9.3,8.109975352229684,8.187261282395102,0.0,,,7.96,8.0254446187663,7.813534077411913,0.0,,,7.65,6.7389903522352,7.2511697652671865,0.0,,,4.91,4.041734243219111,4.412982464067166,0.0,,,7.52,7.465371924882649,6.840840713942284,0.0
1996-05-31,PREMON,7.32,2.82,7.3900000000000015,8.225,8.295,7.975,8.31,0.59,5.8,,,6.759,6.9532522614338514,6.454663845378459,6.384961269486626,,,2.748,2.674883767339554,2.392781646880719,1.6759033622833935e-06,,,7.034000000000001,5.914123837754802,7.408836565096953,6.796643853101656,,,6.836,10.759827436503933,6.783583676382246,5.909996032176238,,,8.898,8.205499116763365,8.294472873284393,9.299990807181185,,,7.965999999999999,8.067467196967229,8.408550833663528,7.959997531948039,,,7.914,6.683127322326752,7.655955041234158,7.649993414907172,,,3.1820000000000004,3.194513766518172,2.222054239242473,4.909995981182832,,,6.831999999999999,6.820920649735901,7.151783375882198,7.519997025617281
1996-08-31,MONSOON,4.87,0.39,6.359999999999999,5.926666666666668,6.64,8.5625,3.3766666666666665,4.535,4.7,6.011875,,6.0034,6.57247650154697,5.07084426504616,6.963934540677404,1.9558333333333333,,1.8048000000000002,2.017560791725306,-0.1324409915068383,2.3892286080833145e-06,6.368125,,6.7644,5.969036248507522,6.386534250044121,7.113717243329745,6.762500000000001,,6.472266666666668,9.013219614956347,7.130732248927943,7.1645547135995,7.52125,,7.9948,7.891540582759433,7.345682738562454,8.774643172481847,8.00625,,8.2046,8.38892166819505,8.14218836629929,7.970684746539225,5.957916666666668,,6.0990666666666655,4.625171361565621,6.322872879882889,8.028422292476803,3.50125,,3.7232000000000003,3.5751343612135953,3.578202928186636,2.093861732296288,6.625,,5.979199999999999,5.987698015841213,6.088117579730347,6.14770098292042
1996-11-30,POMKH,5.23,1.74,5.562499999999999,6.2333333333333325,6.75,7.62,4.65,4.13,8.31,5.867500000000001,5.95125,5.694039999999999,6.3437983816593055,5.631007864298422,5.80220934741677,2.1279166666666667,1.9124999999999999,1.77888,1.844873612523585,1.0781153830620687,2.0672720747500034e-06,6.116458333333333,6.527291666666667,6.283639999999999,6.01071096938817,5.595627644054534,6.800558673752783,6.863541666666666,6.57375,6.376693333333334,7.575033673899543,6.6382457217767215,6.644292190506345,7.196875,7.74625,7.49688,7.674883277708126,7.632725872802693,7.959283810984461,8.075625,8.029375,7.970759999999999,8.066429704064788,8.274004425687462,8.358269569877473,5.377291666666667,5.996666666666666,5.5194399999999995,4.015200387997523,5.22770547590336,5.802826930065171,3.769375,3.54125,3.88592,3.7570850259652073,3.7513685522387332,4.051055044394652,6.86875,6.5825,6.911519999999999,6.7585922005327275,5.9211739477663405,5.776388435268955
1997-02-28,POMRB,6.87,3.046666666666667,5.5233333333333325,7.419999999999999,7.5,7.775,7.34,4.59,7.8599999999999985,5.86,6.0725,6.164424,6.504644006150056,7.345359649114542,5.946263380336278,2.381666666666667,1.9991666666666663,2.285994666666667,2.104347319820218,3.4218082300873753,2.7000029327140256,5.961874999999999,6.208958333333333,5.979517333333332,6.051311512808699,6.8290108084750685,6.645772819042024,6.760416666666665,6.951250000000001,6.794016,7.47553888074824,6.458665363111811,6.30131059066227,7.205,7.29625,7.4981279999999995,7.68329177775322,8.76615679111359,8.059517064482613,8.145729166666667,7.983124999999999,7.892456,7.985506093074429,8.099473779839677,7.822931834929824,4.830416666666667,5.919166666666666,6.247663999999999,4.991507460988135,6.584427000410082,5.513124581440607,4.025625,3.4612499999999997,4.167552,4.012779404278153,5.106386548791495,4.268942336217881,7.3075,6.6674999999999995,7.290911999999999,7.118431665472043,7.166938372649379,7.903257138570194
1997-05-31,PREMON,5.68,3.85,6.65,7.523333333333331,7.5,8.715,3.975000000000001,3.055,7.41,6.262499999999999,5.6625,5.9706544,6.3838718264516485,7.546923150267075,6.837608515694843,2.532916666666667,2.2566666666666664,2.9115968,2.6151396530425566,3.38033629838375,2.9313636216225376,5.831145833333333,6.023958333333333,6.247710399999999,6.1096906333348695,7.27387548631023,6.896964374008553,6.709166666666666,6.775833333333333,7.085742933333332,7.49603068208735,7.405033029809989,7.350120872878612,7.395,7.0975,7.4988768,7.689784508950571,8.118200695794464,7.5449603029761665,8.121145833333333,8.168124999999998,8.2214736,8.426222630308926,8.355395888465063,7.845522105680836,4.738333333333333,4.835416666666665,5.3385984,4.183505358640304,7.197453994871349,6.504454700378011,4.0024999999999995,4.0775,3.7225311999999997,3.809010716252242,1.983727015410114,2.509579250015923,7.561249999999999,7.069999999999999,7.3385472,7.198072833680409,7.482427449030875,6.457726804507056
1997-08-31,MONSOON,6.45,1.39,5.863333333333332,5.803333333333334,7.5,8.383333333333333,3.3366666666666664,4.12,6.6,7.225625000000001,6.057499999999999,6.16239264,6.448686132225124,5.269432233748528,5.138133177937733,2.6108333333333333,2.5066666666666664,2.30295808,2.3225377538989758,0.9469268526734655,0.7212159818313921,5.762499999999999,5.899791666666666,6.093959573333333,6.15501712752267,6.160982006170799,6.264783792155172,6.534999999999999,6.744999999999999,6.572779093333333,6.188123668257118,7.3517088553612995,6.758111490558144,7.364166666666667,7.3125,7.4993260799999995,7.694797954651349,6.844392236104143,6.931522871863357,8.031083333333333,8.123333333333331,8.286217493333332,8.47549802967659,8.639259861577077,8.589363403215511,4.180833333333333,4.825416666666666,4.537825706666666,3.444477183202911,3.3839325385927657,4.113580520525305,4.206874999999999,3.97375,3.88151872,3.930542657699608,4.701943834555916,4.404686968338069,7.535,7.544999999999999,7.043128319999999,6.954131956875255,6.83714314460529,6.63175123024351
1997-11-30,POMKH,6.87,1.95,5.013333333333333,5.946666666666666,7.41,7.6025,3.953333333333333,4.36,8.440000000000001,8.39375,6.467499999999999,6.445435584,6.588402923754929,5.956901450236156,5.9545041102735965,2.5949999999999998,2.559166666666666,2.161774848,2.2172183574792252,2.258084868456039,2.0767398198309186,5.724583333333333,5.762499999999999,5.661709077333333,6.186159754349171,5.312327591278449,5.717640905292193,6.331666666666666,6.673333333333332,6.322334122666666,5.617002831688157,6.755008680062344,6.514050698873305,7.369583333333333,7.477499999999999,7.463595648,7.677584764913105,7.312642449106135,7.12233250263605,7.746333333333333,8.118958333333332,8.012730496,8.100490344384333,8.243179457769038,8.119387174662457,3.8968749999999996,4.651249999999999,4.304028757333333,3.318230307315379,4.05848180036753,4.099837097862884,4.534375000000001,4.03125,4.072911232,4.083971136359621,4.425288191525095,3.982504413267274,7.29125,7.577499999999999,7.601876991999999,7.471970980758496,7.046597035058635,7.6248880982125975
1998-02-28,POMRB,12.935,3.46,5.5233333333333325,6.3133333333333335,6.593333333333334,7.072,3.5766666666666667,5.995,7.52,9.29875,7.98375,9.0412613504,7.970142237998062,7.843308214330364,6.9006619618012826,2.64875,2.6624999999999996,2.6810649088,2.5909762592432544,3.580250907092354,3.2735764355664863,5.672499999999999,5.762499999999999,5.606358779733332,6.225013318348799,5.686018023331498,5.719760638058345,6.4215625,6.396666666666666,6.3187338069333325,5.735557044838837,6.4533206848470535,6.824501404751656,7.339583333333334,7.250833333333333,7.115490722133334,7.472972097753592,8.497581828933725,7.471151462083607,7.531041666666667,7.943208333333333,7.6364382976,7.642760243624588,8.131386021849744,7.827692652579476,4.4487499999999995,3.7104166666666663,4.0130839210666664,3.1329091579654396,5.952920037552523,4.728918461516569,4.79,4.3825,4.8417467391999995,4.621499987123016,5.385836657708441,4.356939779862563,6.852500000000001,7.4925,7.569126195199999,7.483976720465255,7.966833131630494,7.967027340271704
1998-05-31,PREMON,8.96,3.31,6.346666666666668,7.003333333333333,8.45,7.1400000000000015,5.466666666666666,4.27,5.8,9.810625,8.803749999999999,9.00875681024,8.241073260235861,8.301124640053246,8.452023250137376,2.83125,2.5275,2.93263894528,2.8904148638165843,4.26230888386276,4.154615200417192,5.8341666666666665,5.686666666666666,5.902481934506667,6.276703822878606,6.666483163384596,6.442209029548081,6.775625,6.266666666666667,6.592573617493333,6.513292320669497,7.06634687936525,6.232559885064054,7.155833333333334,7.488333333333333,7.64929443328,7.749940878968086,7.9389554928531165,7.238632213259323,7.579187500000001,7.549458333333333,7.43786297856,7.450135020566959,8.127863897456699,7.6474113569703555,4.926666666666667,4.083333333333332,4.594517019306666,3.9832870356475327,4.280610811396272,3.3552536214958626,4.88875,4.68625,4.613048043519999,4.580823586605273,3.015579548442326,4.552672761659517,6.59875,7.089999999999999,6.861475717119999,6.857057011041046,7.909548017753799,6.976737690398091
