Date,Season,Mangrol,Mahuva,Bardoli,Chorasi,Kamrej,Mandvi,Palsana,Olpad,Surat City,Umarpada,Mangrol_Trend,Mangrol_SMA,Mangrol_EWMA,Mangrol_DES,Mangrol_TES,Mangrol_ARIMA,Mahuva_Trend,Mahuva_SMA,Mahuva_EWMA,Mahuva_DES,Mahuva_TES,Mahuva_ARIMA,Bardoli_Trend,Bardoli_SMA,Bardoli_EWMA,Bardoli_DES,Bardoli_TES,Bardoli_ARIMA,Chorasi_Trend,Chorasi_SMA,Chorasi_EWMA,Chorasi_DES,Chorasi_TES,Chorasi_ARIMA,Kamrej_Trend,Kamrej_SMA,Kamrej_EWMA,Kamrej_DES,Kamrej_TES,Kamrej_ARIMA,Mandvi_Trend,Mandvi_SMA,Mandvi_EWMA,Mandvi_DES,Mandvi_TES,Mandvi_ARIMA,Palsana_Trend,Palsana_SMA,Palsana_EWMA,Palsana_DES,Palsana_TES,Palsana_ARIMA,Olpad_Trend,Olpad_SMA,Olpad_EWMA,Olpad_TES,Olpad_ARIMA,Surat City_Trend,Surat City_SMA,Surat City_EWMA,Surat City_DES,Surat City_TES,Surat City_ARIMA,Umarpada_Trend,Umarpada_SMA,Umarpada_EWMA,Umarpada_DES,Umarpada_TES,Umarpada_ARIMA
1996-02-29,POMRB,12.377272727272727,7.414999999999999,4.741666666666667,5.056666666666667,8.95,10.943333333333333,4.45,1.845,11.01,4.95,,,12.377272727272727,11.624285835269278,12.063111013635881,0.0,,,7.414999999999999,8.070418460268202,8.245248128737696,0.0,,,4.741666666666667,3.986430524142164,4.497506214845296,0.0,,,5.056666666666667,4.3406614856457395,4.671059169644279,0.0,,,8.95,8.733864664524125,8.460473884984022,0.0,,,10.943333333333333,11.19272934792686,10.72900834803845,0.0,,,4.45,6.052508035042942,4.197699302594954,0.0,,,1.845,1.8549996511296676,0.0,,,11.01,11.064683362191495,11.287083333333333,0.0,,,4.95,7.144015560179724,4.936393988488081,0.0
1996-05-31,PREMON,12.857272727272727,10.465833333333334,5.884999999999999,5.72,10.69,10.855,5.385,2.51,10.92,6.21,,,12.569272727272727,11.731561137770566,13.483296849883342,8.422900115972817,,,8.635333333333332,8.368126567277628,10.139700712888123,2.834451758499557,,,5.199,4.356451164991671,5.646012867718884,0.9772457704035162,,,5.321999999999999,4.334816748362869,5.98653594416256,1.284002083963006,,,9.645999999999999,8.895035541431335,10.62457152482736,8.94997535015373,,,10.908000000000001,11.02580556286434,12.399299301574546,10.943277101228714,,,4.824,6.870330467762571,5.116047480351479,4.449992293265669,,,2.1109999999999998,2.528806927546886,1.8449976469425253,,,10.974,11.08631093379709,11.441929824561404,3.193714927533665e-11,,,5.454000000000001,8.308843583431372,6.154599719781688,4.949990244114501
1996-08-31,MONSOON,8.80190476190476,7.168333333333332,2.725,4.333333333333333,6.859999999999999,11.291,1.6949999999999998,1.025,9.17,2.36,10.640703463203463,,11.06232554112554,11.428554203850256,8.258148900510479,10.63658229835627,8.293453525641025,,8.048533333333332,8.220180750005634,6.087608621159943,4.331115494883149,4.265416666666666,,4.2094,3.7714475226429904,2.8683578079601038,1.056345444894247,5.129791666666667,,4.926533333333333,4.328979875207026,3.6357076743932852,1.6353406957177419,8.645833333333332,,8.5316,8.593846241573502,7.2233580124012216,9.850451359289837,11.49354861111111,,11.0612,11.057552578286739,10.366271369690345,10.895607488730167,3.7806249999999997,,3.5723999999999996,5.695390285767212,3.1069637278679703,4.947015073898601,1.6106249999999998,,1.6765999999999996,1.0515082470920847,2.177801854084423,10.493749999999999,,10.2524,11.02943934967002,9.905219844972542,6.711739980771708e-11,4.35875,,4.2164,7.243818390855051,2.8696774025805016,5.5869783748410144
1996-11-30,POMKH,8.89,7.81923076923077,3.8716666666666666,5.0825,8.626666666666667,12.417777777777774,3.715,1.255,10.22,4.03,10.391385281385283,10.731612554112553,10.193395324675324,11.164453591410282,9.98160667091625,10.192133203746732,8.257155448717947,8.217099358974359,7.9568123076923065,8.171250053980016,6.79447623203848,4.359055989949375,4.116666666666666,4.305833333333333,4.074306666666667,3.6297870394750165,3.8746906634265654,1.0951664217930661,5.194895833333333,5.048125,4.98892,4.3231508646669585,4.319562907648045,2.062804118748823,8.351666666666667,8.781666666666666,8.569626666666666,8.53093122687687,8.331020491295488,8.74067803679805,11.837055555555553,11.376777777777775,11.60383111111111,11.448446848064965,11.176150004936312,11.060304715300816,3.7624999999999997,3.8112500000000002,3.6294399999999998,5.3235849063380085,3.344354967703225,3.646557438259139,1.4693749999999999,1.6587499999999997,1.5079599999999997,1.2881648908201564,1.7923668992039925,10.693750000000001,10.33,10.23944,11.017926441525837,11.137911804011068,9.706151389654124e-11,4.28625,4.3875,4.14184,6.706555783533417,3.707726674365784,4.471943383148771
1997-02-28,POMRB,11.650000000000004,8.025833333333333,4.418333333333333,5.71,7.863333333333332,11.8775,4.205,1.46,12.32,4.72,10.610535714285716,10.549794372294373,10.776037194805195,11.198644757091637,11.810306010916797,11.527935880906679,7.963802447552448,8.369807692307692,7.984420717948717,8.153992074661971,8.657331922313624,7.089873777430175,3.9564583333333334,4.225,4.211917333333333,3.7069873853460518,4.577771567520855,4.559233089338901,5.0616666666666665,5.211458333333333,5.2773520000000005,4.317329705638425,4.833793782513142,4.81441957767013,8.192916666666667,8.509999999999998,8.287109333333333,8.38671280856859,8.580701498718293,8.750909323627171,12.213666666666663,11.61031944444444,11.713298666666667,11.531841316991079,11.029509157981567,11.564267033138682,4.06625,3.750000000000001,3.8596639999999995,5.109588163203595,4.058412268086681,3.8561203997008304,1.311875,1.5624999999999998,1.4887759999999997,1.8831362192930727,1.7038820978053224,10.924166666666666,10.6575,11.071664000000002,11.098252871814156,11.847868929274407,10.851552782440487,4.255,4.33,4.373104,6.352026471549008,4.919756613126912,4.741185110594175
1997-05-31,PREMON,11.59,9.564615384615383,5.0183333333333335,5.5875,9.423333333333334,12.668888888888883,5.485,1.765,11.21,5.86,11.331907738095241,10.23297619047619,11.101622316883116,11.223513330833649,13.090971118838388,11.977344190774929,7.714928613053614,8.144503205128203,8.616498584615384,8.329627821349316,10.599188181952618,9.916282029582046,3.8520833333333333,4.008333333333334,4.534483733333333,3.993069254990375,5.655396817317176,5.550740229265938,4.9403125,5.178333333333333,5.4014112,4.31151638436154,6.1998122505353574,5.526574713352943,8.134166666666667,8.193333333333332,8.741598933333334,8.441001002763572,10.446996829162334,9.389618103413623,11.982944444444444,12.06379166666666,12.095534755555555,11.84712804684456,12.927467712285571,11.674782169765882,4.501875,3.775000000000001,4.5097984,5.41398061460215,4.942402607642343,4.341746489571305,1.3468749999999998,1.3762499999999998,1.5992655999999998,2.507433829998952,1.839455573437605,11.278333333333334,10.73,11.126998400000002,11.128489224639537,11.856524540750755,10.762847991303373,4.28125,4.2425,4.9678624,6.424709189654095,6.111142080466816,5.667766382053429
1997-08-31,MONSOON,11.822380952380955,5.722727272727273,2.31,3.4000000000000004,6.8566666666666665,12.489999999999998,4.025,0.51,10.723333333333334,2.46,11.75231114718615,10.988095238095239,11.38992577108225,11.268797984071151,7.608538562224707,8.433713621205882,7.648430215617715,7.783101689976687,7.458990059860139,8.007245558147883,6.222554769833393,6.51644698238524,3.781875,3.9045833333333335,3.64469024,3.4473317277906697,2.723886705435796,2.46911430656249,4.766875000000001,4.944999999999999,4.60084672,4.305710881505819,3.8133619553334213,4.066162534057817,8.287916666666666,8.192499999999999,7.987626026666667,8.191441371635072,6.777048838566736,7.51079351029697,11.439705176767674,12.36354166666666,12.253320853333332,11.998683202711073,11.35638181732097,12.017757660993741,4.701875,4.357500000000001,4.31587904,5.020394856852035,3.0222563472258295,3.220320017688707,1.4206249999999998,1.2474999999999996,1.1635593599999998,0.9399823493370829,1.4553771456289886,11.260833333333334,11.118333333333334,10.965532373333335,11.136150551648687,10.10683709330534,9.038032608081677,4.35125,4.2675,3.96471744,5.0330299528649585,2.673277181177567,2.8560720974253777
1997-11-30,POMKH,11.6405,7.273846153846155,3.4516666666666667,5.045,8.16,9.373,4.87,2.05,11.5,4.14,12.065402056277058,11.675720238095238,11.490155462649351,11.291644323823684,10.411212302470242,9.668116159295622,7.600986305361305,7.646755536130533,7.384932497454545,7.917082557169368,6.552445487518835,6.810490440436432,3.8097916666666665,3.7995833333333335,3.567480810666667,3.3257247726705157,3.6827083362477158,3.671224683083003,4.5253125,4.935624999999999,4.7785080319999995,4.299913202832873,4.382762761487111,4.522064815378107,8.529583333333333,8.075833333333332,8.056575616,8.120866332566589,7.994016026486959,8.224759349120085,11.115847853535351,11.602347222222216,11.101192511999999,11.07698570169424,12.241311653008657,12.179094514090199,4.370625,4.646250000000001,4.537527424,5.0029288045503515,4.044453168098799,4.277883948959182,1.5343749999999998,1.4462499999999996,1.518135616,1.1157705424243263,1.4116743867397221,11.083333333333332,11.438333333333334,11.179319424000003,11.177089378175642,11.322696973524687,10.072921838014695,4.75875,4.295,4.034830464,4.5409443099128435,3.7114732672759434,4.028626908268564
1998-02-28,POMRB,12.262727272727275,8.039230769230768,4.276666666666666,4.359999999999999,9.56,10.576363636363636,4.65,1.255,10.9,5.17,11.774038647755752,11.828902056277055,11.79918418668052,11.373520573393868,12.92238772228765,12.987143030399732,7.612199883449884,7.650104895104892,7.646651806165034,7.932969500419531,8.342948363944775,7.348787676889954,3.915208333333333,3.764166666666667,3.851155153066667,3.4960043216117134,4.345743984585096,4.4205474953786075,4.429375,4.598124999999999,4.6111048191999995,4.294123327904161,4.886619493623489,5.2386257726858245,8.703958333333333,8.5,8.6579453696,8.222750802210395,8.211702761184963,7.968258078921587,11.017421037296035,11.277063131313126,10.891260961745454,10.857193024830028,10.61802497047168,11.224526930063885,3.5543750000000003,4.757500000000002,4.5825164544,4.886394166768583,4.90635839171607,4.771479190686372,1.6649999999999998,1.3949999999999996,1.4128813696,1.7847197606665832,1.5890934338052296,11.180416666666668,11.083333333333334,11.067591654400001,11.19044721061321,13.325365513370686,12.142700297880728,5.17,4.407500000000001,4.4888982784,4.592602996077907,4.84512759363559,4.653717890339983
1998-05-31,PREMON,13.482,9.171666666666667,5.383333333333333,5.005,9.66,11.379166666666665,2.39,2.88,11.21,8.67,10.886487739234452,12.301902056277054,12.472310512008313,11.567365984465189,14.056213980342575,12.592770638507472,7.6849358974358974,7.551867715617713,8.256657750365687,8.087271537130922,10.362983541142292,9.25970019144772,3.975,3.8554166666666667,4.4640264251733335,4.021290239329817,5.439238732258087,5.273800571947152,4.213125,4.452499999999999,4.76866289152,4.288341251864714,6.108118246911726,5.228159144925315,8.6425,8.559166666666666,9.05876722176,8.327866452845873,10.587702989942517,9.513772819193864,10.8592094988345,10.954632575757572,11.086423243713938,10.974040797141477,12.196343489982732,11.004450322696355,2.6875000000000004,3.9837500000000023,3.70550987264,3.8852327961614885,5.659386956869735,5.359242930033004,1.4856250000000002,1.6737499999999994,1.9997288217599998,2.372484094651314,1.7623341210745207,11.2775,11.083333333333334,11.12455499264,11.216448307605692,12.061753703143596,11.048674540522967,5.237916666666667,5.110000000000001,6.16133896704,6.202300682416844,6.111864005876953,5.776263765463115
