Date,Season,Ashta,Sehore,Ichhawar,Nasrullaganj,Budni,Ashta_Trend,Ashta_SMA,Ashta_EWMA,Ashta_DES,Ashta_TES,Ashta_ARIMA,Sehore_Trend,Sehore_SMA,Sehore_EWMA,Sehore_DES,Sehore_TES,Sehore_ARIMA,Ichhawar_Trend,Ichhawar_SMA,Ichhawar_EWMA,Ichhawar_DES,Ichhawar_TES,Ichhawar_ARIMA,Nasrullaganj_Trend,Nasrullaganj_SMA,Nasrullaganj_EWMA,Nasrullaganj_DES,Nasrullaganj_TES,Nasrullaganj_ARIMA,Budni_Trend,Budni_SMA,Budni_EWMA,Budni_DES,Budni_TES,Budni_ARIMA
1996-02-29,POMRB,4.995,8.733333333333333,4.065,7.07,4.73,,,4.995,13.758275396697178,6.403094648222358,0.0,,,8.733333333333333,9.955080258112277,8.344084910073937,0.0,,,4.065,1.4365454635713448,4.2065168148717795,0.0,,,7.07,9.44990898556146,6.709611535314174,0.0,,,4.73,3.789649537728975,4.10037916140514,0.0
1996-05-31,PREMON,9.725,11.591666666666667,7.285,8.465,6.4433333333333325,,,6.8870000000000005,20.34056057003654,8.904771512763089,4.99489738271047,,,9.876666666666665,11.746540449527197,10.684230759673248,4.31978469173247,,,5.353,2.0675341906767577,6.70456084654778,2.8793809316763057e-06,,,7.628,10.65042170774477,9.071767969105986,7.069979231625819,,,5.415333333333333,3.985847413627421,6.751860293658257,4.72997946149121
1996-08-31,MONSOON,0.84,2.555,2.15,5.995,3.353333333333333,4.536875,,4.4682,16.98103522104019,0.06285171232032205,7.389571522784832,7.062083333333333,,6.9479999999999995,10.036921554339903,2.8784479645362264,6.14247124838684,4.2625,,4.0718,1.686659686457749,2.418013933655403,5.160216924092953e-06,6.921875,,6.9748,10.232317257479673,5.73052945196587,7.961288574137763,4.656666666666666,,4.590533333333333,3.4986293274827407,3.0149922168594223,5.762612689627197
1996-11-30,POMKH,2.775,5.27,3.4,6.369999999999999,4.623333333333334,4.288125,4.583749999999999,3.79092,13.11490038419451,2.238107849998645,5.116088814971974,6.969166666666666,7.0375,6.2768,9.133224723053765,5.811935474998946,3.7667525176582166,4.201875,4.2250000000000005,3.8030799999999996,1.692262603049188,3.494624371740416,4.691893909768586e-07,6.853124999999999,6.975,6.73288,9.667326690402273,6.022098396828115,6.6812010346056985,4.56625,4.7875,4.603653333333334,3.44610195366377,4.4846543012170965,4.387869209974051
1997-02-28,POMRB,4.62,8.93,4.365,6.645,3.6833333333333336,4.161874999999999,4.489999999999999,4.122552,10.066474268001008,6.897309292756209,4.667610266614604,7.074583333333332,7.086666666666666,7.33808,9.410028605060802,9.456900088080266,7.88551180884939,4.156875,4.3,4.027848,1.9588262366683193,4.356003241648072,4.0649970715827966,6.77875,6.86875,6.697728,9.054451488485117,6.858861394036211,6.958347799545002,4.536666666666667,4.525833333333333,4.235525333333333,3.2333116355548666,4.487500767280378,4.7248670498113094
1997-05-31,PREMON,8.11,10.651666666666666,6.5,8.34,6.766666666666668,4.215625,4.08625,5.7175312,9.418593656559336,9.230654551691117,7.37297588091392,7.285416666666666,6.851666666666665,8.663514666666666,10.17487402928263,11.680352916662498,10.717721586111097,4.2225,4.10375,5.0167088,2.7279983964708165,7.068720302748294,7.37666562027899,6.6850000000000005,6.8374999999999995,7.3546368,9.10272810715502,8.925816859895768,8.022753567991101,4.4262500000000005,4.606666666666667,5.2479818666666675,3.869745863431986,6.857897419562877,5.865772596959324
1997-08-31,MONSOON,1.4449999999999998,4.338333333333334,2.575,5.525,2.793333333333333,4.159375,4.2375,4.00851872,5.249614598727704,0.012864463868323739,2.386836268166726,6.788124999999999,7.2974999999999985,6.933442133333333,8.70514532911375,3.613640715185973,2.5458510055982586,4.16125,4.21,4.04002528,2.5967373045587436,2.3569278133589946,1.8545177929369872,6.6125,6.72,6.62278208,7.898066063683269,5.72234376847697,6.262125699262211,4.45375,4.466666666666668,4.266122453333334,3.48857996461598,3.2561814412184944,3.763085377863467
1997-11-30,POMKH,2.6,5.173333333333333,3.5,6.09,4.3,3.933125,4.1937500000000005,3.445111232,3.2600233807870462,2.314965053462652,3.357381950089864,6.104208333333332,7.2733333333333325,6.229398613333332,7.615158060015365,6.660867467034421,5.662877236945145,4.15125,4.235,3.824015168,2.6993032264634547,3.565135379895446,3.5695949264737474,6.373750000000001,6.65,6.409669248,7.09260725950723,5.907344946900907,6.267902500161937,4.434166666666666,4.385833333333334,4.279673472,3.5462411223619594,4.628296843225542,4.498140546026512
1998-02-28,POMRB,4.345,5.048333333333333,3.775,6.3450000000000015,4.226666666666667,4.859125,4.125,3.8050667392,3.1040189094500588,6.925391975784902,4.384732354256449,6.048208333333333,6.3029166666666665,5.756972501333333,6.640160218845174,10.166745068094713,8.428965978982832,4.2681249999999995,4.0875,3.8044091008,2.87291938835522,4.458728763713166,4.234511829433501,6.270625000000001,6.575,6.383801548800001,6.567324670707654,6.616099374779005,6.678770307012452,4.441666666666666,4.521666666666667,4.2584707498666665,3.606223876667859,4.422724504176275,4.096735082893297
1998-05-31,PREMON,6.575,9.062000000000001,7.01,6.73,6.066666666666666,5.914499999999999,3.74125,4.913040043520001,4.568576625674585,9.200042417523186,7.315856029125524,6.5280000000000005,5.905500000000002,7.0789835008,7.115658721382719,11.759420423809429,9.181543862407135,4.4087499999999995,4.215,5.08664546048,3.8165635157348166,6.897858148474102,6.632820136117493,6.266249999999999,6.1725,6.522280929280001,6.355190560934368,8.611769477506064,8.018146852305762,4.854166666666666,4.346666666666667,4.981749116586666,4.160895084348625,6.970111168643479,6.399061585305715
