Date,Season,Jagdishpur,Kadipur,Dubey Pur,Pratap Pur Kamaicha,Akhand Nagar,Dostpur,Bhadayeea,Jamo,Sangrampur,Jai Singh Pur,Gauriganj,Musafir Khana,Bhetua,Shukul Bazar,Mahar,Kurwar,Waldi Rai,Lambhua,Dhanpatganj,Amethi,Kurebhar,Shahgarh,Jagdishpur_Trend,Jagdishpur_SMA,Jagdishpur_EWMA,Jagdishpur_DES,Jagdishpur_TES,Jagdishpur_ARIMA,Kadipur_Trend,Kadipur_SMA,Kadipur_EWMA,Kadipur_DES,Kadipur_TES,Kadipur_ARIMA,Dubey Pur_Trend,Dubey Pur_SMA,Dubey Pur_EWMA,Dubey Pur_DES,Dubey Pur_TES,Dubey Pur_ARIMA,Pratap Pur Kamaicha_Trend,Pratap Pur Kamaicha_SMA,Pratap Pur Kamaicha_EWMA,Pratap Pur Kamaicha_DES,Pratap Pur Kamaicha_TES,Pratap Pur Kamaicha_ARIMA,Akhand Nagar_Trend,Akhand Nagar_SMA,Akhand Nagar_EWMA,Akhand Nagar_DES,Akhand Nagar_TES,Akhand Nagar_ARIMA,Dostpur_Trend,Dostpur_SMA,Dostpur_EWMA,Dostpur_DES,Dostpur_TES,Dostpur_ARIMA,Bhadayeea_Trend,Bhadayeea_SMA,Bhadayeea_EWMA,Bhadayeea_DES,Bhadayeea_TES,Bhadayeea_ARIMA,Jamo_Trend,Jamo_SMA,Jamo_EWMA,Jamo_DES,Jamo_TES,Jamo_ARIMA,Sangrampur_Trend,Sangrampur_SMA,Sangrampur_EWMA,Sangrampur_DES,Sangrampur_TES,Sangrampur_ARIMA,Jai Singh Pur_Trend,Jai Singh Pur_SMA,Jai Singh Pur_EWMA,Jai Singh Pur_DES,Jai Singh Pur_TES,Jai Singh Pur_ARIMA,Gauriganj_Trend,Gauriganj_SMA,Gauriganj_EWMA,Gauriganj_DES,Gauriganj_TES,Gauriganj_ARIMA,Musafir Khana_Trend,Musafir Khana_SMA,Musafir Khana_EWMA,Musafir Khana_DES,Musafir Khana_TES,Musafir Khana_ARIMA,Bhetua_Trend,Bhetua_SMA,Bhetua_EWMA,Bhetua_DES,Bhetua_TES,Bhetua_ARIMA,Shukul Bazar_Trend,Shukul Bazar_SMA,Shukul Bazar_EWMA,Shukul Bazar_DES,Shukul Bazar_TES,Shukul Bazar_ARIMA,Mahar_Trend,Mahar_SMA,Mahar_EWMA,Mahar_DES,Mahar_TES,Mahar_ARIMA,Kurwar_Trend,Kurwar_SMA,Kurwar_EWMA,Kurwar_DES,Kurwar_TES,Kurwar_ARIMA,Waldi Rai_Trend,Waldi Rai_SMA,Waldi Rai_EWMA,Waldi Rai_DES,Waldi Rai_TES,Waldi Rai_ARIMA,Lambhua_Trend,Lambhua_SMA,Lambhua_EWMA,Lambhua_DES,Lambhua_TES,Lambhua_ARIMA,Dhanpatganj_Trend,Dhanpatganj_SMA,Dhanpatganj_EWMA,Dhanpatganj_DES,Dhanpatganj_TES,Dhanpatganj_ARIMA,Amethi_Trend,Amethi_SMA,Amethi_EWMA,Amethi_DES,Amethi_TES,Amethi_ARIMA,Kurebhar_Trend,Kurebhar_SMA,Kurebhar_EWMA,Kurebhar_DES,Kurebhar_TES,Kurebhar_ARIMA,Shahgarh_Trend,Shahgarh_SMA,Shahgarh_EWMA,Shahgarh_DES,Shahgarh_TES,Shahgarh_ARIMA
1996-02-29,POMRB,5.001249999999999,5.49,7.14,9.89,2.575,4.73,7.816666666666667,1.7180000000000002,5.645999999999999,4.496666666666667,3.98,3.08,3.075,4.485,5.433333333333334,3.23,13.02,3.93,2.495,5.0,1.67,5.797499999999999,,,5.001249999999999,4.180443521420573,5.009110334034298,0.0,,,5.49,5.855866077635941,5.871706594489522,0.0,,,7.14,8.091324436762699,7.954058067991659,0.0,,,9.89,9.672017568353224,9.666838256068992,0.0,,,2.575,6.2065662081001935,2.4990653247411863,0.0,,,4.73,4.48082821716721,5.025677211183594,0.0,,,7.816666666666667,8.027285766320157,8.138827697455026,0.0,,,1.7180000000000002,5.016979923389491,2.08974379488158,0.0,,,5.645999999999999,5.9630776080480645,6.066294566211064,0.0,,,4.496666666666667,7.355427404260148,4.596242919514065,0.0,,,3.98,1.478985256270229,3.8623651272929354,0.0,,,3.08,3.370688528757798,2.9714147672992324,0.0,,,3.075,3.536813919210643,3.4458791422831,0.0,,,4.485,4.179144925371978,4.499865605338372,0.0,,,5.433333333333334,5.295082653640612,5.706851945761739,0.0,,,3.23,6.811662479168459,3.4042969952744584,0.0,,,13.02,11.011763017342256,11.705543109461694,0.0,,,3.93,3.858528334525362,4.309283515145505,0.0,,,2.495,5.861440666724906,2.5886054583908913,0.0,,,5.0,4.645007842486555,4.8145609740943796,0.0,,,1.67,6.783062037464655,1.9930791550540232,0.0,,,5.797499999999999,8.391628871962117,5.107920948917388,0.0
1996-05-31,PREMON,6.617142857142857,8.01,8.94,9.9,4.775,8.225000000000001,8.993333333333332,3.772,6.752000000000002,6.2925,6.0,5.47,5.15,6.057500000000001,7.696666666666666,5.486666666666667,13.68,5.885,4.55,6.405,5.22,7.797999999999999,,,5.647607142857142,4.20089671282029,6.363673285769955,5.001246158489128,,,6.498,6.714329098189527,6.59322340444219,5.489997793543018,,,7.859999999999999,8.277654423368093,8.626369497972693,6.338414178635135,,,9.894,9.736162734232446,10.493133403373948,9.734983085674083,,,3.455,8.716273490331524,4.855364466038719,7.171748940547774e-08,,,6.128000000000001,4.474036286687278,6.974875511362143,3.5751317895247983,,,8.287333333333333,8.215730869711244,8.999034774428374,7.816652470579749,,,2.5396,7.572972525976068,3.6713510820118933,1.7179983872057505,,,6.0884,6.163747869922527,6.794963944381204,5.645972094318605,,,5.215,8.942459532302946,6.30400786853294,4.496659535776884,,,4.788,2.0384284382504214,6.129714198836637,2.86669972045449,,,4.036,2.5647868747748714,5.301624099001296,-8.548711985389263e-23,,,3.9050000000000002,3.5512520279662723,4.9117187969371034,3.0749973036631464,,,5.114000000000001,4.340392673088998,6.216370821749649,4.484994017648107,,,6.338666666666667,6.266209775681975,7.080184237946485,4.171407707032886,,,4.132666666666667,9.118968412830954,5.011538956546673,3.2299962720669915,,,13.283999999999999,11.045228122381896,10.472629992059598,13.019971154243615,,,4.712,4.219824768267709,5.952370349794057,3.5387588890272887,,,3.317,8.15677082591868,4.51107295650804,2.4949968711811925,,,5.562,4.644439207212138,6.622805943700535,2.9978241067060747,,,3.09,11.988345509443722,4.179434218556139,1.6699979946067662,,,6.5977,10.215319810574806,8.158194803002843,3.3755560053016187
1996-08-31,MONSOON,4.391428571428572,5.88,9.75,9.07,0.715,4.205,7.649999999999999,0.914,6.0683333333333325,4.4700000000000015,2.905,1.85,2.96,4.355,5.783333333333334,2.605,12.5,4.36,1.34,4.300000000000002,0.6900000000000001,1.8520000000000003,4.658549107142857,,5.145135714285715,4.221449961815451,4.186724411456229,6.103914672660256,6.0806249999999995,,6.2508,6.42389562409066,6.452867781800931,7.3475180692374,8.778333333333332,,8.616,8.626432463270653,7.104236431425463,7.584038845503779,9.235833333333332,,9.5644,9.46439561653093,8.697512843743256,9.76613728759681,2.3968749999999996,,2.359,6.167016347516924,0.7064168342114683,1.3299068223990608e-07,4.965625,,5.3588000000000005,4.467254628801534,4.54696682664628,5.875369528645054,8.405694444444444,,8.032399999999999,8.118323764050725,7.097292887667413,8.42375347780915,1.9124166666666667,,1.88936,5.342949776921465,1.1492922705118789,2.9142746479151853,5.976583333333333,,6.080373333333333,6.183279296656612,5.260131527579354,6.219688787078172,4.716145833333334,,4.917000000000001,8.328218783541613,4.068929409029299,5.290710539854638,3.782083333333333,,4.034800000000001,1.931370210023262,2.939059540300588,4.248385962024763,3.0524999999999998,,3.1616,1.632168252661465,1.4579400527932869,-8.548711985389263e-23,4.058125,,3.527,3.565641296893032,3.1287878855911577,4.46828192926391,4.722708333333334,,4.8104000000000005,4.240955610992733,3.6585995508025473,5.463259198079228,6.072500000000001,,6.116533333333334,6.121260490516028,5.13990802462204,5.79870432036768,3.413333333333333,,3.5216000000000003,7.4708696224376245,2.7192956637511623,4.671126691409545,11.818749999999998,,12.970399999999998,11.078794919626079,11.469938657226296,13.422942417188692,4.793541666666667,,4.5712,4.035403968409151,3.2559658117287604,4.710325460385719,2.8293749999999998,,2.5262000000000002,6.232085163468334,1.4851830816060057,3.8320822365567833,4.5665625,,5.057200000000001,4.6438706397901255,4.0167009837813,4.0373636672147555,2.2,,2.13,6.2638567428130045,1.0367464640156763,4.485078795329836,4.905520833333333,,4.69942,8.299424255782155,2.9018650703290803,4.761177435994795
1996-11-30,POMKH,3.755,5.35,9.0,8.7,1.665,3.26,9.225,1.2950000000000002,5.002,3.7775,2.575,2.0,4.9,4.115,5.416666666666668,2.43,8.44,5.25,2.73,2.8600000000000003,1.22,4.305,4.244642857142858,4.941205357142857,4.589081428571429,4.242103766012351,4.799712327226664,4.759233369833887,5.8025,6.182499999999999,5.89048,6.0396799638475915,5.948741345440316,5.819656846657478,8.902916666666666,8.7075,8.7696,8.68601080216608,8.401129410384513,8.444000774810407,9.131666666666666,9.39,9.218639999999999,9.15634321351895,9.172029588724888,9.113236458871034,2.403125,2.4325,2.0814,4.223399301906661,1.5999044813268708,1.991378461637234e-08,4.5062500000000005,5.105,4.51928,4.460483245164091,4.98108413708053,3.933065980013734,8.33847222222222,8.421249999999999,8.50944,8.333120839152752,7.981622410590397,8.13915010446973,2.0845833333333332,1.92475,1.6516160000000002,3.3335678426224336,1.7314751139185582,1.7818378697251631,6.148125,5.8670833333333325,5.649024,5.978949610719247,5.239748884096251,6.16313743813634,4.705729166666667,4.759166666666667,4.4612,6.831883983744542,4.255994985852496,5.322247461774279,3.673541666666667,3.865,3.4508800000000006,1.8226551423999344,3.0391562429376093,2.916082350976728,3.05625,3.1,2.69696,1.1547111956838292,2.1430529582081856,-8.548711985389263e-23,4.180625,4.02125,4.0762,3.580182853009371,3.2947826381053957,3.1921787395592656,4.726354166666667,4.753125000000001,4.532240000000001,4.122353334161086,4.3451609335626245,4.655838741236217,6.0045833333333345,6.0825000000000005,5.836586666666667,5.804173243856558,6.007216189391522,5.01989419320515,3.374791666666667,3.4379166666666667,3.08496,5.341238093657171,2.9918139144724942,3.179408358867928,11.74,11.91,11.158239999999997,11.112463696110702,10.361800817072018,12.899879735523774,4.883958333333333,4.85625,4.84272,4.282320293287728,4.268707513278374,4.486294395858882,2.9987500000000002,2.77875,2.6077200000000005,5.054417594173885,2.2335502477983065,2.0598962237933613,4.460625,4.64125,4.178320000000001,4.6433021407681485,4.240207319165473,3.5981239707693584,2.1018749999999997,2.2,1.7659999999999998,2.6972374517024518,1.9887211604489878,-0.016832053445353212,4.960666666666667,4.938124999999999,4.541652,7.382838084331056,3.721378760285634,2.8917203484556104
1997-02-28,POMRB,2.74,4.675,7.706666666666668,8.656666666666668,2.29,3.615,7.692222222222222,1.6193333333333333,6.522,4.1525,3.3166666666666664,2.7000000000000006,3.37,4.241666666666667,5.3533333333333335,3.033333333333333,12.29,3.428333333333333,2.9,4.4025,1.67,5.536666666666666,3.9062499999999996,4.375892857142857,3.8494488571428573,4.262858615464001,4.71140655061288,4.6102584973330165,5.453749999999999,5.97875,5.404288,5.54148368331843,6.032624877160348,5.760704476449893,8.824166666666667,8.849166666666667,8.344426666666667,8.391139874573867,9.305645330579594,7.751003375715724,9.204166666666666,9.081666666666667,8.993850666666667,8.94838198863425,9.43331271999248,8.880080289680189,2.415625,2.36125,2.16484,3.106808783934725,2.5607740660245564,2.575000046372667,4.0625,4.826250000000001,4.157568,4.453722127483571,4.257903326644173,4.3655767398684375,8.349305555555556,8.390138888888886,8.182552888888889,8.221794748299349,8.544142852860652,8.328511854113028,2.420083333333333,1.9000833333333333,1.6387029333333336,2.1636119880410787,1.8686383355702405,1.6967012952615297,6.215125,6.086083333333333,5.9982144,6.129003914265382,6.324358720056988,5.801999886856519,4.715416666666667,4.673125000000001,4.33772,5.654569036613864,4.527365491375689,4.3537337177846815,3.850416666666667,3.6991666666666667,3.397194666666667,1.9345460970912451,3.598586001124044,3.5976267124305825,3.2387499999999996,3.0050000000000003,2.698176,1.0334441458143604,3.0334544962274905,3.079999465791925,4.361875,4.095000000000001,3.7937200000000004,3.594708156921874,4.027193949580112,3.772103908262009,4.758541666666668,4.692291666666668,4.416010666666668,4.042407069640355,4.678312959804923,4.463446745100234,6.230833333333333,6.062500000000001,5.643285333333333,5.5242788646272984,5.967958555051066,5.306429262291537,3.723125,3.38875,3.064309333333333,4.030991816739407,3.392636774561796,3.1015820687346225,11.75,11.7275,11.610944,11.146234822201476,11.979281116213706,11.20789767674745,5.040208333333333,4.730833333333333,4.276965333333333,3.843730529821387,5.0574351664206905,4.249656025800541,3.1187500000000004,2.88,2.724632,4.031975517219444,2.755544400719862,2.537705321351603,4.6450000000000005,4.491875,4.267992000000001,4.642733712631198,4.284216378071529,4.383419946259011,2.08875,2.2,1.7275999999999998,1.5222231808241025,1.8812284173217717,1.8232513429211512,5.140666666666666,4.872916666666666,4.939657866666666,6.978728335020621,5.0705248557181335,5.506877958167539
1997-05-31,PREMON,5.567142857142856,6.6,9.37,10.3,5.109999999999999,5.665,8.58,5.247999999999998,7.248333333333334,6.553333333333334,5.795,5.88,5.835,6.33,7.233333333333332,5.375,13.78,7.109999999999999,5.5,6.154999999999999,4.435,8.5,3.7055654761904755,4.1133928571428555,4.536526457142857,4.283715024043279,4.94245122341355,4.9435952543569615,5.278333333333333,5.626250000000001,5.8825728,5.975797191269905,6.292676262191623,5.886139190245883,8.567916666666667,8.956666666666667,8.754656,8.61022316556286,9.591364638117083,8.76277981665137,9.236666666666668,9.181666666666667,9.5163104,9.436081543388681,9.646612236672222,8.668807918409104,2.296875,2.445,3.342904,4.360639593481591,4.775941166520079,4.691160034238377,3.85875,4.18625,4.7605408,4.446971269693831,5.966626922741194,7.0456007564067455,8.353368055555556,8.286805555555553,8.341531733333333,8.29692763535208,9.276309465998539,8.471712345777094,2.512020833333333,2.269083333333333,3.0824217599999995,4.700758190426495,3.4768562275250066,3.407718761971341,6.3477500000000004,6.210166666666666,6.498261973333333,6.398884065358576,7.205733496030478,6.00357039451416,4.8215625,4.738333333333334,5.223965333333334,6.149541461508211,6.161864152395566,5.548781314351892,4.118541666666666,3.647916666666667,4.3563168,2.6540255369158934,5.659399563370268,5.2009238706903265,3.35,3.107500000000001,3.9709056,1.6424356878789554,5.325881334455884,5.469999051260334,4.2700000000000005,4.266250000000001,4.610232,3.609411885592734,5.383910656161322,4.653357216784041,4.667604166666667,4.760416666666667,5.181606400000001,4.3047598151391995,6.27497890804809,5.485998559861998,6.61125,5.946666666666667,6.279304533333333,6.268902147730764,7.122833309276717,7.195643750430072,4.127916666666667,3.360833333333333,3.9885855999999995,4.760513418890055,4.959374654601052,4.784950429162536,12.190624999999999,11.7525,12.4785664,11.180108590906011,10.914778656368917,12.286484372692687,4.852083333333333,5.037083333333333,5.4101792,4.970447421486067,6.184310488276401,5.22109436696264,3.008125,3.1174999999999997,3.8347792000000003,5.111110220782353,4.769818798685101,4.486657944575825,5.1121875,4.429375,5.022795200000001,4.6421653555461555,6.060922972453772,5.564200478054607,2.2637500000000004,2.00375,2.8105599999999997,4.405084586644089,4.300326048536132,4.889427796555454,5.093229166666666,5.048416666666666,6.36379472,7.94817122909732,8.059745763167577,7.305105590223937
1997-08-31,MONSOON,2.7342857142857144,4.5,8.69,9.25,0.48,3.215,8.15,2.1220000000000003,6.108,4.286666666666666,4.525,2.9,3.725,4.34,8.056666666666667,5.503333333333333,12.48,4.385,1.35,6.025,1.37,2.59,3.9763988095238094,3.699107142857141,3.81563016,4.304673459909088,2.977911290157037,4.393118311240706,5.244791666666667,5.281250000000001,5.3295436800000004,5.434433947306964,5.627713052159165,5.970670274765156,8.491458333333334,8.691666666666666,8.7287936,8.592960428743387,7.805733717663059,9.41520545665093,9.199583333333333,9.226666666666667,9.409786239999999,9.34526082113645,8.610582255767595,9.664774031450044,2.0706249999999997,2.38625,2.1977424,2.170557593366564,0.722319359842398,0.8498852018115152,3.73125,3.93875,4.14232448,4.440230631035509,2.4640382385199437,2.91348474283436,8.306319444444444,8.411805555555553,8.26491904,8.27780837651446,7.207650789315961,8.165463425978505,2.4667916666666665,2.571083333333333,2.6982530559999995,3.51960835161942,1.218155120381652,1.588828073708497,6.309416666666667,6.220083333333333,6.3421571839999995,6.379591169244263,5.692045752095477,6.331548569947774,5.0190624999999995,4.6925,4.849045866666667,5.175115326712832,4.097362151120819,4.441723867204601,4.178333333333334,4.0529166666666665,4.42379008,3.0577849698011965,2.6058899838534386,3.0018456220645,3.2912500000000002,3.370000000000001,3.54254336,1.6187730128263196,1.5151679072601356,1.8499996791282667,4.160625,4.457500000000001,4.2561392,3.6240717396219333,3.6820871521767913,3.8741393588606767,4.573333333333334,4.756666666666667,4.84496384,4.250261482761276,3.7779800981136864,4.734867856889233,6.776666666666666,6.515,6.990249386666667,7.324975631474489,4.858506876590575,5.470433153759128,4.12875,4.085416666666666,4.594484693333333,5.396664715740742,2.654104309682208,3.040285750512829,12.5425,11.747499999999999,12.47913984,11.2140852928363,11.716977618158417,12.622580320823213,4.669791666666667,5.043333333333333,5.00010752,4.880096255342855,3.8980687125150126,4.8194596962697,2.7793750000000004,3.1199999999999997,2.84086752,3.0054420215062985,2.010507177851542,2.0534344558056583,5.3846875,4.860625,5.423677120000001,4.641597067930557,3.6012884614248533,4.133299332168834,2.35375,2.1737500000000005,2.234336,2.364250035556964,0.7111554057990883,0.6200263519613145,4.660458333333334,5.232916666666666,4.854276832,5.9726284201531605,3.0221341349663224,2.437913636487469
1997-11-30,POMKH,3.806666666666666,5.326666666666667,8.01,8.78,0.95,2.62,8.7575,0.8225,6.0233333333333325,4.81,3.1,1.84,3.4,3.4025,6.1866666666666665,2.77,11.985,3.72,1.835,4.8725,1.94,3.1875,4.404672619047619,3.7120238095238074,3.812044762666667,4.325734442059214,3.334370151990805,3.3986171144554724,5.154791666666667,5.275416666666668,5.328392874666667,5.418306662410592,4.8612266278811616,4.753956467986122,8.5575,8.444166666666666,8.44127616,8.402272975514277,8.235047199001263,8.338780434582272,9.1125,9.246666666666666,9.157871744,9.112252050906017,9.153565994475555,8.956618241683843,1.8231249999999999,2.2074999999999996,1.69864544,1.197368048189235,1.6408240108781729,1.5448016158527802,3.716875,3.77875,3.533394688,4.433500206409707,3.6550734971226593,2.8953622108696493,8.252708333333334,8.294930555555553,8.461951424,8.37568353036938,8.18615501906235,8.550041181739036,2.2621249999999997,2.452958333333333,1.9479518335999997,1.7414111346646806,2.0162398207965944,1.832291278927901,5.903312499999999,6.475416666666667,6.2146276437333325,6.346690643133775,5.574730199263301,6.274668614378735,5.121249999999999,4.950625,4.83342752,4.7829214843879955,4.11616250095224,3.9861682883698784,4.159531250000001,4.184166666666667,3.894274048,3.1031947122282686,3.7156090647340396,3.5989812573924835,3.2275,3.330000000000001,2.861526016,1.4343321650769987,2.2851360975040524,1.9999996531116397,4.14625,4.082500000000001,3.91368352,3.6387745554685607,3.92876724895645,4.66927686163309,4.678125,4.578541666666666,4.267978304,4.059591285113038,4.426360343349483,4.300975254279529,6.867916666666666,6.707499999999999,6.668816298666667,7.162726425838141,7.361963373891016,6.699967317400681,4.295208333333333,4.170416666666666,3.864690816,3.9046636868022584,3.5754369520329816,3.7583494409332507,11.30125,12.63375,12.281483903999998,11.248165246960614,10.344505288107039,11.771556192115067,4.4506250000000005,4.660833333333333,4.488064512,4.511537187397533,4.655928870536368,5.17012976872088,2.55375,2.8962499999999993,2.438520512,2.019118050968108,2.5601425230936705,2.6020990367878554,5.454999999999999,5.36375,5.203206272,4.64102884892109,4.830002556846753,3.8337796273396894,2.4028125,2.3537500000000002,2.1166016,1.8493074048787437,1.8664925710112148,1.518442638126815,4.163,4.953541666666666,4.1875660992,4.6353027031812335,4.010439262756333,4.527075250454387
1998-02-28,POMRB,4.855,4.4300000000000015,8.085,8.28,1.195,3.235,7.783333333333334,1.7299999999999998,5.194,4.7,3.27,2.39,3.995,4.2,5.906666666666666,2.7,11.56,3.5,1.965,4.569999999999999,1.67,3.192,4.654464285714286,4.240773809523807,4.2292268576000005,4.346898472087588,4.11407916857522,3.751311761933925,5.0304166666666665,5.214166666666668,4.969035724800001,5.062401357816415,5.448311015342104,5.223565166968479,8.40375,8.538749999999999,8.298765696,8.281985975682367,8.733763909587566,7.007498687657504,8.72875,9.1525,8.8067230464,8.779499738608171,9.44072328834737,8.723090548719213,1.6993749999999999,1.9337499999999996,1.497187264,0.8990911065355713,2.297664231012274,2.0965291125830783,3.624375,3.6837500000000003,3.4140368128,4.42677998711217,3.4069957920084493,3.584666742185801,7.9177083333333345,8.31770833333333,8.190504187733334,8.273465939949759,8.586248264306418,8.152626912292515,1.8704583333333333,2.480625,1.8607711001599998,1.4364080785342057,2.075852625968489,1.747236298566595,6.080958333333333,6.143416666666667,5.806376586239999,6.149297646359134,6.828952558303143,6.211990845861189,5.155833333333334,5.0874999999999995,4.780056512,4.508628041023603,4.755131307860016,4.524885497474245,3.926875,4.1725,3.6445644288,3.18064096536325,4.1967506080664165,3.6956523457155224,2.9475,3.252500000000001,2.6729156096,1.4316197989002424,3.14971766167276,2.8062233931215785,3.7518750000000005,4.238750000000001,3.946210112,3.653565352217295,3.847854596917475,2.983653249224936,4.6606250000000005,4.568124999999999,4.2407869823999995,4.011782177092213,4.534000962442119,4.150590876174369,6.433749999999999,6.845833333333333,6.363956445866667,6.788089260944248,6.948211585000609,5.7121736735879605,3.9504166666666665,4.087083333333332,3.3988144896,2.91805570966581,3.9229226040428697,3.234686420897156,10.016250000000001,12.45125,11.992890342399999,11.282348767599682,12.165056508770531,12.599774972146735,3.9575,4.678749999999999,4.0928387072,4.103519477575575,4.652788038854821,3.532483593969661,2.38375,2.662499999999999,2.2491123072,1.6323277237401261,2.6110365276355125,2.390138953947714,4.974166666666666,5.405625,4.949923763199999,4.640460699219955,5.542160326634078,5.241248245687567,2.281875,2.3537500000000002,1.9379609599999998,1.4722775268276536,2.0650169838338703,1.8534013179721407,3.9061250000000003,4.367375,3.78933965952,3.6849507739893945,4.9752507727742525,5.141252004963182
1998-05-31,PREMON,6.878333333333333,6.125,9.52,9.98,4.225,5.93,8.06,3.5,5.3275000000000015,6.823333333333332,5.69125,5.68,5.0950000000000015,7.21,7.4099999999999975,7.04,4.58,5.285,4.63,6.55,4.8275,6.865,4.806190476190476,4.568571428571427,5.288869447893333,4.368166059112897,5.897085983441064,6.274185884375894,4.835833333333333,5.095416666666669,5.431421434880001,5.496046354222509,5.8688078176774265,5.54432112533052,8.1975,8.57625,8.7872594176,8.569398031897599,9.487486688482885,8.9781343744718,8.2125,9.072500000000002,9.276033827840001,9.210826299941623,9.574761132348076,8.822784077168578,1.7725,1.7124999999999995,2.5883123583999996,3.4035200552431193,4.908710838300627,4.8167305725297025,3.49875,3.75,4.4204220876800004,4.420069969325301,5.4418508195749595,6.172137118163766,7.445520833333335,8.187708333333331,8.13830251264,8.241897935771513,9.33025933013098,8.468169176646818,1.7307291666666664,2.0436250000000005,2.516462660096,2.918799260521969,3.81487164764473,4.479159524807566,6.375583333333333,5.663208333333333,5.614825951744,6.018903392817771,7.257453507935179,5.961039696789704,5.050104166666666,5.154999999999999,5.597367240533332,5.680701988926304,6.57803534058654,6.508885291671349,3.4946875,4.1465625,4.46323865728,3.8421286409421485,5.924241299475833,5.451738014981531,2.6999999999999997,3.2025000000000015,3.87574936576,2.2086174140007753,5.405710477812699,5.765388943437119,3.363750000000001,4.053750000000002,4.405726067200001,3.6684690997503067,5.511128561480872,5.397808140833898,4.6575,4.788124999999999,5.42847218944,4.4494516828049315,6.159831217319985,5.771956953242672,5.844583333333333,6.89,6.782373867519999,7.188358725429066,7.829670863233616,7.54684388507108,3.198125,4.503333333333332,4.85528869376,5.613973437577366,5.300585446476418,4.945169485412487,9.741875,10.15125,9.02773420544,11.316636119401009,11.328237466471192,12.651058836117473,3.59875,4.222499999999999,4.56970322432,4.465706590320493,5.976394886573928,5.778209935424776,2.33,2.4449999999999994,3.20146738432,3.5291512829728466,4.3204621106851455,4.52493156174067,4.1952083333333325,5.504375,5.58995425792,4.6398926207268305,6.806758760762158,5.917400065441727,2.0531249999999996,2.4518750000000002,3.093776576,5.814351640075116,4.48698462530451,4.59217786130128,3.8486875,3.9586249999999996,5.019603795712,4.673480058852831,7.349838065333473,6.717066180745374
