Date,Season,Adityapur(gamharia),Chandil,Gobindpur (rajnagar),Seraikela,Kharsawan,Nimdih,Adityapur(gamharia)_Trend,Adityapur(gamharia)_SMA,Adityapur(gamharia)_EWMA,Adityapur(gamharia)_DES,Adityapur(gamharia)_TES,Adityapur(gamharia)_ARIMA,Chandil_Trend,Chandil_SMA,Chandil_EWMA,Chandil_DES,Chandil_TES,Chandil_ARIMA,Gobindpur (rajnagar)_Trend,Gobindpur (rajnagar)_SMA,Gobindpur (rajnagar)_EWMA,Gobindpur (rajnagar)_DES,Gobindpur (rajnagar)_TES,Gobindpur (rajnagar)_ARIMA,Seraikela_Trend,Seraikela_SMA,Seraikela_EWMA,Seraikela_DES,Seraikela_TES,Seraikela_ARIMA,Kharsawan_Trend,Kharsawan_SMA,Kharsawan_EWMA,Kharsawan_DES,Kharsawan_TES,Kharsawan_ARIMA,Nimdih_Trend,Nimdih_SMA,Nimdih_EWMA,Nimdih_DES,Nimdih_TES,Nimdih_ARIMA
1996-02-29,POMRB,2.46,4.72,7.07,1.91,3.93,4.494,,,2.46,3.222606009427114,3.8953954984975097,0.0,,,4.72,3.3558552580966063,4.305856439439265,0.0,,,7.07,10.726191954653395,6.787404377757689,0.0,,,1.91,3.441821318849003,1.92001276535883,0.0,,,3.93,11.68590593069339,5.513282564112246,0.0,,,4.494,10.097938958120961,4.488727849142847,0.0
1996-05-31,PREMON,7.44,7.7,9.88,4.02,9.23,7.71,,,4.452,3.6410469121533464,6.143695555043266,1.6163821744167377e-06,,,5.912,3.791687475710002,7.164597171549084,1.6318692622059818,,,8.194,13.378757023547578,10.435559514486686,-6.3217160788148e-10,,,2.7539999999999996,2.728949370440712,4.039440315596128,1.909998096435431,,,6.050000000000001,18.09533379317654,7.13475250440278,1.4521140134461512,,,5.7804,13.840088310131753,7.6418028223771906,1.0973796770434834e-06
1996-08-31,MONSOON,0.64,1.08,2.99,1.16,1.64,1.416,3.66125,,2.9272,3.0105059805606613,0.7356737828048558,5.186089203439912e-06,4.41375,,3.9791999999999996,3.089268116294622,2.154481029014623,2.820440979760395,5.99625,,6.112400000000001,11.327696849534103,4.055889607012047,-1.7473618833074897e-09,2.76375,,2.1163999999999996,1.877483343983653,1.1883407944744908,3.3572895337696735,4.711250000000001,,4.2860000000000005,10.50179207699284,2.8319589141187436,3.642352588912735,4.136,,4.0346400000000004,11.018523069348191,1.5084972581326435,2.1326462146837032e-06
1996-11-30,POMKH,3.37,4.2,5.01,3.32,3.57,2.924,3.8025,3.4775,3.10432,2.8745852052017944,2.6788957007750938,6.899174644126321e-07,4.303749999999999,4.425,4.06752,3.036778313554156,2.5318807053060213,1.4622167773746124,6.03,6.237500000000001,5.6714400000000005,9.875984967584147,4.556327401797327,-2.0609472339152103e-09,2.9050000000000002,2.6025,2.5978399999999997,1.6393148438205438,3.356682350589614,1.447862068379325,4.75,4.5925,3.9996,6.193189770492526,4.045434421341431,4.618427308840424,4.136,4.136,3.5903840000000002,8.471844821992036,2.9720909939044398,3.5824630514402775e-07
1997-02-28,POMRB,3.93,4.63,5.14,3.2,4.88,4.494,3.8362499999999997,3.8449999999999998,3.434592,2.861011483310383,4.041063976900043,2.459997998393566,4.1762500000000005,4.4025,4.292512,3.068479220525147,4.384407962427866,4.235229203150827,6.37875,5.755000000000001,5.458864,8.382237062288205,6.739025716198034,6.807753031741721,2.83125,2.925,2.838704,1.5073613981142024,1.9497660464324968,2.199345578307732,4.92625,4.83,4.3517600000000005,4.816994676152604,5.381197297042053,3.6339881829764176,4.135999999999999,4.136,3.9518304,6.936583916071015,4.477777124855654,4.493998694111277
1997-05-31,PREMON,7.1,6.91,12.08,3.86,8.59,7.71,3.8325,3.759999999999999,4.9007552,3.3747476217593935,6.499783600983402,7.909661470343836,4.0600000000000005,4.205,5.3395072,3.4626219109222456,7.2431476553056795,6.6247802758689325,6.52125,6.305,8.1073184,10.388696748591212,10.176530907293643,9.513521917082347,2.6775,2.885,3.2472224,1.569071650879954,4.134285922499919,3.82974361143039,5.13625,4.67,6.0470559999999995,7.837352385828282,7.126368126981166,8.693683728514038,4.136,4.136,5.45509824,7.5579125728678545,7.634594852069031,7.709997628204079
1997-08-31,MONSOON,1.25,0.85,3.58,0.73,3.69,1.416,3.6779166666666665,3.9124999999999988,3.44045312,2.9552120348823983,0.9811622219200951,0.45529045022989023,3.83,4.147500000000001,3.54370432,2.812601190397135,2.2330058982791456,1.1005865809615172,6.6875,6.452499999999999,6.2963910400000005,7.919626182181213,4.072152436959494,2.8790921590590526,2.5237499999999997,2.7775,2.2403334399999997,1.1690787203110193,1.2680812157261399,1.36674007216787,5.088333333333333,5.1825,5.1042336,5.006000977338365,2.7513700470804947,1.815289184373969,4.136,4.136,3.8394589439999995,4.428812403930807,1.503752838074072,1.4159993768780959
1997-11-30,POMKH,2.73,3.5,5.56,2.52,3.2,2.924,3.5506770833333334,3.7524999999999986,3.156271872,2.8072456446641656,2.9823004272800393,3.358523322923775,3.48875,3.972500000000001,3.526222592,2.725612951056134,2.6104265219590173,3.580286088037346,6.67375,6.589999999999998,6.001834624,6.759225213426434,4.636820850950656,4.824164453854747,2.41125,2.5774999999999997,2.352200064,1.171266756319742,3.4067547239432265,3.0175171765669666,5.041041666666667,5.09,4.34254016,3.205974398774712,4.208408373555358,3.816419576540129,4.136,4.136,3.4732753664,3.1770446804435957,2.9689681284193954,2.9239994461794656
1998-02-28,POMRB,3.333333333333333,3.49,5.920000000000001,2.77,4.866666666666667,4.494,3.5188020833333336,3.6033333333333317,3.2270964565333333,2.778274816118402,4.194573596841145,3.115524856539765,3.7112499999999997,3.687500000000001,3.5117335552,2.659106801626401,4.462931004867699,4.201366487948724,6.6296875,6.784999999999998,5.9691007744,6.066150212169336,6.872081031753442,5.9321351013587735,2.4390625,2.4699999999999998,2.5193200384,1.2517402770871808,2.5634421818416837,2.8799068625204054,4.966354166666667,5.086666666666667,4.552190762666667,3.9592720720311414,5.483243192981457,4.571705559001739,4.135999999999999,4.136,3.8815652198399997,3.3533186545607205,4.475721596736817,4.494000499069086
1998-05-31,PREMON,6.67875,5.32,11.19,3.39,8.225,7.71,3.551458333333333,3.498020833333332,4.60775787392,3.3043310604960987,6.534099675189069,7.286733817737713,3.8087500000000003,3.290000000000001,4.23504013312,2.9033293270303786,7.321649989698266,6.370840015793197,6.6278125,6.562499999999998,8.05746046464,8.125490032905313,10.382012518098934,10.820012846807153,2.576458333333333,2.3525,2.8675920230400003,1.4636841739613964,3.9667611157147973,3.7704896450734386,5.037916666666667,4.995416666666666,6.021314457600001,8.313459672347864,7.215224199771651,8.561192507908729,4.136,4.136,5.412939131904,5.735658460180153,7.633241865247233,7.709999979313466
1998-08-31,MONSOON,1.41625,4.22,4.1175000000000015,1.4225,3.4575,1.416,3.65875,3.539583333333332,3.331154724352,2.9747520710565323,0.9430945955557828,0.7266244075427943,3.76375,4.1325,4.229024079872,2.924942098070797,2.311477543969211,0.4881198938717608,6.650833333333334,6.696874999999999,6.481476278784001,6.541623961529995,4.154993462731624,3.235320211362833,2.6818750000000002,2.525625,2.2895552138240003,1.3295939734182236,0.9547089795739847,1.1263874253546309,5.214791666666667,4.937291666666666,4.99578867456,5.722009741580354,2.7883425930513424,2.6099151822489293,4.136,4.136,3.8141634791424,3.7523617059141796,1.5028622769947475,1.4159998740765927
1998-11-30,POMKH,2.825,0.91,5.0075,2.9266666666666663,4.005,2.924,3.7005729166666668,3.5633333333333317,3.1286928346111997,2.8911517139182,2.9766962935320738,3.0829943261672117,4.24875,3.4850000000000003,2.9014144479231994,2.415981847728159,2.6889605339075535,4.63006390744004,6.881666666666668,6.558749999999999,5.8918857672704,5.674053773725354,4.770561537694036,5.194450445955589,2.707708333333333,2.6272916666666664,2.5443997949610666,1.4995630803927533,2.9789764586292056,2.7394518525770204,5.234166666666667,5.138541666666666,4.599473204736,4.422374848548567,4.214575589587505,3.3933853883457132,4.136,4.136,3.45809808748544,3.1330285010777796,2.968381944560612,2.923999697533356
1999-02-28,POMRB,4.096666666666667,5.72,6.656666666666666,3.206666666666667,5.4766666666666675,4.494,3.6311979166666664,3.7541666666666655,3.5158823674333863,3.0233259078081614,4.204954190455265,3.2356476097943467,4.2875000000000005,4.0425,4.02884866875392,2.7872686623187084,4.541414272411884,3.1763359891379785,6.9894791666666665,6.742916666666666,6.197798127028907,5.803885282722832,6.928996184899823,5.915300789373835,2.707395833333333,2.736458333333333,2.8093065436433067,1.7281113324935138,2.697588501889913,2.6418122527255035,5.1388541666666665,5.291041666666666,4.9503505895082665,5.083636936351139,5.580730685761827,4.735506611014583,4.135999999999999,4.136,3.8724588524912638,3.674198795733042,4.475335759623196,4.493999278342655
1999-05-31,PREMON,6.25,6.97,12.3,3.16,7.77,7.71,3.443541666666667,3.6469791666666653,4.6095294204600314,3.5118544740878916,6.664114957912487,7.3108615303689195,4.39,4.455,5.205309201252351,3.2901087734884826,7.400151231428477,6.709968631368738,6.567604166666667,7.020416666666666,8.638678876217345,8.845572745877835,10.515026733496471,10.940281085851526,2.697916666666667,2.678958333333333,2.9495839261859844,1.9487138084354114,3.746749754739067,3.4671390228939383,5.261041666666666,5.177291666666665,6.07821035370496,7.893793450764657,7.371300655019445,8.741622624872523,4.136,4.136,5.407475311494759,6.364671140130005,7.632987900085872,7.709999244206581
1999-08-31,MONSOON,1.29,2.88,3.87,1.65,3.15,1.416,3.2108333333333334,3.615416666666665,3.281717652276019,3.181655075016454,0.9843291257128035,0.8390305661781076,4.4275,4.12,4.2751855207514105,3.035803078589329,2.3900341723527907,2.2591623528858653,6.038333333333333,6.958541666666665,6.731207325730407,7.258611104883813,4.397382501961611,3.568341669115134,2.6591666666666667,2.7358333333333333,2.4297503557115907,1.8779933164255846,1.2298921984165216,1.3766187847483486,5.460833333333333,5.100416666666665,4.9069262122229755,4.887546942079298,2.874562537490438,2.923170344116917,4.136,4.136,3.810885186896855,4.371732378379336,1.5026951124039565,1.415999764665209
1999-11-30,POMKH,1.45,3.07,1.88,2.623333333333333,5.29,2.924,3.109375,3.2716666666666647,2.5490305913656113,2.8901551929502385,2.9913196452702517,2.9284184718464332,4.155,4.66,3.793111312450846,2.866557967052975,2.767465735034148,2.9160440852893355,5.675,6.176666666666665,4.790724395438244,4.9990960014124886,4.958106864551807,5.111821597340937,2.5783333333333336,2.66,2.5071835467602877,1.9985949553325568,3.006091986467708,2.9395236363001764,5.4425,5.421666666666665,5.060155727333785,4.9962520635700995,4.255786597225595,3.423806720178194,4.136,4.136,3.456131112138113,3.616324459022152,2.9682719137190645,2.9239997352171128
2000-02-29,POMRB,3.61,3.86,5.55,3.2,5.79,4.494,3.2181250000000006,3.1499999999999977,2.9734183548193664,2.9613434334864492,3.9987839267557854,3.0716341854221607,4.3575,4.195,3.8198667874705077,2.8621014053018876,4.619972695739754,4.558788734835138,5.720000000000001,5.899999999999999,5.094434637262946,4.886782506162916,6.745417894265188,6.148728725702168,2.560833333333333,2.658333333333333,2.784310128056173,2.229388420094548,2.9731191624281665,2.870974315867178,5.66,5.499999999999998,5.3520934364002715,5.606825525459924,5.764128089949876,5.078313753818113,4.135999999999999,4.136,3.871278667282868,3.9962151694990977,4.475263335277559,4.493999955779986
2000-05-31,PREMON,5.9250000000000025,6.65,10.5,2.52,7.31,7.71,3.6550000000000002,3.068749999999998,4.154051012891621,3.4154269647841002,6.413377355262248,6.809052426872098,4.945,4.115,4.951920072482304,3.314931688306057,7.47867047358006,6.162314741601537,6.702500000000001,5.449999999999998,7.256660782357768,7.344894519700685,10.228107503718217,11.368217933722875,2.662916666666667,2.498333333333333,2.678586076833704,2.320077130388321,3.487461732008428,3.364196212582797,5.76875,5.384999999999998,6.135256061840163,7.465237082958686,7.56955196261216,8.839418980346494,4.136,4.136,5.406767200369721,6.492746698198072,7.632940229034974,7.7099997381817795
2000-08-31,MONSOON,2.485,4.82,6.03,2.15,5.35,1.416,4.085000000000001,3.367499999999998,3.486430607734973,3.296357150357151,0.721792165217944,0.8734711595937189,5.483750000000001,4.6000000000000005,4.899152043489383,3.3857892143412243,2.4685566987224954,2.327058101313698,7.88125,5.989999999999998,6.765996469414661,7.227558714511139,3.941071920439912,3.6609412366592298,2.7049999999999996,2.623333333333333,2.4671516461002225,2.3308381929134883,1.4255478215978754,1.4835533617295296,5.59875,5.934999999999999,5.821153637104098,6.395274989229224,2.997564440219646,2.952149879548167,4.136,4.136,3.810460320221833,4.380861900673785,1.5026637344318345,1.4159998653105434
2000-11-30,POMKH,3.75,5.83,7.58,2.94,3.96,2.924,4.330625,3.942499999999998,3.591858364640984,3.3838790112818313,2.960366915657287,2.8567186675946976,5.7325,5.290000000000001,5.27149122609363,3.6111969447277446,2.8460101820781647,3.576814383508519,8.370000000000001,7.414999999999998,7.091597881648797,7.760828580365103,4.794695640884141,4.030896044884253,2.68875,2.7024999999999997,2.6562909876601335,2.4892136794761766,2.8363580166577025,2.89458848953163,5.027500000000001,5.602499999999999,5.076692182262459,4.456848580726851,4.6162249758414315,4.216500567986456,4.136,4.136,3.4558761921330996,3.566246185858962,2.968251260154298,2.923999777113703
2001-02-28,POMRB,4.75,5.41,9.28,3.22,5.76,4.494,4.295625,4.227499999999998,4.055115018784591,3.6321150580880004,4.338190172437243,3.9930817895012303,5.670000000000001,5.677500000000001,5.326894735656178,3.7285768360924476,4.6985415355888005,5.237777065132395,7.9325,8.347499999999998,7.966958728989278,8.962295492094261,7.238423150500086,5.9526622205985875,2.6037500000000002,2.7074999999999996,2.8817745925960803,2.6929581369082585,3.1180020945835256,2.9143010015883517,4.05,5.594999999999999,5.350015309357476,5.1154072260970525,5.931320392967228,5.4663762815790236,4.135999999999999,4.136,3.87112571527986,3.918309832168044,4.47524974071709,4.4939996657163945
2001-05-31,PREMON,6.75,7.09,10.68,2.37,2.77,7.71,3.9637499999999997,4.433749999999998,5.133069011270754,4.208887260746858,6.879987846102022,6.9350134451212995,5.173749999999999,5.787500000000001,6.032136841393707,4.102484017765687,7.557257361958924,6.754101824045653,7.3187500000000005,8.392499999999998,9.052175237393566,10.577104944762446,11.083498513590746,11.078874472598493,2.47125,2.67,2.677064755557648,2.7159663894092834,3.0599311004308447,2.8980231532174905,3.4875,4.459999999999999,4.3180091856144855,3.1215633895535353,7.7142018061238895,8.195677878202071,4.136,4.136,5.406675429167915,6.397934382244185,7.632931280842366,7.7099995739659475
2001-08-31,MONSOON,1.38,3.88,2.35,1.62,2.07,1.416,3.54125,4.157499999999998,3.6318414067624523,3.87748637202977,1.2453462266884587,1.6156668489721546,4.577500000000001,5.552500000000001,5.171282104836225,3.883988430036404,2.5471770020815674,3.059481954820913,7.130000000000001,7.472499999999998,6.37130514243614,7.717653303023813,4.720852032094375,4.379354238751716,2.4537500000000003,2.5375,2.2542388533345887,2.5807750734386565,1.814716655860194,1.8147777597837158,3.0925000000000002,3.6399999999999992,3.4188055113686913,1.8517685776395498,2.6066785261126055,2.5351265236722886,4.136,4.136,3.810405257500749,4.3001995136214015,1.5026578445649257,1.415999847218573
