Date,Season,Garh Mukteshwar,Dhaulana,Muradnagar,Bhojpur,Loni,Hapur,Garh Mukteshwar_Trend,Garh Mukteshwar_SMA,Garh Mukteshwar_EWMA,Garh Mukteshwar_DES,Garh Mukteshwar_TES,Garh Mukteshwar_ARIMA,Dhaulana_Trend,Dhaulana_SMA,Dhaulana_EWMA,Dhaulana_DES,Dhaulana_TES,Dhaulana_ARIMA,Muradnagar_Trend,Muradnagar_SMA,Muradnagar_EWMA,Muradnagar_DES,Muradnagar_TES,Muradnagar_ARIMA,Bhojpur_Trend,Bhojpur_SMA,Bhojpur_EWMA,Bhojpur_DES,Bhojpur_TES,Bhojpur_ARIMA,Loni_Trend,Loni_SMA,Loni_EWMA,Loni_DES,Loni_TES,Loni_ARIMA,Hapur_Trend,Hapur_SMA,Hapur_EWMA,Hapur_DES,Hapur_TES,Hapur_ARIMA
1996-02-29,POMRB,7.65,2.1,5.6850000000000005,6.614166666666668,10.05,4.0,,,7.65,6.791578119257236,6.4902873751679255,0.0,,,2.1,4.265738779080665,2.1,0.0,,,5.6850000000000005,5.687383517391116,5.405417856909279,0.0,,,6.614166666666668,8.414674506457441,6.5377658767726645,0.0,,,10.05,9.857752193296616,9.728766984822794,0.0,,,4.0,4.069425852293369,4.021260485548615,0.0
1996-05-31,PREMON,7.965,3.38,6.47,7.823571428571428,10.51,7.52,,,7.776,7.072078621964137,7.871700556502191,7.649992968265211,,,2.612,5.629734341808666,3.38,2.099997208776247,,,5.9990000000000006,5.972729335291282,6.18722109053912,5.6849946256016235,,,7.097928571428572,9.2772080610444,7.897177312396678,6.545805124015311,,,10.234,10.10146066275199,10.505529272151831,10.049990562676475,,,5.4079999999999995,5.405880972157736,7.039920468742511,3.999995814030579
1996-08-31,MONSOON,6.34,0.6,4.6,6.973000000000001,8.945,1.29,7.034375,,7.201599999999999,7.001134104159999,7.057305996239787,7.855587039521017,1.9625,,1.8072,4.274499069972632,0.6000000000000001,2.7456618865453075,5.565625000000001,,5.4394,5.598052215251113,5.829114151962024,6.109908282375713,7.127684523809525,,7.047957142857143,9.022088843188163,7.081550388176657,7.1267068762301635,9.604375,,9.718399999999999,9.599350419104162,9.548080497553602,10.312428631121497,3.7624999999999997,,3.7607999999999997,3.953344055268159,2.6073951895847367,6.25222823412156
1996-11-30,POMKH,6.52,1.82,5.5,7.1000000000000005,9.075,2.64,6.933750000000001,7.1187499999999995,6.92896,6.976160201929945,6.7556468901309685,6.976285510412631,1.94,1.975,1.8123200000000002,3.5431697450921296,1.82,2.009502242019801,5.55875,5.563750000000001,5.46364,5.612089739198231,5.4414467388796925,5.477188824271839,7.127684523809524,7.127684523809524,7.0687742857142855,8.58285791388398,7.08069179351383,7.469039999727997,9.47625,9.645,9.461039999999999,9.330320602464127,9.72210161833433,9.66514110509788,3.3225000000000002,3.8625,3.31248,3.5206058601031924,3.1788142798971553,3.3435865745950273
1997-02-28,POMRB,6.975,2.0,5.7,6.614166666666668,9.725,3.2,6.4725,6.949999999999999,6.947376,7.04013160903449,6.894375575950393,7.034985944292185,1.96,1.9500000000000002,1.8873920000000002,2.9189132458880893,2.1,2.0317704077099195,5.70625,5.567500000000001,5.558184000000001,5.683378795721142,5.462315953250022,5.485734643066631,7.127684523809524,7.127684523809524,6.886931238095238,7.773808813140444,6.503164288594728,6.7514187704450315,9.058125,9.563749999999999,9.566624,9.434683046281183,9.42174040069655,9.456791297563925,2.9229166666666666,3.6624999999999996,3.267488,3.45023817783359,3.7430264121618,2.5701354678891253
1997-05-31,PREMON,7.835000000000001,3.3,6.4,7.823571428571428,9.81,4.8,6.059375,6.9174999999999995,7.3024256,7.252586991057872,8.001848254207987,7.212876751282839,1.91,1.9300000000000004,2.4524352,3.1784119844876066,3.3683656509695292,2.8754060151272114,5.9125,5.550000000000001,5.8949104000000005,5.948414616053185,6.232054482888241,5.562177664576618,7.127684523809525,7.127684523809524,7.261587314285714,7.823608293473544,7.872981875872087,7.320932471139495,8.809999999999999,9.38875,9.6639744,9.543202681117164,10.124268886551157,9.710803803072285,2.845833333333333,2.9825,3.8804928,3.998668002279431,6.687314314741327,5.743085499924834
1997-08-31,MONSOON,2.78,0.84,5.85,6.973000000000001,6.3,0.8133333333333331,6.075,6.0275,5.4934553600000005,6.488348492616987,7.121411834391376,7.106765530885803,1.7312499999999997,1.9900000000000007,1.8074611200000001,1.9690299359223697,0.5793037192777839,1.0884030717922122,5.95875,5.862500000000001,5.8769462400000005,5.965104984367,5.709050138600663,5.854821025370457,7.127684523809525,7.127684523809524,7.146152388571428,7.348656023855175,7.064936711404953,7.022745811074557,8.87375,8.7275,8.31838464,8.144632430232901,8.920692605010352,9.297324191084531,2.8083333333333336,2.8633333333333333,2.653629013333333,2.8719770403530354,0.48981729086295456,0.4325388404229251
1997-11-30,POMKH,6.775,1.18,5.9,7.1000000000000005,9.735,2.5,6.034375000000001,6.09125,6.006073216000001,6.601304573716536,5.899726565163743,5.137853794420828,1.52625,1.8300000000000005,1.556476672,1.3647258748682796,1.8277684871072988,1.8648600066479342,5.995,5.9625,5.886167744000001,5.9921620992383415,5.836592143485225,5.853152425870015,7.127684523809524,7.127684523809524,7.127691433142857,7.087847690291538,7.069566073686835,7.190096987098732,8.7325,8.892499999999998,8.885030784,8.692350906510645,8.16209989516432,8.036260094251054,2.7733333333333334,2.828333333333333,2.5921774079999995,2.773596795038816,2.120775871306156,1.679819562011146
1998-02-28,POMRB,6.8450000000000015,1.21,5.67,6.614166666666668,9.575,3.04,6.388750000000001,6.05875,6.341643929600002,6.707319076015577,6.320476749651478,6.787247987013032,1.385,1.6325000000000003,1.4178860032,1.0617744649231482,1.9597436839508005,1.9051857035781414,6.0075,5.955000000000001,5.799700646400001,5.940446614292573,5.87442082385423,5.869302921930677,7.127684523809524,7.127684523809524,6.922281526552381,6.660099540070641,6.495979033850358,6.712536249013086,8.976875,8.854999999999999,9.161018470399998,8.989097102455874,8.882377743843456,8.96961942560199,2.799166666666667,2.788333333333333,2.7713064447999995,2.9107216386163066,3.1235918899372397,2.504825257021764
1998-05-31,PREMON,7.6400000000000015,2.45,6.72,7.823571428571428,8.83,4.68,6.527500000000002,6.01,6.860986357760002,6.942316685819677,7.540638888160419,7.004516639610043,1.3487500000000001,1.4200000000000002,1.8307316019200002,1.6568153794411127,3.1696709711717226,2.7186308827219503,5.8774999999999995,6.035,6.167820387840001,6.2268477852179505,6.507883492394491,5.800710870391437,7.127684523809525,7.127684523809524,7.28279748736,7.127108584865687,7.868597462938017,7.419890313338852,9.291875000000001,8.609999999999998,9.028611082239998,8.872061074389661,9.64786852191583,9.348090827329404,2.7112499999999997,2.758333333333333,3.53478386688,3.607361691197539,5.816872734487565,4.431699790330555
