Date,Season,Sopore,Sopore_SMA,Sopore_EWMA,Sopore_TES,Sopore_ARIMA
1996-02-29,POMRB,,,,,
1996-05-31,PREMON,0.7939999999999999,,0.7939999999999999,0.82703125,0.0
1996-08-31,MONSOON,1.3224999999999998,,1.0053999999999998,1.3847195290858725,-0.3033328615388258
1996-11-30,POMKH,1.7025,,1.28424,1.79014594467699,-0.37465258749148206
1997-02-28,POMRB,,,,,
1997-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.088144,0.9034247492676354,-0.7672220623288053
1997-08-31,MONSOON,1.3224999999999998,1.285375,1.1818863999999998,0.9164831249898181,0.7056957327034568
1997-11-30,POMKH,1.7025,1.380375,1.39013184,1.517404100614225,1.056544585780517
1998-02-28,POMRB,,,,,
1998-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1516791039999998,1.949215139238678,1.4280672947230775
1998-08-31,MONSOON,1.3224999999999998,1.285375,1.2200074624,0.9392165762075718,1.0877563254279417
1998-11-30,POMKH,1.7025,1.380375,1.41300447744,1.0835209557965602,0.9031436877130028
1999-02-28,POMRB,,,,,
1999-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.165402686464,1.6723329002057992,1.2532433392159614
1999-08-31,MONSOON,1.3224999999999998,1.285375,1.2282416118783999,1.7691490195175985,1.4101119960370787
1999-11-30,POMKH,1.7025,1.380375,1.41794496712704,1.0730813507670018,0.9946325100883364
2000-02-29,POMRB,,,,,
2000-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.168366980276224,1.2796612207300107,1.253243339215961
2000-08-31,MONSOON,1.3224999999999998,1.285375,1.2300201881657342,1.5026892070681157,1.4101119960370787
2000-11-30,POMKH,1.7025,1.380375,1.4190121128994404,1.7358020531004925,0.9946325100883364
2001-02-28,POMRB,,,,,
2001-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1690072677396643,1.2523773386877672,1.253243339215961
2001-08-31,MONSOON,1.3224999999999998,1.285375,1.2304043606437984,1.1555613100158006,1.4101119960370787
2001-11-30,POMKH,1.7025,1.380375,1.419242616386279,1.489921655773239,0.9946325100883364
2002-02-28,POMRB,,,,,
2002-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691455698317674,1.7863283668888585,1.253243339215961
2002-08-31,MONSOON,1.3224999999999998,1.285375,1.2304873418990603,1.1229672372742077,1.4101119960370787
2002-11-30,POMKH,1.7025,1.380375,1.4192924051394362,1.1895597493452024,0.9946325100883364
2003-02-28,POMRB,,,,,
2003-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691754430836618,1.566802121585141,1.253243339215961
2003-08-31,MONSOON,1.3224999999999998,1.285375,1.230505265850197,1.5575723503328487,1.4101119960370787
2003-11-30,POMKH,1.7025,1.380375,1.4193031595101182,1.1588378334135268,0.9946325100883364
2004-02-29,POMRB,,,,,
2004-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.169181895706071,1.3116798079220624,1.253243339215961
2004-08-31,MONSOON,1.3224999999999998,1.285375,1.2305091374236423,1.366544213689393,1.4101119960370787
