Date,Season,Lalsot,Dausa,Bandikui,Mahwa,Sikrai,Lalsot_Trend,Lalsot_SMA,Lalsot_EWMA,Lalsot_DES,Lalsot_TES,Lalsot_ARIMA,Dausa_Trend,Dausa_SMA,Dausa_EWMA,Dausa_DES,Dausa_TES,Dausa_ARIMA,Bandikui_Trend,Bandikui_SMA,Bandikui_EWMA,Bandikui_DES,Bandikui_TES,Bandikui_ARIMA,Mahwa_Trend,Mahwa_SMA,Mahwa_EWMA,Mahwa_DES,Mahwa_TES,Mahwa_ARIMA,Sikrai_Trend,Sikrai_SMA,Sikrai_EWMA,Sikrai_DES,Sikrai_TES,Sikrai_ARIMA
1999-05-31,PREMON,21.221666666666668,11.1125,15.160000000000002,8.801666666666668,15.181666666666667,20.395125,19.151666666666657,19.696689630348356,20.53748386526493,20.677174230608827,19.270730328488593,10.184895833333334,9.20166666666667,9.55272328921088,9.32640330851388,10.610914552302415,8.716706548454363,13.417708333333334,11.927500000000002,13.11968841938944,13.30852753006785,14.99553682888748,11.716139378704487,8.299583333333334,8.244166666666668,8.837845223279274,7.998214133049634,10.865918782972265,8.98403202360972,14.438916666666666,14.359916666666662,14.577069984547089,15.005952315398217,14.510233476963148,14.269108608038206
1999-08-31,MONSOON,20.66,9.74,13.243333333333334,7.423999999999999,13.37,21.023958333333333,19.940666666666658,20.082013778209014,20.782842750850644,19.797253526106008,20.417705682434352,10.515729166666668,10.112500000000004,9.627633973526528,9.541463482557472,7.7242081843600285,8.297073773724227,13.717083333333335,12.927083333333336,13.169146384966998,13.539131924041088,15.254074500064672,12.997334435312295,8.640875,8.020166666666668,8.272307133967564,7.3486668146587135,8.427180575189393,8.918161093359782,14.892666666666663,14.23241666666666,14.094241990728253,14.314757124984592,15.29267442971589,14.860616945834995
1999-11-30,POMKH,21.031666666666666,10.246666666666668,13.88,9.412,15.407999999999998,21.706875000000004,20.849583333333328,20.461874933592075,21.097425832394695,22.200550409354435,20.560152980789212,10.945729166666668,10.25729166666667,9.875247050782583,9.853763220760007,10.305243036565845,10.420681181905156,13.203333333333333,13.908333333333335,13.4534878309802,13.847876706472118,14.808331910342073,13.088851345540947,9.004625,8.579,8.728184280380539,8.680383669880333,7.962010036755744,8.378468400393158,15.261583333333332,14.645416666666659,14.619745194436952,15.016402793589682,14.478244626469692,14.083948806473755
2000-02-29,POMRB,21.88,11.9975,11.82,9.173333333333334,16.6,22.413333333333334,21.198333333333327,21.029124960155244,21.698195103040586,21.160903506560132,20.837360681589217,11.205104166666667,10.774166666666671,10.72414823046955,10.63935721857632,11.789916476607107,10.317902306381129,13.121666666666668,13.525833333333336,12.80009269858812,13.73107138874402,16.294355890503674,13.383175354041244,9.553500000000001,8.70275,8.906243901561657,9.345032398918297,9.39054772775448,8.751780373052695,15.739083333333333,15.139916666666661,15.411847116662171,15.976433592138886,15.91925783884891,14.683280996345506
2000-05-31,PREMON,25.29000000000001,12.485,12.579999999999998,11.216666666666667,16.155,23.14354166666667,22.215416666666663,22.73347497609315,23.79595607533504,22.90791826841211,21.45033896171718,11.427083333333332,11.11729166666667,11.428488938281731,11.334145800951912,12.680062924633521,11.607719893569493,13.602083333333333,12.880833333333333,12.71205561915287,13.724291361029048,16.78709522890305,12.80164142053068,9.90825,9.3065,9.830413007603662,11.39740522337042,10.74069172687949,8.904045312002527,16.293166666666668,15.383249999999995,15.709108269997301,16.2253595385659,15.940097110871385,15.92219171193818
2000-08-31,MONSOON,22.243333333333336,10.4425,15.17,9.4,16.216666666666665,24.033583333333336,22.61125,22.537418318989225,23.18041341130977,23.035531946026747,23.707714813520294,11.672812500000001,11.29291666666667,11.034093362969038,11.139357222843719,9.426126251191663,10.1881759030006,14.377083333333333,13.362499999999999,13.695233371491723,14.169851663931142,17.045632899984493,12.719186192798606,10.270583333333335,9.8005,9.658247804562198,10.86094155799136,9.180620423120901,9.739363892519469,16.579166666666666,16.09491666666666,15.912131628665048,16.380702529118192,16.490591103960828,16.197222885822484
2000-11-30,POMKH,25.29000000000001,11.32,15.796666666666667,10.274,16.994,24.36633333333334,23.675833333333333,23.63845099139354,24.504120709357373,24.53143669377843,22.846790018794117,12.023125,11.561250000000003,11.148456017781424,11.293707830740127,11.48032917988223,11.726193323204173,16.24625,13.841666666666667,14.535806689561701,14.693327993539398,16.59989031026485,13.630939931038968,10.751416666666668,10.016,9.904548682737317,10.911248484103506,9.138334580134295,9.616785709959188,16.864291666666666,16.49141666666666,16.344878977199027,16.856558790440616,16.51383307738644,16.1993215575903
2001-02-28,POMRB,24.742,12.89,16.103333333333335,11.21,17.302,24.64991666666667,24.391333333333336,24.079870594836123,24.84556187578889,24.548592405267364,24.283178063850578,12.58375,11.784375000000002,11.845073610668855,11.912515392250452,12.911364777680348,12.013032808066628,18.56625,14.9125,15.162817347070355,15.227957194735916,18.085914290429187,14.436635319384273,11.281166666666667,10.525166666666667,10.426729209642392,11.532098710627155,10.458147118552453,9.854171389719887,17.218833333333333,16.66691666666666,16.727727386319415,17.251017797566984,17.726426239314357,16.65318753641666
2001-05-31,PREMON,25.09,14.395,23.25,13.026666666666666,17.733999999999995,24.60516666666667,24.341333333333335,24.483922356901672,25.19348339109345,26.007376472243266,24.552924155657802,13.011458333333334,12.261875000000003,12.865044166401313,12.826536855249449,13.680823719805623,12.894372043153593,20.151354166666668,17.580000000000002,18.397690408242212,17.06077469686952,18.578653628883146,15.056681636430584,11.913666666666668,10.977666666666666,11.466704192452102,13.295464285043858,12.143492390828925,10.343896420286766,17.422749999999997,17.061666666666657,17.130236431791648,17.66861440179926,17.185768388186204,17.092727286660633
2001-08-31,MONSOON,24.712,13.0175,23.06,11.828,17.473999999999997,24.022833333333335,24.9585,24.575153414141003,25.15899092930509,24.325925637698436,24.86867651752437,13.098958333333332,12.905625000000002,12.926026499840788,12.998690858242288,10.906182203336824,11.977772242385932,21.454791666666665,19.552500000000002,20.262614244945325,18.7894366800984,18.837191300159052,18.104766416738464,12.458666666666668,11.584666666666665,11.611222515471262,13.102827748946876,10.724271716495771,11.312912502117673,17.5005,17.37599999999999,17.267741859074988,17.742823253597777,17.90561496027842,17.50021693078231
