Date,Season,Parbatta,Gogri,Khagaria,Chautham,Mansi,Beldaur,Parbatta_Trend,Parbatta_SMA,Parbatta_EWMA,Parbatta_DES,Parbatta_TES,Parbatta_ARIMA,Gogri_Trend,Gogri_SMA,Gogri_EWMA,Gogri_DES,Gogri_TES,Gogri_ARIMA,Khagaria_Trend,Khagaria_SMA,Khagaria_EWMA,Khagaria_DES,Khagaria_TES,Chautham_Trend,Chautham_SMA,Chautham_EWMA,Chautham_DES,Chautham_TES,Chautham_ARIMA,Mansi_Trend,Mansi_SMA,Mansi_EWMA,Mansi_DES,Mansi_TES,Mansi_ARIMA,Beldaur_Trend,Beldaur_SMA,Beldaur_EWMA,Beldaur_DES,Beldaur_TES,Beldaur_ARIMA
1996-02-29,POMRB,4.96,5.29,5.195,4.49,4.7125,4.292,,,4.96,7.653573030960029,5.294171656011187,0.0,,,5.29,7.650771319042963,4.937233440198124,0.0,,,5.195,8.171827382750665,5.1978125,,,4.49,3.1857193819408134,4.5,0.0,,,4.7125,6.714126458566898,4.685132156201295,0.0,,,4.292,6.204793117579276,4.302,0.0
1996-05-31,PREMON,6.57,6.645,6.965,7.1,5.8660000000000005,5.3900000000000015,,,5.604,9.110970693316453,5.92574303241272,2.2312786477379967,,,5.832,8.90588426993554,6.76918291885288,3.067999101298021,,,5.9030000000000005,9.802099873825005,6.970469182825485,,,5.534,2.369724887394625,7.118171745152353,0.0,,,5.173900000000001,7.767736223211621,5.904615740841777,5.020887440934696e-07,,,4.7312,7.2214534582357945,5.409445983379503,4.234272045307265e-22
1996-08-31,MONSOON,1.7,2.165,2.5675,2.64,2.526666666666667,1.8625,4.2925,,4.0424,7.128839882308933,2.037146480735975,3.208993313108039,4.180624999999999,,4.3652,7.609414620620138,2.532164529487652,4.5243667655112585,4.993124999999999,,4.5688,8.14611595652997,2.575470890148173,4.4475,,4.3764,1.4749542289015485,2.6646001795566323,0.0,3.952791666666667,,4.115006666666667,6.870103688275396,2.5091337242900287,6.24987229869324e-07,3.6842500000000005,,3.58372,6.216685891006345,1.8908409427490591,3.0177088789501e-22
1996-11-30,POMKH,3.32,2.6,4.895,3.56,2.7060000000000004,3.1925,4.5562499999999995,4.1375,3.7534399999999994,5.93308184721791,3.933016554093614,2.1948157079632757,4.244375,4.175,3.6591199999999997,6.323370451048449,3.1819620163667297,4.161382571197067,5.13375,4.905625,4.69928,7.501448102990139,4.905318848636292,4.23375,4.4475,4.0498400000000006,1.1852606470480245,3.5894002971269674,0.0,3.9527916666666667,3.952791666666667,3.5514040000000002,5.866097927669526,2.6684025986722713,-9.962769368080897e-08,3.6842500000000005,3.6842500000000005,3.427232,5.62896203452554,3.229189239595706,-7.436073468739952e-23
1997-02-28,POMRB,6.2,5.335,5.895,4.49,4.7125,4.292,4.593750000000001,4.4475,4.732063999999999,6.288167744646539,5.046940870754725,4.724085802277652,4.281875,4.18625,4.329471999999999,6.208034796334122,4.692864439896786,4.698660974368198,5.1503125,5.0806249999999995,5.177568,7.242792768584401,5.2072185936620565,3.7237500000000003,4.4475,4.225904,1.24925814185857,4.520604266842311,4.48999758187904,3.9527916666666667,3.9527916666666676,4.0158424,5.695857326171045,4.697216819832955,4.712498450212239,3.68425,3.684250000000001,3.7731392,5.438278047692804,4.336495520155145,4.291999742506365
1997-05-31,PREMON,7.44,7.11,7.3900000000000015,5.39,5.8660000000000005,5.3900000000000015,4.73125,4.665,5.8152384,7.172266356105673,6.298823013115159,6.739204957357355,4.335625,4.3025,5.4416832,6.802566120926435,6.6245830957879885,6.120734153069829,5.0153125,5.186875,6.062540800000001,7.670004895891743,7.017782070830424,3.37375,4.02,4.6915423999999994,1.555913103249582,7.131240044571687,7.099996176245251,3.9527916666666667,3.952791666666668,4.755905440000001,5.970110868049257,5.915258291602026,5.865998131402669,3.68425,3.6842500000000014,4.419883520000001,5.659148715059599,5.441767742956181,5.389999676633113
1997-08-31,MONSOON,1.13,2.0,2.275,0.27,2.526666666666667,1.8625,4.8291666666666675,4.5225,3.94114304,4.680603676005257,2.3203843158840156,2.051268357454381,4.223125,4.26125,4.06500992,5.148196127076739,2.5977436574262196,2.5578354057805255,4.7162500000000005,5.11375,4.54752448,5.402569601728772,2.6452843317441572,3.305625,3.4274999999999993,2.9229254399999998,0.9958588206267737,2.3587320325091916,2.639998578209502,3.952791666666667,3.952791666666668,3.8642099306666675,4.7783660030597455,2.518506255469769,2.5266657946977924,3.6842500000000005,3.6842500000000014,3.3969301120000006,4.343009626088506,1.9210138713411204,1.8624998882614412
1997-11-30,POMKH,4.99,3.195,4.1075,3.13,2.7060000000000004,3.1925,4.388333333333333,4.9399999999999995,4.360685824,4.5778741890434205,3.9252015897485886,2.7814664329617065,3.744375,4.41,3.7170059519999996,4.246319780889741,3.1680416472566177,2.727704923911893,4.21,4.916875,4.3715146879999995,4.530539181506667,4.957697992011376,3.2175,3.319999999999999,3.005755264,1.1200621729862108,2.8596260162205436,3.5599980827370556,3.9527916666666667,3.952791666666668,3.4009259584000007,3.861260684295107,2.676656666958536,2.705999281974818,3.6842500000000005,3.6842500000000014,3.3151580672000005,3.772747868856995,3.2572429067173703,3.192499808469611
1998-02-28,POMRB,5.3133333333333335,3.84,4.29,4.375,4.7125,4.292,4.127083333333333,4.718333333333333,4.741744827733333,4.730619698981024,5.889319547225781,6.012245575454407,3.3087500000000003,4.03625,3.7662035711999997,3.8221147513062625,4.888888759233225,5.156908669238153,3.6950000000000003,4.515625,4.3389088128,4.0563421155202875,5.288433257748072,3.185,3.2912499999999985,3.5534531584,1.5207478050311725,3.7484028697918608,4.489998790944611,3.9527916666666667,3.9527916666666676,3.9255555750400006,3.9520226478758986,4.7044858960267515,4.712499904922406,3.68425,3.684250000000001,3.70589484032,3.7832359474759762,4.362463809096171,4.292000102508493
1998-05-31,PREMON,4.8,4.775,4.945,4.8,5.8660000000000005,5.3900000000000015,3.9220833333333336,4.058333333333333,4.7650468966399995,4.649463892594694,6.675649298869509,6.7333991744339405,2.9,3.4525000000000006,4.1697221427199995,3.9219121804275145,6.237572931813484,6.248886546336039,3.24625,3.904375,4.58134528768,4.122256382088884,6.9719158806162564,3.0787499999999994,3.143749999999998,4.052071895039999,2.0154971626770686,6.029551533550609,6.244994488045225,3.9527916666666667,3.952791666666668,4.701733345024001,4.570576802670537,5.921659918881884,5.865999784841106,3.68425,3.6842500000000014,4.379536904192001,4.297986543383204,5.4656885295503,5.3900001287327095
1998-08-31,MONSOON,1.68,0.85,0.6,0.6,2.526666666666667,1.8625,3.581666666666667,4.195833333333333,3.531028137984,3.174372473087704,1.360157735591124,0.5961243295060454,2.62125,3.1650000000000005,2.8418332856319997,2.588528604903198,1.5391019647801292,1.2794907517107295,3.3084375,3.485625,2.9888071726079994,2.3480507864351203,2.383228502297932,2.888958333333333,3.226249999999998,2.6712431370239997,1.63048959474059,1.204315105910001,1.4549942995156273,3.952791666666667,3.952791666666668,3.8317066736810674,3.7617281639338787,2.524143950100781,2.526666579618258,3.6842500000000005,3.6842500000000014,3.3727221425152005,3.33517709000322,1.9429287089124476,1.862500044483241
1998-11-30,POMKH,2.8,1.075,2.1925,1.95,2.7060000000000004,3.1925,3.4775,3.648333333333333,3.2386168827903994,2.667597697527587,3.8813763950449784,4.104556116593143,2.845,2.6350000000000002,2.1350999713791996,1.742889040129925,2.0779012690174192,2.1171970876806863,3.7690625000000004,3.0068750000000004,2.6702843035647996,1.887150889150451,4.555084173747009,2.859166666666667,2.9312499999999977,2.3827458822144,1.577905267325061,2.412887101601502,3.3449981360879186,3.9527916666666667,3.952791666666668,3.3814240042086405,3.19366304481371,2.6816215921819246,2.705999894524925,3.6842500000000005,3.6842500000000014,3.3006332855091203,3.096253531123292,3.2771967173183136,3.192500076248454
1999-02-28,POMRB,4.78,3.73,6.7025,4.036666666666666,4.7125,4.292,3.42375,3.5149999999999997,3.8551701296742396,3.3526553715134435,4.898375875514578,5.110362249920478,3.1637500000000003,2.6075000000000004,2.7730599828275198,2.1800058950567363,3.443671480577154,3.8387044068405203,4.124375,3.6100000000000003,4.2831705821388795,4.060818904777776,4.770751740410628,2.9716666666666667,2.846666666666664,3.044314195995306,1.9929886511983517,3.2192419822204075,4.451665295084519,3.9527916666666667,3.9527916666666676,3.9138544025251845,3.5841357792013033,4.708858336197281,4.712499868086646,3.68425,3.684250000000001,3.6971799713054723,3.3950660759513065,4.380504581772266,4.292000009603938
1999-05-31,PREMON,4.5,6.675,6.217499999999999,4.9,5.8660000000000005,5.3900000000000015,3.529166666666667,3.4399999999999995,4.113102077804544,3.843879442277291,5.512067777594513,5.6491323658317345,3.420625,3.0825,4.333835989696512,3.9910448811723667,5.25271432822683,5.258973509991503,4.4478125,3.9281249999999996,5.056902349283328,5.77352463286146,6.488445246556786,3.1441666666666666,2.8716666666666635,3.786588517597184,2.6026242792317293,5.1028723928942945,5.763322552450554,3.9527916666666667,3.952791666666668,4.694712641515111,4.466908397698996,5.925510577690353,5.865999837376915,3.68425,3.6842500000000014,4.374307982783284,4.164258128049385,5.4818670256867605,5.390000012060865
1999-08-31,MONSOON,1.55,1.5,2.17,1.4,2.526666666666667,1.8625,3.6183333333333336,3.4074999999999998,3.0878612466827264,2.8058788200010643,0.9263198436905671,0.7581363985214122,3.4837499999999997,3.245,3.2003015938179074,3.3318394061000247,1.548890230750155,1.7162400389193424,4.525625,4.320625,3.9021414095699964,4.838747323077561,2.010944994998058,3.244583333333333,3.0716666666666637,2.8319531105583104,2.4183734008571385,0.5600870186455436,1.169991994955132,3.952791666666667,3.952791666666668,3.8274942515757333,3.826173778542073,2.527535093874262,2.5266665897883533,3.6842500000000005,3.6842500000000014,3.3695847896699704,3.36024937684119,1.9572981757393308,1.862500004167599
