Date,Season,Bharuch,Anklesvar,Hansot,Vagra,Jhagadia,Valia,Jambusar,Amod,Bharuch_Trend,Bharuch_SMA,Bharuch_EWMA,Bharuch_DES,Bharuch_TES,Bharuch_ARIMA,Anklesvar_Trend,Anklesvar_SMA,Anklesvar_EWMA,Anklesvar_DES,Anklesvar_TES,Anklesvar_ARIMA,Hansot_Trend,Hansot_SMA,Hansot_EWMA,Hansot_DES,Hansot_TES,Hansot_ARIMA,Vagra_Trend,Vagra_SMA,Vagra_EWMA,Vagra_DES,Vagra_TES,Vagra_ARIMA,Jhagadia_Trend,Jhagadia_SMA,Jhagadia_EWMA,Jhagadia_DES,Jhagadia_TES,Jhagadia_ARIMA,Valia_Trend,Valia_SMA,Valia_EWMA,Valia_DES,Valia_TES,Valia_ARIMA,Jambusar_Trend,Jambusar_SMA,Jambusar_EWMA,Jambusar_DES,Jambusar_TES,Jambusar_ARIMA,Amod_Trend,Amod_SMA,Amod_EWMA,Amod_DES,Amod_TES,Amod_ARIMA
1999-05-31,PREMON,11.27,5.9060000000000015,4.035,7.75,8.383333333333333,8.302857142857144,9.193999999999999,13.66625,9.542874999999999,8.977624999999996,9.921483128026727,8.910424396073816,11.004668644341024,9.79390947921309,4.640500000000001,4.7470000000000026,5.0319438220058625,4.566282996710603,5.482050992929641,5.0001763482795685,3.330625,3.008750000000001,3.4480838394593283,3.4792759062581076,4.982948461813784,4.713902652006985,6.6271875,5.9743749999999975,6.5956555357880315,5.599066938101626,7.932879716141084,7.475958815116673,7.102916666666666,6.1991666666666685,7.0836360708519255,6.383633704139488,9.325747195024718,8.709308503966916,6.5465625,6.1745238095238095,6.8482895618621455,6.19259471392805,8.134185534992719,8.037302022120773,8.619797619047619,7.536833333333335,8.329957716361216,8.06266351822303,9.318446957375983,8.760660534733463,13.5753125,13.849062500000006,13.828672088963073,12.508469691826965,15.11004759649004,14.151794553488417
1999-08-31,MONSOON,9.9375,4.05,3.4125,7.38,7.105,6.911250000000001,9.362857142857145,14.505,9.216875,9.883874999999996,9.927889876816037,8.859789753941305,7.8959395262979,7.82152532069999,4.73125,4.619500000000002,4.639166293203518,4.555321076272807,3.8766192293869595,4.805838639585105,3.6184374999999998,3.243125000000001,3.433850303675597,3.435789297612182,2.822988390457567,2.234722497867601,6.526666666666667,6.719374999999998,6.909393321472819,5.784379605655703,3.4060169033294345,4.449786693688349,7.602916666666666,6.793750000000002,7.0921816425111555,6.360441572344866,5.425912649956869,5.487990495939346,6.741919642857143,6.605669642857142,6.873473737117287,6.171953914671786,4.813920515172501,5.117814043384213,8.843755952380953,8.546047619047622,8.743117486959587,8.329747275018532,6.601178326034829,6.9759867185994615,12.9115625,14.062812500000003,14.099203253377844,12.409980051424604,13.562171485706447,14.043157923893983
1999-11-30,POMKH,6.16,4.3580000000000005,3.5375,5.51,8.006666666666668,5.377142857142856,7.703999999999999,11.1,9.735000000000001,9.201874999999996,8.420733926089621,8.80934603203505,8.97747683539244,9.779940461376897,4.79075,4.661500000000002,4.526699775922111,4.544385471264819,4.479931060988475,4.495945005929357,3.7651250000000003,3.418125000000001,3.4753101822053583,3.425073784675277,3.049311906373374,3.096485527480973,6.328333333333333,6.5349999999999975,6.349635992883691,5.683259181210754,6.066048497404429,6.422714558696644,7.683333333333334,7.412083333333335,7.457975652173361,6.36678842492503,6.3900071893631205,6.640334320333821,6.921026785714287,6.487455357142857,6.274941385127514,6.062657230164474,6.0493972300627314,6.583523359036346,9.133714285714285,8.693547619047623,8.327470492175753,8.142221440582416,8.77438402941139,8.671645597536411,12.52703125,13.087812500000002,12.899521952026706,12.31224550403666,13.786722781132204,14.146412101774377
2000-02-29,POMRB,9.56,4.89,4.29,5.433333333333334,7.68,7.394285714285715,9.715,11.67,10.074375,9.231874999999997,8.876440355653774,8.759278890543012,9.16781746398147,8.559020155520425,4.843500000000001,4.801000000000002,4.672019865553267,4.533476118513234,5.002917986317326,4.730630452928024,3.7093125000000002,3.8187500000000014,3.801186109323215,3.5746272221233655,4.398609052205989,3.912641847987039,5.813958333333334,6.518333333333331,5.983114929063548,5.582158263422658,7.126716775361696,6.722653319956354,7.586666666666668,7.793750000000002,7.546785391304017,6.36426612445321,7.485839254225588,7.681789560336944,6.777263392857142,6.9963839285714275,6.722679116790794,6.07979197259737,6.598492538299884,5.873472357730863,9.236357142857145,8.993964285714288,8.88248229530545,8.473080680162257,8.56918374692521,8.5072180448071,11.968125,12.735312500000003,12.407713171216024,12.21528473813634,13.491280574793658,13.465639835143818
2000-05-31,PREMON,15.295,5.824,3.6060000000000003,6.23,7.5,7.7,10.312000000000001,12.0,10.344375,10.238124999999997,11.443864213392263,8.709646935871037,10.972350778864783,10.184534769756844,5.0205,4.780500000000001,5.13281191933196,4.522592954996302,5.559480187823079,5.444014715576218,3.7459374999999997,3.711500000000002,3.723111665593929,3.5790404533228983,4.87651752145852,4.919606206601431,5.826666666666666,6.138333333333332,6.081868957438129,5.615924529915012,8.010668177255521,7.523110683435114,7.615833333333334,7.57291666666667,7.52807123478241,6.357455927584077,9.49980886207154,9.109179905259024,6.949464285714286,6.845669642857143,7.113607470074476,6.11673474364727,8.673666891658572,8.702451434595064,9.4445,9.273464285714287,9.45428937718327,8.864984588004283,10.48950618725775,10.01578637833306,11.79875,12.318750000000003,12.244627902729615,12.119090167890278,14.066929507024708,13.06448575255504
2000-08-31,MONSOON,8.6275,4.5539999999999985,3.395,4.785,7.215,6.364,9.066,11.7,10.848125000000001,9.910624999999996,10.317318528035358,8.660124982520674,8.971063532234226,9.810769469335506,5.1965,4.9065,4.901287151599176,4.511735917843564,3.919992896606162,4.609432340019046,3.6945,3.707125000000002,3.5918669993563577,3.540106849192618,2.739029647114933,2.423118232742017,6.455833333333333,5.489583333333332,5.563121374462877,5.433534605312967,4.190124323367045,4.955979468539199,7.9662500000000005,7.600416666666669,7.402842740869446,6.343092032651373,5.5134350692974445,5.61871212716114,7.2172857142857145,6.708857142857141,6.813764482044686,6.074616560027029,5.514965830908679,5.991111846389458,9.670375,9.199250000000001,9.298973626309962,8.86947276562092,7.749331846780865,8.528757010290137,11.99625,11.617500000000001,12.026776741637768,12.023651849779307,12.37798616115751,12.826714847179058
2000-11-30,POMKH,9.63,5.2700000000000005,3.8480000000000003,8.206666666666665,8.13,7.302,9.666,12.55,10.403749999999999,10.778124999999996,10.042391116821214,8.610911965363695,9.401583030976559,8.67916085497415,5.1214375,5.1345,5.048772290959505,4.500904944335488,4.621698707522313,4.699792745929096,3.7605000000000004,3.784750000000002,3.6943201996138146,3.5968915849316447,2.964655901046681,3.1952420495055947,6.775416666666667,6.1637499999999985,6.620539491344393,5.795501872558903,5.502706108934143,5.8462415644290155,8.545,7.631250000000001,7.6937056445216685,6.358482424356066,6.483243884842177,6.997981319496698,7.43825,7.190071428571427,7.009058689226811,6.091963187522486,5.908824092531816,5.75395630435705,9.698041666666667,9.689750000000002,9.445784175785978,9.01410816405454,9.298725301823252,9.05725925940368,12.028749999999999,11.980000000000002,12.23606604498266,11.928970952164413,12.255205925808838,12.575069583122906
2001-02-28,POMRB,10.12,5.386,3.5679999999999987,7.77,10.36,7.612,9.56,11.8,10.0190625,10.918124999999995,10.073434670092729,8.561992785711062,10.42329809132714,10.133819085887964,4.994625,5.2585,5.183663374575703,4.490099971903112,5.309214277702098,5.179131031233949,3.8902916666666663,3.604250000000002,3.643792119768288,3.5937571230354446,4.348929327866461,4.05441835012317,6.761666666666666,6.747916666666666,7.080323694806635,6.083907031758219,6.665152854382024,6.727834892407748,8.398125,8.301250000000001,8.760223386713001,6.44428555898806,7.585516239220998,7.744995220661324,7.509625000000001,7.244499999999999,7.250235213536087,6.129180232738756,7.200265810726189,7.613480804883474,9.926,9.651000000000003,9.491470505471586,9.099051405755496,9.714163430321845,9.84722575861968,11.803749999999999,12.012500000000003,12.061639626989596,11.835031588044227,12.552024543510512,12.569470779379042
2001-05-31,PREMON,11.18,4.7275,4.856,6.45,9.45,9.25,10.688333333333333,12.13,10.041875000000001,9.889374999999994,10.516060802055637,8.513380596601667,12.038000490069404,11.451259075052642,4.946624999999999,4.984375,5.001198024745422,4.479320938127674,5.9062989194283935,5.74374451595562,3.877520833333333,3.9167500000000026,4.128675271860972,3.8582259920086575,4.6467610430862365,4.485211133476161,6.842083333333332,6.802916666666666,6.828194216883981,6.1580342627689575,7.854342991079751,7.537663538202475,7.74875,8.78875,9.0361340320278,6.50236387869395,9.830133070560455,9.68525796649451,7.253666666666667,7.631999999999999,8.050141128121652,6.265070075058412,8.824992546794377,8.11729737193557,10.155854166666668,9.745083333333337,9.970215636616285,9.429172776192015,11.073283612931988,10.656479690360758,11.356250000000003,12.045000000000003,12.088983776193757,11.741834607857394,13.33564990223627,12.397630800552152
2001-08-31,MONSOON,9.665,4.636,3.1833333333333336,4.455,4.09,5.3850000000000025,10.513333333333334,9.77,9.7234375,10.148749999999994,10.175636481233383,8.465006645783658,8.622658786397672,8.251467495087333,4.845375,5.004875,4.855118814847254,4.468567780740258,3.958505604668042,4.097416316237148,3.974583333333333,3.8638333333333366,3.750538496449917,3.761988258889561,2.868436619179545,2.910894986919246,7.154999999999999,6.720416666666666,5.878916530130389,5.917282303299072,4.606760498758638,5.006521172276578,7.04125,8.0075,7.0576804192166795,6.394430491959491,5.996452484722599,6.615039948940965,7.015011904761906,7.387249999999999,6.9840846768729925,6.166870604108294,6.341969971579219,6.49300948175563,10.303541666666666,10.10691666666667,10.187462715303106,9.638806157040017,8.243555495004435,9.110995377183892,11.05875,11.562500000000004,11.161390265716253,11.649357486593676,11.814862068050385,12.337864209267332
