Date,Season,Majalgaon,Wadwani,Ambejogai,Shirur-kasar,Renapur,Parli,Beed,Dharur,Georai,Kaij,Ashti,Patoda,Majalgaon_Trend,Majalgaon_SMA,Majalgaon_EWMA,Majalgaon_DES,Majalgaon_TES,Majalgaon_ARIMA,Wadwani_Trend,Wadwani_SMA,Wadwani_EWMA,Wadwani_DES,Wadwani_TES,Wadwani_ARIMA,Ambejogai_Trend,Ambejogai_SMA,Ambejogai_EWMA,Ambejogai_DES,Ambejogai_TES,Ambejogai_ARIMA,Shirur-kasar_Trend,Shirur-kasar_SMA,Shirur-kasar_EWMA,Shirur-kasar_DES,Shirur-kasar_TES,Shirur-kasar_ARIMA,Renapur_Trend,Renapur_SMA,Renapur_EWMA,Renapur_DES,Renapur_TES,Renapur_ARIMA,Parli_Trend,Parli_SMA,Parli_EWMA,Parli_DES,Parli_TES,Parli_ARIMA,Beed_Trend,Beed_SMA,Beed_EWMA,Beed_DES,Beed_TES,Beed_ARIMA,Dharur_Trend,Dharur_SMA,Dharur_EWMA,Dharur_DES,Dharur_TES,Dharur_ARIMA,Georai_Trend,Georai_SMA,Georai_EWMA,Georai_DES,Georai_TES,Georai_ARIMA,Kaij_Trend,Kaij_SMA,Kaij_EWMA,Kaij_DES,Kaij_TES,Kaij_ARIMA,Ashti_Trend,Ashti_SMA,Ashti_EWMA,Ashti_DES,Ashti_TES,Ashti_ARIMA,Patoda_Trend,Patoda_SMA,Patoda_EWMA,Patoda_DES,Patoda_TES,Patoda_ARIMA
2011-11-30,POMKH,8.8625,3.35,1.1,8.1,2.915,2.875,4.333333333333333,2.08,3.0666666666666664,1.95,4.7200000000000015,5.175000000000002,8.8765625,8.203125000000004,8.413710192309189,7.8370627717740105,7.98775367932882,8.655177302625285,2.89375,1.799999999999999,2.314170947095678,4.361293535652233,0.876559794606449,2.6067486672870652,2.7875,2.0062499999999983,1.9475516689286998,2.166761804827631,1.3033024795333301,2.8386413398896777,7.660208333333332,8.044791666666665,7.778567143256854,7.804370775463582,4.692462007101417,7.592891991595291,3.3975,3.3037500000000035,3.165828403318215,2.6848469373050796,1.1395325638587184,1.486755047128044,3.6982291666666667,3.9933333333333336,3.5284957915075,4.110203309999929,2.632421969765155,2.287883918419739,5.666666666666667,5.656249999999997,4.8851120019304215,5.84894881265148,4.260097730539,3.5547213030824962,6.92375,5.399999999999993,4.438351449165089,2.2049561389039463,3.8926966724297243,4.528666625411101,6.28703125,5.7201041666666645,5.00208768802527,5.948993695671103,4.793866151747152,3.487744580965669,4.55625,4.256250000000001,3.2470523986541746,4.515854014909602,2.436538327942566,1.9940968444896718,5.085830357142857,4.869851190476192,4.746440823015103,4.352103939409759,3.784277954685125,3.7895803251364457,4.65625,3.7406250000000014,4.000963023647268,4.096504268546626,3.010020820958111,3.688292252661033
2012-02-29,POMRB,7.33125,5.725,6.375,8.103333333333332,3.3,3.8125,7.45,10.945,7.083333333333332,7.95,4.7700000000000005,5.75,8.825,9.123437500000003,7.980726115385513,7.845798093548663,8.05310002098908,7.268016425318483,3.2625,2.6812499999999986,3.678502568257407,4.37281369119175,2.8099241414759155,5.097746497438302,2.620833333333333,3.0687499999999983,3.71853100135722,2.954669400129974,3.3153405233529183,5.286746225054085,7.809088541666665,7.803958333333331,7.908473619287445,8.015249674988315,9.040795348109745,7.784111474578271,4.139817708333333,3.1287500000000037,3.219497041990929,2.930019363045278,3.5360104290717347,4.80505194760847,3.3972916666666664,4.096458333333334,3.6420974749045003,4.032482076647571,3.570132792699111,3.3780306671204867,5.491770833333333,5.9499999999999975,5.911067201158254,6.026213396154258,5.180870479615544,5.547401523898559,7.417083333333334,6.561249999999993,7.041010869499054,13.983559670700666,7.954822027928666,7.730305422526248,6.199375,6.486562499999998,5.834585946148495,6.078812991734805,5.828611731068667,4.597973765203502,4.853125,4.812500000000002,5.128231439192505,5.149502557907749,5.00870004353984,4.9283257212477904,5.34478228021978,4.939017857142859,4.755864493809062,4.4507650435937185,5.118867022020659,5.41178850382037,5.156901041666667,4.253125000000002,4.70057781418836,4.288965274000985,4.2524799468577195,4.820971340358106
2012-05-31,PREMON,12.075,2.5,1.95,8.1,6.9,4.1,6.4833333333333325,11.5,10.95,6.9,7.812,7.025,9.4,8.629687500000003,9.618435669231307,8.426108183145313,9.426039698766202,8.571506964369025,3.3749999999999996,3.1062499999999984,3.207101540954444,4.3239368967132945,4.002831250961572,5.073773899975246,3.1135416666666664,2.506249999999998,3.0111186008143322,2.581597385145814,7.417929334440994,7.547693558063779,8.901718749999999,7.516458333333331,7.985084171572467,8.144891183605974,11.89427014669985,7.712898822975529,4.715885416666667,3.6662500000000033,4.691698225194558,4.978730847017029,5.791015327532808,6.406200593513885,3.6893749999999996,3.300000000000001,3.8252584849427,4.0310815585417705,7.7893360002205725,8.720035282176255,5.667916666666667,5.383333333333331,6.139973654028285,6.104997779487178,8.290950279106173,8.646620381850148,8.056666666666667,7.286249999999994,8.824606521699433,20.601417040973452,8.466911870322038,9.1596189236677,6.8929166666666655,6.087499999999999,7.880751567689098,7.084052483379846,9.869682861698777,14.066059292595908,6.025,4.300000000000002,5.836938863515503,5.485570137306441,7.735445246525591,9.263651889945946,5.615135989010989,5.232642857142859,5.978318696285438,6.537862205013732,7.2477148831836695,7.691055027269489,5.415885416666667,5.059375000000002,5.630346688513017,4.604256147732851,6.36295720326093,6.241253762648986
2012-08-31,MONSOON,7.8125,2.1,1.5166666666666666,8.103541666666667,5.338541666666667,3.190833333333333,4.134166666666667,5.666666666666668,4.145,4.825,4.5256868131868115,3.067708333333333,10.21953125,9.020312500000003,8.896061401538784,8.445814995105376,7.57874303572792,8.320400404168485,3.10625,3.4187499999999984,2.7642609245726666,4.268008954088641,0.24039902803893543,0.10031356372067603,3.4604166666666667,2.7354166666666644,2.413337827155266,2.1740521023328876,-0.6038254349348504,0.07250277080020362,10.509635416666665,8.101718749999996,8.032467169610147,8.206219509672982,5.950035919232346,4.935837185861313,5.018385416666667,4.61338541666667,4.9504356017834015,5.011707476343164,3.8177059632150594,4.5397945564552895,4.0096875,3.4945833333333343,3.571488424298953,3.814975159797862,1.354331376806294,2.3058906119291303,5.825208333333333,5.600208333333331,5.337650859083638,5.950205126882112,4.569513644598995,3.9377671331583266,8.572291666666667,7.5479166666666595,7.561430579686327,12.900068540158966,5.112476516857737,5.007819798176994,7.3391666666666655,6.3112499999999985,6.386450940613459,6.534805393732309,5.320973548597149,2.5993307003065462,6.5,5.406250000000002,5.432163318109302,5.392863551235187,3.829881687306815,2.384493541891147,6.052457417582418,5.456921703296705,5.397265943045987,5.996319961289748,4.232354239945675,4.4682723220338145,5.65234375,5.254427083333335,4.605291346441144,4.436130456890697,3.540485746692454,3.48689352499439
2012-11-30,POMKH,11.9,3.0,4.125,14.5,3.735,4.433333333333334,4.875,6.15,7.72,6.9,5.985714285714287,6.466666666666666,10.90625,9.779687500000001,10.097636840923272,8.95662933338189,8.743110457426614,9.597524817193623,3.0624999999999996,3.3312499999999985,2.8585565547436,4.229495942025681,2.092625630292865,3.361015281183586,4.101041666666667,3.4916666666666645,3.0980026962931597,2.5053225236128505,0.5571174428898629,2.100430660788671,12.311302083333333,9.701718749999996,10.619480301766089,13.243277919021176,5.0284436954191865,8.113231715618994,5.402760416666666,4.81838541666667,4.464261361070041,4.159956483292308,3.99536302978198,4.252813427102979,4.6102083333333335,3.884166666666667,3.916226387912705,3.917324224183813,2.3126286330627397,2.299844020801779,6.335624999999999,5.735624999999998,5.152590515450183,5.867088913251107,4.315251787456786,4.5192735858694695,8.547916666666667,8.56541666666666,6.996858347811797,7.874286084215674,4.21279789908792,4.495691813744894,7.16625,7.4745833333333325,6.919870564368075,6.795098314815521,4.667650694655152,4.207212370158325,7.196875,6.643750000000002,6.0192979908655815,5.686614559761599,3.626571742753531,4.017690150973143,6.37306456043956,5.773350274725276,5.632645280113307,6.3117453160313035,4.4199814333230885,4.431272912683089,5.8304687500000005,5.577343750000001,5.3498414745313525,4.671719736573968,4.194182195934812,4.411494753930784
2013-02-28,POMRB,10.85,3.925,6.125,14.566666666666668,4.9,4.816666666666666,8.166666666666666,11.0,6.0,6.8,7.002857142857143,6.35,10.9578125,10.659375000000002,10.398582104553963,9.30105099860862,9.189033700985545,7.142051877320967,3.1625,2.8812499999999983,3.28513393284616,4.208797193193338,4.0223713936881795,4.004499497769574,4.729166666666666,3.4291666666666645,4.308801617775896,3.391187063455842,4.204610862798418,6.802671524952769,13.883984374999999,11.31755208333333,12.198354847726321,16.787042662307247,11.5424359190469,10.427622863500872,5.865651041666667,5.21838541666667,4.638556816642025,4.4247724651915155,5.081150458930717,5.289921271443257,4.9571875,4.135208333333334,4.2764024994142895,4.113337080907501,3.5595398082195997,3.4935595053460835,6.6521875,5.914791666666665,6.358220975936776,6.10565110986205,5.756021966295648,5.745446491636731,8.533333333333333,8.57916666666666,8.598115008687078,10.53877238161022,10.172975830622772,10.06995975595684,7.1937500000000005,7.2037499999999985,6.551922338620845,6.659283354256609,6.7642102544739275,7.202476389667115,7.659375,6.356250000000002,6.3315787945193485,5.911439396627776,7.599901133141146,7.953107292474574,6.526889423076923,6.331564560439562,6.180730025210841,7.090260015939995,6.0074523749529005,6.33037900232619,6.012630208333333,5.727343750000001,5.749904884718811,4.867720618928616,5.46900679953334,5.893823738724286
2013-05-31,PREMON,14.05,3.95,7.325,16.05,8.375,7.9,9.85,11.25,10.65,13.625,8.144,7.85,10.003125,11.153125000000003,11.859149262732378,10.007660569676199,10.959338821981731,12.727939766511856,2.878125,3.2437499999999986,3.551080359707696,4.188929759738558,3.373588892137001,2.904482055453297,4.413541666666667,4.7729166666666645,5.515280970665538,4.613759331833997,5.069254391538146,8.499364179050401,14.312916666666668,13.305052083333331,13.739012908635793,19.69882563246464,15.81076052186231,10.457354715785096,6.873125000000001,5.587135416666669,6.133134089985215,6.414388908869799,7.371474820560289,7.565185804172111,4.675000000000001,5.085208333333334,5.725841499648574,5.0765443304169295,6.735397065860459,5.848923672091552,6.454166666666667,6.756458333333331,7.754932585562065,6.506806165928156,8.030795841598941,8.800852716604087,7.94375,8.51666666666666,9.658869005212246,12.057222030810717,10.333619461078067,10.54114647025732,6.935416666666666,7.128749999999999,8.191153403172507,7.568916238617537,10.356759952409302,11.424935258913548,6.86875,8.037500000000003,9.24894727671161,7.315268539637489,8.932471703752263,8.08511839699991,6.565999999999999,6.414564560439561,6.966038015126505,8.303375668648158,8.675881408980903,8.956167409272831,5.798958333333332,5.933593750000002,6.5899429308312865,5.211633574491368,7.393872856688024,7.344431605751584
2013-08-31,MONSOON,6.25,1.4500000000000002,1.1666666666666667,12.735,7.566666666666667,2.1666666666666665,3.3000000000000003,5.8,4.665,1.8,5.4242857142857135,3.7,8.878125,10.762500000000003,9.615489557639428,9.712611418001824,9.185701493572084,9.364448623364702,2.4718750000000003,3.0812499999999985,2.7106482158246177,4.122475395360369,1.0822043793771574,1.1393839247003645,3.8968749999999996,4.685416666666665,3.7758352490659894,4.0508389417901505,0.7655542937453008,1.7837028325255675,14.442083333333334,14.462916666666667,13.337407745181476,18.094659446476516,11.307024244466678,11.209431121975895,7.917916666666668,6.144166666666669,6.706547120657796,6.828753847027491,5.330269454752486,5.63000904276845,4.270833333333334,4.8291666666666675,4.302171566455812,4.56629802021153,2.9708369697930297,2.6742741757338564,6.342708333333333,6.547916666666664,5.972959551337239,6.25840374180747,5.028275328665222,5.612896524207214,6.9125000000000005,8.549999999999994,8.115321403127346,6.952164153075679,5.969143393233949,6.4158199169796255,6.6120833333333335,7.25875,6.780692041903505,7.092077547025775,5.63319533489371,3.3254681810754465,6.8375,7.281250000000003,6.269368366026965,6.364517294349991,7.0869311951562235,6.431798136581962,6.4709007936507925,6.639214285714286,6.349337094790188,7.334918737163419,5.220527288385589,5.392030636899727,5.437499999999999,6.091666666666669,5.433965758498772,5.047103450849166,4.509408558726431,3.5607669281928382
2013-11-30,POMKH,5.825,1.375,1.95,13.3,9.566666666666668,3.2,4.125,1.3,5.133333333333334,3.6,5.4,4.125,8.01875,9.243750000000004,8.099293734583657,9.380478820631525,9.821520720308031,10.095050929319278,2.553125,2.6749999999999985,2.1763889294947707,4.0552167293664185,2.441913390654124,3.0607219694351144,4.092708333333333,4.141666666666665,3.045501149439594,3.6751917548450916,2.369009691225361,3.74987797029599,14.499375,14.162916666666668,13.322444647108886,16.42042892568403,10.126321577580415,14.495225090249091,8.332708333333334,7.602083333333336,7.850594939061345,8.0858777512601,5.968613027689513,5.793009930214046,3.6566666666666667,4.520833333333334,3.8613029398734873,4.310629265924686,3.6951319315732953,3.4407436216711558,6.23125,6.360416666666664,5.233775730802344,6.088939120973159,4.8813299372263135,3.889186748012342,6.518750000000001,7.337499999999993,5.389192841876408,1.9195164750913676,5.313612479556794,6.047020984933822,6.180833333333333,6.612083333333334,6.121748558475437,6.723486809356844,5.026032029055395,5.841449847019861,7.00859375,6.4562500000000025,5.201621019616179,5.900342977357051,4.542588557368825,3.6343430885714856,6.592126984126985,6.492785714285715,5.969602256874113,6.428964869776158,5.372200053918163,4.881943426590746,5.2625,5.506250000000002,4.910379455099263,4.949120759223405,5.061759040205183,5.111270645894976
2014-02-28,POMRB,7.925,2.3,4.166666666666666,16.799999999999994,7.426666666666668,2.8166666666666664,8.025,7.6,6.0,9.85,6.8277777777777775,5.8,7.915625,8.512500000000003,8.029576240750195,9.321127351596653,9.074520272781351,8.080975434274732,3.36875,2.268749999999998,2.225833357696862,4.005951971037392,3.7371546613337445,3.6909320357906963,4.768749999999999,3.652083333333332,3.4939673563304225,3.8916481855257796,5.035933635856495,5.297576301107268,13.812708333333331,14.72125,14.713466788265329,17.31579808770235,14.391136032259874,12.331119810166754,8.304583333333333,8.233750000000004,7.681023630103474,7.46795065379499,9.538492285997929,9.373803073098049,3.7551041666666665,4.020833333333334,3.4434484305907587,3.9713235201968193,4.284290436475304,4.135321330643144,6.521249999999999,6.3249999999999975,6.350265438481406,6.300583215544421,6.592565871619729,6.245075853686792,6.7125,6.487499999999994,6.273515705125845,7.078651328562625,9.982409185437476,9.542408743980104,5.710208333333333,6.612083333333334,6.073049135085262,6.560265156214608,6.468326243344828,6.110878672801412,8.1859375,7.218750000000003,7.060972611769707,6.632355242283872,6.944801198930322,6.169804152063248,6.942010073260073,6.449015873015873,6.3128724652355785,6.5760969114775145,6.342355622773461,6.325429106542572,5.210416666666666,5.368750000000002,5.266227673059557,5.051782090930399,5.370410744593215,4.8030958487056115
