Date,Season,Farukhnagar,Pataudi,Sohana,Gurgaon,Farukhnagar_Trend,Farukhnagar_SMA,Farukhnagar_EWMA,Farukhnagar_DES,Farukhnagar_TES,Farukhnagar_ARIMA,Pataudi_Trend,Pataudi_SMA,Pataudi_EWMA,Pataudi_DES,Pataudi_TES,Pataudi_ARIMA,Sohana_Trend,Sohana_SMA,Sohana_EWMA,Sohana_DES,Sohana_TES,Sohana_ARIMA,Gurgaon_Trend,Gurgaon_SMA,Gurgaon_EWMA,Gurgaon_DES,Gurgaon_TES,Gurgaon_ARIMA
2001-02-28,POMRB,14.86,18.433333333333334,10.063333333333333,23.954,16.3428125,16.001875000000002,16.54873183789014,15.988560312082031,18.800762343604063,17.8554409312023,18.444895833333334,17.9778125,18.174546133026944,19.638773168095707,19.67037607420216,16.921768045756096,9.805833333333332,9.215000000000003,9.14367982458998,9.71231674726958,8.41301024188594,9.087021767794479,21.104958333333336,19.243499999999997,18.898672528130703,18.9855825069983,15.109348909954502,15.124302414440624
2001-05-31,PREMON,15.6,19.05,10.873333333333333,27.18333333333333,15.7378125,16.1575,16.169239102734085,15.639633519796224,15.590867631131974,16.271947526823368,18.726406249999997,18.3053125,18.524727679816166,19.692039789160855,18.475055856376468,18.86034982395555,9.801458333333333,9.684583333333336,9.835541228087322,10.514898061201599,10.190913485834518,9.172098271572235,24.417666666666666,20.12808333333333,22.212536850211755,22.095630373734984,19.983698462570413,21.69025189522153
2001-08-31,MONSOON,15.1925,18.756666666666664,10.546666666666667,27.42,15.0775,16.528124999999996,15.778543461640453,15.263435039091146,15.791340743294148,15.916732885222519,18.989166666666666,18.584479166666664,18.617503274556366,19.696351996109197,17.22071455382796,19.654652252027933,9.607291666666667,9.927083333333336,10.119991403519059,10.896733815192022,10.074472152093266,9.897388762697869,27.1655,22.08183333333333,24.295522110127052,24.171018161456438,23.31218529371081,23.21295737887429
2001-11-30,POMKH,14.1375,19.233333333333334,7.22,28.45666666666667,15.285416666666665,14.947499999999996,15.122126076984273,14.537521105044735,15.391336021615384,15.533878399581276,19.272499999999997,18.868333333333332,18.863835298067155,19.76791712998522,18.976019945637177,16.541579307471082,10.255416666666667,9.675833333333335,8.959994842111435,9.67494585933656,10.805088972377341,10.517233119331891,27.267083333333336,26.7535,25.9599799327429,25.87777842291626,24.387395800712078,23.249390149582595
2002-02-28,POMRB,15.9,19.4,9.515,27.25,15.536354166666667,15.207499999999996,15.433275646190562,15.112949523290238,15.726610054433998,14.795704609298369,19.684583333333332,19.11,19.07830117884029,19.853516027241636,19.46283263288242,19.514212755772547,11.779166666666665,9.538750000000002,9.18199690526686,9.80375015892079,8.96074684743313,9.767707706487787,26.66479166666667,27.5775,26.475987959645742,26.527245618861954,24.764678994443496,26.215438932403394
2002-05-31,PREMON,16.223333333333333,20.35,16.606666666666666,24.70000000000001,16.000104166666667,15.363333333333328,15.74929872104767,15.551935119246139,14.703240235439793,15.37947324564408,19.650312500000002,19.435,19.586980707304175,20.062729020249357,19.843342608442505,19.723868846415765,13.777083333333334,10.972083333333334,12.151864809826783,13.037727429953682,10.261318371429365,8.846104296042906,26.79770833333334,26.95666666666667,25.765592775787447,26.008660647763374,27.38193007631121,28.700112861296866
2002-08-31,MONSOON,16.576666666666668,20.753333333333334,17.003333333333334,25.085,16.44291666666667,15.709374999999993,16.080245899295267,15.942327689928717,15.706734970252594,15.825566797065981,19.616041666666668,19.934166666666666,20.05352175771584,20.301028210878865,19.303714627286407,19.43895240729004,15.770416666666666,12.58625,14.092452219229404,15.478816073166419,12.432721279953432,10.939544368140414,27.804687500000004,26.372916666666672,25.493355665472468,25.818050977893574,27.203181894593776,26.62224516296409
2002-11-30,POMKH,16.463333333333335,16.9625,16.746666666666666,31.855000000000004,16.740000000000002,16.290833333333325,16.233480872910494,16.067056779153177,16.08733030334805,16.222624097429833,19.880208333333332,19.36645833333333,18.817113054629502,19.967586973967965,20.077043376317185,19.971772505005184,16.682499999999997,14.967916666666667,15.154137998204309,17.02676494331428,14.97442545199156,14.629947842640986,29.341875,27.222500000000004,28.038013399283482,28.17554016072911,26.068617595124117,24.542634211101195
2003-02-28,POMRB,17.116666666666667,21.396666666666665,15.935,31.9075,16.855833333333337,16.59499999999999,16.586755190412966,16.4656646083477,17.28880553831178,16.3498713028265,19.952708333333334,19.865624999999994,19.84893449944437,20.310317841709907,19.73114455905709,19.782980114043692,16.002916666666668,16.572916666666668,15.466482798922586,17.660756597176054,15.5860964323525,16.78434143588649,31.079687500000002,28.386875000000003,29.58580803957009,29.702258629701213,27.055350176937548,29.393006162072503
2003-05-31,PREMON,17.383333333333333,20.466666666666665,17.48333333333333,32.34,16.822916666666668,16.88499999999999,16.90538644758111,16.791966739377173,16.081799502876507,16.755225782863565,20.494479166666665,19.894791666666663,20.09602736633329,20.474312697084063,20.845026214286516,20.2428714551094,14.540416666666665,16.792083333333334,16.273223012686884,18.70171703208159,17.20143266056112,17.094601624230712,31.76229166666667,30.296875,30.687484823742054,30.836909775324635,30.512652904739706,30.443563876716787
2003-08-31,MONSOON,16.343333333333334,21.216666666666672,10.69,31.3475,16.767083333333332,16.826666666666657,16.680565201882,16.404410154116487,16.969137798801817,17.08726510069791,21.145416666666666,20.010624999999997,20.544283086466642,20.72284901931749,20.863403127877838,20.27249435553787,13.307708333333334,15.213750000000001,14.03993380761213,16.303098804684026,17.256113452408172,16.983440878950812,31.574895833333333,31.862499999999997,30.951490894245232,31.19897718480882,31.934369311730855,31.216681999458583
2003-11-30,POMKH,16.433333333333334,20.83333333333333,11.36,31.05333333333333,15.835833333333333,16.819166666666657,16.581672454462534,16.268875572032545,16.55480282252588,16.693997106440737,21.622083333333332,20.97833333333333,20.659903185213317,20.883195719053948,17.993457292179627,18.86452339295789,12.027916666666666,13.867083333333333,12.967960284567276,14.842443340993869,15.397676927418551,15.333216844460338,30.585833333333333,31.66208333333333,30.992227869880473,31.32276788638128,31.34330931901949,32.497944892415475
2004-02-29,POMRB,16.7,22.73333333333333,11.46,31.21,14.045,16.71499999999999,16.629003472677518,16.343843496630594,17.491889194231725,16.55620124434359,22.025416666666665,21.3125,21.48927524446132,21.29223914815685,22.305051647156944,21.364742338043705,11.424999999999999,12.748333333333335,12.364776170740367,13.823551621672276,13.478327037209985,12.603124099931247,29.866770833333334,31.48770833333333,31.079336721928286,31.45930155037637,30.17337774771598,31.78592204109442
2004-05-31,PREMON,10.35,22.94333333333333,11.72,25.125,13.14875,14.956666666666655,14.11740208360651,13.075323161662483,15.955508013485703,16.63221822694135,22.294583333333332,21.931666666666665,22.070898480010126,21.67581051802913,21.656713124270343,21.102726105732238,12.665000000000001,11.307500000000001,12.106865702444221,13.201745616026596,13.81253807076019,11.259309804062246,30.23,29.68395833333333,28.697602033156972,29.31810083056807,32.276446408299776,31.20939767648335
2004-08-31,MONSOON,9.05,21.96666666666667,11.63,32.81,13.214166666666667,13.133333333333322,12.090441250163908,10.860993125764992,13.172000441155898,13.31122096620154,22.499166666666667,22.119166666666665,22.02920575467274,21.868477369777192,22.519959019497342,22.159056528464014,14.585,11.542500000000002,11.916119421466533,12.71516607775754,12.511644382023759,11.09231360065926,30.574791666666666,30.04958333333333,30.342561219894186,30.7633887858201,30.51134583664721,28.9642165532193
