Date,Season,Rajnagar,Amarpur,Bagafa,Matarbari,Karbuk,Hrishimukh,Killa,Rajnagar_Trend,Rajnagar_SMA,Rajnagar_EWMA,Rajnagar_DES,Rajnagar_TES,Rajnagar_ARIMA,Amarpur_Trend,Amarpur_SMA,Amarpur_EWMA,Amarpur_DES,Amarpur_TES,Amarpur_ARIMA,Bagafa_Trend,Bagafa_SMA,Bagafa_EWMA,Bagafa_DES,Bagafa_TES,Bagafa_ARIMA,Matarbari_Trend,Matarbari_SMA,Matarbari_EWMA,Matarbari_DES,Matarbari_TES,Matarbari_ARIMA,Karbuk_Trend,Karbuk_SMA,Karbuk_EWMA,Karbuk_DES,Karbuk_TES,Karbuk_ARIMA,Hrishimukh_Trend,Hrishimukh_SMA,Hrishimukh_EWMA,Hrishimukh_DES,Hrishimukh_TES,Hrishimukh_ARIMA,Killa_Trend,Killa_SMA,Killa_EWMA,Killa_TES,Killa_ARIMA
1996-02-29,POMRB,5.378181818181819,2.2350000000000003,4.19,1.66,4.282727272727273,4.2,2.9,,,5.378181818181819,4.842844029242972,4.7860866513312885,0.0,,,2.2350000000000003,3.243196458561968,2.23518127275009,0.0,,,4.19,3.3251319938557558,4.0995184713608985,0.0,,,1.66,1.648378471551561,1.704390917976079,0.0,,,4.282727272727273,4.224015530479926,4.090799977369581,0.0,,,4.2,2.0191678087184726,3.9833530926660528,0.0,2.9,,2.9,2.9,0.0
1996-05-31,PREMON,5.874545454545455,4.775,2.89,1.83,4.521111111111111,2.66,,,,5.576727272727274,4.84753377641961,6.402925594010897,3.301146995674679,,,3.2510000000000003,5.661949032193138,4.77502754483311,2.2349892488661407,,,3.6700000000000004,3.2292775858519644,3.1473687901977327,4.1899989336139525,,,1.728,1.6884100278049172,1.8449551648894684,1.6599988177249994,,,4.378080808080808,4.3290045585573,4.53840888953878,4.282725625101027,,,3.584,1.4728405382908991,3.378364312435113,4.1999942236063275,,,,,
1996-08-31,MONSOON,2.195555555555555,1.63,2.1303846153846155,1.015,3.3310000000000004,3.473749999999999,,4.086843434343434,,4.2242585858585855,4.84254521506472,3.0394702625826984,3.937147857543942,3.71125,,2.6026000000000002,6.061102855000125,1.6300572179115307,3.505333672253599,3.095096153846154,,3.054153846153846,2.9949164012974423,2.154737441388274,3.3590683813817463,1.53375,,1.4427999999999999,1.5502113091184493,0.8649306243771409,1.7459764384454068,4.021891414141415,,3.959248484848485,3.971052718862486,4.524766465498855,4.414647288531193,3.6084374999999995,,3.5398999999999994,1.4726345822706803,2.7104019661876078,3.426320630422009,,,,,
1996-11-30,POMKH,3.4581818181818176,5.2,3.29,1.56,3.952727272727273,4.1,,3.9553661616161615,4.226616161616161,3.9178278787878784,4.840885740274178,3.250990322728553,2.95658354159034,4.086250000000001,3.46,3.64156,8.210925230072123,5.199982976071247,2.879659474109462,3.075096153846154,3.1250961538461537,3.1484923076923073,3.0059517471481496,3.0942263209498013,2.8946668659979293,1.58625,1.5162499999999999,1.48968,1.554285239353508,1.5092197691262166,1.4777303791935612,4.021891414141415,4.021891414141415,3.95664,3.9633720178709733,3.5516606091502907,3.9355379491640017,3.7884374999999997,3.6084374999999995,3.76394,1.7908407098387764,3.319390818326356,3.44237821869337,,,,,
1997-02-28,POMRB,4.259999999999999,4.245,3.95,1.8,4.282727272727273,4.2,2.9,4.111092171717171,3.947070707070706,4.054696727272727,4.841337020868743,4.568256765109624,5.048391275754868,4.192500000000001,3.9625000000000004,3.882936,9.448057782963643,2.235146576571151,3.2116708584234415,3.0850961538461545,3.065096153846153,3.4690953846153842,3.1515854331442927,4.124191141544581,3.3750509887979807,1.6131249999999997,1.5512499999999998,1.6138080000000001,1.6075574957048904,1.8150597764662662,1.5662819933829795,4.255516414141415,4.021891414141415,4.0870749090909095,4.076391585843183,3.978513245734415,4.037842580455033,3.9684374999999994,3.6084375,3.938364,2.1935947784386025,4.481404510384016,3.962542056729678,2.9,,2.9,2.9,0.0
1997-05-31,PREMON,5.9409090909090905,5.7650000000000015,2.97,2.11,4.521111111111111,4.1,,4.279166666666666,3.963661616161615,4.809181672727273,4.846204507456594,5.832704936199765,5.108429781713818,3.748125000000001,4.210000000000001,4.6357616,11.08422670523988,4.886367508410278,3.87623063395916,3.085096153846154,3.085096153846153,3.2694572307692304,3.100791386052888,2.9933002232097956,2.8830980357796947,1.6075,1.6212499999999999,1.8122848,1.7144299554555165,1.9736123026171974,1.8110997506831426,4.4891414141414145,4.021891414141415,4.260689389898991,4.234188250149229,4.3947912537337634,4.297740131278762,3.9684374999999994,3.9684374999999994,4.0030184,2.585002103677189,3.6166495478023575,3.071339866711556,,,,,
1997-08-31,MONSOON,3.375,1.49,2.1303846153846155,0.95,5.2,3.473749999999999,,4.328873106060605,4.258522727272727,4.235509003636364,4.8443183206992,2.718403760834217,2.4389097794950843,3.0612500000000002,4.175000000000001,3.3774569600000004,9.957598388001077,1.79564133448033,3.473030319887057,3.1000961538461542,3.085096153846153,2.8138281846153843,2.8929386060298166,2.1364501413028116,2.5724557884967387,1.72375,1.605,1.4673708799999998,1.5572867781952469,1.089941442691499,1.3203022596003475,4.4891414141414145,4.4891414141414145,4.636413633939394,4.578195323738239,4.032349215052822,3.6867099670669243,3.9684374999999994,3.9684374999999994,3.79131104,2.7679177720767836,3.467461752560569,3.652919693452515,,,,,
1997-11-30,POMKH,3.623333333333333,1.785,3.29,1.58,3.952727272727273,4.1,,4.33360321969697,4.299810606060606,3.9906387355151516,4.843088907246055,3.5172121775688754,4.120478107663323,2.5968750000000003,3.321250000000001,2.740474176,8.767208314411715,5.356647466697889,3.977769512399023,3.110096153846154,3.0850961538461537,3.0042969107692308,2.928372900458339,3.14231168292275,3.0677639808570754,1.87,1.6099999999999999,1.512422528,1.5640648830082138,1.6079917467773057,1.543245303285934,4.4891414141414145,4.4891414141414145,4.362939089454546,4.353329220364334,4.436713336918558,4.656065896053569,3.878437499999999,3.968437499999999,3.9147866239999995,3.16413738469716,3.9942776648209644,4.0075511579827205,,,,,
1998-02-28,POMRB,4.4925,2.165,4.07,2.71,4.282727272727273,4.2,2.9,4.225208333333333,4.3579356060606065,4.191383241309091,4.844146277678351,4.794920470308917,4.638778625214893,2.3978124999999997,2.8012500000000005,2.5102845056000005,7.675124876593216,2.4126681725621086,3.109772538873973,3.105096153846154,3.115096153846154,3.4305781464615386,3.1202835291067275,4.0549701961355,3.7544430452051705,1.9187500000000002,1.8374999999999997,1.9914535168,1.8050550589897634,1.8690791199740264,1.6936902907346636,4.4891414141414145,4.4891414141414145,4.3308543627636364,4.326854357777244,4.517437043194299,4.604277428722282,3.7884374999999992,3.9684374999999994,4.0288719743999994,3.566122561630624,4.840289411218739,4.162702909724924,2.9,,2.9,2.9,0.0
1998-05-31,PREMON,5.74625,4.13,2.93,2.37,4.521111111111111,3.38,,4.134618055555555,4.309270833333334,4.813329944785455,4.848495991215263,6.061652923933078,5.635800772341847,4.582916666666667,2.3925,3.1581707033600006,7.498395981292625,4.816994647902822,4.130819009676181,3.1050961538461537,3.1050961538461537,3.230346887876923,3.0801470389704035,3.0244957786401767,2.93832275184064,2.04,1.9024999999999999,2.14287211008,1.925218902989341,2.3621110944714223,2.297432894159548,4.4891414141414145,4.4891414141414145,4.406957062102626,4.39505616007317,4.6825563597687765,4.629464524593865,3.7884374999999997,3.7884374999999992,3.7693231846399993,3.6363691075328077,4.089554499633503,3.5061608946381435,,,,,
