Date,Season,Faridabad,Ballabgarh,Faridabad_Trend,Faridabad_SMA,Faridabad_EWMA,Faridabad_DES,Faridabad_TES,Faridabad_ARIMA,Ballabgarh_Trend,Ballabgarh_SMA,Ballabgarh_EWMA,Ballabgarh_DES,Ballabgarh_TES,Ballabgarh_ARIMA
1996-02-29,POMRB,5.43,11.585,,,5.43,7.609641200743278,5.4399999999999995,0.0,,,11.585,11.361845054355975,6.126397464221288,0.0
1996-05-31,PREMON,7.38,3.83,,,6.209999999999999,7.674019183229291,7.398171745152353,5.42986562129286,,,8.483,7.990651223272997,8.193579017457242,11.58491530997743
1996-08-31,MONSOON,7.17,1.99,9.595105263157897,,6.593999999999999,7.7023258085099195,7.19460017955663,6.423885312565829,4.265625,,5.885800000000001,5.318128973019607,6.767437967494708,6.321335292332651
1996-11-30,POMKH,18.755421052631586,3.45,9.451355263157897,9.683855263157895,11.458568421052634,9.284292885727044,18.784821349758552,6.688382847941047,3.30125,5.21375,4.91148,4.450591092200844,5.554552989021124,4.479228104092932
1997-02-28,POMRB,4.72,4.0,9.382605263157897,9.506355263157895,8.76314105263158,8.787042394287996,5.457972687894941,8.595746541983155,3.8354166666666667,3.3175,4.546888,4.2015815954608415,4.522612778406046,4.676205215380699
1997-05-31,PREMON,6.94,3.7,8.031094298245614,9.396355263157893,8.033884631578948,8.648773826457782,7.27713303188762,8.636249538451894,4.515833333333334,3.2849999999999997,4.2081328000000005,3.9338399183007278,4.568431592356278,4.692272019405867
1997-08-31,MONSOON,7.0600000000000005,6.3933333333333335,6.870833333333334,9.368855263157894,7.644330778947369,8.543486653299148,6.992004648022542,8.247864785251696,5.650833333333334,4.385833333333333,5.082213013333334,4.938749043072182,4.323482056542151,4.381889994047535
1997-11-30,POMKH,8.053333333333333,4.49,7.103333333333334,6.693333333333331,7.807931800701754,8.58453915131156,18.568731439300716,12.468330841291154,6.8845833333333335,4.645833333333333,4.845327808,4.684402245761652,5.424651098275314,5.648423003719483
1998-02-28,POMRB,6.14,12.04,7.144583333333333,7.04833333333333,7.140759080421052,8.36343093614322,2.9632946051679045,6.577550237454031,6.840416666666667,6.655833333333333,7.7231966847999995,7.778648373540982,4.788081387860297,4.814551394806165
1998-05-31,PREMON,7.38,5.53,7.0275,7.1583333333333306,7.236455448252631,8.335932063249293,5.400764529141983,7.154423226054345,6.49375,7.113333333333332,6.84591801088,6.71711538569175,7.461317414327041,8.636653208506917
1998-08-31,MONSOON,6.95,4.21,6.962916666666667,7.13083333333333,7.121873268951578,8.253991818310634,5.541361356641811,7.286799818433365,6.4506250000000005,6.567499999999998,5.791550806528,5.55811167115069,6.85716365599453,5.976316773830323
1998-11-30,POMKH,7.2266666666666675,3.9,6.891666666666667,6.924166666666663,7.163790628037614,8.21922370772062,12.218085430268632,5.679974761992787,6.74,6.419999999999998,5.0349304839168,4.777587476294117,6.364208807357933,5.212917460695365
1999-02-28,POMRB,6.45,12.285,7.4132291666666665,7.001666666666663,6.878274376822568,8.084307348147531,4.009809171926836,7.382517414996464,8.095,6.4812499999999975,7.93495829035008,7.935740739459114,5.210722250061565,4.857094394505469
1999-05-31,PREMON,6.5,7.6,8.148124999999999,6.781666666666664,6.72696462609354,7.972555612408376,5.784622941616591,7.481954651464687,10.4175,6.998749999999998,7.800974974210048,7.692220435918775,7.823924219741109,8.945522235678435
1999-08-31,MONSOON,12.0025,12.98,8.301458333333333,8.044791666666663,8.837178775656124,8.613975191069215,5.444729749400052,7.0645180207102465,11.391093750000001,9.191249999999998,9.872584984526029,9.862327078616731,7.796787138380777,7.212535108590194
1999-11-30,POMKH,8.053333333333333,13.71,8.603958333333333,8.25145833333333,8.523640598727008,8.646436082050514,10.020589444588326,8.796834494929065,11.250937500000001,11.643749999999999,11.407550990715617,11.387882394427821,9.950122465880346,10.029032578453348
2000-02-29,POMRB,6.85,10.26375,9.163645833333334,8.35145833333333,7.854184359236204,8.513209303690374,6.003164293150791,7.645652937043307,11.3940625,11.138437499999998,10.95003059442937,10.76308308956199,10.90007735917399,10.97818302175411
2000-05-31,PREMON,8.52,8.5,9.264166666666668,8.856458333333329,8.120510615541722,8.620673415242535,6.862770709972082,7.400527279024555,11.3334375,11.363437499999998,9.970018356657622,9.657904649126335,10.907466120968653,9.75773349890622
2000-08-31,MONSOON,14.46,13.225,9.99,9.47083333333333,10.656306369325034,9.513390505728127,9.615913598915553,10.27429384541259,11.602968750000002,11.424687499999997,11.272011013994574,11.065753691093263,10.142397029646554,8.958740310678408
2000-11-30,POMKH,6.4,12.98,11.7825,9.057499999999996,8.953783821595021,9.214012447182958,10.01717099571264,8.801333204965474,12.686250000000001,11.242187499999998,11.955206608396743,11.747424699203897,11.585827372801246,11.274363578955754
2001-02-28,POMRB,14.31,13.15,12.6596875,10.922499999999996,11.096270292957012,10.01424908112256,7.165239960901065,8.280411632724467,13.0859375,11.963749999999997,12.433123965038046,12.201207805328862,11.736287932618099,11.53086916580152
2001-05-31,PREMON,15.4,14.28,13.866458333333334,12.642499999999995,12.817762175774206,10.86344643410043,9.653154223351947,10.19278723565695,12.171875,13.408749999999998,13.171874379022828,12.939161648699784,12.436491297003531,11.900583456868748
2001-08-31,MONSOON,14.5975,10.642499999999998,15.113958333333333,12.676874999999994,13.529657305464523,11.501279940950486,14.913575219547726,12.654319341553627,10.384375,12.763124999999997,12.160124627413696,11.792277327132323,13.108046982326174,12.719895394114147
2001-11-30,POMKH,15.916666666666664,8.25,15.6609375,15.05604166666666,14.48446104994538,12.238669523729216,10.715444830128863,10.288341579125195,9.244375,11.580624999999998,10.596074776448217,10.125843736739638,12.676469823289812,11.173271104524543
2002-02-28,POMRB,14.773333333333332,3.58,16.6655625,15.171874999999993,14.600009963300561,12.732514243128088,14.796836150679306,15.029654539529405,9.534812500000001,9.188124999999998,7.78964486586893,7.19282103332032,10.85983353905567,9.851806788941332
2002-05-31,PREMON,19.3125,14.730000000000002,17.490291666666664,16.14999999999999,16.485005977980336,13.776241694618555,15.755227101468606,15.106864907771731,10.40075,9.300624999999998,10.56578691952136,10.33342014294208,8.622037142847432,7.161867359039142
2002-08-31,MONSOON,18.722,12.515999999999998,18.330291666666668,17.181124999999994,17.379803586788203,14.61338804099238,18.007906008693336,14.781907687125786,12.702083333333334,9.768999999999998,11.345872151712815,11.139306220829486,10.734772969296339,12.137186106312852
