Date,Season,Newali,Thikri,Sendhawa,Barwani,Rajpur,Newali_Trend,Newali_SMA,Newali_EWMA,Newali_DES,Newali_TES,Newali_ARIMA,Thikri_Trend,Thikri_SMA,Thikri_EWMA,Thikri_TES,Thikri_ARIMA,Sendhawa_Trend,Sendhawa_SMA,Sendhawa_EWMA,Sendhawa_TES,Sendhawa_ARIMA,Barwani_Trend,Barwani_SMA,Barwani_EWMA,Barwani_DES,Barwani_TES,Barwani_ARIMA,Rajpur_Trend,Rajpur_SMA,Rajpur_EWMA,Rajpur_DES,Rajpur_TES,Rajpur_ARIMA
1996-02-29,POMRB,7.05,8.78,8.35,8.4,7.789999999999999,,,7.05,7.068252542313431,9.029748532927767,0.0,,,8.78,8.79,0.0,,,8.35,7.691210615860676,0.0,,,8.4,11.061475161735254,6.494890826560928,0.0,,,7.789999999999999,6.270942821934217,7.0892229505260485,0.0
1996-05-31,PREMON,6.67,10.95,10.5,11.85,9.83125,,,6.898,7.076507182413598,10.300433323119407,6.043330169960381e-08,,,9.648,10.969445983379503,8.779293237408663,,,9.21,10.956717230942555,8.349956168829747,,,9.780000000000001,14.125874835638879,11.889322984146421,8.399849540428821,,,8.6065,6.757048652534818,10.470608728690884,1.0693242118142224e-08
1996-08-31,MONSOON,4.0,7.585,2.65,3.45,5.16375,5.46625,,5.7387999999999995,7.079139076580691,4.096192477007533,1.2296568792954933e-07,8.394375,,8.822799999999999,7.613340942749061,9.850527268284559,6.5125,,6.586,3.1728248936401733,9.655679407088748,6.31625,,7.248,12.142201068921915,3.75763365410027,10.264013661501064,7.0482812500000005,,7.2294,6.092892528256623,4.766277460566987,1.7923225893899648e-08
1996-11-30,POMKH,4.22,6.8500000000000005,5.15,3.3,5.609999999999999,5.47,5.484999999999999,5.131279999999999,7.082231562179266,7.894569646186236,1.7912759917378749e-07,8.251875,8.54125,8.03368,6.886689239595708,9.133397171453979,6.5062500000000005,6.6625,6.0116,5.5815986450844886,6.019632575921554,5.63125,6.75,5.6688,10.186333852141626,5.501220207036807,7.453075000340295,6.941718750000001,7.09875,6.581639999999999,5.667968190317118,6.101058057418602,2.1402631313516836e-08
1997-02-28,POMRB,6.9,7.604999999999999,7.15,4.93,7.38625,5.208749999999999,5.447499999999999,5.838768,7.090958556687027,9.05481426378327,5.503528888696423,8.065624999999999,8.247499999999999,7.862208,8.824495520155146,8.60385749020491,6.5874999999999995,6.362499999999999,6.46696,7.7309187065750224,6.789364603646672,5.170000000000001,5.8825,5.373279999999999,9.216515103284731,6.7108068885658945,7.485147463842811,6.7696875,6.9978125,6.903484,5.79360392313594,7.107394667384261,7.634017395239927
1997-05-31,PREMON,6.85,10.985,11.65,9.84,9.3825,5.10625,5.492499999999998,6.2432608,7.099573252562188,10.325499052469956,5.206884779697082,7.8575,8.256249999999998,9.1113248,10.936670790047595,8.818195717302672,6.641249999999999,6.649999999999999,8.540176,10.416799993069684,7.675411986929553,4.94125,5.380000000000001,7.159967999999999,10.614511097513423,12.105239039901605,9.273112531392897,6.654531250000001,6.885625,7.8950904,6.480201723416411,10.42612911148821,9.634394546325694
1997-08-31,MONSOON,1.73,6.06,2.15,1.77,4.23625,5.151250000000001,4.924999999999998,4.4379564799999995,7.09741164826249,4.121258207689977,3.1225696043351325,7.789999999999999,7.874999999999998,7.89079488,7.580707608344372,8.483092151774466,6.722499999999999,6.524999999999999,5.9841056,2.958012070218235,3.726273451650515,4.848749999999999,4.960000000000001,5.0039808,7.876197796862097,3.973549706081222,4.7497403003721095,6.50796875,6.6537500000000005,6.4315542400000005,5.825596349186174,4.661767563358438,5.060353957130449
1997-11-30,POMKH,5.67,6.71,6.08,3.15,5.61625,4.9087499999999995,5.287499999999998,4.930773888,7.10353909356372,7.9196353571391285,3.294310931141388,7.442500000000001,7.839999999999998,7.418476928,6.7679511096841765,8.125297521170312,6.675000000000001,6.7574999999999985,6.022463360000001,5.335387777661607,5.0715363224363,4.79125,4.9225,4.26238848,6.37362142835549,5.717136255803071,4.2805948764886,6.362968749999999,6.655312500000001,6.105432544,5.6053045530837435,5.87434201201096,5.497668496542807
1998-02-28,POMRB,5.81,7.205,6.87,4.34,6.2075,5.185625,5.014999999999997,5.2824643328,7.109956004672389,9.079879986985622,6.1431983750302575,7.307083333333334,7.739999999999998,7.3330861568,8.696902819975914,8.19203706796768,6.800000000000001,6.687499999999998,6.361478016,7.680709738589274,8.050168039441154,5.61625,4.775,4.2934330880000005,5.754292182724624,6.92672293671172,6.028709476115405,6.675225694444444,6.360625,6.1462595264,5.588439170419415,6.915271848521966,7.390264136338637
1998-05-31,PREMON,6.0,8.605,11.55,9.97,9.40125,5.538125,4.802499999999997,5.56947859968,7.116767313664339,10.350564766086638,5.949058119577535,7.816666666666666,7.145,7.84185169408,10.78649581133127,8.928014093590837,6.733750000000001,6.6625,8.4368868096,10.851409380638671,9.945106163505677,6.74,4.8075,6.564059852800001,7.7838002738164285,12.321155086680928,8.908329478687078,6.92546875,6.3653125,7.44825571584,6.441248586776519,10.087501605502208,9.369941784332122
1998-08-31,MONSOON,4.795,7.3566666666666665,3.25,8.24,6.715555555555557,5.658125,5.568749999999997,5.259687159808,7.121038495127963,4.14632391378415,2.5557780881711016,8.731875,7.469166666666667,7.647777683114667,7.298467878982988,7.678287699837549,6.6025,6.9375,6.36213208576,2.685431390815647,3.196667896547016,7.408750000000001,6.425,7.23443591168,8.481558955958326,4.1894657527148675,3.538538602370645,6.896805555555556,6.985138888888891,7.155175651726223,6.546687226544187,4.376207194281392,4.430198485522301
1998-11-30,POMKH,5.4250000000000025,9.49,4.45,5.67,5.138888888888889,6.289375000000001,5.507499999999997,5.325812295884801,7.12663131100333,7.94470108936612,4.332421616219346,9.753958333333333,8.164166666666667,8.3846666098688,6.558783059217051,7.644568450849187,6.6875,6.530000000000001,5.5972792514559995,5.7976227297121845,5.746125805835828,7.728750000000002,7.055,6.6086615470079995,7.794213058667613,5.933052313041047,4.5512994400725635,7.1391840277777785,6.865798611111112,6.3486609465912895,6.226264334452807,5.99933775264924,5.533040424072695
