Date,Season,Sitarganj,Kashipur,Rudrapur,Bazpur,Khatima,Jaspur,Gadarpur,Sitarganj_Trend,Sitarganj_SMA,Sitarganj_EWMA,Sitarganj_DES,Sitarganj_TES,Sitarganj_ARIMA,Kashipur_Trend,Kashipur_SMA,Kashipur_EWMA,Kashipur_DES,Kashipur_TES,Kashipur_ARIMA,Rudrapur_Trend,Rudrapur_SMA,Rudrapur_EWMA,Rudrapur_DES,Rudrapur_TES,Rudrapur_ARIMA,Bazpur_Trend,Bazpur_SMA,Bazpur_EWMA,Bazpur_DES,Bazpur_TES,Bazpur_ARIMA,Khatima_Trend,Khatima_SMA,Khatima_EWMA,Khatima_DES,Khatima_TES,Khatima_ARIMA,Jaspur_Trend,Jaspur_SMA,Jaspur_EWMA,Jaspur_DES,Jaspur_TES,Jaspur_ARIMA,Gadarpur_Trend,Gadarpur_SMA,Gadarpur_EWMA,Gadarpur_DES,Gadarpur_TES,Gadarpur_ARIMA
1996-02-29,POMRB,2.2768181818181814,4.28625,3.8348774509803927,2.9524722222222226,4.853166666666667,5.132999999999999,2.3224242424242423,,,2.2768181818181814,1.9122739141686063,2.26515599048416,0.0,,,4.28625,4.458785837314219,4.908569262771425,0.0,,,3.8348774509803927,5.810784146902981,3.9228000770186555,0.0,,,2.9524722222222226,1.9557909942210567,2.870923875445779,0.0,,,4.853166666666667,6.2197381225725215,4.853166666666667,0.0,,,5.132999999999999,5.628816930605235,5.165429871017188,0.0,,,2.3224242424242423,3.3644414826422664,2.289919360460566,0.0
1996-05-31,PREMON,3.261071428571429,6.9825,4.954770502645502,4.504892857142857,5.663089743589745,6.320333333333332,2.920238095238095,,,2.6705194805194807,2.228677278049107,3.242968241742696,-8.780878830706459e-09,,,5.36475,4.524371421383767,6.600373565727189,1.916213028973816e-20,,,4.2828346716464365,6.894295888711223,5.12038652953198,3.8348693652567536,,,3.573440476190476,1.5541199654111506,4.541223462581955,0.0,,,5.177135897435898,6.889971099447741,5.663089743589746,-3.0772970216058105e-11,,,5.607933333333332,5.7523244041661235,6.368699807781645,5.132992705748719,,,2.5615497835497836,3.9190465618712507,2.9670002470525585,-5.389717696941793e-11
1996-08-31,MONSOON,1.5316666666666665,2.7275,2.5585900297619046,2.2692638888888887,3.140371794871795,5.116833333333333,1.2859722222222219,2.2382544538794535,,2.214978354978355,2.1100732966020668,1.5434250924835329,-1.855710835141235e-08,4.7690624999999995,,4.30985,3.469528908544086,2.8281532466295882,4.478293679421892e-20,3.738949814474401,,3.5931368148926235,6.444036886917325,2.791886124145411,4.394819364849363,3.09960596001221,,3.0517698412698415,1.1034874906223104,2.3688974433098506,0.0,4.427894230769231,,4.362430256410256,6.151575966303463,3.140371794871796,-5.3654673226893606e-11,5.7220288461538455,,5.411493333333333,5.6086648391817,5.134676914784363,5.483115975489701,2.123857357919858,,2.051318759018759,3.501533300091256,1.2460262067770358,-9.513676799380839e-11
1996-11-30,POMKH,1.8834615384615383,4.205,3.25,2.671794871794871,4.054948717948718,6.3179487179487195,1.966794871794872,2.238254453879454,2.238254453879454,2.0823716283716283,2.0758792907254775,1.9002922207727744,-2.075329574852251e-08,5.0346875,4.5503125,4.26791,3.1890720538833097,3.5837266008352637,4.23197115065811e-20,3.9502438202711643,3.64955949584695,3.4558820889355744,6.0260352173894045,3.541266945973552,3.7827367516733745,3.0996059600122097,3.0996059600122097,2.8997798534798536,0.9414646551423803,2.7092883862766124,0.0,4.427894230769231,4.427894230769231,4.239437641025641,5.717116410279731,4.054948717948719,-7.321760754858678e-11,5.7220288461538455,5.722028846153846,5.774075487179488,5.7369722118135655,6.233241374962805,5.928292837054879,2.123857357919858,2.123857357919858,2.017509204129204,3.2718417532445194,1.9097531153182026,-1.1352603315582873e-10
1997-02-28,POMRB,2.2768181818181814,6.036250000000001,4.55,2.9524722222222226,4.853166666666667,5.132999999999999,2.3224242424242423,2.2382544538794535,2.2382544538794535,2.1601502497502496,2.13506245180911,2.2724155848132144,2.229921407806704,5.0715625,4.987812500000001,4.975246,3.649634576332106,5.007198130527996,4.286249069133969,4.021073753720238,3.828340133101852,3.8935292533613444,6.01352513672796,4.133138159356016,3.801075276030078,3.09960596001221,3.0996059600122097,2.920856800976801,0.9383002367988714,2.863395288505019,2.952470666408056,4.4278942307692315,4.427894230769231,4.484929251282051,5.584603046444759,4.8531666666666675,4.77956323690021,5.7220288461538455,5.722028846153846,5.517645292307693,5.601181038110858,5.150717708416888,5.3179709100318,2.123857357919858,2.123857357919858,2.1394752194472195,3.129926619481556,2.3088403319057256,2.2628383377219037
1997-05-31,PREMON,3.261071428571429,7.3575,5.93,4.504892857142857,5.663089743589745,6.320333333333332,2.920238095238095,2.238254453879454,2.2382544538794535,2.6005187212787213,2.4299085158929232,3.2490639013553295,3.193901493437463,4.996875,5.0815625,5.9281476,4.594622571305829,7.167034862183421,6.9824984835760775,3.985625,4.0721475074404765,4.708117552016807,6.466641247151154,5.344029235920538,4.735029723114341,3.0996059600122097,3.0996059600122097,3.5544712234432234,1.2580512981637015,4.533753918578743,4.504890483275942,4.427894230769231,4.427894230769231,4.956193448205129,5.7620204590793564,5.663089743589746,5.5772029696883125,5.7220288461538455,5.722028846153847,5.838720508717948,5.733316235583374,6.352978208981556,6.148473544549832,2.123857357919858,2.1238573579198583,2.45178036976357,3.204925331101403,2.9837861638135488,2.8453142179933537
1997-08-31,MONSOON,1.5316666666666665,2.6475,2.15,2.2692638888888887,3.140371794871795,5.116833333333333,1.2859722222222219,2.2382544538794535,2.2382544538794535,2.1729778994338993,2.2853222493332903,1.5485434316673605,1.5001181545553395,4.806049107142857,5.061562500000001,4.61588856,3.920947325973012,3.3404938029536035,2.727499407655391,3.995625,3.9699999999999998,3.684870531210084,5.145279888797828,3.0678836359970703,2.8044602813019672,3.09960596001221,3.0996059600122097,3.0403882896214895,1.1886452977748414,2.3615306315605027,2.26926269309342,4.427894230769231,4.42789423076923,4.229864786871795,4.83842300224594,3.140371794871795,3.0927447194538717,5.7220288461538455,5.722028846153847,5.549965638564102,5.596777013970385,5.130763918686516,5.286304031915147,2.123857357919858,2.1238573579198583,1.9854571107470307,2.5563999973321585,1.2609179898085554,1.2529783286488712
1997-11-30,POMKH,1.8834615384615383,3.6875,3.375,2.671794871794871,4.054948717948718,6.3179487179487195,1.966794871794872,2.238254453879454,2.2382544538794535,2.0571713550449546,2.22315043513876,1.9045899338449426,1.8446669297912668,4.592879464285714,4.932187500000001,4.244533136,3.6953924997161636,3.9281857023269193,4.204999086779435,3.9775,4.00125,3.5609223187260506,4.465152079624118,3.7154566625005527,3.3544860801750125,3.0996059600122097,3.0996059600122097,2.8929509224908423,1.242597582228338,2.702063811388173,2.671793463884484,4.427894230769231,4.42789423076923,4.159898359302565,4.429260081092988,4.054948717948718,3.993451111607825,5.7220288461538455,5.722028846153847,5.857158870317949,5.731058332994888,6.257801371680191,6.1684910045970005,2.123857357919858,2.1238573579198583,1.977992215166167,2.2777902168009967,1.9229644998982345,1.9163332680704663
1998-02-28,POMRB,2.2768181818181814,5.027142857142857,4.505,2.9524722222222226,4.853166666666667,5.132999999999999,2.3224242424242423,2.2382544538794535,2.2382544538794535,2.1450300857542453,2.2538917963615464,2.2760242432055784,2.2453757145966264,4.6235044642857135,4.679910714285715,4.557577024457142,3.9763014483399517,5.107360354735983,5.697745979347316,3.915625,3.9899999999999993,3.9385533912356303,4.36338829947149,4.634748326045,4.244921086759575,3.09960596001221,3.0996059600122097,2.9167594423833947,1.3763946754328296,2.8563483511727745,2.952471472725635,4.4278942307692315,4.42789423076923,4.437205682248205,4.444374236946729,4.8531666666666675,4.807519147861258,5.7220288461538455,5.722028846153847,5.567495322190769,5.6000679477526365,5.1425231012284955,5.254456018922285,2.123857357919858,2.1238573579198583,2.115765026069397,2.2068244202180547,2.3205609352849232,2.2963882258729744
1998-05-31,PREMON,3.261071428571429,6.661249999999999,5.83,4.504892857142857,5.663089743589745,6.320333333333332,2.920238095238095,2.238254453879454,2.2382544538794535,2.5914466228811186,2.519836917770853,3.252093981580348,3.2160365934849007,4.727098214285714,4.505848214285715,5.399046214674286,4.824721766357849,6.952807409905118,7.284961045172688,3.850625,3.965,4.695132034741379,4.860921849205713,5.859317984691053,5.373897018892123,3.0996059600122097,3.0996059600122097,3.55201280828718,1.829958488013186,4.526916016493063,4.504891713558237,4.427894230769231,4.42789423076923,4.927559306784821,4.8321769280936575,5.663089743589746,5.609824316432254,5.7220288461538455,5.722028846153847,5.868630526647794,5.736161531417505,6.342656292677326,6.208271648526688,2.123857357919858,2.1238573579198583,2.4375542537368764,2.4173444384907192,2.9941842067090745,2.887500163041218
