Date,Season,Khaknar,Burhanpur,Khaknar_Trend,Khaknar_SMA,Khaknar_EWMA,Khaknar_DES,Khaknar_TES,Khaknar_ARIMA,Burhanpur_Trend,Burhanpur_SMA,Burhanpur_EWMA,Burhanpur_DES,Burhanpur_TES,Burhanpur_ARIMA
1996-02-29,POMRB,8.446000000000002,13.768571428571427,,,8.446000000000002,7.906449252667755,7.681775205168502,0.0,,,13.768571428571427,13.358861667783419,13.588686784583272,0.0
1996-05-31,PREMON,10.248,15.164285714285713,,,9.1668,8.036300896606217,10.284682521861567,2.9191033215738678,,,14.326857142857142,13.644417912048704,14.77495937825331,2.916184356154758
1996-08-31,MONSOON,5.892,11.942857142857143,7.4415,,7.85688,7.961577060315889,4.45177978026424,3.964603403410176,13.034642857142858,,13.373257142857142,13.374064184215309,10.945759479346734,11.665057220357232
1996-11-30,POMKH,5.54,11.607142857142858,7.139000000000001,7.5315,6.930128,7.869487437437566,6.748785617827334,4.027244257496403,12.888035714285714,13.120714285714286,12.666811428571428,13.093362695793466,13.2287872316728,12.579458017654572
1997-02-28,POMRB,7.726000000000001,13.080000000000002,6.2718750000000005,7.351500000000001,7.248476800000001,7.8787614309380505,8.034557198536193,8.093249662723876,12.296892857142856,12.948571428571428,12.832086857142858,13.090633131250481,13.65969963050577,12.800654498406384
1997-05-31,PREMON,8.547999999999998,14.68,5.71,6.926500000000001,7.768286079999999,7.925723085785745,10.386157820407163,9.609407086959717,11.927178571428572,12.8275,13.571252114285715,13.341954402211467,14.650033579296458,14.024262761280324
1997-08-31,MONSOON,0.655,7.697999999999999,5.68825,5.617250000000001,4.922971647999999,7.603895323397012,4.131246874201111,5.234741886200165,12.049321428571426,11.766285714285715,11.221951268571429,12.446700954170012,10.728134953997237,11.495360889964875
1997-11-30,POMKH,6.282000000000001,12.894285714285711,5.6861875,5.802750000000001,5.466582988799999,7.544826737427348,5.276535864151478,3.7731636746888384,12.156821428571426,12.088071428571428,11.890885046857143,12.51706695639171,11.972317474549248,10.61361581979884
1998-02-28,POMRB,6.8100000000000005,12.77,6.47475,5.573750000000002,6.0039497932799994,7.5104928812903164,7.081010956360389,7.900878962517805,13.009258928571427,12.010571428571428,12.242531028114286,12.556575180780374,13.059367744416384,11.253041562125976
1998-05-31,PREMON,9.4475,15.85,7.023874999999999,5.798625000000002,7.381369875968,7.599235726113016,9.441407048301276,8.434364543077306,13.510066964285713,12.303071428571428,13.68551861686857,13.078033790651622,14.124594286742607,15.442179218715703
1998-08-31,MONSOON,6.064000000000001,13.3475,6.929625,7.150875000000002,6.8544219255808,7.530025920398566,3.6185247609079134,2.3683501162709435,13.333906249999998,13.715446428571427,13.550311170121143,13.12013651251688,10.640042890201373,9.273497384799988
