Date,Season,Amirgadh,Deesa,Dantiwada,Kankrej,Dhanera,Bhabhar,Palanpur,Vav,Tharad,Danta,Vadgam,Amirgadh_Trend,Amirgadh_SMA,Amirgadh_EWMA,Amirgadh_DES,Amirgadh_TES,Amirgadh_ARIMA,Deesa_Trend,Deesa_SMA,Deesa_EWMA,Deesa_DES,Deesa_TES,Deesa_ARIMA,Dantiwada_Trend,Dantiwada_SMA,Dantiwada_EWMA,Dantiwada_DES,Dantiwada_TES,Dantiwada_ARIMA,Kankrej_Trend,Kankrej_SMA,Kankrej_EWMA,Kankrej_DES,Kankrej_TES,Kankrej_ARIMA,Dhanera_Trend,Dhanera_SMA,Dhanera_EWMA,Dhanera_DES,Dhanera_TES,Dhanera_ARIMA,Bhabhar_Trend,Bhabhar_SMA,Bhabhar_EWMA,Bhabhar_DES,Bhabhar_TES,Bhabhar_ARIMA,Palanpur_Trend,Palanpur_SMA,Palanpur_EWMA,Palanpur_DES,Palanpur_TES,Palanpur_ARIMA,Vav_Trend,Vav_SMA,Vav_EWMA,Vav_DES,Vav_TES,Vav_ARIMA,Tharad_Trend,Tharad_SMA,Tharad_EWMA,Tharad_DES,Tharad_TES,Tharad_ARIMA,Danta_Trend,Danta_SMA,Danta_EWMA,Danta_DES,Danta_TES,Danta_ARIMA,Vadgam_Trend,Vadgam_SMA,Vadgam_EWMA,Vadgam_DES,Vadgam_TES,Vadgam_ARIMA
2001-02-28,POMRB,26.08916666666667,19.788333333333327,19.636666666666667,32.38,25.205,13.745,37.615,4.836666666666666,22.142,13.608357142857145,10.803333333333335,22.011250000000004,22.52645833333333,22.935287541900628,22.997699280571155,21.409648223131114,20.33423789590875,23.34491071428571,24.08244047619047,22.590599933838185,25.92796211848979,27.761233505564938,23.938726712253988,19.984729166666668,20.301291666666668,20.34396248190363,21.630121318869747,22.290998211152324,21.510045433925605,30.888125000000002,27.263749999999995,28.8419952043864,30.784483852513958,32.17089241710413,25.309103904151364,28.08958333333333,26.683809523809526,25.991094112783394,26.830991806241247,28.670552715843883,27.84528239289594,15.683749999999998,15.360624999999999,15.099278457082697,15.001067495354354,16.221079654194654,16.0918683794851,44.05611111111111,42.37236111111112,38.13449529746494,38.699088179249436,43.69492331804251,42.97425810314888,6.0917708333333325,8.902291666666665,7.050084796249811,7.478266743462496,9.397877170964861,7.337007081065696,20.136964285714285,19.329845238095242,19.303702378979715,21.13435026980287,20.440366122086438,18.187107745015606,16.666255952380954,16.596589285714284,15.523905726323719,15.188848398710608,16.974201680401023,16.1357201724355,12.839270833333334,12.384791666666658,13.539676096441934,16.882857693021148,17.349454736685562,12.638458129695378
2001-05-31,PREMON,20.05,29.4175,19.95,34.07,33.1,16.33,51.57,7.26,23.708000000000002,18.9825,12.06,23.67,21.449791666666663,21.781172525140377,21.574931706189478,24.206983420352458,22.915426751503134,23.258244047619048,23.840148809523804,25.321359960302914,27.150502248815332,30.17626721793058,23.5860067263828,19.846041666666668,19.732791666666667,20.18637748914218,21.409648931568263,23.340471621934473,21.357471030160028,32.473749999999995,30.04124999999999,30.93319712263184,32.49152921333602,29.121127242775003,24.45530758216205,26.756249999999998,28.01291666666667,28.834656467670037,30.062037739155617,29.786043144935864,26.34263633257601,17.160687499999998,15.68375,15.591567074249618,15.722505554314985,16.339447266413508,14.872963555304782,45.86430555555555,43.532361111111115,43.50869717847896,45.763121115293245,40.09992522431955,37.3304243079439,7.1031249999999995,5.447291666666665,7.134050877749886,7.382172286545348,10.476935737663739,7.252876794781083,20.4625,19.95351190476191,21.065421427387832,22.780434964605437,22.132748308180908,20.315027210105846,15.441422619047618,16.975214285714284,16.907343435794232,16.132897672889168,17.32579500176371,15.073701843520148,17.395983072916668,12.437708333333326,12.94780565786516,16.141170360314188,21.50442574563617,17.37112904162026
2001-08-31,MONSOON,25.646666666666665,22.69142857142857,19.1975,33.18,22.88,16.33,52.04,11.15333333333333,19.783333333333328,14.893333333333333,16.4,25.53364583333333,22.572708333333328,23.327370181750894,23.392877558255336,20.539612599887878,21.466825466583092,24.63014880952381,22.849672619047617,24.269387404753175,26.386905064628266,25.67703517469236,26.70473358461797,19.58052083333333,20.236666666666668,19.79082649348531,21.050169024004997,19.15722673989313,18.665304800885522,33.285,31.734999999999992,31.831918273579106,33.72068551013664,32.87975590663099,26.92970783384924,24.758125,28.16625,26.452793880602023,27.027244938274315,29.60124457053357,30.086943987309887,20.364,15.68375,15.88694024454977,16.081037593754836,14.962041574309687,15.629711895761432,49.141875,44.579861111111114,46.92121830708738,49.2505432009222,48.55147122799518,43.941124003460914,7.500416666666665,6.7362499999999965,8.741763859983264,8.660339570701225,9.811960167447026,8.015948230843556,21.02808333333333,20.32041666666667,20.552586189766032,22.747879014410113,20.10821613834109,20.70271369101543,14.33158630952381,16.357297619047614,16.101739394809872,15.870080331952883,15.233470296835304,16.668430085622692,24.792080034722222,13.240833333333327,14.328683394719096,16.40090529625599,15.639560900633498,15.243710306700452
2001-11-30,POMKH,27.28333333333333,22.77,19.0375,33.22,20.2,28.1455,47.37,6.63,16.785,10.618,46.94119791666667,26.165,24.767291666666658,24.90975544238387,25.122210266809503,23.112856754938587,23.308433280677942,25.511544642857142,23.66681547619047,23.669632442851906,25.76132419502601,26.035386086729627,22.056373891990752,19.884375,19.45541666666667,19.489495896091185,20.67294877971148,21.70228261154124,21.03947087796626,32.74125,33.21249999999999,32.387150964147466,34.70904602354544,33.60320802262784,29.2368980259644,24.445,25.34625,23.951676328361213,24.125374417207283,26.384820697339705,26.077878235784905,23.64447222222222,18.637625,20.790364146729864,22.241091475412503,16.25794770238319,15.993424047680131,51.33875,47.14875000000001,47.10073098425242,48.305082564467455,45.32976900704342,51.78306186181488,7.777083333333334,7.469999999999997,7.897058315989958,7.936844781829864,6.223301245702032,9.795650319090376,21.575833333333332,20.604583333333334,19.04555171385962,21.654144428279597,20.882029322447508,20.319565197332754,13.86825,14.525547619047613,13.908243636885924,14.642943028460873,15.589915400914567,15.413574370483902,32.123402256944445,21.551132812499993,27.373689203498124,22.68842425823494,22.093305935032998,14.070609730840825
2002-02-28,POMRB,32.22,27.495,20.6375,32.96,20.5,27.556000000000004,53.56,5.08,25.53,12.056666666666667,36.73091111111111,26.532916666666665,26.29999999999999,27.83385326543032,28.325722964829563,26.268733494649197,25.045431940110593,26.861511904761905,25.59348214285714,25.199779465711146,26.453722345839324,26.841633482367193,23.302431316101377,20.236354166666665,19.705625000000005,19.94869753765471,20.607226617708786,21.320074614799758,19.822477561305845,31.580000000000002,33.357499999999995,32.61629057848848,35.378877658742724,35.73094559325255,32.715972149651414,24.55375,24.17,22.571005797016728,22.691625609968742,24.72008087333948,22.892265987505468,26.634506944444443,22.090375,23.49661848803792,25.003996397376383,22.507105372066498,22.304908803948436,51.435,51.135000000000005,49.68443859055145,51.24047552972467,52.12602370044483,49.92298107515854,7.776666666666666,7.53083333333333,6.770234989593975,6.930718641354897,8.40882365698275,7.812927187134937,22.754666666666665,21.451583333333335,21.639331028315773,23.542238839374278,22.272882523070912,19.973377994070315,14.298041666666666,14.137624999999993,13.167612848798221,14.053439921336697,14.984306329876762,13.590140632674515,39.012182204861105,28.033027256944436,31.116577966543318,25.774856472423046,21.818664721850435,20.872600918758803
2002-05-31,PREMON,18.97,28.762,21.38,29.14,35.3,28.76277777777777,53.2,9.23,24.701999999999998,16.8275,44.783,27.030833333333334,26.02999999999999,24.28831195925819,23.933385521735477,29.677869312795583,28.264862459747828,30.170916666666667,25.42960714285714,26.624667679426686,27.33125390260952,31.16235338449966,27.18091030655648,20.681979166666665,20.063125000000003,20.521218522592825,20.688261940024027,22.385801344720154,21.31907246341305,31.548125,32.125,31.225774347093086,34.82039168983301,32.99362522105986,32.48287055244247,24.630000000000003,24.720000000000006,27.662603478210038,28.847011868853475,25.46856307329989,21.597215426260057,28.070444444444444,25.198569444444445,25.60308220393386,26.988032929889528,26.58020600949797,25.03219442721902,52.0625,51.542500000000004,51.09066315433087,52.38750480924043,52.71888610330601,50.17607005241297,7.83875,8.023333333333332,7.754140993756385,7.7032210339264,9.912482701264738,6.841585234887493,25.328625,21.700083333333335,22.86439861698946,24.73589305345131,24.423086415317385,23.664836804519403,15.936833333333334,13.598874999999992,14.631567709278933,14.750140464450375,15.47646039914672,15.107099615806165,41.81058715277778,36.21377725694444,36.58314677992599,29.8890144403797,30.079394599569838,34.98217766145025
2002-08-31,MONSOON,29.67,34.14666666666667,20.58333333333333,28.82,21.55,27.8175,51.18,9.18,28.22,20.486666666666668,38.78723958333333,26.564166666666665,27.035833333333326,26.440987175554916,26.51252087130305,22.859059793943704,23.793733168473388,33.47320833333334,28.293416666666662,29.63346727432268,29.431408960875643,26.300467576960525,25.823075444155936,21.2846875,20.409583333333334,20.546064446889027,20.628217825856147,19.001714778762274,19.28671141181305,32.27875,31.034999999999997,30.263464608255852,34.03878470949744,34.904974417465766,31.828302502564224,25.14875,24.387500000000006,25.217562086926023,25.74503258190467,28.45391632918907,29.146708975060623,28.070444444444444,28.070444444444444,26.488849322360316,27.49546762128223,26.354810908179136,26.96976624963221,52.817499999999995,51.32750000000001,51.12639789259852,51.81318962663902,55.04575151425246,53.39680368031201,8.66625,7.529999999999999,8.32448459625383,8.190285411406046,10.12071506247894,8.56923933120764,27.626749999999998,23.809250000000002,25.00663917019368,26.77900668467618,22.005111703648982,21.559635063614508,17.531041666666667,14.997208333333326,16.97360729223403,16.15989225754168,13.286088959955958,15.181628986878497,41.810587152777785,41.81058715277777,37.464783901288925,32.04490328671014,28.83491812704152,32.15584352727034
2002-11-30,POMKH,27.24333333333333,37.79,21.216666666666672,37.325,22.14,28.1455,53.25,9.1,28.94,18.135,46.94119791666667,27.327916666666667,27.025833333333324,26.76192563866628,26.77626904001101,26.25199350016802,26.414355075556127,36.856500000000004,32.04841666666666,32.89608036459361,32.08828533477294,29.051745030856754,29.78561981718329,21.754375,20.954375,20.814305334800085,20.692255941283772,21.236858346887175,20.851309814731273,33.3925,32.061249999999994,33.088078764953515,35.3806601015068,34.52972310289371,30.861766386958998,24.031250000000004,24.872500000000006,23.986537252155614,24.338576609720715,25.148639524543192,24.88867961156092,28.070444444444448,28.07044444444444,27.15150959341619,27.913704426701532,27.7005025211993,27.41005798775281,52.9625,52.797500000000014,51.97583873555911,52.676718305171164,47.72515238769217,52.284287317306266,9.18875,8.147499999999999,8.634690757752297,8.480685355467264,5.74579673382658,8.661698518811736,29.19775,26.848000000000003,26.579983502116207,28.588489218420523,24.789679822049024,25.69748827004461,18.50625,16.87645833333333,17.43816437534042,16.66925344002879,16.06133074086194,17.2595888429416,41.81058715277778,41.81058715277777,41.25534950744002,35.42190906025237,37.04740142487117,29.597939561348365
2003-02-28,POMRB,28.52666666666667,38.89333333333335,23.28,34.7,22.71,27.556000000000004,53.72,9.23,31.76,17.293333333333337,36.73091111111111,28.317708333333332,26.102499999999992,27.467822049866434,27.50943700724263,27.878480973926315,26.670015601239093,39.32291666666667,34.897999999999996,35.2949815520895,34.53834725317629,32.509796945124904,33.10391868016879,21.456458333333337,21.615,21.80058320088005,21.13713974104127,21.501033455595326,20.832602338485838,35.29625,32.496249999999996,33.732847258972114,35.86594557431647,36.57119199394768,33.08186822344104,22.9125,25.425000000000004,23.47592235129337,23.842585696595208,25.028818357386967,23.434935822038206,28.070444444444444,28.07044444444444,27.313305756049715,27.823106735564913,27.93605167367452,27.79202820153602,53.396249999999995,52.83750000000002,52.67350324133547,53.327494077043156,56.463552841431465,52.11837883820595,9.2,9.184999999999999,8.87281445465138,8.715029757101643,8.946837791826798,8.714179920667574,29.6190625,28.405500000000004,28.651990101269725,30.887191091889306,28.864411191014227,26.37285321593257,17.661041666666666,18.185624999999995,17.380231958537586,16.855218452336118,17.715698012565642,16.562008802943772,41.81058715277777,41.81058715277777,39.445574148908456,36.13931927164781,33.91150297277807,33.10518749264363
2003-05-31,PREMON,28.77333333333333,44.43,22.495,36.31,24.15,28.76277777777777,54.2,9.26,31.04,19.3925,44.783,27.7075,28.553333333333327,27.990026563253195,28.01624536830094,28.736460449567094,27.403299925598905,40.345833333333346,38.815,38.9489889312537,37.98134278404513,38.096406945485434,34.67825807923202,20.851458333333333,21.89375,22.078349920528034,21.422517202628132,22.83913817452996,22.251836458554184,35.686875,34.28874999999999,34.76370835538327,36.62107735515927,33.65613763471372,33.506746696959546,23.6975,22.637500000000006,23.745553410776022,24.24808905664682,26.70208909195992,23.038075772543444,28.070444444444444,28.070444444444437,27.893094564740938,28.389042159168163,29.155981997678275,27.669441048370672,53.721250000000005,53.08750000000002,53.28410194480128,53.886379207677635,54.72807574639814,53.46306186181488,9.2225,9.192499999999999,9.027688672790827,8.87834059439177,11.694952606396727,8.846406843397562,28.769625,29.990000000000002,29.607194060761834,32.4009334878076,31.206443351613295,30.535077054682485,15.943645833333335,18.826874999999994,18.18513917512255,17.501110641008978,19.011456391348986,18.127034645978807,41.81058715277778,41.81058715277777,41.58054448934507,38.32520380933349,39.85843720782864,38.16379119899808
