Date,Season,Mathura,Raya,Farah,Nandgaon,Mat,Baldeo,Nohjhil,Chhata,Govardhan,Chaumuha,Mathura_Trend,Mathura_SMA,Mathura_EWMA,Mathura_DES,Mathura_TES,Mathura_ARIMA,Raya_Trend,Raya_SMA,Raya_EWMA,Raya_DES,Raya_TES,Raya_ARIMA,Farah_Trend,Farah_SMA,Farah_EWMA,Farah_DES,Farah_TES,Farah_ARIMA,Nandgaon_Trend,Nandgaon_SMA,Nandgaon_EWMA,Nandgaon_DES,Nandgaon_TES,Nandgaon_ARIMA,Mat_Trend,Mat_SMA,Mat_EWMA,Mat_DES,Mat_TES,Mat_ARIMA,Baldeo_Trend,Baldeo_SMA,Baldeo_EWMA,Baldeo_DES,Baldeo_TES,Baldeo_ARIMA,Nohjhil_Trend,Nohjhil_SMA,Nohjhil_EWMA,Nohjhil_DES,Nohjhil_TES,Nohjhil_ARIMA,Chhata_Trend,Chhata_SMA,Chhata_EWMA,Chhata_DES,Chhata_TES,Chhata_ARIMA,Govardhan_Trend,Govardhan_SMA,Govardhan_EWMA,Govardhan_DES,Govardhan_TES,Govardhan_ARIMA,Chaumuha_Trend,Chaumuha_SMA,Chaumuha_EWMA,Chaumuha_DES,Chaumuha_TES,Chaumuha_ARIMA
1996-02-29,POMRB,7.125,6.92,8.11,4.154,10.805,7.715,19.2,9.62,4.0925,2.09,,,7.125,6.127958362999879,7.0862001872447395,0.0,,,6.92,6.811349150519433,6.92,0.0,,,8.11,7.71547954206002,7.658629902815026,0.0,,,4.154,4.6998488615332406,4.001748230656163,0.0,,,10.805,10.463556304346023,10.394611833552498,0.0,,,7.715,7.831286265708033,8.056647406220986,0.0,,,19.2,18.431667386531352,19.2,0.0,,,9.62,9.610601445037993,9.62,0.0,,,4.0925,3.7496132140292473,3.416496933178806,0.0,,,2.09,1.9467593173366555,1.9804053570649816,0.0
1996-05-31,PREMON,9.265,8.12,8.08,6.6880000000000015,11.56,8.535,18.97,9.9,4.495,3.0,,,7.981,6.953886847874298,8.04378172057891,7.124978500976572,,,7.4,7.9925079627482365,8.12,6.92,,,8.097999999999999,7.550878747993003,7.996975156047895,8.109992336829196,,,5.1676,4.224741677079959,5.835986804320182,1.936958347875792,,,11.107,10.672788619955213,11.301697542783321,10.594566543826364,,,8.043,7.963958264753787,8.391382079147588,7.423182898732469,,,19.108,18.245343394151167,18.97,19.1245760857117,,,9.732,9.749630902409978,9.9,6.544772863907734,,,4.253500000000001,3.912940163533715,4.610578692431224,4.092496989878187,,,2.4539999999999997,2.1485240543124275,2.860959241209489,1.1480058899707542e-08
1996-08-31,MONSOON,5.815,5.33,8.280000000000001,3.472,9.84,7.975,15.95,9.55,0.9875,1.8,7.149375000000001,,7.114599999999999,6.551158923756361,6.658931961919376,8.25698119906697,6.23375,,6.572000000000001,5.246313724316269,5.33,8.12,7.05875,,8.1708,7.4259160584974655,8.68122607192644,8.091998003321393,4.2932500000000005,,4.4893600000000005,3.308739463665062,4.094967604613454,3.2558640642449452,10.61,,10.6002,10.330283580486453,10.708382053970357,11.08743977917408,8.20125,,8.015799999999999,7.781057613803882,6.956032147790416,8.004758903735853,17.1425,,17.8448,17.435873371736346,15.95,18.899979500188234,9.74375,,9.659199999999998,9.68253759382987,9.55,5.899943177224097,3.136875,,2.9471000000000003,3.041303729973029,2.9963222881408482,4.30883445351743,2.4187499999999997,,2.1923999999999997,1.969340046150132,1.8406831681970965,3.6033759084312584e-08
1996-11-30,POMKH,6.565,5.3,4.22,3.4520000000000004,10.275,8.75,16.05,10.1,3.6825,2.73,6.810625000000001,7.192500000000001,6.89476,6.478762310672566,6.687098276499524,7.293220703679768,5.89125,6.4174999999999995,6.0632,5.216784754010549,5.3,5.329999999978443,6.77,7.172499999999999,6.5904799999999994,6.95513440405984,6.591247130769747,8.183082798900031,3.9967500000000005,4.4415000000000004,4.074416,2.72865159483791,3.7832382800259787,2.61543957738363,10.555000000000001,10.62,10.47012,10.19866854260822,9.38937447784771,10.588952556068769,8.4125,8.24375,8.309479999999999,8.038610866189801,7.975990233534692,7.945033766118932,16.39625,17.5425,17.12688,16.76564833579208,16.05,15.938136383812743,9.70875,9.7925,9.835519999999999,9.898781824549156,10.1,8.48398534978332,3.1046875000000003,3.314375,3.2412600000000005,3.1656964046477687,2.8121546202951566,2.9417403866387826,2.44875,2.405,2.40744,2.127926015378798,2.1518037288752696,4.3924760361709976e-08
1997-02-28,POMRB,6.78,5.45,7.2,2.968,10.725,7.375,16.0,9.23,2.6725,2.2,6.461875000000001,7.106250000000001,6.848856,6.491444959070848,7.175886024510858,7.0112656133376925,5.727083333333334,6.049999999999999,5.81792,5.364429605539149,6.92,5.3,6.944999999999999,6.945,6.834288,6.784976232876864,7.284092129023184,7.0574788781955515,3.9707500000000007,4.1450000000000005,3.6318496,2.281745668401414,4.050731160730276,3.9915187414369155,10.615625000000001,10.6,10.572071999999999,10.244306476570555,10.703984944798364,10.495352734754073,8.61625,8.158750000000001,7.935687999999999,7.550856600944619,8.893980131232206,8.154536918284888,16.03125,16.7425,16.676128,16.20086234732763,19.2,16.038100645065494,9.76,9.695000000000002,9.593312,9.627448534467156,9.62,9.661641340500845,3.3478125000000003,2.9593749999999996,3.013756,2.973097812661777,3.1972214496526856,3.537992669340166,2.6137500000000005,2.4325,2.324464,2.112703500951802,1.980405357065397,1.938804122463565
1997-05-31,PREMON,6.9,6.85,6.68,5.5020000000000024,11.2,10.565,16.2,10.01,5.6575000000000015,3.13,6.37125,6.515000000000001,6.8693136,6.538506483695293,8.000859483176182,7.353631703445481,5.667916666666666,5.7325,6.230752000000001,6.742448219806086,6.979833795013851,5.45,7.735,6.595000000000001,6.772572800000001,6.589747021328723,7.376969218619928,7.443395921159977,4.09875,3.8485000000000005,4.37990976,2.6218476249944627,5.770474791611296,5.893372804814281,9.524375000000001,10.509999999999998,10.823243199999999,10.440836363041942,11.49081121777323,10.65450648493563,8.444374999999999,8.666250000000002,8.9874128,8.747896489336997,8.610626229992942,8.010926675809324,15.877083333333331,16.05,16.4856768,15.795246977054763,18.154487534626035,15.807087369443519,9.66625,9.722500000000002,9.7599872,9.793224440090174,9.828698060941829,7.040121127239178,3.3043750000000003,3.25,4.0712536,3.685847373985173,3.935826528307441,3.421653432860021,2.6925,2.465,2.6466784,2.415678222260225,2.860959241209963,2.7829724245642735
1997-08-31,MONSOON,5.39,5.286666666666667,11.08,4.45,10.685,7.575,15.8,9.85,1.7700000000000002,2.99,6.25,6.40875,6.2775881600000005,6.1338776820362835,5.907621654485904,6.557511495082561,5.660416666666666,5.721666666666668,5.853117866666667,5.203660767208007,4.032123372288428,6.85,8.050625,7.295,8.49554368,6.814172429585865,7.721161800316109,7.353552919684203,4.184750000000001,4.093,4.407945856,2.7408645670343046,3.5438540594256778,3.0268725185920458,8.233125000000001,10.721249999999998,10.767945919999999,10.452822192010332,10.727899783355424,10.563815988712609,8.407499999999999,8.566250000000002,8.42244768,8.022215568860874,8.125906040214895,8.883443594388266,15.934166666666666,16.0125,16.21140608,15.401023331730062,14.494562733557904,14.55239044305693,9.618750000000002,9.797500000000003,9.79599232,9.847361353586802,9.50212168414914,10.973606022433346,3.115729166666667,3.4456249999999997,3.15075216,3.107966139278661,3.0185039370822913,2.2779669968492655,2.4787500000000002,2.7624999999999997,2.78400704,2.648420156878257,1.8406831681976386,1.66978345560071
1997-11-30,POMKH,6.265,4.87,7.74,3.498,0.7,7.775,14.966666666666667,9.05,2.5525,2.17,6.215,6.33375,6.2725528960000005,6.096651986237099,6.035334303231746,6.3572108849221305,5.769166666666667,5.614166666666668,5.45987072,4.7935361796285605,4.9131329271242,5.286666666666667,8.10125,8.175,8.193326208,6.743351955935089,5.872690908253485,6.632583403719367,4.299,4.1045,4.0439675136,2.6702393078822984,3.583423216863163,3.9255554973083875,8.17,8.327499999999999,6.740767551999999,7.494195574094037,9.663845694354645,10.645587441399655,8.475,8.322500000000002,8.163468607999999,7.729950263519089,8.321695140697402,8.5040214484179,16.089166666666667,15.741666666666667,15.713510314666667,14.917426039583543,14.698796606019556,15.761577378063823,9.6325,9.535000000000002,9.497595392000001,9.483185613861764,10.110519707134403,7.064922740016108,2.8403125,3.163125,2.911451296,2.9055349274893203,3.122751534420934,3.5955640789991894,2.2562499999999996,2.6224999999999996,2.538404224,2.574349884790185,2.151803728876441,2.5325049062805456
1998-02-28,POMRB,6.11,5.82,6.204999999999999,3.61,9.97,8.055,17.54,9.9,2.293333333333333,1.05,6.138125,6.16625,6.2075317376,6.026770684180492,6.631433445436128,6.35936448108293,5.914583333333334,5.706666666666668,5.603922432,5.728620239309697,6.099445152598788,4.87,7.57625,7.9262500000000005,7.3979957247999995,6.5482341457405235,8.276500673963433,8.187029655474014,4.258208333333333,4.265,3.87038050816,2.687448900913717,3.7629432975029564,3.418970626719547,8.124375,8.138749999999998,8.0324605312,7.941916580468465,7.9364077462876015,8.023437745304536,8.463750000000001,8.492500000000001,8.120081164799998,7.704011998002167,8.546327416885509,7.675764063083983,16.320416666666667,16.126666666666665,16.4441061888,15.125659994653303,16.399099213467178,14.860292046089478,9.55625,9.7025,9.6585572352,9.619986586834388,9.296415334899807,7.705437725364801,2.497291666666667,3.0683333333333334,2.6642041109333334,2.684885250017586,2.961349717783682,2.8464425015549937,2.139375,2.335,1.9430425344,2.132598274772292,1.9804053570662723,2.059826975782158
1998-05-31,PREMON,7.29,7.35,8.08,5.773999999999999,11.45,10.425,15.9,9.45,3.8333333333333335,2.5,5.6625,6.26375,6.64051904256,6.324028782152157,7.418106595369488,6.589174888415208,5.89,5.831666666666667,6.3023534592,7.234597724901421,7.420312794586007,5.82,6.54,8.276250000000001,7.67079743488,6.540995314926617,7.721443552981047,7.061667750110275,4.0709583333333335,4.332999999999998,4.631828304896,3.3205108030894417,5.811519832997362,5.944685109446074,9.27875,8.201249999999998,9.39947631872,8.790610664877786,9.34482650298568,9.213528820443923,8.486875,8.457500000000003,9.042048698879999,8.773280592140306,8.80248150193758,8.829920255688867,16.399583333333332,16.051666666666666,16.22646371328,15.006297108016438,16.825558725315577,17.423870481980526,9.615625,9.562500000000002,9.57513434112,9.519147332898193,9.874275974017038,10.910958996808308,2.1894791666666666,2.612291666666666,3.1318557998933336,2.9619443748836067,3.645598031605883,4.082320178492523,2.1425,2.1775,2.16582552064,2.206972121006544,2.8609592412102303,2.9408049280601043
