Date,Season,Jawaja,Arain,Kekri,Srinagar,Peesangan,Masuda,Bhinay,Kishangarh,Jawaja_Trend,Jawaja_SMA,Jawaja_EWMA,Jawaja_DES,Jawaja_TES,Jawaja_ARIMA,Arain_Trend,Arain_SMA,Arain_EWMA,Arain_DES,Arain_TES,Arain_ARIMA,Kekri_Trend,Kekri_SMA,Kekri_EWMA,Kekri_DES,Kekri_TES,Kekri_ARIMA,Srinagar_Trend,Srinagar_SMA,Srinagar_EWMA,Srinagar_DES,Srinagar_TES,Srinagar_ARIMA,Peesangan_Trend,Peesangan_SMA,Peesangan_EWMA,Peesangan_DES,Peesangan_TES,Peesangan_ARIMA,Masuda_Trend,Masuda_SMA,Masuda_EWMA,Masuda_DES,Masuda_TES,Masuda_ARIMA,Bhinay_Trend,Bhinay_SMA,Bhinay_EWMA,Bhinay_DES,Bhinay_TES,Bhinay_ARIMA,Kishangarh_Trend,Kishangarh_SMA,Kishangarh_EWMA,Kishangarh_DES,Kishangarh_TES,Kishangarh_ARIMA
1998-08-31,MONSOON,6.816,5.023333333333333,4.66,7.7075,10.242,10.482500000000002,10.14,15.62791666666667,6.4777499999999995,5.7730000000000015,6.1432072599552,5.923633804333688,3.580305967305539,1.8920845344783555,4.656666666666667,4.5424999999999995,4.671970797909333,4.654971682413012,4.384693268730268,4.396051297585893,4.804375,4.5687500000000005,4.67474244352,4.519047341334849,3.8464491123933975,4.028733747804199,7.1071875,6.438333333333334,6.783701348096001,6.908624151040906,5.248458175050996,6.261437951107065,9.784249999999998,9.693999999999996,9.897829548288001,9.489162943632696,8.07415011115474,8.394020275885088,9.88625,8.694999999999999,9.332106007808001,9.426162854238928,7.821520973045235,7.329098985346998,9.69625,8.879999999999995,9.315802744319999,9.128989980555037,8.380114903155924,7.471849739770684,16.64060678904429,16.64060678904429,16.670282666041885,16.43330359204518,15.61167209612857,16.96935040865653
1998-11-30,POMKH,5.7120000000000015,4.48,4.165,7.252500000000001,8.293999999999999,8.455,8.59,15.391818181818184,7.20175,6.161500000000002,5.97072435597312,5.810594181748772,5.590446099858421,6.53611490977317,4.889583333333333,4.574166666666667,4.5951824787456,4.529565875029894,4.125608106792378,4.746832393338131,5.08875,4.64125,4.470845466111999,4.3870594928739095,4.160720397325265,4.283272652664769,7.950625,6.770625000000002,6.971220808857601,7.023521684676825,6.349981008622521,7.030231360898549,10.33975,9.570999999999994,9.2562977289728,9.073062685970644,9.206057784361803,9.513589897133649,10.505937500000002,9.509374999999999,8.9812636046848,8.97128367025147,8.255255703252146,8.647998026314372,9.851875,9.568749999999996,9.025481646591999,8.85498799816678,9.36616515606158,8.305099354800143,16.64060678904429,16.64060678904429,16.158896872352404,16.158392604809748,14.734186531502328,15.393434664136366
1999-02-28,POMRB,7.638,4.756666666666667,5.59,7.985000000000001,9.696000000000002,10.7475,9.83,16.69961538461538,7.665,6.794000000000001,6.637634613583872,6.392562801640819,6.829841645882214,6.8188175907607835,5.134583333333334,4.739166666666667,4.659776153914027,4.59933396764818,4.484061709935379,4.612780770166537,5.283125000000001,4.9675,4.9185072796672,4.715624211304887,4.737236444491161,4.5082858726185115,8.6621875,7.443750000000002,7.3767324853145615,7.460798658991498,7.530234047092713,7.148399624435171,10.7915,9.997499999999995,9.432178637383682,9.21314989357354,9.120158208872626,8.964563985286087,11.010625000000001,10.263124999999999,9.68775816281088,9.711261383319995,10.215680255181699,10.473479179054166,10.051250000000001,9.823749999999997,9.3472889879552,9.170796440625917,9.32751361920399,9.271685164078447,16.640606789044288,16.64060678904429,16.375184277257596,16.19735405346205,17.38732330670956,17.23734255145501
1999-05-31,PREMON,10.272,5.900000000000001,6.4250000000000025,10.885,14.495999999999999,13.31,10.96,18.843076923076925,8.084999999999999,7.609500000000002,8.091380768150323,7.669154212844598,9.80657779810406,9.342627604709492,5.576250000000001,5.040000000000001,5.155865692348417,5.1866722874183075,5.560392579392021,4.765211034426623,5.525625,5.210000000000001,5.521104367800321,5.191734968544304,6.0675079545491775,5.603781425946743,9.393125000000001,8.457500000000003,8.780039491188738,9.183778075590151,9.133756053681182,7.593174969493189,11.28025,10.681999999999995,11.457707182430209,10.772173648575457,11.993895906299073,11.208343324261463,11.8665625,10.74875,11.13665489768653,11.240212928656558,13.318623528970775,12.544019603865745,10.6525,9.879999999999997,9.99237339277312,9.80050633083848,11.447882079046376,10.385611455155242,16.64060678904429,16.64060678904429,17.362341335585327,16.667650668619988,18.811637088614855,16.963138380887138
1999-08-31,MONSOON,7.26,5.78,5.245,9.345,11.118,12.5775,11.51,15.62791666666667,8.72125,7.720500000000002,7.758828460890194,7.476788221555351,6.486700417311729,5.556296541515113,6.15,5.229166666666668,5.405519415409051,5.427428499301435,5.239977204722955,5.323856645851517,5.8725000000000005,5.356250000000001,5.410662620680193,5.1759340754633065,4.719850640064537,4.818481832617486,10.5075,8.866875000000004,9.006023694713242,9.18153905015398,8.46416650029018,9.343260968523634,12.121250000000002,10.900999999999996,11.321824309458126,10.818528248939606,9.914066521150659,10.47640770456237,13.1140625,11.272499999999999,11.712992938611919,11.781590033110298,10.18157485824682,10.362720708055626,11.474375,10.222499999999997,10.599424035663873,10.394801615742352,9.057649873238319,9.576933243528522,16.64060678904429,16.64060678904429,16.668571468017866,16.409299594958622,15.619394627193818,16.968917895411067
1999-11-30,POMKH,8.627999999999998,7.256666666666668,5.52,11.4625,11.328,13.2075,12.03,15.391818181818184,9.288,8.4495,8.106497076534115,7.817006651882486,6.956762776060032,7.204530879040651,6.9037500000000005,5.923333333333335,6.145978315912098,6.262610815397805,4.928348180953873,5.565806290890909,6.28,5.695000000000001,5.454397572408116,5.2460975079123084,4.909920917263099,4.8715572714337245,11.805833333333332,9.919375000000002,9.988614216827944,10.289515819180197,8.654150385949299,9.344185517855998,12.097750000000001,11.659499999999998,11.324294585674876,10.914485665412467,10.636737266554903,10.776733397991126,14.3525,12.460625,12.310795763167151,12.35955871742827,10.437854465738937,10.084510065986512,12.211875,11.082499999999996,11.171654421398323,10.956035786335056,10.513656933092287,9.68566595599268,16.64060678904429,16.64060678904429,16.157870153537992,16.148308844887982,14.740100158512618,15.39322642130767
2000-02-29,POMRB,9.812,6.569999999999999,7.01,12.69,13.39,15.975,12.965,16.69961538461538,9.5505,8.993,8.788698245920468,8.44215108779824,9.1653908685947,8.855217134142707,7.982500000000001,6.376666666666668,6.315586989547258,6.355886050563111,6.338521521281372,6.39357300708501,6.501250000000001,6.050000000000002,6.0766385434448695,5.735087502948773,5.747326378788763,5.711256204795374,12.756979166666667,11.095625000000002,11.069168530096768,11.449634612186518,10.93516991570565,10.470379187258438,11.847000000000001,12.582999999999998,12.150576751404927,11.608898266578496,11.231537756108898,11.179231362492263,14.955729166666664,13.767499999999998,13.776477457900292,13.88647162970749,14.118842902710258,13.641424906805408,12.758750000000001,11.866249999999997,11.888992652838994,11.658419718224968,12.030867133415487,12.010378753863082,16.640606789044288,16.64060678904429,16.37456824596895,16.19852498891827,17.391817645749665,17.23724102177884
2000-05-31,PREMON,12.632,10.116666666666667,8.265,16.566666666666666,10.614,17.99,13.725,18.843076923076925,9.469,9.583,10.326018947552281,9.810246535483444,12.04108782006615,11.28336199197296,8.469166666666666,7.430833333333333,7.836018860395022,8.115209305705182,7.392939964170732,6.325515719960348,6.686875,6.51,6.9519831260669225,6.447297114260556,7.254126921690143,6.822486981406939,13.306979166666666,12.516041666666668,13.268167784724728,14.021572111061301,13.289580807869433,11.650431973886056,12.60025,11.6125,11.535946050842956,11.2422001628036,14.77718717247886,14.38652511234775,14.941145833333334,14.937499999999996,15.461886474740174,15.6200158575925,18.108437768520627,16.660606509948998,12.970624999999998,12.557499999999997,12.623395591703396,12.378195771882586,14.444182089367132,12.791142549175667,16.64060678904429,16.64060678904429,17.36197171681214,16.678100200070052,18.815019216593363,16.9630889389222
2000-08-31,MONSOON,7.0,10.193333333333333,5.175000000000002,11.2725,12.994000000000002,12.723333333333334,13.12,15.62791666666667,9.4585,9.518,8.99561136853137,8.78557325973389,8.799696778544506,7.726524012518247,8.482916666666666,8.534166666666666,8.778944649570347,9.046877585163703,8.342797414338362,8.263473894532671,6.987499999999999,6.4925,6.2411898756401545,6.032456172990297,6.187850163245852,6.300964668689,13.876979166666668,12.997916666666669,12.469900670834836,12.449432517741952,13.501284496529994,14.264129059188857,12.9461875,12.0815,12.119167630505775,11.714328499012304,9.867565398342837,10.611987349859927,14.861770833333335,14.973958333333329,14.366465218177439,14.307097036922297,14.897867825426713,14.630062103656641,12.96375,12.959999999999997,12.822037355022037,12.578475182191154,11.896972982780264,12.62604314141519,16.64060678904429,16.64060678904429,16.66834969675395,16.426967593158178,15.621906506867349,16.968893740037245
2000-11-30,POMKH,8.236,6.736666666666667,7.0749999999999975,13.935,15.478,12.945,12.114999999999998,15.391818181818184,9.631437499999999,9.420000000000002,8.691766821118822,8.53767475392963,7.660506603884081,7.840755677922831,8.340416666666666,8.404166666666665,7.962033456408875,7.852206463155133,8.72941752428537,9.118908921947973,6.973125,6.881249999999999,6.574713925384092,6.3036661827007086,5.7155762049453,5.455250974128927,14.145208333333333,13.61604166666667,13.055940402500902,13.109986189858073,11.89522037548973,12.673641085933847,13.347041666666668,13.119,13.462700578303465,12.79681392934765,11.40644639291189,11.63994048773961,14.574270833333333,14.908333333333328,13.797879130906464,13.665297099215428,12.094198023513709,12.244553457765164,12.893125,12.981249999999996,12.53922241301322,12.309339905538074,12.518672549380234,11.930257984234734,16.64060678904429,16.64060678904429,16.15773709077964,16.171484040798152,14.741932387590236,15.393214652567757
