Date,Season,Agamoni,Agamoni_Trend,Agamoni_SMA,Agamoni_EWMA,Agamoni_DES,Agamoni_TES,Agamoni_ARIMA
1996-02-29,POMRB,11.393333333333333,,,11.393333333333333,11.446350055226038,12.119294616562712,0.0
1996-05-31,PREMON,8.818,,,10.363199999999999,10.682631787366557,10.456513791152574,8.572942316308439e-12
1996-08-31,MONSOON,13.8875,11.252972222222223,,11.77292,11.611824596812546,14.630008155092508,2.6193956314699195e-11
1996-11-30,POMKH,9.71,11.896902777777777,10.952208333333333,10.947752,11.123597866183067,11.770593371054403,4.518986704698502e-11
1997-02-28,POMRB,13.799444444444443,12.356631944444445,11.55373611111111,12.088428977777777,11.97860405520515,13.415016153271399,11.035732797055456
1997-05-31,PREMON,11.563333333333333,13.183819444444444,12.240069444444444,11.878390719999999,12.02373103961848,11.55508747614604,8.541230995123035
1997-08-31,MONSOON,14.82,14.12138888888889,12.473194444444445,13.055034432,13.087168191524038,16.20398932529061,13.451615496118219
1997-11-30,POMKH,15.395,14.889791666666667,13.894444444444444,13.9910206592,14.212159885205965,12.756151879086449,9.405233949041552
1998-02-28,POMRB,15.615,15.198125,14.348333333333333,14.64061239552,15.239028731801243,15.977893051976874,12.682108565691216
1998-05-31,PREMON,15.895,14.73875,15.431249999999999,15.142367437312,16.15961950182459,13.905398150025352,10.374203369548297
1998-08-31,MONSOON,12.955,14.359375,14.964999999999998,14.2674204623872,15.89283649692182,18.572767216632187,14.19277548780094
1998-11-30,POMKH,13.585,14.17625,14.5125,13.994452277432321,15.704138937831148,15.536064076962822,13.107862885318813
1999-02-28,POMRB,14.39,14.309375000000001,14.206249999999999,14.152671366459392,15.6843053386413,16.908198858222047,14.665240621243058
1999-05-31,PREMON,15.655,14.599374999999998,14.146249999999998,14.753602819875635,15.994698605497891,14.914160244742808,14.066935522362346
1999-08-31,MONSOON,14.26,14.841875,14.4725,14.55616169192538,15.759377373887519,16.854316950978642,13.33615961908081
1999-11-30,POMKH,14.6,15.089375,14.726249999999999,14.573697015155227,15.594705750879525,15.227737307479947,13.934169758989963
2000-02-29,POMRB,15.315,15.209375000000001,14.9575,14.870218209093135,15.635607103328974,16.512863566650786,14.519792832089038
2000-05-31,PREMON,16.71,15.268125000000001,15.221249999999998,15.606130925455881,16.093535852161928,15.59416642710551,15.41726854344381
2000-08-31,MONSOON,14.165,15.39875,15.197499999999996,15.029678555273529,15.664595890741104,16.521330844505187,13.515077077248879
2000-11-30,POMKH,15.165,15.432500000000001,15.338749999999996,15.083807133164118,15.56587636253413,15.422140524677246,13.948675711332816
2001-02-28,POMRB,15.795,15.538124999999999,15.458749999999995,15.368284279898472,15.666968074930628,16.523600870644486,14.680227851684617
