Date,Season,Kahara,Sonbarsa,Mahishi,Satar Kateya,Saurbazar,Simri Bakhtiyarpur,Kahara_Trend,Kahara_SMA,Kahara_EWMA,Kahara_DES,Kahara_TES,Kahara_ARIMA,Sonbarsa_Trend,Sonbarsa_SMA,Sonbarsa_EWMA,Sonbarsa_DES,Sonbarsa_TES,Sonbarsa_ARIMA,Mahishi_Trend,Mahishi_SMA,Mahishi_EWMA,Mahishi_DES,Mahishi_TES,Mahishi_ARIMA,Satar Kateya_Trend,Satar Kateya_SMA,Satar Kateya_EWMA,Satar Kateya_DES,Satar Kateya_TES,Satar Kateya_ARIMA,Saurbazar_Trend,Saurbazar_SMA,Saurbazar_EWMA,Saurbazar_DES,Saurbazar_TES,Saurbazar_ARIMA,Simri Bakhtiyarpur_Trend,Simri Bakhtiyarpur_SMA,Simri Bakhtiyarpur_EWMA,Simri Bakhtiyarpur_DES,Simri Bakhtiyarpur_TES,Simri Bakhtiyarpur_ARIMA
1996-02-29,POMRB,2.12,2.575,2.4,1.95,3.47,1.72,,,2.12,2.255089278309311,2.543577287728603,0.0,,,2.575,2.7737290988738414,2.5145691190323576,0.0,,,2.4,2.8180151078874474,2.4099999999999997,0.0,,,1.95,1.9591727081150077,2.045044457972955,0.0,,,3.47,2.864819455190098,3.4799700762043653,0.0,,,1.72,1.9186351687866043,1.8037499999999997,0.0
1996-05-31,PREMON,1.82,3.0250000000000004,2.63,2.26,3.73,1.96,,,2.0,2.1533222845625413,3.1650599354588294,2.119998764020317,,,2.7550000000000003,2.7757903484021216,3.4188264857157993,1.526346997861587,,,2.492,3.023929683997284,2.6488365650969525,0.0,,,2.074,2.0074934360417243,2.5777910462074876,1.9499993334105634,,,3.574,2.8879772505548766,3.7474415435142863,3.469998810228362,,,1.816,1.9303679612829416,2.1177562326869803,7.056681510793176e-07
1996-08-31,MONSOON,1.97,1.39,1.75,1.77,2.21,1.99,2.23,,1.988,2.0830742664624715,1.1755195115296568,1.9691206663947876,2.416875,,2.209,2.777853125384129,1.1401370523132206,1.9258454997456813,2.1887499999999998,,2.1952,2.9432240492173283,1.7765342500441217,0.0,2.0475,,1.9524,1.9728961090481678,1.1507979736278835,2.123655570710196,2.841458333333333,,3.0283999999999995,2.5697107982143366,2.232597342524747,3.634243482908223,2.0637499999999998,,1.8856,1.9479002072152989,2.2122243441195195,1.624599769467688e-06
1996-11-30,POMKH,2.74,2.43,2.03,2.01,2.29,2.12,2.49,2.1625,2.2888,2.1345118200318938,1.890239362426402,1.9694188009587865,2.5625,2.355,2.2974,2.779917438027435,2.184104175956295,1.4910265061156163,2.1283333333333334,2.2024999999999997,2.12912,2.897726793157592,2.0631276440545343,0.0,2.125,1.9975,1.9754399999999999,1.9798421064612173,1.8831797602745262,1.9628494053049788,2.545416666666667,2.925,2.7330399999999995,2.3396273952573257,2.3156221032681326,2.89010957280911,2.3075,1.9475,1.97936,1.9938239242997138,2.397444018956728,2.6028601494467127e-06
1997-02-28,POMRB,2.66,3.0700000000000003,2.29,2.35,2.8016666666666667,2.65,2.6593750000000003,2.2975000000000003,2.4372800000000003,2.1773452488951226,2.5207784405438,2.1475146005911347,2.618125,2.47875,2.60644,2.7819832864156684,2.592681693952382,2.435517374028623,2.079791666666667,2.1749999999999994,2.193472,2.8904291522166106,2.4302388786505045,2.4000000000000004,2.128125,2.0975,2.125264,2.040202131809472,2.2732944559715524,1.9454002390561018,2.3133854166666667,2.757916666666666,2.7604906666666666,2.293439397979943,3.4952476611696595,3.184063590985169,2.3750000000000004,2.1799999999999997,2.247616,2.1603273137383123,2.008513766592715,1.6619687962688816
1997-05-31,PREMON,3.3600000000000008,3.695,2.256666666666667,2.48,2.03,2.98,2.6309375,2.6825000000000006,2.8063680000000004,2.327170885386089,3.2454087356067913,2.0258397997630646,2.583125,2.6462499999999998,3.041864,2.7840506716504296,3.6790517643063594,3.031648217533087,2.0704166666666666,2.081666666666666,2.2187498666666663,2.849134096686059,2.6455010877098473,2.63,2.08,2.1525000000000003,2.2671584,2.115236240045843,2.881130168566429,2.363375674411687,2.2415625,2.332916666666666,2.4682944,2.0931077649844374,3.5839713699751377,3.308150421450858,2.2987499999999996,2.4349999999999996,2.5405695999999995,2.395551265954301,2.3675235340487593,1.8938714075221887
1997-08-31,MONSOON,1.785,1.165,1.735,1.575,2.05375,1.51,2.6381250000000005,2.6362500000000004,2.3978208,2.240420056008385,1.5233876713586905,2.2526659346404436,2.52875,2.59,2.2911183999999998,2.7861195865322426,1.5793679280468986,1.7434490496053983,2.0554166666666664,2.077916666666666,2.02524992,2.6551198873803505,1.7212459872690236,1.75,2.03125,2.1037500000000002,1.99029504,2.038240291914531,1.4290437093685542,2.100798045629354,2.1608680555555555,2.293854166666666,2.30247664,1.94881430625986,1.6430820221989935,2.119290206667223,2.22875,2.3149999999999995,2.1283417599999996,2.2666330914486803,2.5242821356631144,1.9228592443211736
1997-11-30,POMKH,2.6975,2.375,1.97,1.82,1.8716666666666668,1.99,2.739375,2.6256250000000003,2.51769248,2.293375948953405,2.140445458423156,2.6540017882569504,2.5103125000000004,2.57625,2.3246710399999997,2.7881900420860766,2.333173071769809,2.06046978110478,2.018333333333333,2.0629166666666663,2.003149952,2.5206554928770166,2.0004509449420937,2.03,2.06375,2.0562500000000004,1.9221770239999998,2.007590272781498,1.9394232165474703,2.0345033941334,2.2232986111111113,2.1892708333333326,2.130152650666667,1.8031106611131174,1.7342902523060064,2.456364843894975,2.2237500000000003,2.2824999999999998,2.0730050559999995,2.244835523714187,2.602458485084928,2.0484731552056017
1998-02-28,POMRB,2.76,2.69,2.23,2.15,2.5744444444444445,2.22,2.8408333333333333,2.6506250000000002,2.614615488,2.3557382040589556,2.717338468767092,2.4882137533937367,2.543333333333333,2.4812499999999997,2.470802624,2.790262037090548,2.6526053286910463,2.7336715222293684,1.944375,2.0479166666666666,2.0938899712,2.4564177021764606,2.2715976873537946,2.29,2.107291666666667,2.0062500000000005,2.0133062144,2.0323706238805013,2.2168364711944073,2.0917270277799638,2.2557465277777777,2.1324652777777775,2.307869368177778,1.8722470166029497,2.767437961624479,2.9743083081376906,2.3020833333333335,2.175,2.1318030336,2.2711135718552247,2.561051049787121,2.2310651238911205
1998-05-31,PREMON,4.07,3.9275,2.02,2.94,2.7566666666666664,3.37,2.858854166666667,2.828125,3.1967692928,2.6155902625588445,3.4242716066016707,2.680758720275385,2.550416666666666,2.5393749999999997,3.0534815744,2.7923355751286802,3.54679957949845,3.1430398312972967,1.8987499999999997,1.9887499999999998,2.06433398272,2.3430146649235195,2.282945226660974,2.256666666666667,2.132083333333333,2.1212500000000003,2.3839837286399996,2.180865681378024,2.75283819559429,2.2922137205667825,2.1509027777777776,2.314131944444444,2.4873882875733333,2.0032986184974315,2.772558216845862,2.8579408624891833,2.3666666666666667,2.2725,2.62708182016,2.563231026730733,2.7894038581488663,2.519014344995457
1998-08-31,MONSOON,1.8866666666666667,1.1966666666666663,1.38,1.4633333333333332,1.586666666666667,1.7466666666666668,2.919166666666667,2.8535416666666666,2.6727282423466665,2.539767045398494,1.7995953496414114,2.296402287315732,2.611666666666667,2.5472916666666663,2.3107556113066665,2.7944106468552117,1.6064537384462518,1.5933637329525323,1.8912499999999999,1.8999999999999997,1.790600389632,2.0821568195457747,1.7074040150538459,1.735,2.210833333333333,2.0933333333333337,2.0157235705173333,2.0788231373429897,1.5758357491959423,2.0263708684834736,2.0493055555555557,2.1973611111111104,2.127099639210667,1.8427192771849652,1.4807060319053684,2.199810818960751,2.466666666666667,2.3316666666666666,2.274915758762667,2.4534107844344057,2.242485058444877,1.6671939802790956
1998-11-30,POMKH,2.74,2.4,1.96,2.13,1.5,2.27,2.989166666666667,2.8641666666666667,2.699636945408,2.590512817833184,2.384663919368177,2.8664707492957486,2.6713541666666667,2.5535416666666664,2.346453366784,2.796487263811475,2.3622599790896723,2.216295040584791,1.8975,1.8974999999999997,1.8583602337792,1.9953960941256272,1.906132785235283,1.97,2.2308333333333334,2.1708333333333334,2.0614341423104,2.0926338190808407,1.9650176775482187,1.9831228436802193,1.9887499999999998,2.104444444444444,1.8762597835264,1.688888956477945,1.4661423829518236,2.0580778025048483,2.5441666666666665,2.4016666666666664,2.2729494552576,2.459243198574223,2.5347996073578662,2.0001418119420444
