Date,Season,Pondicherry,Pondicherry_Trend,Pondicherry_SMA,Pondicherry_EWMA,Pondicherry_DES,Pondicherry_TES,Pondicherry_ARIMA
1996-02-29,POMRB,2.32,,,2.32,2.293261992156199,2.335140245701111,0.0
1996-05-31,PREMON,2.98,,,2.5839999999999996,2.520750056067863,2.2179653054006545,2.319983122297834
1996-08-31,MONSOON,2.08,2.1325,,2.3823999999999996,2.3578222605046393,3.1419939593102164,2.4865145648653026
1996-11-30,POMKH,1.62,1.9412500000000001,2.25,2.07744,2.092971906220493,0.9558376939999027,2.7524158311898343
1997-02-28,POMRB,1.38,1.875,2.0149999999999997,1.798464,1.8378280028559075,2.633151169944307,1.9122344541303309
1997-05-31,PREMON,2.39,1.84,1.8674999999999997,2.0350784,2.020765614102662,2.0615555580933203,1.6022193436773517
1997-08-31,MONSOON,2.14,1.8062500000000001,1.8824999999999998,2.07704704,2.053384490654313,2.826431841091866,1.5978183879530383
1997-11-30,POMKH,1.28,1.84375,1.7974999999999997,1.758228224,1.7775409840968046,0.7781283092497038,2.2034135675018303
1998-02-28,POMRB,1.45,1.7275,1.8149999999999997,1.6349369343999998,1.6568679537317044,2.395871866282529,1.7996600829427507
1998-05-31,PREMON,2.62,1.6675,1.8724999999999996,2.02896216064,1.9825245328977397,1.9370652975569063,1.4688050847234857
1998-08-31,MONSOON,0.98,1.9225,1.5824999999999996,1.6093772963839998,1.6278329705062446,2.832059739528321,1.7742167346963233
1998-11-30,POMKH,1.96,2.15875,1.7524999999999997,1.7496263778304,1.7356677448320565,0.35590423803639126,1.938247297991413
1999-02-28,POMRB,2.81,2.42375,2.0925,2.17377582669824,2.0994005130465645,2.378226941207088,1.1274584550017965
1999-05-31,PREMON,3.15,2.66625,2.2249999999999996,2.564265496018944,2.4533936762645765,2.4250946922734853,2.4615489842198035
1999-08-31,MONSOON,2.57,2.705,2.6224999999999996,2.5665592976113665,2.483270770550223,3.335494741953186,2.8232281807681936
1999-11-30,POMKH,2.31,2.6,2.71,2.46393557856682,2.4128932621268624,1.25817061279714,2.768873609295055
2000-02-29,POMRB,2.77,2.45375,2.6999999999999997,2.586361347140092,2.5260145392693207,3.077780034542261,2.532561464538556
2000-05-31,PREMON,2.35,2.3437500000000004,2.4999999999999996,2.4918168082840553,2.45450809084489,2.853189588641505,2.7668833744069934
2000-08-31,MONSOON,2.2,2.325,2.4074999999999998,2.3750900849704335,2.356191910934671,3.312808714980632,2.546219720423764
2000-11-30,POMKH,1.8,2.395,2.28,2.14505405098226,2.1540863468039433,1.1080005339710226,2.0505795710429195
2001-02-28,POMRB,3.13,2.445,2.37,2.539032430589356,2.4820500639803225,2.7955318365151527,2.1419982482653
