Date,Season,Ramnagar,Jammu,Udhampurr,Reasi,Billawar,Ramnagar_Trend,Ramnagar_SMA,Ramnagar_EWMA,Ramnagar_DES,Ramnagar_TES,Ramnagar_ARIMA,Jammu_Trend,Jammu_SMA,Jammu_EWMA,Jammu_DES,Jammu_TES,Jammu_ARIMA,Udhampurr_Trend,Udhampurr_SMA,Udhampurr_EWMA,Udhampurr_DES,Udhampurr_TES,Udhampurr_ARIMA,Reasi_Trend,Reasi_SMA,Reasi_EWMA,Reasi_DES,Reasi_TES,Reasi_ARIMA,Billawar_Trend,Billawar_SMA,Billawar_EWMA,Billawar_DES,Billawar_TES,Billawar_ARIMA
2005-11-30,POMKH,11.24818181818182,10.068333333333333,1.5775,9.796666666666667,3.6828571428571433,11.653579545454546,10.048153409090911,10.118078629051919,6.408902881793718,7.390467238005591,4.863773282778278,9.523202380952382,9.73239285714286,9.47557943755997,9.632376547228233,8.709149062988384,8.602037037037038,1.7862500000000001,2.1056250000000003,1.8047886582649524,1.925974828004824,1.9733396447140028,2.089875550634865,8.882083333333334,8.732500000000003,9.092019288454424,8.85978198326706,8.725722984841497,8.602142774882795,4.391815476190477,4.293809523809525,4.0330677000076545,3.4897543812517267,4.199002210573977,4.771742093561754
2006-02-28,POMRB,11.744545454545458,9.193333333333333,1.49,9.936666666666667,4.884285714285714,10.884878246753248,11.668977272727275,10.768665359249335,6.435126099985269,8.817702481884387,5.56872378439575,9.560238095238098,9.423583333333337,9.362680995869315,9.601587147534831,10.650759990598008,10.428571428571429,1.73625,1.8018750000000003,1.6788731949589715,1.7058714008271767,1.9839976375947108,2.019199632982459,8.978645833333333,8.775833333333336,9.42987823973932,9.200648325485242,9.317080686630051,9.921500293191606,4.388660714285715,4.250595238095239,4.373554905718878,3.7759161237847203,5.237874891922826,5.317170074767647
2006-05-31,PREMON,12.229999999999995,11.154285714285717,2.83,9.245,6.668333333333334,9.34422382305195,11.63818181818182,11.3531992155496,6.461456616118864,11.936188000871965,8.255640660824374,9.25369642857143,9.622821428571434,10.079322883235875,10.212435510400027,10.40136992805542,10.357333333333333,1.6846875000000001,1.7706250000000003,2.139323916975383,2.1279477605338566,2.470028809679442,2.069241093703668,8.709999999999999,8.988333333333337,9.355926943843592,9.12813513974757,9.54493587605253,9.249042904228036,4.342261904761905,4.533035714285715,5.291466276764661,4.84946280733434,7.0838384850874405,7.164458492979996
2006-08-31,MONSOON,5.303571428571429,7.574666666666667,0.91,6.8975,1.7416666666666665,7.825138122294371,10.131574675324678,8.93334810075833,6.487894856221225,7.915336342398159,5.619668352045234,8.999904761904762,9.497654761904768,9.077460396608192,9.536896515615018,7.8833281044228265,8.075333333333335,1.7779166666666668,1.7018750000000002,1.6475943501852297,1.661198704976739,1.1813288500256889,1.3828246888299185,8.186770833333334,8.968958333333337,8.372556166306154,8.152887259482505,8.173420528803875,7.9595752121684225,4.458660714285715,4.244285714285715,3.871546432725463,3.744515823445483,1.7317877643474362,2.3636494465920563
2006-11-30,POMKH,4.949375,8.116666666666669,1.44,7.725,4.466666666666668,7.114236607142856,8.556872970779224,7.339758860454998,6.5144412725941105,8.541491044687143,6.349068324337554,8.782702380952381,9.0097380952381,8.693142904631582,9.08638392592329,9.542394251067506,10.068333333333333,1.7948958333333334,1.6675000000000002,1.5645566101111377,1.5056204349993478,1.6606714537928196,1.7358998248373094,7.864687499999999,8.45104166666667,8.11353369978369,7.9031015645803135,8.742159942620837,8.30816709854629,4.345684523809524,4.4402380952380955,4.109594526301945,3.91964874737461,3.7480216841444065,3.9578808222362616
2007-02-28,POMRB,5.890666666666666,9.114666666666666,2.373333333333333,7.8225,5.031666666666666,7.713061011904761,7.0934032738095265,6.760121982939665,6.541096310133133,8.456429556689397,6.995672279480284,8.554333333333334,8.990071428571433,8.861752409445614,9.019583477933498,9.522115001998754,9.193333333333333,1.732708333333333,1.8883333333333332,1.8880672994000158,1.8035136494295367,1.7443654427103974,1.7362768330691487,7.880000000000001,7.922500000000003,7.997120219870215,7.793677116073787,8.196889404004855,8.45181099488978,4.340952380952381,4.477083333333334,4.478423382447833,4.333144246552261,5.1645754567550215,5.496492715116079
2007-05-31,PREMON,12.396666666666668,9.495333333333337,2.0825,8.7825,5.6171428571428565,8.183437900641024,7.135069940476194,9.014739856430467,6.567860423043629,10.459930009049968,9.151937730791335,8.53625,8.575333333333337,9.115184779000703,9.103252808683084,10.68318806230229,11.154285714285717,1.7892708333333334,1.701458333333333,1.9658403796400097,1.940424226529435,2.6986146483291678,2.348062309572375,8.029375000000002,7.806875000000003,8.311272131922129,8.110015440751102,7.880895460187272,7.692255179984549,4.66375,4.214285714285714,4.933911172325843,4.949846548438944,7.062132338881365,7.0434131202408246
2007-08-31,MONSOON,9.927499999999998,7.406666666666666,1.16,7.4825,2.7550000000000003,8.065026098901098,8.291052083333337,9.379843913858279,6.594734041882585,6.772587891512431,5.5188348030552845,8.519833333333334,8.533333333333337,8.431777534067088,8.506248535637555,7.324365931221758,7.574666666666667,1.7354166666666666,1.763958333333333,1.6435042277840057,1.6488089771496333,1.0029378221165,1.1713074323529968,8.191875000000001,7.9531250000000036,7.9797632791532775,7.781373162217802,7.159424426184806,7.131998985139364,4.937529761904762,4.467619047619047,4.062346703395505,4.2498672063723015,1.4932707231502942,1.7857127208640824
2007-11-30,POMKH,4.088461538461537,8.14,1.6425,8.335,6.035714285714287,7.458395146520146,8.075823717948722,7.263290963699582,6.62171760880187,8.569363411075784,5.989831717821161,8.575666666666667,8.53916666666667,8.315066520440253,8.238986724346686,8.375420661203991,8.11666666666667,1.7390625000000002,1.8145833333333332,1.6431025366704035,1.6119238479035292,1.6608971328197977,1.7110197254687751,8.213750000000001,8.105625000000003,8.121857967491966,7.925006528914049,8.596242318559261,8.129139470293817,4.971428571428572,4.859880952380952,4.851693736323018,5.007446704164497,3.9875146481165595,4.517718690515123
2008-02-29,POMRB,5.804285714285713,8.96,1.74,8.5125,5.652857142857143,6.044237949550449,8.054228479853483,6.679688863934034,6.648811586927394,8.303880653039144,6.703326312885041,8.68625,8.500500000000004,8.573039912264152,8.307506873118415,9.085283947130327,9.114666666666666,1.836875,1.65625,1.6818615220022421,1.6330064203049566,1.82892895977329,1.8655373353313167,8.161875,8.278125000000005,8.27811478049518,8.080682066800069,8.462271663387233,8.478151143258136,4.9262202380952385,5.015178571428572,5.1721590989366675,5.490550915437639,5.631239120217605,5.995077655273038
2008-05-31,PREMON,7.63,10.096666666666666,2.745,8.267499999999998,5.267142857142859,5.444409965034965,6.862561813186817,7.059813318360421,6.676016428219566,10.32081303177471,9.870586780879474,8.780833333333334,8.650833333333336,9.182490614025157,8.781132524148086,9.822614107342499,9.495333333333337,1.8609375000000001,1.8218750000000004,2.107116913201345,2.118732085949044,2.483852635651682,2.1181168669550456,8.1071875,8.149375000000004,8.273868868297107,8.075715999676397,8.378255559144296,8.133733448932317,4.670833333333333,4.927678571428572,5.210152602219145,5.687307234661386,7.343089810245582,6.849197292940902
2008-08-31,MONSOON,3.3809090909090918,7.69,1.28,7.5825,2.7433333333333336,5.7831737012987015,5.2259140859140905,5.588251627379889,6.703332575638467,5.694090057911772,6.527834126604037,8.823333333333332,8.72166666666667,8.585494368415095,8.42358043811196,7.371942624320505,7.406666666666666,1.9133333333333336,1.8518750000000002,1.7762701479208072,1.8697765686902674,1.1539482967980121,1.3164795716775453,7.917812499999998,8.174375000000005,7.997321320978264,7.800742832321352,7.107040956801015,6.874377172199646,4.360089285714286,4.924761904761906,4.22342489466482,4.734566719164613,2.0690254729573754,1.9721637902654483
2008-11-30,POMKH,5.836428571428572,8.613333333333333,1.715,7.7975,4.0042857142857144,5.982108225108225,5.6629058441558495,5.6875224049993625,6.730760496375135,6.380856544509603,5.515266022615701,8.813749999999999,8.840000000000003,8.59662995438239,8.416382311680133,8.264229245460903,8.14,2.403125,1.87,1.7517620887524843,1.8289168875731125,1.7989778575548407,1.8412475601867024,7.824375,8.040000000000004,7.917392792586959,7.723041828339765,8.626819856447565,8.248975828196082,4.535297619047619,4.416904761904762,4.1357692225131775,4.413174239843511,4.534630370237852,4.9513127004976525
2009-02-28,POMRB,6.766428571428571,8.826666666666664,2.086666666666667,7.535,5.198333333333333,6.420750541125541,5.903441558441564,6.1190848715710455,6.758300645094361,6.914468009301652,6.460989232784894,8.888166666666667,8.80666666666667,8.6886446392961,8.495459519241466,9.104898920714726,8.96,2.989583333333333,1.9566666666666666,1.8857239199181572,1.9536156685399693,1.9396659440289703,1.9673309322677308,7.872812500000001,7.795625000000006,7.764435675552176,7.572714395283008,8.18379333807932,8.101149347177516,5.030863095238095,4.30327380952381,4.56079486684124,4.648204744258636,5.094674734736587,5.041264034058777
2009-05-31,PREMON,8.259333333333332,10.153333333333336,6.316666666666666,8.4975,7.123333333333332,6.8425119047619045,6.060774891774897,6.975184256275961,6.785953481984936,9.408760193633109,9.298814690086932,9.138386904761905,8.820833333333338,9.274520116910995,9.021767125364507,10.058085771765022,10.096666666666666,3.271875,2.8495833333333334,3.658101018617561,4.295371835268321,2.692959987642675,2.36756985746105,7.9803125,7.853125000000006,8.057661405331306,7.865786642024028,7.718651501361323,7.515160434331322,5.392261904761904,4.767321428571428,5.585810253438077,5.702313609346684,6.4629767273302985,6.167399194284869
2009-08-31,MONSOON,6.260714285714285,8.228666666666665,2.4,7.74,4.851666666666667,7.059208333333332,6.780726190476195,6.689396268051291,6.813719462006045,5.0949347052379785,5.759308907712473,9.519458333333333,8.955500000000004,8.856178736813263,8.847691220498511,7.612782473907343,7.69,3.3164583333333333,3.1295833333333336,3.1548606111705366,4.432084294638814,2.7650674383635945,2.8936447274729886,8.2765625,7.892500000000006,7.930596843198783,7.738783774261261,6.930213365268498,6.987996137767296,5.79782738095238,5.294404761904762,5.292152818729513,5.62148205407468,2.443746851542574,3.0070314318024893
2009-11-30,POMKH,6.3307142857142855,10.076428571428574,2.853333333333333,8.5,4.7871428571428565,7.337744047619048,6.9042976190476235,6.5459234751164885,6.841599051732398,6.487921363972436,5.564597527984023,9.634158008658009,9.321273809523813,9.344278670659389,9.295633841045266,8.557074161033432,8.613333333333333,3.1616666666666666,3.414166666666667,3.034249700035655,4.540787009397678,3.20532594172122,3.2248782712280404,8.612187500000001,8.068125000000006,8.15835810591927,7.96527243338204,8.631695552516225,8.144709969911899,6.242619047619046,5.490119047619047,5.090148834094851,5.461140743464385,5.189071090547433,5.530456628885275
2010-02-28,POMRB,8.005714285714287,10.412142857142856,1.3050000000000002,9.2025,7.6599999999999975,7.357619047619048,7.214119047619052,7.129839799355608,6.869592718834468,7.100137688826743,6.502127073348671,9.437173160173161,9.71764285714286,9.771424345252775,9.800575019032989,9.164407474650755,8.826666666666664,3.502083333333333,3.21875,2.342549820021393,3.7233478970031046,3.2342658610684927,3.270326853282213,8.682500000000001,8.485000000000007,8.576014863551562,8.378576585993649,8.56861548017567,8.443373719984107,6.084494047619047,6.105535714285713,6.11808930045691,6.525917572811113,5.896291671846641,5.404637975857632
2010-05-31,PREMON,9.248333333333337,9.485454545454548,5.86,9.515,8.22,7.267842261904764,7.461369047619053,7.977237212946699,6.897700929322178,9.808311257347452,9.01151991015435,9.162286255411255,9.550673160173162,9.657036425333484,9.909479507364766,10.509285429412504,10.153333333333336,4.264166666666667,3.1045833333333333,3.749529892012836,5.034859654735235,3.1218650706123316,3.065080881387655,8.5546875,8.739375000000006,8.951608918130937,8.747800718676872,8.802890472117006,8.664438890697497,5.744851190476189,6.37970238095238,6.9588535802741465,7.679557932341298,7.831473574204525,7.454283203003781
2010-08-31,MONSOON,5.430714285714287,7.320666666666666,5.579999999999999,7.285,2.49,7.20418942577031,7.2538690476190535,6.958628042053734,6.92592414299372,5.614142408792958,5.849658809693132,8.822631493506494,9.323673160173161,8.722488521866756,9.240131129491163,8.240815187791476,8.228666666666665,5.236041666666667,3.8995833333333327,4.481717935207701,6.000725881747768,2.824735307081738,2.939977275091522,8.317187500000001,8.625625000000005,8.284965350878561,8.081201616940183,7.9809988028924295,7.8707577627476235,5.298988095238094,5.789285714285713,5.171312148164488,6.127285155764957,4.040913780023643,4.047672041900052
2010-11-30,POMKH,6.442500000000003,8.785333333333332,5.7700000000000005,7.9325,4.431666666666667,6.837664565826332,7.2818154761904825,6.752176825232242,6.954262838877705,6.733243323883919,5.717877661769902,8.67643181818182,9.000899350649352,8.747626446453387,9.101098588858756,9.538132857825747,10.076428571428574,5.625208333333333,4.62875,4.997030761124621,6.790221451239994,4.566009502968801,4.542405434755013,8.095625,8.483750000000004,8.143979210527137,7.942988605890545,8.865503075280191,8.184518274419615,4.45547619047619,5.700416666666665,4.8754539555653595,5.515404833791101,5.175192945294152,4.327751024761339
2011-02-28,POMRB,7.384705882352941,8.986000000000002,6.163333333333334,7.87,4.448571428571428,6.450551470588236,7.126563375350146,7.0051884480805215,6.982717489368651,7.318352129384305,6.823602578809755,8.86675,8.64436363636364,8.842975867872033,9.043638447602042,9.728410428810198,10.412142857142856,5.076458333333333,5.843333333333334,5.463551790008106,7.4703152339874554,5.243713192382047,5.136863829232059,7.8629999999999995,8.150625000000003,8.034387526316282,7.836196704262087,8.366896425334613,8.39462633011589,3.8993928571428573,4.897559523809523,4.7047009447677866,5.009212673992746,6.164448900119765,5.916080224769004
2011-05-31,PREMON,6.937142857142858,9.742,4.114999999999998,9.075,4.683333333333334,6.29727468487395,6.548765756302526,6.977970211705456,7.011288566478004,9.856165587979959,9.024548730195985,8.942848958333334,8.708500000000004,9.20258552072322,9.248975633819978,9.5201427097661,9.485454545454548,4.408333333333333,5.4070833333333335,4.924131074004863,6.872636353352243,6.319149221787879,6.393147661215807,7.5680625,8.040625000000002,8.450632515789769,8.251390990336418,7.985172231662902,7.969821465735403,3.692684523809524,4.013392857142856,4.696153900194005,4.7151156360926585,6.874987918491247,6.330417250462105
2011-08-31,MONSOON,4.644999999999999,8.586666666666668,2.935,5.864,1.5780000000000003,6.124707282913167,6.352337184873954,6.044782127023273,7.039976543350667,5.183116623708152,5.724018036469254,8.787916666666668,9.025000000000004,8.956217979100598,9.050777716743621,7.453900687596342,7.320666666666666,3.6810416666666663,4.745833333333334,4.128478644402918,5.647466410341063,3.961344835563474,4.2594372741078885,6.808562500000001,7.685375000000001,7.415979509473861,7.222480335279682,7.3669671153683804,7.503848754641353,3.4849464285714284,3.7853928571428557,3.4488923401164033,3.3418306571345777,2.0155215212616278,2.151357721241305
2011-11-30,POMKH,6.0020000000000024,8.128124999999999,3.07,6.9940000000000015,3.69,6.116476190476192,6.242212184873954,6.027669276213965,7.06878190470496,6.230216672289977,5.860639623041167,8.589190972222223,8.86069791666667,8.624980787460359,8.722753204390596,9.082437033459948,8.785333333333334,3.333125,4.070833333333334,3.7050871866417507,4.619948983854411,4.125885167010072,4.226560260459422,5.3985625,7.450750000000002,7.2471877056843175,7.060997238720957,7.810722038086252,7.072964938539083,3.3795,3.599976190476189,3.5453354040698417,3.1293521451168997,3.605891707449227,3.9684234083047834
2012-02-29,POMRB,6.444666666666667,8.40375,3.045,2.7325,3.5283333333333338,6.2780707282913175,6.007202380952386,6.194468232395046,7.097705129236961,6.828018229561765,6.922834751905335,8.226204601235851,8.71513541666667,8.536488472476215,8.533553283549974,9.255865527076388,8.986000000000002,3.3714062499999997,3.29125,3.4410523119850502,3.8026860488822845,3.8613386155948892,3.862615807126696,4.670531250000001,6.166375000000001,5.441312623410591,5.27289321549528,7.372881455303715,7.5578178234223685,3.4644791666666666,3.3699166666666653,3.5385345757752384,2.988791408740664,4.659229862719261,5.1523762639006225
2012-05-31,PREMON,7.811333333333335,8.734444444444444,4.45,2.9325,4.76,6.321391456582633,6.225750000000005,6.841214272770362,7.126746700826347,9.274542649018887,8.493393805273566,7.8627541925510664,8.46324652777778,8.615670861263506,8.495633681775834,9.598346611561826,9.742,3.1755208333333336,3.375,3.8446313871910305,3.791253296957909,4.212970418583738,4.200120477476513,4.637729166666667,4.630750000000002,4.437787574046354,4.291822631662766,4.733020788383165,4.512362026465025,3.526333333333333,3.389083333333332,4.027120745465143,3.4501083655535973,5.452041526914257,5.433307681899084
