Date,Season,Ramnagar,Kotabagh,Haldwani,Bhimtal,Ramnagar_Trend,Ramnagar_SMA,Ramnagar_EWMA,Ramnagar_DES,Ramnagar_TES,Ramnagar_ARIMA,Kotabagh_Trend,Kotabagh_SMA,Kotabagh_EWMA,Kotabagh_DES,Kotabagh_TES,Kotabagh_ARIMA,Haldwani_Trend,Haldwani_SMA,Haldwani_EWMA,Haldwani_DES,Haldwani_TES,Haldwani_ARIMA,Bhimtal_Trend,Bhimtal_SMA,Bhimtal_EWMA,Bhimtal_DES,Bhimtal_TES,Bhimtal_ARIMA
2001-11-30,POMKH,4.781249999999999,56.64,27.960069444444446,17.06,5.263288825757575,5.5387398538961055,4.9946128855067755,6.003572659536142,5.165881460375091,5.016208175699137,64.1125,64.11249999999998,62.440354140929955,62.99688193732982,56.64,56.639998547729945,30.41694196428572,30.41694196428571,30.332432908060436,30.825317579589335,28.583194600715068,27.002531866845068,17.770123376623378,17.770123376623374,17.1289406275462,17.52601283784596,17.06,17.010439026388383
2002-02-28,POMRB,5.7586666666666675,59.59,26.43375,19.109,5.611887648809525,5.120192234848487,5.300234397970732,6.028137381541296,5.731899874969022,5.931723786042894,64.1125,64.11249999999998,61.300212484557974,61.00420154959635,59.59,59.58999859803037,30.41694196428572,30.416941964285705,28.772959744836264,28.658302629034992,25.05427577741841,25.528483688263538,17.770123376623378,17.770123376623374,17.92096437652772,17.872412625217827,19.109,19.05348648037841
2002-05-31,PREMON,7.767500000000001,74.05499999999998,33.46130952380953,20.257857142857144,5.875090773809524,5.4063854166666685,6.287140638782439,6.0528026181053125,8.26165398465515,6.91964820316096,64.1125,64.11249999999998,66.40212749073478,66.28817729266942,74.05499999999998,74.0549986449636,30.41694196428572,30.41694196428571,30.64829965642557,30.53499239090111,34.0857411621888,32.31537312589054,17.770123376623378,17.770123376623374,18.85572148305949,18.4725681453389,20.257857142857144,20.199006080530943
2002-08-31,MONSOON,4.962142857142856,66.16499999999999,33.81263888888889,14.653636363636364,5.947958333333334,5.817389880952382,5.757141526126606,6.077568772063861,4.080838144087013,3.4912555577815834,64.1125,64.11249999999998,66.30727649444087,67.02005784940579,66.16499999999999,66.16499868885687,28.17522321428572,30.416941964285705,31.9140353494109,32.318448320797614,34.001161630605836,32.65467065142651,17.770123376623378,17.770123376623374,17.174887435290238,17.705041634351282,14.653636363636364,14.611066112456271
2002-11-30,POMKH,5.242857142857143,56.64,27.960069444444446,17.06,5.759791666666667,5.932791666666668,5.551427772818821,6.102436261747903,5.4161400785961735,4.932871220628397,64.249375,64.11249999999998,62.44036589666452,62.99643274448528,56.64,56.63999872999624,26.719903273809525,30.41694196428571,30.332448987424318,30.697559888040388,28.57857598519005,27.002531866845068,17.620391233766235,17.770123376623374,17.12893246117414,17.537234583253735,17.06,17.010439026388383
2003-02-28,POMRB,5.88,59.59,8.5,19.109,5.436190476190476,5.963125000000001,5.682856663691292,6.127405502415754,6.025062222983011,5.861318633740108,64.269375,64.11249999999998,61.300219537998714,60.995358390649706,59.59,59.58999876863304,27.344409722222224,25.93350446428571,21.599469392454587,20.29919037354386,25.050034010071442,25.528483688263538,17.371454545454547,17.770123376623374,17.920959476704486,17.866624335903985,19.109,19.05348648037841
2003-05-31,PREMON,6.140833333333334,75.15,39.7525,19.06,5.24795183982684,5.5564583333333335,5.866047331548109,6.152476909740544,8.51993505952501,7.09526070373392,63.92875000000001,64.38624999999999,66.84013172279923,66.79559946037972,74.05499999999998,74.05499880498886,27.71625868055555,27.506302083333328,28.86068163547275,27.978647366510017,32.61857127834787,32.31537312589054,17.296,17.470659090909088,18.37657568602269,18.168704968343384,20.257857142857144,20.199006080530943
2003-08-31,MONSOON,4.0,65.23,32.5175,13.86,5.116003787878788,5.315922619047619,5.119628398928866,6.177650897546306,3.956475012114695,3.83597733705282,63.705,64.1525,66.19607903367954,66.98891197287134,66.2256648199446,65.97463423025711,29.705312499999998,27.182517361111103,30.32340898128365,30.86914407184944,33.16702213227831,32.65467065142651,17.343625,17.272249999999996,16.569945411613617,17.226016880159737,14.434637550814832,14.611066112456271
2003-11-30,POMKH,4.699090909090909,54.85,32.23,17.25,5.260172348484848,5.17998106060606,4.951413402993683,6.2029278905373895,5.121707744501008,4.985769488053423,63.701875,63.70500000000001,61.657647420207724,62.125708538775385,56.64853657507232,56.618237455095375,31.0365625,28.24999999999999,31.086045388770188,32.85488409838956,27.706822015713186,27.002531866845068,17.39875,17.319749999999996,16.84196724696817,17.137044510470602,16.706079323911172,17.010439026388383
2004-02-29,POMRB,5.368181818181818,59.59,20.1425,19.3,5.470540404040404,5.052026515151515,5.118120769068938,6.228308310125707,5.680015131684661,5.838231062689287,63.698750000000004,63.70500000000002,60.83058845212463,60.29860323510503,59.4991698262596,59.88280060674142,31.034999999999997,31.16062499999999,26.708627233262114,27.954832955708127,24.59780715534907,8.208903819936259,17.4525,17.367499999999993,17.8251803481809,17.55233732328114,18.810332266788777,19.05348648037841
2004-05-31,PREMON,7.806,75.125,38.76,19.31,5.493626262626263,5.468318181818182,6.193272461441363,6.2537925826001315,8.141033453191556,6.8322199889645665,63.698750000000004,63.69875000000001,66.54835307127478,66.28295690041523,74.9442318818823,75.43506840312527,31.275624999999998,30.912499999999987,31.529176339957267,33.352811109108195,33.15319335152105,38.39111165906072,17.509999999999998,17.429999999999993,18.41910820890854,17.9570200008145,20.018083881207392,19.65225577854538
2004-08-31,MONSOON,4.017777777777777,65.23,33.4975,14.04,5.501123421717171,5.472762626262626,5.3230745879759285,6.279381121981121,3.992519064919649,3.857392331936691,63.698750000000004,63.698750000000004,66.02101184276486,66.66807273933489,65.18919657523125,65.51215392285216,29.9384375,31.157499999999988,32.316505803974366,34.90903777414449,33.577041244278526,31.403885878209092,17.5425,17.47499999999999,16.667464925345122,17.09753568576247,14.265985836836927,14.248818473768813
2004-11-30,POMKH,4.8660000000000005,54.85,33.175,17.53,6.056154671717172,5.514489898989899,5.1402447527855575,6.3050743630221575,5.154043745265187,4.893327389127706,63.701875,63.69875000000001,61.55260710565892,61.964828932534246,54.94414363474915,55.125076436164335,28.6071875,31.39374999999999,32.65990348238462,35.570519782143776,28.16334776114134,31.12623177841713,17.50875,17.54499999999999,17.012478955207072,17.11040182281014,16.594958955966625,17.09716268788401
2005-02-28,POMRB,5.26125,59.59,8.5,19.28,7.538580176767677,5.4877569444444445,5.188646851671335,6.330872733335233,5.739669456562591,5.698976284612898,63.705000000000005,63.69875000000001,60.76756426339536,60.258503789485765,59.57557240896837,59.85834520774896,28.60875,28.48312499999999,22.99594208943077,23.823936111926127,25.094189137318896,19.45268766977248,17.455,17.539999999999992,17.919487373124245,17.549178176895555,18.773199745120248,19.140666582197696
