Date,Season,Beohari,Jaysing Nagar,Burhar,Sohagpur,Gohparu,Beohari_Trend,Beohari_SMA,Beohari_EWMA,Beohari_DES,Beohari_TES,Beohari_ARIMA,Jaysing Nagar_Trend,Jaysing Nagar_SMA,Jaysing Nagar_EWMA,Jaysing Nagar_DES,Jaysing Nagar_TES,Jaysing Nagar_ARIMA,Burhar_Trend,Burhar_SMA,Burhar_EWMA,Burhar_DES,Burhar_TES,Burhar_ARIMA,Sohagpur_Trend,Sohagpur_SMA,Sohagpur_EWMA,Sohagpur_DES,Sohagpur_TES,Sohagpur_ARIMA,Gohparu_Trend,Gohparu_SMA,Gohparu_EWMA,Gohparu_DES,Gohparu_TES,Gohparu_ARIMA
1999-11-30,POMKH,2.78,3.96,2.64,4.221666666666667,4.69,3.80625,3.7300000000000004,3.4262093041025024,3.4078225020597115,3.4278129018870716,3.4046831720976205,4.940744047619048,5.151636904761907,4.529304723861804,5.058155513111443,4.168071479955946,4.210142559936791,5.02875,5.169999999999999,4.417435329161134,4.5389069783295195,4.011459309413161,4.699313385705215,5.760416666666667,5.787291666666667,5.331248741917518,5.543728993413755,5.1033073490218595,4.732925616947746,7.0225,7.440000000000003,6.372720213644739,7.281799741210394,6.008980402280265,6.674084500906559
2000-02-29,POMRB,3.98,4.4525,4.42,5.056666666666668,7.26,3.68,3.8700000000000006,3.6477255824615016,3.6648137745591662,4.22444423516915,3.2492526465652762,4.8897023809523805,5.0466369047619075,4.498582834317082,5.093127690543227,5.476804332696303,5.571295610047647,4.74625,5.054999999999999,4.41846119749668,4.52631342912869,5.669162234222597,4.608339580416042,5.580729166666667,5.766041666666668,5.221415911817179,5.483500945318774,5.953137126577618,5.29384155097935,6.84625,7.1750000000000025,6.727632128186843,7.573236504124648,7.299963562975636,6.520265101724693
2000-05-31,PREMON,4.93,7.1485714285714295,7.1,7.628333333333333,9.74,3.7016666666666667,3.7425000000000006,4.160635349476901,4.576878487946688,5.902963725165234,6.058950488513732,4.921053571428572,4.8348511904761935,5.558578272018821,5.128341671047568,6.275838269118733,6.3749438625392365,4.575,5.002499999999999,5.491076718498007,4.948303453745953,7.239762822937619,6.740888742515332,5.600833333333333,5.7547916666666685,6.1841828804236405,5.725142525041935,7.3305392166259224,7.030272552376054,7.02,6.870000000000003,7.932579276912106,8.450497157460376,11.262087236095518,10.747780796723164
2000-08-31,MONSOON,2.78,4.217142857142857,3.8,4.72,5.6,3.915833333333333,3.617500000000001,3.60838120968614,3.646729163571073,3.2009040097952934,2.5171273157267384,5.032955357142857,4.944553571428575,5.022004106068435,5.163799116290426,3.8314538519308954,3.67725944517088,4.87125,4.489999999999998,4.814646031098804,4.770153898667369,3.696510251922291,4.185908754544941,5.941249999999999,5.406666666666668,5.598509728254184,5.609307067906928,4.592415726610921,5.286070497510192,7.038749999999999,6.822500000000003,6.999547566147264,8.160544837391516,3.821244015412274,4.219388505069678
2000-11-30,POMKH,3.453333333333333,3.772,3.32,5.775,6.27,4.162083333333333,3.785833333333335,3.546362059145017,3.438335093700763,3.687263627826839,3.044803867368171,5.1755,4.897553571428574,4.52200246364106,5.199501714081696,4.281010798008198,4.4357941524710895,5.17,4.659999999999998,4.216787618659282,4.543024744972772,3.0917857021097066,2.880510923402071,6.230208333333334,5.795000000000001,5.669105836952511,5.625855536739986,4.869738761869923,4.129569567177345,6.88375,7.217500000000004,6.707728539688358,7.985760980943888,5.755826651192874,6.091126605035192
2001-02-28,POMRB,5.02,5.535714285714287,6.11,6.2266666666666675,5.83,4.084583333333333,4.045833333333335,4.135817235487011,4.468004514515507,4.483894963823239,3.586702343358586,4.881281250000001,5.168357142857146,4.927487192470351,5.235451163399727,5.391538818258342,5.191882159451757,4.9825,5.082499999999998,4.97407257119557,4.80254939651154,5.205281296561527,4.669218778504865,6.265833333333333,6.0875,5.8921301688381735,5.6928981732122566,6.207810191381954,5.8142182415755945,6.463749999999999,6.860000000000005,6.356637123813016,7.6599708885420545,7.347266209797796,7.163771172299304
2001-05-31,PREMON,5.86,7.205714285714286,7.8,8.77,9.93,3.8966666666666665,4.278333333333335,4.825490341292207,5.8532042055331335,6.162414458938228,6.236122812777596,4.602013392857143,5.18264285714286,5.838778029767925,5.2716491708107185,6.960157613619372,7.21737786768316,4.745,5.2574999999999985,6.104443542717341,5.293339256362397,7.604321957304948,6.860300703222195,6.024375,6.372916666666668,7.043278101302905,6.046935864739702,7.835310358937602,7.621577256695923,5.85125,6.907500000000004,7.785982274287809,8.36493846321147,10.995549927876256,10.073657959319949
2001-08-31,MONSOON,1.23,1.80625,1.6,3.8633333333333333,2.05,3.8912500000000003,3.8908333333333354,3.387294204775324,3.440708951659402,3.460354747965872,2.9576022407379505,4.650892857142858,4.579919642857146,4.225766817860754,5.308097442080468,4.102701847078939,3.809217963289989,4.66875,4.707499999999999,4.302666125630404,4.704906209555146,4.206108342717064,4.259702669046177,5.772083333333333,6.158750000000001,5.771300194115076,5.802580249007531,5.2712081284890235,5.670892369317475,5.928749999999999,6.020000000000005,5.491589364572685,7.02635763366449,4.0991177477216345,4.600688264050107
2001-11-30,POMKH,3.5,3.94875,3.62,4.7,4.92,3.9825,3.9025000000000016,3.4323765228651943,3.2706498718255936,3.9467143541308056,2.6064553528335384,4.655178571428571,4.624107142857146,4.114960090716453,5.344797721159686,2.7857455980969563,2.695286235980191,4.5925,4.782499999999999,4.029599675378242,4.536635518356383,2.9047776229991324,2.46821866540917,5.5879166666666675,5.890000000000001,5.342780116469045,5.677445921344847,5.128992148490752,4.222276210503123,6.1362499999999995,5.682500000000005,5.262953618743611,6.476907322302791,5.621155863585447,5.050536888713393
2002-02-28,POMRB,4.93,5.75,5.2,5.283333333333333,7.8,4.46625,3.8800000000000017,4.031425913719117,4.260350906649766,4.743345688731786,3.8426894564832774,5.126272321428572,4.677678571428574,4.7689760544298725,5.381751749818097,4.99749725833265,5.335780499685012,5.029999999999999,4.554999999999999,4.497759805226945,4.650302301908126,5.302342400179769,5.635328301610202,5.758958333333334,5.654166666666667,5.31900140321476,5.631240932054052,6.102500716320817,5.554031257470617,6.617500000000001,6.175000000000006,6.277772171246166,6.69287676281408,6.813104010486986,6.446020065421669
