Date,Season,Badwara,Rithi,Dhimarkheda,Katni,Vijay Raghavgarh,Badwara_Trend,Badwara_SMA,Badwara_EWMA,Badwara_DES,Badwara_TES,Badwara_ARIMA,Rithi_Trend,Rithi_SMA,Rithi_EWMA,Rithi_DES,Rithi_TES,Rithi_ARIMA,Dhimarkheda_Trend,Dhimarkheda_SMA,Dhimarkheda_EWMA,Dhimarkheda_DES,Dhimarkheda_TES,Dhimarkheda_ARIMA,Katni_Trend,Katni_SMA,Katni_EWMA,Katni_DES,Katni_TES,Katni_ARIMA,Vijay Raghavgarh_Trend,Vijay Raghavgarh_SMA,Vijay Raghavgarh_EWMA,Vijay Raghavgarh_DES,Vijay Raghavgarh_TES,Vijay Raghavgarh_ARIMA
2006-05-31,PREMON,9.3,6.82,8.533333333333333,7.68,11.134,7.316354166666667,7.506875000000006,8.682540353414442,8.73289649126419,10.021610147262763,10.095388661052684,4.403125,4.227500000000001,5.454032037994543,6.275977127857161,9.004465746239214,8.795436311522703,5.54125,5.070833333333331,6.484457017172716,6.767446312761961,7.8309815377787935,8.086063228219349,5.6796875,5.198125000000001,6.329281600861494,6.2782125804168665,8.125221458843438,8.57498723771977,8.195687500000002,8.288999999999994,9.413070855557374,9.592235060786026,11.35786760921822,11.561081934617404
2006-08-31,MONSOON,1.6966666666666663,1.895,3.140000000000001,3.605,5.565,7.482916666666667,7.180416666666672,5.888190878715331,6.630471903835977,5.2872218868528,5.032379324658089,4.671875,4.1625000000000005,4.030419222796725,3.5814185665712963,2.2480244423694566,1.8364827303978961,5.935833333333333,5.245833333333331,5.14667421030363,5.579552154544601,3.819977343349744,3.6989011836359715,5.9659375,5.491250000000001,5.2395689605168965,6.314225105508441,3.1810053429750553,2.8829921982993447,8.170312500000001,8.209249999999994,7.873842513334424,8.918020644492934,6.384991835171982,6.537568869723572
2006-11-30,POMKH,9.115,4.755000000000001,5.3,5.682499999999999,7.2675,7.663854166666667,7.452291666666672,7.1789145272292,7.20095762069773,7.70300950348758,5.863161064298237,5.060625,4.643750000000001,4.320251533678036,4.13173181912102,3.2965467226229768,2.517438845840552,5.999166666666667,5.836666666666664,5.208004526182178,5.505055641489079,4.243802509560499,3.84070849716681,6.2496875,5.868125,5.416741376310137,6.350444990906572,4.992918477903409,4.790332719209598,8.233625,8.182124999999994,7.631305508000654,8.60333058905663,6.9001864893907054,6.851415517015725
2007-02-28,POMRB,9.9425,5.33,7.166666666666668,7.2875,8.6675,8.667395833333334,7.513541666666672,8.284348716337519,8.038267581891319,9.487628701650392,9.846340628676778,5.47125,4.7,4.724150920206822,5.062460150666762,4.90874596446014,5.261878788854908,5.9750000000000005,6.034999999999998,5.991469382375973,6.251761923644224,6.374541966763517,6.3563340511679,6.616249999999999,6.06375,6.165044825786082,6.386873244879581,6.748553490699044,6.773868251789945,8.753625,8.158499999999993,8.045783304800393,8.566061500767118,8.685521462773984,8.556614389316481
2007-05-31,PREMON,10.5025,9.705,8.246666666666666,9.1675,11.735,9.615625,7.814166666666671,9.17160922980251,9.000895659777907,10.049223408029917,10.326333720304328,5.4175,5.421250000000001,6.7164905521240925,10.005689161416596,8.941732519464043,8.540153853008714,5.888541666666667,5.963333333333331,6.89354829609225,7.334821963920308,8.775556964580751,8.56593977972859,7.0659375,6.435625,7.3660268954716495,6.4235111680251995,8.901898503024322,8.836829508942241,9.580375,8.308749999999993,9.521469982880236,9.07700381470941,11.152984465226991,11.42368513589099
2007-08-31,MONSOON,8.5225,2.295,3.233333333333333,5.05,9.124,9.7803125,9.520625000000004,8.911965537881507,9.162107986845193,5.314835147620175,4.954239549946362,5.3075,5.521250000000001,4.947894331274456,6.235744078847815,2.8323991233657364,2.8955029153876346,5.49875,5.986666666666665,5.429462310988683,5.983585334140816,4.208995763072949,3.5172770436645093,7.5140625000000005,6.796875,6.439616137282989,6.460357663905706,4.503369486613897,4.022972355348459,10.402875,9.198499999999994,9.362481989728142,9.08571489043561,6.533261184950749,6.728199633201216
2007-11-30,POMKH,9.875,3.925,4.5150000000000015,7.835,10.3225,9.9696875,9.710625000000004,9.297179322728905,9.704183819783076,7.730622764256239,9.005907872695321,5.33875,5.313750000000001,4.5387365987646735,4.722662285313236,3.8404461282729128,3.0440675361631677,5.288749999999999,5.7904166666666645,5.06367738659321,5.406433044114382,4.499402877309442,4.1204754284370875,7.7425,7.335000000000001,6.997769682369794,6.49741657487086,6.426153479529593,5.948212629215895,11.152375000000001,9.962249999999994,9.746489193836886,9.305277477011913,8.543099378730494,8.958854662445297
2008-02-29,POMRB,10.5,5.279999999999999,4.833333333333333,8.72,12.1925,9.394479166666667,9.850000000000003,9.778307593637344,10.347896513200238,9.51524196241919,10.210554208409745,5.330625,5.301250000000001,4.835241959258804,4.873585621630157,5.151036947135248,4.971009825473806,5.308333333333334,5.207083333333331,4.9715397652892594,5.090322948103412,6.160606059704484,6.102698321525922,7.7715625,7.693125,7.686661809421877,6.534688390965831,8.584938861640627,8.282482275802497,11.290750000000001,10.843499999999995,10.724893516302132,9.837818219880875,10.947236331419045,10.332723856617024
2008-05-31,PREMON,11.46,10.005,8.9,9.5625,14.206,8.583958333333333,10.089375000000004,10.450984556182407,11.18935105629525,10.076836668798816,10.36047896532401,5.300625000000001,5.376250000000002,6.903145175555283,9.505712692724813,9.119857652759142,8.718108901942836,5.272500000000001,5.370416666666665,6.5429238591735555,6.640728783066937,7.605313522668356,7.373235030493197,7.533125,7.791875,8.436997085653125,6.572174317099325,10.46012920156103,9.837978844981752,10.91275,11.461249999999996,12.117336109781279,10.685666252349016,13.968293608519577,13.505529011498576
2008-08-31,MONSOON,2.9633333333333334,1.93,2.736666666666667,4.8875,7.7600000000000025,8.380833333333333,8.699583333333337,7.455924067042777,9.006906389946238,5.342448408389253,4.6039533327069355,5.1875,5.285000000000002,4.91388710533317,5.396711582412556,3.0372791167166184,2.903370302461429,5.525833333333333,5.246249999999998,5.0204209821707995,5.245224735726256,3.861580634783275,3.8246050734140553,7.14875,7.75125,7.017198251391875,6.609873466308786,5.415017734674202,4.546644041184855,10.4843125,11.120249999999997,10.374401665868767,10.311052788148974,9.197687866666016,8.636025554571656
