Date,Season,Delhi Cantonment,Patel Nagar,Punjabi Bagh,Rajouri Garden,Delhi Cantonment_Trend,Delhi Cantonment_SMA,Delhi Cantonment_EWMA,Delhi Cantonment_DES,Delhi Cantonment_TES,Delhi Cantonment_ARIMA,Patel Nagar_Trend,Patel Nagar_SMA,Patel Nagar_EWMA,Patel Nagar_DES,Patel Nagar_TES,Patel Nagar_ARIMA,Punjabi Bagh_Trend,Punjabi Bagh_SMA,Punjabi Bagh_EWMA,Punjabi Bagh_DES,Punjabi Bagh_TES,Punjabi Bagh_ARIMA,Rajouri Garden_Trend,Rajouri Garden_SMA,Rajouri Garden_EWMA,Rajouri Garden_DES,Rajouri Garden_TES,Rajouri Garden_ARIMA
1996-02-29,POMRB,11.796666666666667,11.55154761904762,5.425,32.57,,,11.796666666666667,11.729094920015593,8.699265028803493,0.0,,,11.55154761904762,11.574597951032738,11.498046867622822,0.0,,,5.425,5.481784058180159,5.443853131902455,0.0,,,32.57,33.803033824740474,32.459611562199456,0.0
1996-05-31,PREMON,10.446666666666667,11.486794871794872,6.26,34.440000000000005,,,11.256666666666668,11.11242452037954,11.422938098447762,11.796638846861887,,,11.52564652014652,11.544903936515661,11.682687179541395,11.551546200969263,,,5.759,5.4867593340405625,6.145697408999007,3.3120459418341754,,,33.318,33.922549116985344,34.37933915067019,-2.403608841860123e-08
1996-08-31,MONSOON,6.4300000000000015,11.742878787878787,5.105,34.92666666666667,7.957708333333333,,9.326,8.970940888297008,9.826944740765086,11.006491562121369,11.630850191475194,,11.612539427239426,11.69609796036061,11.62988357344418,11.507320217577458,5.620625,,5.497400000000001,5.476364161547746,5.3991077473255595,4.120274180313567,34.34280303030303,,33.96146666666667,34.09298249308303,34.838571015291194,2.566998323432587e-07
1996-11-30,POMKH,6.937499999999999,11.74217948717949,5.484999999999999,35.43454545454546,6.8365625,8.902708333333333,8.3706,7.992761958293472,9.031013002113214,8.721996253782983,11.630850191475192,11.630850191475192,11.664395451215452,11.751451539593138,11.61310431697324,11.659868808854005,5.68,5.56875,5.49244,5.47115047083579,5.3999506669406205,4.213009033242704,34.34280303030303,34.34280303030303,34.550698181818184,34.31027043435737,35.28946480845321,2.5365154641648096e-07
1997-02-28,POMRB,4.236666666666666,11.55154761904762,5.84,32.57,6.712916666666667,7.012708333333332,6.7170266666666665,6.24579432151675,8.370360567756185,7.871497108339234,11.63085019147519,11.630850191475192,11.619256318348318,11.651171091341418,11.675661255698577,11.712806994041308,5.805,5.672499999999999,5.631463999999999,5.470713421841442,5.390250570711307,5.298884272813865,34.34280303030303,34.34280303030303,33.75841890909091,34.101289529549284,32.645553886264345,32.428643658911874
1997-05-31,PREMON,9.0375,11.486794871794872,6.32,34.440000000000005,7.046145833333334,6.660416666666666,7.645216,7.404394352488284,8.42971285195021,6.161868553738014,11.630850191475192,11.630850191475192,11.56627173972694,11.57316235331726,11.74708368544602,11.60918446830397,5.809374999999999,5.6875,5.9068784,5.4766409054841,6.313189192485912,6.200290065587888,34.34280303030303,34.34280303030303,34.03105134545455,34.17980837211067,34.53473286458909,34.29052771296949
1997-08-31,MONSOON,6.8500000000000005,11.742878787878787,6.045,34.92666666666667,7.761041666666667,6.765416666666667,7.3271296,7.082977942543172,7.417371055345573,7.509345228536189,11.630850191475194,11.630850191475192,11.636914558987678,11.706526396714583,11.653231400191286,11.530547880939618,5.558750000000001,5.9225,5.96212704,5.478841317363466,5.515883151098777,4.989130675587756,34.34280303030303,34.34280303030303,34.3892974739394,34.314880425898984,34.96843497416632,34.77508220822528
1997-11-30,POMKH,9.183333333333334,11.74217948717949,4.58,35.43454545454546,8.359583333333333,7.326875000000001,8.069611093333334,7.945352171775636,7.664004989269248,7.200714501203841,11.630850191475192,11.630850191475192,11.679020530264403,11.755300031373565,11.621569388202712,11.666970725571518,5.49625,5.696250000000001,5.409276224,5.461604324102305,5.905136885548363,5.722950639841832,34.34280303030303,34.34280303030303,34.80739666618182,34.50166760125038,35.3979933157487,35.280756762606366
1998-02-28,POMRB,7.709999999999999,11.55154761904762,4.74,32.57,8.618645833333334,8.195208333333335,7.9257666559999995,7.774936563878823,8.334515757127123,8.1284726075873,11.63085019147519,11.630850191475192,11.628031365777689,11.652591331968228,11.678730382007442,11.71529234968132,5.226875000000001,5.4212500000000015,5.1415657344,5.446731870235656,5.23008789091724,5.195181958095301,34.34280303030303,34.34280303030303,33.91243799970909,34.266378383824716,32.73625216004108,32.50418603421663
1998-05-31,PREMON,10.3525,11.486794871794872,6.92,34.440000000000005,8.397916666666665,8.523958333333335,8.8964599936,8.8630596725118,9.686836197867024,7.93266681341889,11.630850191475192,11.630850191475192,11.571536768184561,11.573686476416157,11.748196438719548,11.61008639642633,4.68375,5.571250000000001,5.85293944064,5.46094825519533,5.70959590939563,5.694840378235262,34.34280303030303,34.34280303030303,34.12346279982546,34.32220509745619,34.61053024788565,34.37040733858854
1998-08-31,MONSOON,7.6075,11.742878787878787,3.29,34.92666666666667,8.003437499999999,8.713333333333335,8.38087599616,8.25083837300657,8.695819243623475,9.064893660119232,11.630850191475194,11.630850191475192,11.640073576062251,11.70671981817966,11.653634843879615,11.530871621477223,4.27875,4.8825,4.827763664384,5.42687771112678,5.480164843994369,5.8299406494196555,34.34280303030303,34.34280303030303,34.44474434656195,34.43770414696798,35.03177954595772,34.85609060136338
1998-11-30,POMKH,6.66,11.74217948717949,2.99,35.43454545454546,7.89625,8.0825,7.692525597696001,7.483624958641228,8.75050811490835,8.382991717976054,11.630850191475192,11.630850191475192,11.680915940509147,11.755371411290291,11.621715662078042,11.66708617442091,3.9875,4.485000000000001,4.0926581986304,5.389317681643371,4.5864170464893785,3.815627467639045,34.34280303030303,34.34280303030303,34.84066478975535,34.60760870643121,35.450930958196544,35.36294312223815
