Date,Season,Dobhi,Dumaria,Guraru,Gaya,Pariaya,Bankebazar,Khizirsarai,Manpur,Sherghati,Belaganj,Gurua,Barachatti,Konch,Fatehpur,Wazirganj,Tikari,Bodhgaya,Dobhi_Trend,Dobhi_SMA,Dobhi_EWMA,Dobhi_DES,Dobhi_TES,Dobhi_ARIMA,Dumaria_Trend,Dumaria_SMA,Dumaria_EWMA,Dumaria_DES,Dumaria_TES,Dumaria_ARIMA,Guraru_Trend,Guraru_SMA,Guraru_EWMA,Guraru_DES,Guraru_TES,Guraru_ARIMA,Gaya_Trend,Gaya_SMA,Gaya_EWMA,Gaya_DES,Gaya_TES,Gaya_ARIMA,Pariaya_Trend,Pariaya_SMA,Pariaya_EWMA,Pariaya_DES,Pariaya_TES,Pariaya_ARIMA,Bankebazar_Trend,Bankebazar_SMA,Bankebazar_EWMA,Bankebazar_DES,Bankebazar_TES,Bankebazar_ARIMA,Khizirsarai_Trend,Khizirsarai_SMA,Khizirsarai_EWMA,Khizirsarai_DES,Khizirsarai_TES,Khizirsarai_ARIMA,Manpur_Trend,Manpur_SMA,Manpur_EWMA,Manpur_DES,Manpur_TES,Manpur_ARIMA,Sherghati_Trend,Sherghati_SMA,Sherghati_EWMA,Sherghati_DES,Sherghati_TES,Sherghati_ARIMA,Belaganj_Trend,Belaganj_SMA,Belaganj_EWMA,Belaganj_DES,Belaganj_TES,Belaganj_ARIMA,Gurua_Trend,Gurua_SMA,Gurua_EWMA,Gurua_DES,Gurua_TES,Gurua_ARIMA,Barachatti_Trend,Barachatti_SMA,Barachatti_EWMA,Barachatti_DES,Barachatti_TES,Barachatti_ARIMA,Konch_Trend,Konch_SMA,Konch_EWMA,Konch_DES,Konch_TES,Konch_ARIMA,Fatehpur_Trend,Fatehpur_SMA,Fatehpur_EWMA,Fatehpur_DES,Fatehpur_TES,Fatehpur_ARIMA,Wazirganj_Trend,Wazirganj_SMA,Wazirganj_EWMA,Wazirganj_DES,Wazirganj_TES,Wazirganj_ARIMA,Tikari_Trend,Tikari_SMA,Tikari_EWMA,Tikari_DES,Tikari_TES,Tikari_ARIMA,Bodhgaya_Trend,Bodhgaya_SMA,Bodhgaya_EWMA,Bodhgaya_DES,Bodhgaya_TES,Bodhgaya_ARIMA
2002-02-28,POMRB,8.65,3.14,3.295,6.5,3.62,4.0950000000000015,2.61,6.19125,2.97,5.99,3.98,4.42,3.435,23.522,2.18,3.32,4.8900000000000015,8.929375,9.3,8.896917317131305,8.85933769615241,9.419739248571354,8.889954417044123,3.0829166666666667,3.0829166666666663,2.829468383188896,3.363316261750006,3.14273134045503,3.1400000070116607,3.050416666666667,3.050416666666668,2.8024839513869706,2.784914278481089,3.3987300425472724,3.295000006899069,6.0424999999999995,6.407500000000004,6.0560558157418996,5.580373615882803,6.824733208354056,6.382513289919052,3.65625,3.6562500000000044,3.5085098227666762,3.5028167442095004,3.723099488528327,3.6346481900145786,3.5687500000000005,3.5687499999999996,3.5429254100699774,3.61303531437177,4.133265103410697,4.0950000000000015,3.4141666666666666,3.412500000000001,2.9822033766277256,3.219004487644699,2.9597027623165326,2.774342834316889,5.615803571428572,5.566294642857142,5.493780227517242,5.514519874456526,5.517476280278209,5.386500571053064,3.8750000000000004,4.810833333333335,3.7707133224168055,4.347371647792566,3.848586098272333,3.6330853967813628,5.1625,5.262500000000001,5.161273082118814,5.151885070082841,4.704805305888975,4.853501903856764,4.083125,4.0831250000000034,3.8749565336530765,4.632054392573177,3.8448610059257726,3.564694193427547,4.681666666666667,4.681666666666667,4.374117864466909,4.234398783151902,4.523730042547276,4.41999992135902,4.16875,3.832499999999999,3.7251795378894226,3.6301544049054333,3.9856176445301963,4.208012280517152,27.433694444444445,29.99713194444444,28.73496260529433,26.85783088468536,33.60249187922376,32.44837375853943,2.4804166666666667,2.8458333333333328,2.423299043285949,2.6203496803284065,2.869159808204705,2.422628043354946,2.67625,2.480000000000001,2.5685920363828503,2.7336095156623834,3.1036809913553514,3.076420158395721,5.705,5.890000000000002,5.604405662141964,7.106292717984212,6.393706682117074,6.44438216704807
2002-05-31,PREMON,9.38,5.795,5.550000000000002,8.35,5.74,5.4,4.486666666666666,7.22375,6.533333333333334,6.7,5.74,6.23,5.06,24.82,3.83,3.87,8.885,8.67125,9.1325,9.090150390278783,9.091199503151278,9.743786301885052,8.796337373198366,3.0829166666666667,3.0829166666666663,4.015681029913337,3.9823838145511865,5.797588628258335,5.795000003456019,3.050416666666667,3.050416666666668,3.9014903708321826,4.562065096289657,5.652933961214998,5.550000008313925,5.835000000000001,6.257500000000005,6.97363348944514,6.16240213221971,9.094812547911257,8.841954619596578,3.666875,3.656250000000004,4.401105893660006,4.903349189607798,5.762354173252957,5.755830076454582,3.5687500000000005,3.568749999999999,4.285755246041987,4.1241013123106685,5.447151634004241,5.4,3.4616666666666664,3.4141666666666675,3.583988692643302,3.7976661356674346,4.6686650288814535,4.423151565031909,5.875267857142857,5.385357142857142,6.185768136510345,5.926822340596457,7.812142940092773,7.726047785074737,3.304166666666667,4.330833333333335,4.875761326783417,4.8398035820887815,4.796587048563887,4.927099357939777,5.1625000000000005,5.162500000000001,5.776763849271289,6.220399275112956,7.004576645639355,6.8147253289449665,4.09375,4.083125000000003,4.620973920191846,4.996349116979262,5.91853167604339,5.856306477620092,4.6816666666666675,4.681666666666667,5.116470718680146,5.342552584156209,6.3329339612150015,6.229999969872203,4.7075,3.676249999999999,4.259107722733654,4.16995693472716,4.940600402903889,4.938101415870131,25.38026388888889,28.632444444444438,27.1689775631766,25.39883202585578,27.559700114810305,26.49663134789008,2.5316666666666667,2.604166666666666,2.9859794259715695,3.1165130746826915,3.793194394883085,3.8036602677330187,2.96,2.4925000000000006,3.08915522182971,4.18108625685673,4.445178114559258,3.995583010230268,4.91,6.126250000000002,6.916643397285179,7.056635494305686,8.517404796659967,8.737286113501584
2002-08-31,MONSOON,7.825,1.1366666666666665,1.7066666666666663,3.82,1.61,1.75,4.15,5.1850000000000005,1.2933333333333332,4.0,2.9575,4.556666666666667,5.7,26.04333333333333,1.7266666666666666,2.8,1.66,9.001666666666667,8.72625,8.58409023416727,8.718889002857592,8.349719538081125,8.988297504639906,3.0829166666666667,3.0829166666666663,2.8640752846146693,3.487651650918669,1.1391190409992449,1.1366666654597046,3.050416666666667,3.050416666666668,3.023560889165976,3.4505546410667227,1.8085615770094945,1.7066666735896996,5.7575,5.827500000000005,5.712180093667083,5.465906574890003,4.019259189535697,5.248312916530379,3.6775,3.6562500000000044,3.2846635361960037,3.4175381276003516,1.6360432353177368,1.61,3.5687500000000005,3.5687499999999996,3.2714531476251922,3.5664483537550233,1.695305662304699,1.75,3.5216666666666665,3.414166666666668,3.8103932155859814,4.097369371143678,4.162009369227422,4.097339061357683,5.957879464285715,5.8462499999999995,5.785460881906207,5.896650095887985,4.186594606439757,4.061826234560661,3.262916666666667,3.4191666666666682,3.442790129403383,4.390403126742091,3.9480544098940484,3.838078573688891,5.1625000000000005,5.162500000000001,5.066058309562774,5.306469867408534,4.348763787968125,4.4586861623279335,4.104375,4.083125000000003,3.9555843521151077,4.77435931530075,3.074392880392484,2.7244222443919512,4.6816666666666675,4.681666666666667,4.892549097874754,5.138631697610258,4.6585615770094995,4.5566666449771605,5.185625,4.661249999999999,4.835464633640193,4.764437533283233,3.336667057772084,3.0328514729762803,25.042208333333335,26.23494444444443,26.71871987123929,25.29598907519429,24.010365972075125,23.72418696673857,2.7516666666666665,2.356666666666666,2.4822543222496085,2.6703293254640386,1.695693621274402,1.7185716917849647,3.06,2.8600000000000008,2.9734931330978256,3.8818863813045583,1.645868731308863,1.661741505203092,4.8081249999999995,5.283750000000002,4.813986038371107,7.007221334058139,4.741979100918483,5.71772133473826
2002-11-30,POMKH,8.61,2.26,1.65,4.7,3.74,3.03,2.79,5.017142857142859,1.96,3.96,3.74,3.5200000000000005,4.82,23.71700000000001,3.09,2.25,2.71,9.520833333333334,8.61625,8.594454140500362,8.696738202715762,8.142653866127526,8.557615526783378,3.0829166666666667,3.0829166666666663,2.6224451707688017,3.2564353891372706,2.2623232914720437,2.2599999963967887,3.050416666666667,3.050416666666668,2.4741365334995855,2.5093546210037005,1.750628548844772,1.650000004338674,5.575,5.842500000000005,5.30730805620025,5.162327509543591,4.805031561781307,3.583724145335749,3.6731249999999998,3.677500000000004,3.466798121717602,3.510904353507071,3.641100280616362,3.6307924917607233,3.5687500000000005,3.56875,3.1748718885751153,3.4012244521558794,3.04844526500771,3.03,3.5095833333333335,3.509166666666668,3.4022359293515887,3.608748429374204,2.534184584263137,2.3794185874390403,6.124441964285714,5.904285714285714,5.478133672000868,5.818715993841181,5.101506975648922,5.003913900974245,3.0425,3.1891666666666687,2.84967407764203,4.051767448863261,2.8395110832697457,2.762519572214032,5.187499999999999,5.162500000000001,4.623634985737664,4.544291961644948,4.4858177041760685,4.470894811318347,4.304062500000001,4.104375000000003,3.8693506112690645,4.690195431431435,3.783024184391699,3.720493814890556,4.681666666666667,4.681666666666667,4.343529458724853,4.314823650659831,3.6206285488447767,3.519999907103669,5.74375,4.753749999999999,4.829278780184116,4.775442958291165,4.824514349756523,4.840518559763704,25.558958333333337,24.52558333333332,25.518031922743575,24.088911760702413,26.870454688153742,24.960848596542107,2.8674999999999997,2.706666666666666,2.725352593349765,2.878077892880911,2.3976203650829335,2.1302650810224812,3.05375,3.060000000000001,2.6840958798586954,2.9769443714378236,1.9676095512691036,2.0296802292522953,5.116250000000001,4.536250000000003,3.972391623022664,6.958168599533044,5.118366727251628,4.929858133730342
2003-02-28,POMRB,11.733333333333334,3.14,3.295,5.82,3.62,4.0950000000000015,2.71,6.62,3.56,5.99,3.98,4.42,6.89,27.655,2.54,3.32,7.065,9.046458333333332,9.387083333333335,9.850005817633551,9.788213219475267,8.894646422682738,8.532123269974743,3.0829166666666667,3.0829166666666663,2.8294671024612814,3.2326684171671984,3.1422000035998923,3.139999994812895,3.050416666666667,3.050416666666668,2.8024819200997513,2.7939617651900015,3.3941493414106207,3.2949999940534984,5.5125,5.672500000000005,5.51238483372015,5.2176925201494475,6.410677893972985,6.635430401695782,3.6687499999999997,3.6775000000000038,3.5280788730305614,3.5337503243195734,3.6721673580958827,3.6853518099854212,3.5687500000000005,3.5687499999999996,3.54292313314507,3.5519221298041868,4.133305961279802,4.0950000000000015,3.4850000000000003,3.5341666666666685,3.125341557610953,3.1607383005805976,2.75716104317139,2.5768807108779646,6.222254464285715,6.011473214285714,5.934880203200521,6.055349985366684,6.072946812379201,5.84098859610321,2.9991666666666665,3.3366666666666682,3.133804446585218,3.9914926540580913,3.670344596029338,3.4385042556841823,5.2125,5.162500000000001,5.1701809914425985,5.219397545115611,5.2541103067854165,5.395716702935978,4.503750000000001,4.104375000000003,3.913610366761439,4.639907296962324,4.037116510718863,3.828689552848382,4.681666666666667,4.681666666666667,4.374117675234912,4.238193936744804,4.519149341410624,4.419999901401303,5.895,5.6175,5.65356726811047,5.62669203556847,4.984386530365687,5.12104184610957,22.422833333333337,25.558833333333318,26.372819153646144,25.461431849560633,26.291855761194167,24.40221122723799,2.9533333333333336,2.796666666666666,2.6512115560098586,2.8124102122325456,3.3798129447510754,3.176244320981817,3.0475,3.060000000000001,2.938457527915217,3.2402578343518194,3.2966761358369494,3.2949362191910283,5.52625,5.080000000000003,5.2094349738135985,6.909522712976338,4.849812742136304,4.888897726237395
2003-05-31,PREMON,10.45,5.795,5.550000000000002,7.57,5.705,5.4,4.29,8.1275,4.18,6.9,7.3375,6.23,6.07,24.821,4.3966666666666665,3.82,9.175,8.430833333333334,9.654583333333333,10.09000349058013,10.187473380895348,10.809725764094033,9.644587418557078,3.0829166666666667,3.0829166666666663,4.015680261476769,3.8258653446756004,5.79708525564676,5.794999999232652,3.050416666666667,3.050416666666668,3.9014891520598516,4.570380681787451,5.647473634865936,5.5499999909154445,5.48125,5.4775000000000045,6.33543090023209,5.70643285820696,8.594929185904816,8.2755808118387,3.66875,3.6687500000000033,4.398847323818337,4.900457239673155,5.770467735030797,5.74,3.5687500000000005,3.568749999999999,4.285753879887042,4.071643373315381,5.447183165995232,5.4,3.46125,3.4850000000000017,3.591204934566572,3.6164901526510698,4.632683770852784,4.429733635813205,6.1385491071428575,6.237410714285715,6.811928121920312,6.577818641096528,8.156061557572245,7.821013831524228,3.2725,2.748333333333334,3.552282667951131,4.037183410474741,5.181617980731803,5.335143267458996,5.2125,5.212500000000001,5.862108594865559,6.346076785606109,6.854361728628501,6.6524021140053975,4.50375,4.503750000000002,5.283166220056864,5.250018275955082,5.901464929785424,5.8426401169110775,4.6816666666666675,4.681666666666667,5.116470605140947,5.347285622621528,6.327473634865936,6.229999872274537,5.867500000000001,5.87,5.820140360866282,5.821324817857292,7.093212418285639,7.106382237669169,16.569458333333333,25.55908333333332,25.752091492187688,24.7230529231649,26.250224887158076,25.223779752468943,2.947916666666666,2.9383333333333326,3.349393600272582,3.4497017484720716,4.210814938088587,4.024214359066551,3.0395833333333337,3.0475000000000003,3.29107451674913,3.8301414294435046,4.214237421765284,3.6883786171192225,6.175624999999999,5.152500000000003,6.795660984288159,6.861248250992019,7.837156601130271,8.951194395802586
2003-08-31,MONSOON,2.96,1.1366666666666665,1.7066666666666663,4.1,1.61,1.75,4.15,5.06375,3.3,4.0,2.9575,4.556666666666667,5.9,0.9533333333333333,1.8466666666666665,2.8,4.65,8.116666666666667,8.438333333333333,7.2380020943480785,7.874407745367256,9.417449378274982,9.966431678307154,3.0829166666666667,3.0829166666666663,2.864074823552728,3.3203543161497957,1.138642161184283,1.136666664910559,3.050416666666667,3.050416666666668,3.0235601579025775,3.4567427858995035,1.8022830713665376,1.7066666724645054,5.4325,5.547500000000005,5.441258540139254,5.205396401896772,3.4289740806784126,4.655046404655799,3.66875,3.6687500000000037,3.2833083942910024,3.4115947735534546,1.6338900929575435,1.61,3.5687500000000005,3.5687499999999996,3.2714523279322254,3.5236628319216,1.6953299970651083,1.75,3.543125,3.4850000000000017,3.8147229607399433,3.932576263826519,4.27152173841213,4.097339061357683,5.95875,6.207098214285715,6.112656873152187,6.439901402914927,4.971345995915422,4.76747137921057,3.18375,3.250000000000001,3.4513696007706782,3.9281834369204955,3.3872809694655577,3.137923617646553,5.2125,5.212500000000001,5.117265156919335,5.361086596546743,4.198118153189905,4.305019941528376,4.503749999999999,4.503750000000002,4.3528997320341185,4.9589277355175545,3.18460983242266,3.1108640658211706,4.6816666666666675,4.681666666666667,4.892549029751235,5.143062192643632,4.65228307136654,4.556666581563135,5.36625,5.920000000000001,5.852084216519769,5.872540356175413,4.952523792884813,4.937202439221103,10.656291666666666,19.28658333333332,15.832588228645946,12.498250864950387,23.38811747925454,25.732085639759724,2.905,2.9683333333333324,2.7483028268302157,2.932148921133518,2.205354381569059,2.170246255579125,3.2147916666666667,3.0475000000000003,3.0946447100494776,3.254578646280001,2.3411628177867394,2.3910280218978217,6.448125,5.900000000000003,5.937396590572896,6.813246340868104,4.286965235411449,4.915723086160402
2003-11-30,POMKH,8.55,2.26,1.65,4.17,3.74,3.03,2.6,4.46875,2.14,3.96,3.74,3.5200000000000005,4.4,1.98,2.9266666666666663,2.186666666666667,4.915,7.8975,8.423333333333332,7.762801256608848,8.01399694487203,6.594516201819256,7.47156239794244,3.0829166666666667,3.0829166666666663,2.6224448941316365,3.0885034209248183,2.2618715100169906,2.2599999979734284,3.050416666666667,3.050416666666668,2.4741360947415463,2.513177718930554,1.7435923406894747,1.6500000011485103,5.51375,5.415000000000005,4.9327551240835525,4.8455191516892535,4.4956126473164115,4.043200942006557,3.66875,3.6687500000000033,3.465985036574602,3.504237054882007,3.717192872329475,3.7474526446698873,3.5687500000000005,3.56875,3.174871396759335,3.368055099890837,3.048464045317653,3.03,3.625,3.4375000000000018,3.328833776443966,3.3862565379254588,2.8799206443077185,2.7545966219729965,5.8364062500000005,6.07,5.455094123891312,6.168453728907032,5.356671281509824,5.059778719966174,3.276875,3.295000000000001,2.926821760462407,3.625000255009951,2.6610704102042377,2.5345590175694244,5.1875,5.212500000000001,4.6543590941516015,4.552500787969428,4.268710852177663,4.291275668682945,4.50375,4.503750000000002,4.107739839220471,4.811774152588497,3.9371655827994,3.654116573208549,4.681666666666667,4.681666666666667,4.343529417850741,4.318189340950496,3.6135923406894763,3.519999952883631,4.916250000000001,5.815000000000001,5.271250529911861,5.2931253037444606,5.77525591756414,5.795577476985393,4.8998125,13.852333333333316,10.291552937187568,7.048459793757365,13.41706477263303,12.528013129679554,3.1174999999999997,2.927499999999999,2.819648362764796,2.9894278468063407,2.666654531828341,2.4545555446918215,3.4104166666666664,3.031666666666667,2.731453492696353,2.408491471008058,2.1959779804101363,2.1918732940231886,6.3375,6.451250000000003,5.528437954343738,6.765584573019684,5.463709401121108,5.231010585308539
2004-02-29,POMRB,9.28,3.14,3.295,5.96,3.62,4.0950000000000015,3.555,5.73,2.67,5.99,3.98,4.42,3.3,2.0866666666666664,2.36,4.785,7.04,8.92125,7.809999999999999,8.369680753965309,8.389723888969652,8.002660490056416,7.717989567849385,3.0829166666666667,3.0829166666666663,2.8294669364789824,3.070486310614953,3.1417719996686984,3.13999999801683,3.050416666666667,3.050416666666668,2.802481656844928,2.7957395389481867,3.38641482198849,3.2949999902357656,6.0775,5.4500000000000055,5.343653074450131,5.026981789592369,6.03007107864595,6.135329143801961,3.6687499999999997,3.668750000000003,3.527591021944761,3.5278468249040564,3.637780757985797,3.5838169681038132,3.5687500000000005,3.5687499999999996,3.5429228380556017,3.5279387069307773,4.133320454952041,4.0950000000000015,3.33375,3.6487500000000015,3.4193002658663794,3.4158947139337204,2.8006754780714567,2.675611772597427,5.73296875,5.8475,5.565056474334788,6.1495845993058635,6.0554255463639395,5.7734617162428705,3.3537500000000002,3.0725000000000007,2.8240930562774444,3.427745537085101,3.657561760298657,3.4547797868216183,5.1625,5.2125,5.188615456490961,5.196889231463544,5.580439364264605,5.656006623825605,4.503750000000001,4.503750000000002,4.056643903532283,4.705497051945902,4.176889228162394,4.096258118871938,4.681666666666667,4.681666666666667,4.374117650710445,4.240357489852516,4.511414821988491,4.420000006780016,4.581875,4.917500000000001,4.482750317947117,4.488747430045386,5.291206307512531,5.6168865809079636,2.5033333333333334,7.4602499999999825,7.009598428979206,4.448454088710896,8.494455222005342,1.4442219230502413,3.3491666666666666,2.8824999999999985,2.6357890176588774,2.819269549729392,3.38184789238557,3.011504420047412,3.4229166666666666,3.397916666666667,3.552872095617812,4.268237431867747,3.3862803675588293,3.259612541863932,6.423750000000001,6.445000000000003,6.133062772606243,6.718287552304568,5.627388043587924,5.601340644889446
2004-05-31,PREMON,11.15,5.795,5.550000000000002,8.08,5.705,5.4,4.1,8.03875,5.815,6.7,7.3375,6.23,6.0600000000000005,4.3375,6.276666666666667,3.92,8.315000000000001,10.245000000000001,7.9849999999999985,9.481808452379184,9.355608255103512,9.229308360828483,8.17510450641194,3.0829166666666667,3.0829166666666663,4.015680161887389,3.6717362304010677,5.796679777509368,5.794999998030131,3.050416666666667,3.050416666666668,3.9014889941069573,4.570045678266238,5.639099002313009,5.549999990451774,7.103750000000001,5.577500000000006,6.438191844670079,5.707079180129951,8.382337258464759,8.05542399182845,3.66875,3.6687500000000024,4.398554613166857,4.895935915578815,5.731003118313295,5.71776134041404,3.5687500000000005,3.568749999999999,4.285753702833361,4.056592444846134,5.447194351462109,5.4,3.09,3.601250000000002,3.6915801595198277,3.73209945805624,4.448310861442537,4.23556254776493,5.67453125,5.825312500000001,6.554533884600874,6.588874501423878,7.686362568234807,7.4512631696019564,3.2431249999999996,3.481250000000001,4.020455833766467,3.7826768873240746,4.9768787204067815,5.005046225853875,5.1625000000000005,5.1625,5.793169273894577,6.17520090539011,6.872738758863132,6.669241694610297,4.50375,4.503750000000002,5.368986342119371,5.261563760160733,6.9791815509636566,6.780732564703255,4.6816666666666675,4.681666666666667,5.1164705904262675,5.348287779170779,6.319099002313009,6.2299999448370205,4.22,4.915000000000001,5.11365019076827,5.113328371452081,5.569455787891242,5.488487347651075,2.599375,2.3393749999999818,5.940759057387524,4.298565293259873,4.377666986709092,1.995733717302429,3.246666666666667,3.3524999999999987,4.092140077261994,4.14296365927035,4.100438132110069,3.975258823226187,3.507083333333333,3.4229166666666675,3.699723257370687,4.6085851155966155,4.080222035895721,3.9467553004503855,6.72375,6.230000000000003,7.005837663563746,6.671340390658257,8.428493347291761,8.824348983894128
2004-08-31,MONSOON,10.45,1.1366666666666665,1.7066666666666663,8.1,1.61,1.75,2.01,4.325,2.28,4.0,2.9575,4.556666666666667,3.235,2.265,1.82,2.8,6.2,11.63125,9.857499999999998,9.86908507142751,9.866794196220157,8.842516792714719,9.186643429141604,3.0829166666666667,3.0829166666666663,2.8640747637991004,3.1802447948942514,1.1382580236212914,1.1366666686345246,3.050416666666667,3.050416666666668,3.023560063130841,3.4554096715144955,1.793325232428082,1.7066666505184998,8.07875,6.577500000000006,7.1029151068020475,6.236923615858888,3.4495834831217222,4.686535385757335,3.66875,3.668750000000003,3.283132767900114,3.408736094649366,1.625822443167252,1.61,3.5687500000000005,3.5687499999999996,3.2714522217000166,3.5158092420635456,1.6953386294301214,1.75,3.2318749999999996,3.0662500000000015,3.018948095711896,2.9544267620481914,4.286899534739067,4.097339061357683,5.808125,5.640625000000001,5.662720330760524,6.2497373551157045,4.682944806208583,4.733897756604934,3.4025,3.226250000000001,3.32427350025988,3.5253316440805693,3.3794654939543936,3.166317375934227,5.1625000000000005,5.1625,5.075901564336746,5.223053012435252,4.101618831488202,4.228888363549078,4.503749999999999,4.503750000000002,4.404391805271622,4.926597426918052,3.1544691134401606,3.0645554957960015,4.6816666666666675,4.681666666666667,4.892549020922427,5.143202762070692,4.643325232428084,4.556666557816143,4.2525,4.248750000000001,4.362190114460962,4.353994789830973,4.139871943862138,4.217345645188836,5.4415625,2.6672916666666486,4.470455434432514,3.1997720678906387,2.24399587830574,3.162939763634353,3.2271875,3.3458333333333323,3.1832840463571963,3.3756677029609046,3.3240918192806275,3.4085433915326115,3.774375,3.4229166666666675,3.339833954422412,3.635896232015169,2.6640654994011514,2.890865510124411,6.890000000000001,6.617500000000003,6.683502598138248,6.62469144983197,4.541253723689451,4.476763165390566
2004-11-30,POMKH,11.65,2.26,1.65,8.38,3.74,3.03,2.79,4.74,2.275,3.96,3.74,3.5200000000000005,4.17,1.4366666666666668,2.1333333333333333,2.86,5.7650000000000015,12.779999999999998,10.632499999999997,10.581451042856505,10.6863814915294,9.575584925077917,9.651892070721985,3.0829166666666667,3.0829166666666663,2.62244485827946,2.965378203158899,2.2615075897550923,2.260000003847653,3.050416666666667,3.050416666666668,2.4741360378785044,2.5117244658595608,1.7341068210800743,1.6499999888191392,8.870000000000001,7.630000000000006,7.613749064081229,6.718466220591507,5.800486576134444,6.21949479911169,3.66875,3.6687500000000033,3.465879660740068,3.5028377554062873,3.7389960879847663,3.7784444713896987,3.5687500000000005,3.56875,3.17487133302001,3.3659527585016735,3.048470707330642,3.03,3.3499999999999996,3.113750000000002,2.9273688574271377,2.7392055727292886,2.6410246434191156,2.5670076047060184,5.863906249999999,5.7084375000000005,5.293632198456314,6.000208638513529,4.7503044945183275,4.61898264268172,3.8243750000000003,3.260000000000001,2.904564100155928,3.2815464203292786,2.559828258023308,2.4185243315346603,5.203906249999999,5.1625,4.629540938602048,4.459151524414223,4.130244139608222,4.202855718980281,4.50375,4.503750000000002,4.138635083162973,4.744613730746617,3.9268787615991867,3.600556594433764,4.681666666666667,4.681666666666667,4.3435294125534565,4.3178713940247055,3.604106821080076,3.519999873225423,4.0825000000000005,4.191250000000002,4.285314068676577,4.264169855528827,4.092441982596552,3.9842074547277107,10.640104166666667,2.5314583333333154,3.2569399273261754,2.2564295405966392,4.048990306029175,3.2291472150797746,3.100416666666667,3.147499999999999,2.763303761147651,2.9887680989391003,3.078072383033887,2.669923705884184,4.050416666666666,3.5912500000000005,3.1479003726534467,3.0199800531245606,2.2681299789418174,2.3613876983265776,7.088125000000001,6.830000000000004,6.3161015588829486,6.578363016152661,6.01915958607883,5.529182637757825
2005-02-28,POMRB,17.27,3.14,3.295,9.55,3.62,4.0950000000000015,4.5,6.5275,3.81,5.99,3.98,4.42,3.79,25.3675,2.9975,6.25,7.52,13.055,12.629999999999995,13.256870625713903,13.390657111933809,11.03616855752644,10.405216559022143,3.0829166666666667,3.0829166666666663,2.8294669149676763,2.965467193274757,3.1414272327637387,3.1400000049090573,3.050416666666667,3.050416666666668,2.802481622727103,2.794451823310538,3.3764556853980943,3.295000002851087,9.243749999999999,8.527500000000005,8.388249438448737,7.391868043447857,8.272513277383679,8.050237499451429,3.6687499999999997,3.668750000000003,3.5275277964440406,3.5275350763233626,3.6290187093757655,3.62,3.5687500000000005,3.5687499999999996,3.5429227998120068,3.5305309932625417,4.133325596349206,4.0950000000000015,3.3499999999999996,3.3500000000000014,3.5564213144562826,3.4866785686358015,3.514045212188983,3.509889244126883,5.6853125,5.9078125,5.787179319073789,6.116322621732784,5.901855989945702,5.813900929061632,4.25625,3.5450000000000013,3.266738460093557,3.3148652360823,3.455849914574425,3.2328647151700665,5.2453125,5.1625,5.17372456316123,5.146482667231577,5.75159511576706,5.776632370364165,4.503750000000001,4.503750000000002,4.075181049897784,4.611891312491181,4.166702240219455,4.098323382468539,4.681666666666667,4.681666666666667,4.374117647532074,4.239845354163047,4.501455685398095,4.419999959343773,3.9762500000000003,4.3137500000000015,4.087188441205946,4.0553785007874685,4.290868612701991,4.395613873890175,15.429041666666668,8.351666666666649,12.101163956395705,13.862461287686722,3.754166086084133,1.8120517977412516,2.8717708333333336,3.3068749999999993,2.8569822566885907,3.052399503318566,3.0492976483700445,2.4891354177628027,4.055833333333333,3.9575000000000005,4.388740223592068,5.857509277805913,4.212596986299571,4.140912247384203,7.32125,6.950000000000005,6.797660935329769,6.53238462004809,6.251461714351257,5.937650664301309
2005-05-31,PREMON,12.35,5.795,5.550000000000002,10.82,5.705,5.4,4.1,7.6875,8.05,7.03125,7.3375,6.23,4.21,22.645000000000003,4.625,4.663333333333333,9.42,13.237499999999999,12.929999999999996,12.894122375428342,13.72925373190219,14.448239754830343,12.955967681560018,3.0829166666666667,3.0829166666666663,4.015680148980605,3.585646986325094,5.79635315560294,5.795000001733582,3.050416666666667,3.050416666666668,3.9014889736362623,4.569062773496175,5.628718777417227,5.550000005139741,9.59125,9.212500000000006,9.360949663069242,8.241512279631852,11.059675363746734,9.695448441663027,3.6378125,3.6687500000000024,4.398516677866424,4.8965327390768065,5.717183646888165,5.6891699235454185,3.5687500000000005,3.568749999999999,4.285753679887204,4.063264885962204,5.447198319326596,5.4,3.35025,3.350000000000002,3.7738527886737696,3.912091766015059,4.1722523535422384,4.047973530497952,5.5684375,5.82,6.547307591444273,6.457356670788286,8.031933689059176,7.939695220312652,4.813125,4.103750000000001,5.180043076056135,4.093728824135474,5.168370086488895,5.194558268249156,5.1753124999999995,5.2453125,5.916734737896737,6.378737496756793,6.789135019259163,6.582955086815048,4.430416666666667,4.503750000000002,5.380108629938671,5.144745060439132,7.319600301264501,7.465021218365275,4.6816666666666675,4.681666666666667,5.116470588519245,5.34771063401369,6.3087187774172255,6.229999987719263,4.121875,3.8512500000000016,4.136313064723568,4.097119317131538,5.269221557419864,5.230663315100994,20.450958333333336,12.92854166666665,16.318698373837424,18.246311204390697,14.331943680439492,13.268626726160191,2.8847916666666666,2.893958333333333,3.5641893540131546,3.6902731733492566,4.36692148229103,4.793358081276882,3.9439583333333332,4.143333333333334,4.498577467488574,6.034364390685386,4.071571549357512,4.144548850735269,7.708125,7.226250000000005,7.846596561197861,6.486755913449823,9.019291690267778,8.879659487954465
