Date,Season,Karakat,Nauhatta,Sanjhauli,Sheosagar,Suryapura,Bikramganj,Akorhi Gota,Dehri,Rohats,Chenari,Narsiganj,Tilhothu,Dinara,Karghar,Sasaram,Karakat_Trend,Karakat_SMA,Karakat_EWMA,Karakat_DES,Karakat_TES,Karakat_ARIMA,Nauhatta_Trend,Nauhatta_SMA,Nauhatta_EWMA,Nauhatta_DES,Nauhatta_TES,Nauhatta_ARIMA,Sanjhauli_Trend,Sanjhauli_SMA,Sanjhauli_EWMA,Sanjhauli_DES,Sanjhauli_TES,Sanjhauli_ARIMA,Sheosagar_Trend,Sheosagar_SMA,Sheosagar_EWMA,Sheosagar_DES,Sheosagar_TES,Sheosagar_ARIMA,Suryapura_Trend,Suryapura_SMA,Suryapura_EWMA,Suryapura_DES,Suryapura_TES,Suryapura_ARIMA,Bikramganj_Trend,Bikramganj_SMA,Bikramganj_EWMA,Bikramganj_DES,Bikramganj_TES,Bikramganj_ARIMA,Akorhi Gota_Trend,Akorhi Gota_SMA,Akorhi Gota_EWMA,Akorhi Gota_DES,Akorhi Gota_TES,Akorhi Gota_ARIMA,Dehri_Trend,Dehri_SMA,Dehri_EWMA,Dehri_DES,Dehri_TES,Dehri_ARIMA,Rohats_Trend,Rohats_SMA,Rohats_EWMA,Rohats_DES,Rohats_TES,Rohats_ARIMA,Chenari_Trend,Chenari_SMA,Chenari_EWMA,Chenari_DES,Chenari_TES,Chenari_ARIMA,Narsiganj_Trend,Narsiganj_SMA,Narsiganj_EWMA,Narsiganj_DES,Narsiganj_TES,Narsiganj_ARIMA,Tilhothu_Trend,Tilhothu_SMA,Tilhothu_EWMA,Tilhothu_DES,Tilhothu_TES,Tilhothu_ARIMA,Dinara_Trend,Dinara_SMA,Dinara_EWMA,Dinara_DES,Dinara_TES,Dinara_ARIMA,Karghar_Trend,Karghar_SMA,Karghar_EWMA,Karghar_TES,Karghar_ARIMA,Sasaram_Trend,Sasaram_SMA,Sasaram_EWMA,Sasaram_DES,Sasaram_TES,Sasaram_ARIMA
1996-02-29,POMRB,2.5800000000000005,8.8,2.9,3.75,5.84,5.71,6.93,10.252,10.45,6.8,5.85,4.76,3.32,4.763333333333333,2.74,,,2.5800000000000005,6.165201302877114,2.5900000000000003,0.0,,,8.8,7.3772398811088085,8.225179530733584,0.0,,,2.9,1.8835276915714159,3.247998918210765,0.0,,,3.75,3.9642230049520104,4.683052719975418,0.0,,,5.84,4.71969840863676,5.999188440247408,0.0,,,5.71,7.2704905311875,5.4653504204622365,0.0,,,6.93,5.882715948529077,7.44242171504892,0.0,,,10.252,10.42627063217589,10.262,0.0,,,10.45,9.907819389206317,9.226832241312554,0.0,,,6.8,5.9739072894055925,6.81,0.0,,,5.85,5.882906938236193,6.005326212842371,0.0,,,4.76,6.596732992657625,4.955818747041298,0.0,,,3.32,5.264531371208357,2.8765198007061343,0.0,,,4.763333333333333,4.613935212770146,0.0,,,2.74,4.213379387453938,2.9696074366993397,0.0
1996-05-31,PREMON,4.7575,7.62,5.47,5.895,7.86,6.59,10.02,10.3475,9.8,9.87,6.905,5.89,4.74,6.04,7.35,,,3.4510000000000005,8.631659244799382,4.776945983379502,-1.1763009454420368e-22,,,8.328,7.382772737314449,6.892666495823056,2.390914927377609,,,3.928,2.3662427917832605,5.072104573793591,1.4364205714939473,,,4.6080000000000005,3.99969493935839,5.660946124789225,3.7499949371008783,,,6.648,5.176240435582846,7.269428385439056,2.1261015469416105,,,6.061999999999999,8.056068143460378,6.85807642169591,1.6133107897875744e-21,,,8.166,6.840376693609294,8.613205243106444,6.9299862022355,,,10.2902,10.506442927054586,10.366945983379503,1.2667654645977566e-06,,,10.19,9.609297035609858,10.487208579206245,10.449947207259466,,,8.028,5.973209147269265,9.888836565096952,3.5897104719930886e-06,,,6.272,6.058566066240925,7.500261607760943,5.849983430380966,,,5.212,7.525356900017793,5.901794880362933,4.759993431241968,,,3.888,6.656343241796909,4.551786353495117,4.4870886041299335e-07,,,5.274,6.79762652790843,2.391861905713242e-10,,,4.584,3.4573032945565347,6.53933404748742,0.6569874412818526
1996-08-31,MONSOON,1.7283333333333335,5.24,2.32,2.77,4.23,4.24,6.28,9.116,5.34,5.72,4.7,4.63,1.47,2.733333333333333,1.0,2.791458333333334,,2.761933333333334,6.906582470088217,1.756674276082392,-1.5262905051909517e-21,7.28125,,7.0927999999999995,7.012476273618433,4.29978462714867,1.5339488299821429,3.4124999999999996,,3.2847999999999997,2.194653257400833,2.148243144727413,2.7363591662030653,4.54875,,3.8728000000000002,3.177029916094925,2.316483695212837,5.010313002232213,5.7875,,5.6808,4.539605149736507,3.8768242538370368,3.138682738871659,5.19625,,5.3332,7.748314541231051,3.7342560648947094,-1.0369568356388175e-21,7.66875,,7.411600000000001,6.237370450660831,6.052055163313176,8.561943324036463,9.918875,,9.82052,10.344137998599994,9.14434094274906,2.615076505108503e-06,8.58625,,8.25,8.584834730012401,5.4750703939207295,10.082385139711784,7.255,,7.104799999999999,5.112725660216176,5.746534250044122,3.485945964155015e-06,6.35125,,5.6432,5.827376924542248,3.587762413035242,6.498230273634482,5.2475,,4.9792,7.270009547163587,3.924316119982826,5.442543739538932,2.9020833333333336,,2.9208,5.778569143085681,1.4825162760452903,6.406264448849505e-07,4.679166666666666,,4.257733333333333,2.772678091496914,4.538446689301831e-10,3.6487499999999997,,3.1503999999999994,2.19704672506839,1.5370719625207865,1.806563541985164
1996-11-30,POMKH,2.1,6.6,2.87,4.62,4.72,4.38,6.73,9.96,8.55,6.53,6.8,5.36,2.28,5.043333333333333,2.94,2.7914583333333334,2.7914583333333334,2.49716,5.032545039358827,2.136689239595705,4.863673402832288e-22,7.7225,7.065000000000001,6.8956800000000005,6.916403845951104,5.83009184251614,3.0742940121722215,3.4712499999999995,3.3899999999999997,3.11888,2.165629525698707,2.6293438452639126,1.8423275350135337,4.846875,4.25875,4.17168,3.212897651805541,4.502500633728712,3.7323094177692084,5.93,5.6625,5.296479999999999,4.238069804048776,5.246737608890442,2.931716612521211,5.2125,5.2299999999999995,4.951919999999999,7.312652592932843,4.503769490046077,-1.3173959349858812e-21,7.81375,7.49,7.138960000000001,6.0459272491481615,6.971365443903112,7.634975908116706,9.918875,9.918875,9.876312,10.3311306533233,9.996689239595709,3.820922343365303e-06,8.65875,8.535,8.370000000000001,8.242023325721698,8.287131216207488,8.224400723036052,7.2299999999999995,7.2299999999999995,6.874879999999999,4.7818468528942955,6.563127644054536,8.556872936388438e-07,6.659375,6.06375,6.10592,5.993652490317288,5.051548747440966,5.473160662656519,5.3,5.159999999999999,5.13152,7.127636029557192,5.318752383532795,4.897799186688183,2.8529166666666663,2.9525,2.6644799999999997,5.037106978999748,2.114442874251724,-6.955967423216914e-08,4.725416666666666,4.645,4.571973333333333,3.3557500447824404,5.78268714163578e-10,3.8425,3.5075,3.0662399999999996,1.6797669193691083,2.134520957465127,0.7611905114626552
1997-02-28,POMRB,2.5800000000000005,10.53,3.08,6.07,6.84,5.44,8.36,10.252,10.86,7.0,8.15,5.46,2.9166666666666665,5.036666666666666,3.87,2.791458333333334,2.7914583333333334,2.5302960000000003,3.747468629973251,2.6244955201551443,2.579999767117159,7.79875,7.497500000000001,8.349408,7.455004497801733,9.248099100332489,8.54219238159874,3.5362500000000003,3.435,3.1033280000000003,2.1898227510940953,3.37310711611632,2.7968681679238845,4.5975,4.83875,4.931008,3.841599785747901,4.398424212330984,3.892679893686591,5.785,5.9125,5.913888,4.742418937365417,6.053455271713214,5.616435981041947,5.06375,5.1625,5.147152,7.138932618120696,5.703775264310358,5.709998433171714,7.515000000000001,7.8475,7.627376,6.691659874849879,7.6387197234688315,7.114072275724898,9.918875000000002,9.918875,10.026587200000002,10.364465699568438,10.29649552015515,10.226125160444367,8.6875,8.6375,9.366,8.3808735320363,9.561685494349067,9.915345001053554,6.9399999999999995,7.28,6.9249279999999995,4.777220241796663,6.832870457597874,6.7999968544581595,6.275,6.63875,6.923552000000001,6.3669405411147855,6.6762187073545,6.0402621653013115,5.11,5.334999999999999,5.262912,6.845495390378795,5.063476956221833,4.933289828663452,2.9966666666666666,2.8516666666666666,2.7653546666666666,4.506777062032962,3.053289437088354,3.319998448668225,4.767916666666666,4.713333333333333,4.757850666666666,4.798275163553631,4.562936912445168,3.94375,3.7899999999999996,3.3877439999999996,1.5258320770930554,3.055411628008751,2.5853861816286434
1997-05-31,PREMON,4.7575,9.42,5.76,5.96,8.0,6.99,9.75,10.3475,9.97,9.47,7.07,5.61,4.75,6.136666666666666,7.77,2.791458333333334,2.7914583333333334,3.4211776000000005,4.338662257551453,4.809267742956177,4.757499570565846,7.53125,7.947500000000001,8.777644800000001,7.7315048057469715,8.136672096653765,7.863721138662613,3.47625,3.5075000000000003,4.1659968,2.7187262476876084,5.212067353439638,5.177376905057693,4.295,4.855,5.3426048,4.428135490414771,6.057222738523983,6.118417463472127,5.4624999999999995,5.9475,6.7483328,5.6515982646357585,7.522755341807828,7.828837959509766,4.79875,5.2625,5.8842912,7.421181345786113,6.782650384527403,6.5899981916990535,7.13625,7.78,8.476425599999999,7.936645079445932,9.0844025930545,8.88477687781594,9.918875,9.918875,10.154952320000001,10.407383178103778,10.399267742956182,10.32138412948249,8.52875,8.68,9.6076,8.397540945771421,10.49525671911268,9.626279896430884,6.62125,7.1800000000000015,7.9429568,5.587789390504933,9.926218393439546,9.904549794590677,5.4262500000000005,6.68,6.9821312,6.496407884215042,8.623081324752382,7.3376463680096915,4.876250000000001,5.264999999999999,5.4017472,6.551759872091445,6.19986714133839,5.819607665299588,3.1566666666666663,2.8541666666666665,3.5592128,4.837478126154564,4.653929484533911,4.666725427969297,4.629166666666666,4.7375,5.309377066666666,6.997740397631448,5.785893411710513,3.8775,3.895,5.1406464,2.1091201541782962,6.711905706915368,6.976104313292172
1997-08-31,MONSOON,1.7283333333333335,4.05,2.55,0.71,2.93,2.65,4.16,9.116,5.4,3.8,1.46,3.39,2.61,2.9766666666666666,1.39,2.791458333333334,2.7914583333333334,2.744039893333334,2.755011013167995,1.786847204674452,1.7283331773259,6.842499999999999,7.65,6.88658688,7.117258008054694,5.8045110735211045,5.490433647609564,3.34875,3.5650000000000004,3.51959808,2.566820811553258,2.3288083465799163,2.4568376827017606,4.0875,4.340000000000001,3.48956288,3.180900338214394,2.7360225997126846,3.2538555788868133,4.936249999999999,5.6225,5.22099968,4.81360634085652,4.106297887886427,4.15120120586316,4.62125,4.865,4.590574719999999,6.157815171634066,4.097173207343902,4.239998836540817,6.72125,7.25,6.74985536,6.561303755310447,6.358095396844906,7.320430525468755,9.918875,9.918875,9.739371392,10.216676954724173,9.174513871341125,9.092992291919389,8.22625,8.695,7.92456,7.640684438230036,5.599456530667792,6.343437988470981,6.567500000000001,6.700000000000001,6.2857740799999995,4.819245828335393,5.729555057302169,5.619568390959659,4.4075,5.87,4.7732787199999995,5.6403926070114405,4.444875414657577,5.298679236069863,4.75875,4.954999999999999,4.59704832,5.161225699465591,4.400207882211266,4.81130801818421,3.0845833333333332,3.139166666666666,3.17952768,4.051335300657317,1.5261210630517459,1.4856433342511706,4.417916666666667,4.798333333333333,4.3762929066666665,2.9544561281529402,2.6183402856713465,3.6025,3.9924999999999997,3.64038784,1.6398525539461737,1.7302036840305088,1.142309758288233
1997-11-30,POMKH,2.1,5.65,2.16,4.26,3.44,3.85,5.82,9.96,7.22,5.9,3.25,4.73,2.42,3.69,2.02,2.7914583333333334,2.7914583333333334,2.4864239360000004,2.055318852077062,2.1647429067173674,2.0999998104441993,6.16,7.4125,6.391952128,6.854556000349922,6.9031163852837425,5.914821083311733,3.12375,3.3875,2.975758848,2.375794271467436,2.823286877954203,2.8142847404250606,3.9087499999999995,4.250000000000001,3.7977377279999995,3.340608509636023,4.497060099129883,3.947539537242565,4.56,5.3025,4.5085998080000005,4.256543988515204,5.154284062269664,4.010837314589165,4.4825,4.732500000000001,4.294344832,5.399604185440014,4.320535529836274,4.379998798124713,6.258333333333333,7.0225,6.377913216,6.112310553959983,6.736823862051617,6.731397192460736,9.918875,9.918875,9.827622835200001,10.182928042321894,10.024742906717377,9.934862134489183,8.115,8.3625,7.642735999999999,7.293159911994019,8.473785629136403,8.453821247039928,6.692500000000001,6.5425,6.131464448,4.792216681603586,6.3170628661780714,6.209107903574823,3.7912500000000007,4.9825,4.163967232,5.226251789744293,4.772090409996,5.364251052405194,4.755000000000001,4.797499999999999,4.650228992000001,4.7384341279848625,5.189805531189743,4.822401043354292,2.9325,3.1741666666666664,2.875716608,3.3069319010500213,2.210381797929838,2.532660942569344,4.36375,4.46,4.101775743999999,3.5484386493598317,4.8311571368259445,3.1925,3.7624999999999997,2.992232704,1.4090504846242253,2.3440114518556525,2.695534325354826
1998-02-28,POMRB,2.5800000000000005,5.97,2.77,4.77,3.91,4.55,5.95,10.252,9.77,7.2,3.55,5.15,2.2,4.7,2.59,2.791458333333334,2.7914583333333334,2.5238543616000007,2.0478124217877793,2.6504638090961707,2.5799997714177443,6.145833333333333,6.272499999999999,6.2231712768,6.684814730164949,10.565059522198272,10.037104751409226,2.8175,3.31,2.8934553088,2.338142414866222,3.322429003304683,2.685418064811933,4.16125,3.9250000000000007,4.186642636799999,3.704537167575821,4.781103261679265,5.210526686176547,4.58375,4.57,4.2691598848000005,3.9600601109944655,5.711044175662177,5.907171398228603,4.491249999999999,4.510000000000001,4.3966068992,4.980445648595616,5.409674128244478,5.5341843275586,6.274166666666666,6.42,6.2067479296000005,5.844591402828033,7.253669286674344,7.006050504804318,9.918875000000002,9.918875,9.99737370112,10.20234995824617,10.32246380909618,10.238713113151025,8.10625,8.09,8.4936416,7.461640158317521,9.74961407096736,10.120240034351015,6.7775,6.592500000000001,6.5588786688,5.203565325535935,6.633125309723285,7.0744268510847705,3.9074999999999998,3.8325,3.9183803392,4.929030755905229,5.4894864149282405,6.113575295991293,4.80875,4.719999999999999,4.850137395200001,4.6866785127533985,4.980581619746543,4.9316956244684995,2.64625,2.9949999999999997,2.6054299648,2.6623536854226,3.0611771630784506,3.144003894182961,4.372083333333333,4.3758333333333335,4.3410654464,4.71693411965586,4.791728810477776,2.9625,3.4425,2.8313396224,1.354856971161253,3.1710470909515696,3.0432343127269075
1998-05-31,PREMON,4.7575,8.52,4.27,5.83,7.92,6.77,8.456666666666665,10.3475,10.17,10.27,6.74,5.89,4.25,6.04,5.77,2.791458333333334,2.7914583333333334,3.4173126169600003,3.8402668628840186,4.833188529550297,4.75749957849609,6.271666666666666,6.047499999999999,7.141902766079999,6.944280376652489,8.818955912276351,7.847608199736749,2.7125,2.9374999999999996,3.4440731852799997,2.5955009660223527,5.091212675722819,5.320406542505216,4.4575,3.8925,4.84398558208,4.4433821128137,5.7126179345199395,5.536449715267407,4.65,4.550000000000001,5.729495930880001,5.086422309308238,6.635702493235469,6.945889015705819,4.54875,4.455,5.3459641395199995,5.375921297773997,6.648270516956726,6.8504676628761505,6.402291666666665,6.096666666666666,7.106715424426667,6.7712909309561615,8.24814327039142,8.151047108046448,9.918875,9.918875,10.137424220672,10.237440320972302,10.423188529550306,10.334089342296325,8.09,8.14,9.16418496,7.7300413628741875,10.210416274691477,9.55917036841353,6.69875,6.7925,8.04332720128,6.547640951195786,9.382890837037957,9.52886880980343,4.07875,3.75,5.04702820352,5.226833107609701,6.4894817509403495,5.580471710963348,4.8225,4.789999999999999,5.26608243712,5.08798873375775,5.672713241777076,5.589900017126168,2.30125,2.869999999999999,3.26325797888,3.130735310413731,4.729346971047539,4.568632380815802,4.402916666666667,4.351666666666667,5.02063926784,6.871143339261449,5.965354170318814,2.90875,2.9425,4.00680377344,1.903948315905016,6.711570817814883,7.059523132524106
