Date,Season,Kirnapur,Katangi,Baihar,Paraswada,Birsa,Balaghat,Lalbarra,Khairlanji,Lanji,Waraseoni,Kirnapur_Trend,Kirnapur_SMA,Kirnapur_EWMA,Kirnapur_DES,Kirnapur_TES,Kirnapur_ARIMA,Katangi_Trend,Katangi_SMA,Katangi_EWMA,Katangi_DES,Katangi_TES,Katangi_ARIMA,Baihar_Trend,Baihar_SMA,Baihar_EWMA,Baihar_DES,Baihar_TES,Baihar_ARIMA,Paraswada_Trend,Paraswada_SMA,Paraswada_EWMA,Paraswada_DES,Paraswada_TES,Paraswada_ARIMA,Birsa_Trend,Birsa_SMA,Birsa_EWMA,Birsa_DES,Birsa_TES,Birsa_ARIMA,Balaghat_Trend,Balaghat_SMA,Balaghat_EWMA,Balaghat_DES,Balaghat_TES,Balaghat_ARIMA,Lalbarra_Trend,Lalbarra_SMA,Lalbarra_EWMA,Lalbarra_DES,Lalbarra_TES,Lalbarra_ARIMA,Khairlanji_Trend,Khairlanji_SMA,Khairlanji_EWMA,Khairlanji_DES,Khairlanji_TES,Khairlanji_ARIMA,Lanji_Trend,Lanji_SMA,Lanji_EWMA,Lanji_DES,Lanji_TES,Lanji_ARIMA,Waraseoni_Trend,Waraseoni_SMA,Waraseoni_EWMA,Waraseoni_DES,Waraseoni_TES,Waraseoni_ARIMA
1996-02-29,POMRB,9.83,3.51,3.418888888888889,5.125,5.234999999999999,8.185,6.38,5.132500000000001,6.084999999999999,6.616666666666666,,,9.83,10.250706490420134,10.329506391823562,0.0,,,3.51,3.637080663371216,3.4720898413235277,0.0,,,3.418888888888889,7.573844482466773,3.5980414493903234,0.0,,,5.125,6.171639685179281,5.417264259513786,0.0,,,5.234999999999999,8.962239955367867,5.17666836607284,0.0,,,8.185,8.81614591425879,7.989178195174417,0.0,,,6.38,11.219932532640223,6.39,0.0,,,5.132500000000001,4.864414138097237,5.7999364450333495,0.0,,,6.084999999999999,5.542616337897697,6.284264344626784,0.0,,,6.616666666666666,5.111137869994522,7.232369040436586,0.0
1996-05-31,PREMON,10.88,6.82,5.8133333333333335,7.41,7.4,8.540000000000001,9.36,6.29,7.715,9.406666666666666,,,10.25,10.341359229087448,11.031430069107033,9.829985898447582,,,4.834,2.16305673182375,5.746959078745885,3.5099939771907263,,,4.376666666666667,10.325666748246979,6.139125770493357,2.3445503351710705e-06,,,6.039,5.778520878596252,7.354435320181928,1.4400638110445494e-06,,,6.101,11.1149555030592,7.465483873599489,-3.6352393098425397e-10,,,8.327000000000002,9.108364549392354,9.27132642043886,-3.623739704098073e-10,,,7.571999999999999,14.022839926608134,9.37883656509695,6.3799652557108955,,,5.595500000000001,4.999498041176137,6.883186128690622,5.1324950587222755,,,6.737,5.764457194942991,8.066732791998962,2.8496307339503953e-06,,,7.732666666666667,5.287643657962545,9.675870911771032,6.664924612161814e-06
1996-08-31,MONSOON,10.38,1.7000000000000002,2.1500000000000004,4.67,3.73,8.565000000000001,2.8,5.505,6.565,5.513333333333333,10.455000000000002,,10.302,10.305386426781855,9.286223053210728,10.381478171480351,3.6531249999999997,,3.5804,1.0770005786784766,1.8711090615045138,5.595165383174716,3.8570833333333336,,3.486,8.94211108756834,1.0958456118314857,4.576766789140175e-06,5.538749999999999,,5.4914,5.052847700778991,3.6326209215329333,2.851092916331587e-06,5.244375000000001,,5.1526,10.1216143338725,2.8676028667361138,-3.765276756164249e-09,8.041458333333335,,8.422200000000002,9.329034550778251,6.3659716295135755,-9.989191018494857e-10,6.3725,,5.6632,10.719550148976133,2.82653425004412,7.86528151074359,5.8265625000000005,,5.5593,4.956979971718685,4.3053717623662235,5.881966485799211,6.5334375,,6.668200000000001,5.6899464270679205,3.9092460580307415,3.6129651589214118e-06,7.284166666666666,,6.8449333333333335,4.865811086294429,3.502569228745135,1.117113845675212e-05
1996-11-30,POMKH,10.32,2.375,3.5755555555555563,4.68,4.425000000000002,7.126666666666668,6.89,5.7175,5.4499999999999975,6.633333333333333,10.584999999999999,10.352500000000001,10.3092,10.264767431683238,9.930031230588186,10.380901449779936,3.52625,3.6012500000000003,3.09824,0.6893383415604659,2.716751249642149,3.0217927846296297,4.163194444444445,3.739444444444445,3.5218222222222226,7.757626323691629,2.703214443957218,1.490450650799053e-06,5.641249999999999,5.4712499999999995,5.16684,4.496559534993795,5.051798393612362,2.557070020792183e-06,5.3475,5.1975,4.861560000000001,8.934859113757396,4.952226606187943,-5.454489662115692e-09,7.970416666666668,8.104166666666668,7.903986666666668,9.099433801202139,7.060226802101929,-1.3757522760480253e-09,6.044999999999999,6.3575,6.153919999999999,9.835087724355917,6.923127644054533,6.193435723302741,6.186875,5.661250000000001,5.622580000000001,5.008521418067092,5.012225356392609,5.4418156317579545,6.7796875,6.453749999999999,6.180919999999999,5.345748794843173,4.780347761645505,2.014629103838774e-06,7.679166666666667,7.0424999999999995,6.760293333333333,4.7460861477232275,6.003382091351011,5.830033242728963e-06
1997-02-28,POMRB,10.65,3.925,4.359999999999999,5.665,5.609999999999999,7.683333333333333,6.5,6.455,6.7225,8.549999999999999,10.793750000000001,10.557500000000001,10.445520000000002,10.314135696995471,10.595069759211171,10.210451108878821,3.406250000000001,3.7050000000000005,3.428944,0.7386174067157527,3.630516568005276,3.3649661565060187,4.358194444444445,3.9747222222222223,3.8570933333333333,6.774667208027828,4.4272235346520885,3.4188871721879597,5.629999999999999,5.606249999999999,5.366104,4.248329345482076,5.470290248900103,5.125000217174223,5.18625,5.29125,5.1609359999999995,8.152641060851323,5.183675835752572,4.95677769508821,8.041458333333335,7.97875,7.815725333333334,8.971361636560905,8.229108882692836,8.025352630461374,5.665,6.3875,6.292351999999999,8.557405654341924,6.4165546681241885,6.374098771522057,6.560312499999999,5.991875,5.955548,5.2824543248696365,5.971772072800559,5.322936971211751,6.7709375,6.613124999999998,6.397551999999999,5.512847859292495,6.284264352386002,6.084998195717,7.748333333333333,7.525833333333333,7.476176,5.031957475147477,7.970549257998913,6.616664328980841
1997-05-31,PREMON,11.1,5.3900000000000015,7.321111111111112,7.689999999999999,7.85,8.473333333333334,6.62,7.85,9.0475,10.633333333333336,10.72,10.6125,10.707312000000002,10.470268868266807,11.473790293918213,10.657167953357455,3.474375,3.347500000000001,4.2133664,1.0675795085895012,5.958383686959923,6.324459205648812,4.32625,4.351666666666667,5.242700444444445,7.6075678185159585,7.026496363502362,6.2729392137131645,5.566249999999999,5.676249999999999,6.295662399999999,4.4481822301306275,7.605801673680791,7.556181955502762,4.945625,5.4037500000000005,6.2365616,8.46004867560085,7.46288407150252,7.006715366597107,8.095416666666667,7.962083333333334,8.078768533333335,9.015590891395503,9.289508961555052,8.373428401240943,5.6325,5.702500000000001,6.423411199999999,7.542479015902756,9.413422067444502,8.70363881849017,6.6831249999999995,6.381875000000001,6.7133288,5.940689663759507,7.361914784919213,6.576584385939114,6.664375,6.946249999999998,7.457531199999999,6.486862411013854,8.066732801541082,7.939237366665005,7.639583333333333,7.8325,8.739038933333333,5.723826761542986,10.916519521122124,10.206538674415397
1997-08-31,MONSOON,11.83,2.17,2.2022222222222223,4.3,1.99,9.2,2.5,6.932499999999999,5.1625,4.84,10.383750000000001,10.975,11.156387200000001,10.786195087428117,9.657677809943529,10.625419508100215,3.215625,3.4650000000000007,3.3960198399999997,0.9089717438164036,1.743480323306178,1.76710415064665,4.077361111111111,4.3647222222222215,4.026509155555556,5.061068871192445,2.305747096000524,2.8552774972919126,5.267499999999999,5.583749999999998,5.497397439999999,4.092864771246853,4.091027621547838,4.781497777190662,4.596875,4.96875,4.53793696,5.729273866228272,2.9528018768162214,3.5317632859829375,7.90375,8.120833333333334,8.52726112,9.214996911487345,6.786932483956923,8.39794077946435,5.1625000000000005,5.6275,4.8540467199999995,4.654111764559223,2.536749038641364,3.5290401029469094,6.4184375,6.7387500000000005,6.80099728,6.3045346797025,5.072485672615161,6.247716891263208,6.46375,6.595624999999997,6.5395187199999985,6.108529356016956,3.9092460712994783,7.009874700757249,6.916250000000001,7.6641666666666675,7.1794233599999995,5.379326966850571,4.737339526109955,5.907467749797926
1997-11-30,POMKH,8.28,2.45,3.2677777777777783,4.54,4.24,6.923333333333333,6.93,5.2725,6.0,6.436666666666667,10.2275,10.465,10.00583232,10.203191835305732,10.645408806224424,10.940882805936043,2.67,3.4837500000000006,3.017611904,0.8861132145839328,2.7125689509425603,2.596638169718501,3.544166666666667,4.287777777777777,3.7230166044444446,3.8307168996624377,3.311273570185106,3.3488684561645488,4.7299999999999995,5.548749999999998,5.114438464,3.864082862407843,5.0066663328763115,4.591792061082371,4.043125,4.9225,4.4187621759999995,4.712339814311367,4.9003668605635955,4.189826418348329,7.697083333333333,8.07,7.885690005333334,8.789457043405697,7.206753142926446,6.987661952318031,4.95375,5.6375,5.684428032,5.2377578807671465,6.600077408871874,6.6871842810879025,5.862291666666667,6.6274999999999995,6.1895983679999995,6.165671730134671,5.955470458262791,6.170932679118328,5.9271875000000005,6.733124999999999,6.323711231999999,6.039615704573504,4.780347770991854,4.707870412476549,5.834166666666667,7.615,6.882320682666667,5.369745121724301,6.4359440770546925,5.997940093963644
1998-02-28,POMRB,10.0,1.78,2.6766666666666667,3.415,3.005,6.3533333333333335,2.7,4.7825000000000015,4.5675,2.9600000000000004,9.9425,10.3025,10.003499391999998,10.113558091325013,10.431821955992081,10.185255137265388,2.2275,2.9475000000000007,2.5225671424,0.8088818042290068,3.6426901977011,3.6695361476670225,3.202083333333334,3.866944444444443,3.304476629333333,2.816687251065232,4.559166813791087,3.7555742300409953,4.158125,4.986249999999998,4.4346630784,3.506892005012951,5.515422076459542,5.3814744463211435,3.8537500000000002,4.27125,3.8532573055999997,3.531584437020622,5.219080114067684,5.275266537513883,7.244166666666666,7.7375,7.2727473365333335,8.228198095272903,8.246371976166612,7.818614885591163,5.16,4.6875,4.4906568192,3.556715774463958,6.129482943676486,6.380458148036933,5.264895833333334,6.209375,5.6267590208,5.879420176371226,6.544759127371587,5.742368534340215,5.7190625,6.194374999999999,5.621226739199999,5.5260248005625625,6.284264363270543,6.945557597398331,5.1104166666666675,6.217500000000001,5.3133924096000005,4.774928294835857,8.138569818195863,7.68350339650503
1998-05-31,PREMON,10.5,3.17,4.73888888888889,5.6400000000000015,6.025,8.15,8.75,5.073333333333333,6.91,7.566666666666667,9.8225,10.1525,10.2020996352,10.161320868932364,11.155328614714662,10.462171164090957,1.9625,2.3925,2.7815402854399998,1.0143480654222594,5.524970638917933,5.125976363643888,3.0279166666666675,3.221388888888888,3.878241533155556,3.422948305901186,6.214732355020018,5.723131506460881,3.6906250000000007,4.473749999999999,4.916797847040001,3.6187469847810876,7.026849261046687,6.933363275130306,4.71875,3.815,4.72195438336,4.217752495809868,7.481719113551593,7.417186176223737,6.680833333333334,7.656666666666666,7.623648401920001,8.160285033573276,9.103294494109521,8.409570507435609,4.63375,5.22,6.1943940915199995,6.167898976301635,8.085208728997165,7.68995094242284,4.914270833333333,5.515208333333334,5.405388745813333,5.682177901705172,7.33600928734584,6.477341420540837,5.530937499999999,5.659999999999999,6.136736043519999,5.847767860453234,8.066732806398713,7.595657191679807,4.24875,5.4508333333333345,6.214702112426668,5.066751414628499,8.663742869558583,7.963639019227028
