Date,Season,Dharampur,Valsad,Pardi,Kaprada,Umbergaon,Dharampur_Trend,Dharampur_SMA,Dharampur_EWMA,Dharampur_DES,Dharampur_TES,Dharampur_ARIMA,Valsad_Trend,Valsad_SMA,Valsad_EWMA,Valsad_DES,Valsad_TES,Valsad_ARIMA,Pardi_Trend,Pardi_SMA,Pardi_EWMA,Pardi_DES,Pardi_TES,Pardi_ARIMA,Kaprada_Trend,Kaprada_SMA,Kaprada_EWMA,Kaprada_DES,Kaprada_TES,Kaprada_ARIMA,Umbergaon_Trend,Umbergaon_SMA,Umbergaon_EWMA,Umbergaon_DES,Umbergaon_TES,Umbergaon_ARIMA
1996-02-29,POMRB,7.4674999999999985,5.026666666666666,5.17,5.6850000000000005,5.0275,,,7.4674999999999985,12.324388622627879,7.3573986034595835,0.0,,,5.026666666666666,5.197569233470646,5.075209256992341,0.0,,,5.17,7.488123791102515,5.18,0.0,,,5.6850000000000005,5.449459271752948,5.69890625,0.0,,,5.0275,4.168504171112083,5.0375,0.0
1996-05-31,PREMON,10.3175,5.669999999999999,6.5,8.350000000000001,6.3275000000000015,,,8.6075,15.065805796695331,10.524566369676805,4.210293299565945,,,5.283999999999999,5.493298435235144,5.7648899355991885,5.0266363376919125,,,5.702,8.721758024373644,6.5188365650969535,2.833692631326767e-11,,,6.751000000000001,6.620816883115855,8.37704207063712,-2.923962417237711e-11,,,5.5475,4.730261677222721,6.346945983379503,-1.748570733138576e-09
1996-08-31,MONSOON,3.9325,2.6633333333333336,1.455,1.945,1.9775,7.156562500000001,,6.7375,12.828119343425627,3.906915115053601,6.516261560477562,4.3675,,4.235733333333333,5.237070080612345,2.796977056532512,5.357750186486053,4.190625,,4.0032,7.162299711027512,1.481534250044123,4.0672687500325024e-10,4.956250000000001,,4.8286,5.335851263606074,1.9844116235104101,-2.0991734445261788e-10,4.1840625000000005,,4.1195,3.8861146559416326,2.0058409427490584,2.28015035506027e-08
1996-11-30,POMKH,6.7175,4.22,3.805,3.9975,3.5425,7.2134374999999995,7.108750000000001,6.7295,11.574936248399515,6.503251964158087,6.110974415984791,4.260833333333333,4.395,4.229439999999999,5.225419965615006,4.3930258566514695,4.401810414704037,4.1425,4.2325,3.92392,6.48236105746217,3.8381276440545364,5.197818673788849e-10,4.8990625,4.994375000000001,4.49616,5.1028072487812475,4.048520973812778,-2.8531875398001397e-10,4.087187500000001,4.21875,3.8887,3.6431592077556947,3.579189239595705,3.534731639189915e-08
1997-02-28,POMRB,7.85,4.806666666666667,4.835,5.38,4.75,7.2824374999999995,7.2043750000000015,7.1777,10.677661922706458,7.401942502034449,6.896081421542486,4.2025,4.339999999999999,4.460330666666666,5.294535564192468,5.226765121171728,4.902896333300809,4.09375,4.14875,4.288352,6.17316949763926,5.206028352334718,4.929284925476287,4.9475,4.918125,4.849696,5.39419232396977,5.744682249656538,5.125620310145245,4.0021875,4.149375,4.23322,3.8388401133480183,5.069364941207775,4.873491739980955
1997-05-31,PREMON,10.39,5.036666666666666,6.45,8.1975,5.83,7.209250000000001,7.222500000000002,8.462620000000001,11.02347998242844,10.674479474889466,9.675277750496598,4.235416666666667,4.181666666666666,4.690865066666666,5.383963433972485,5.880369464069563,5.419566412762932,3.93,4.1362499999999995,5.1530112,6.511169088151074,6.4995556146088145,6.197360157757095,5.032500000000001,4.879999999999999,6.1888176,6.531272992515987,8.400946483901949,7.528395706197454,4.0153125,4.025,4.871932,4.393531725966886,6.35892410073428,6.133668619196324
1997-08-31,MONSOON,4.412,2.83,1.115,2.4850000000000003,1.795,6.709625,7.342375000000001,6.842372000000001,8.225694737956873,4.032692075231992,4.276602171099618,4.297083333333333,4.223333333333333,3.946519039999999,5.077706916549253,2.8521134249827442,2.9664617631328145,3.6293749999999996,4.05125,3.53780672,4.586329620810007,1.4516727250529344,1.3872552353297627,5.1665624999999995,5.014999999999999,4.707290560000001,5.45071615652021,1.9952542370614128,1.7536203171725424,3.934375,3.979375000000001,3.6411592,3.6271446582994,1.9861336734164787,1.9169229077709196
1997-11-30,POMKH,5.6525,4.316666666666666,2.835,4.1375,3.83,6.366875,7.076125000000001,6.366423200000001,6.674924909722936,6.739314005501008,6.611082398521128,4.379583333333333,4.2475,4.094578090666666,5.017896593458043,4.440852848269024,4.232375884092822,3.13,3.80875,3.256684032,3.701500227252472,3.7651271389372316,3.627839292363984,5.4459375,5.049999999999999,4.479374336000001,5.2304717457555086,4.085022461133485,3.604163094053244,3.6340624999999998,4.0512500000000005,3.71669552,3.5892037569833115,3.545736092041333,3.433981997467053
1998-02-28,POMRB,4.918000000000001,5.203333333333333,3.4,6.3125,3.815,6.3606875,6.343125000000001,5.787053920000001,5.330903275194877,7.232354595044718,7.175740913426706,4.5334375,4.346666666666666,4.538080187733332,5.101976604467996,5.217856911194967,4.839606355288629,2.8125000000000004,3.4499999999999993,3.3140104191999997,3.282752348704146,4.930988834985018,4.864719471375148,5.519375000000001,5.283124999999999,5.212624601600001,5.792664482766819,5.737033802312587,5.2564493962759995,3.4737500000000003,3.817500000000001,3.756017312,3.57239782694232,4.976323869395748,4.811037508502529
1998-05-31,PREMON,10.58,5.3,3.89,9.5,4.362500000000002,6.3479375,6.390625,7.704232352,7.283760933545958,9.643616480930667,8.88415711890382,4.647291666666666,4.4125,4.842848112639999,5.193216476533224,5.799221788309574,5.232739183796766,2.8568749999999996,2.8099999999999996,3.54440625152,3.22114342864727,6.155463561217324,6.3090697254305965,5.3950625,5.608749999999999,6.927574760960001,7.243917936087164,8.470770341719044,7.857385299291586,3.3765625000000004,3.450625000000001,3.9986103872000003,3.7498217203725552,6.161998105027024,5.981528817049245
