Date,Season,Pulwama,Pulwama_SMA,Pulwama_EWMA,Pulwama_TES,Pulwama_ARIMA
1996-02-29,POMRB,,,,,
1996-05-31,PREMON,3.0380000000000003,,3.0380000000000003,3.4462879306281233,0.0
1996-08-31,MONSOON,3.469375,,3.21055,3.455079270733955,2.9601597699250473
1996-11-30,POMKH,4.062291666666667,,3.5512466666666667,3.4691137358532242,3.222915655073421
1997-02-28,POMRB,,,,,
1997-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.3459480000000004,3.427177409000911,3.6421569379681253
1997-08-31,MONSOON,3.469375,3.5097604166666665,3.3953188,3.4557366989594542,3.6105451470315333
1997-11-30,POMKH,4.062291666666667,3.6579895833333333,3.6621079466666666,3.4650540301264345,3.0621033829528663
1998-02-28,POMRB,,,,,
1998-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.412464768,3.4798105786926508,3.231010596470245
1998-08-31,MONSOON,3.469375,3.5097604166666665,3.4352288608,3.4366351447277825,3.948369556008396
1998-11-30,POMKH,4.062291666666667,3.6579895833333333,3.6860539831466665,3.465701790946555,3.445507835711169
1999-02-28,POMRB,,,,,
1999-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.426832389888,3.4757456511560827,2.9796373367925426
1999-08-31,MONSOON,3.469375,3.5097604166666665,3.4438494339328,3.48920966403843,3.8904617462743922
1999-11-30,POMKH,4.062291666666667,3.6579895833333333,3.691226327026347,3.4466092041717102,3.6244375899409715
2000-02-29,POMRB,,,,,
2000-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.4299357962158084,3.476383762199452,3.0853390092015696
2000-08-31,MONSOON,3.469375,3.5097604166666665,3.445711477729485,3.4851395281317576,3.728868489074978
2000-11-30,POMKH,4.062291666666667,3.6579895833333333,3.692343553304358,3.4991251368938956,3.6406143763110457
2001-02-28,POMRB,,,,,
2001-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.430606131982615,3.457300142937581,3.1351967325030907
2001-08-31,MONSOON,3.469375,3.5097604166666665,3.446113679189569,3.4857680070053063,3.8041315505564555
2001-11-30,POMKH,4.062291666666667,3.6579895833333333,3.692584874180408,3.495049806039044,3.5517146683878553
2002-02-28,POMRB,,,,,
2002-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.4307509245082453,3.5097575527987295,3.1130285042028696
2002-08-31,MONSOON,3.469375,3.5097604166666665,3.446200554704947,3.466693355307424,3.848621346033564
2002-11-30,POMKH,4.062291666666667,3.6579895833333333,3.6926369994896353,3.4956686703280218,3.6185868937460524
2003-02-28,POMRB,,,,,
2003-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.4307821996937813,3.505677040399883,3.0459925275749944
2003-08-31,MONSOON,3.469375,3.5097604166666665,3.4462193198162687,3.5190923059698114,3.8413348071134834
2003-11-30,POMKH,4.062291666666667,3.6579895833333333,3.692648258556428,3.4766029862400147,3.6532696700047165
2004-02-29,POMRB,,,,,
2004-05-31,PREMON,3.0380000000000003,3.4019166666666667,3.430788955133857,3.506286307667878,3.078001572360787
2004-08-31,MONSOON,3.469375,3.5097604166666665,3.446223373080314,3.515006625413432,3.7988584302127726
