Date,Season,Tandwa,Itkhori,Chatra,Simaria,Tandwa_Trend,Tandwa_SMA,Tandwa_EWMA,Tandwa_DES,Tandwa_TES,Tandwa_ARIMA,Itkhori_Trend,Itkhori_SMA,Itkhori_EWMA,Itkhori_DES,Itkhori_TES,Itkhori_ARIMA,Chatra_Trend,Chatra_SMA,Chatra_EWMA,Chatra_DES,Chatra_TES,Chatra_ARIMA,Simaria_Trend,Simaria_SMA,Simaria_EWMA,Simaria_DES,Simaria_TES,Simaria_ARIMA
2000-05-31,PREMON,6.21,6.48,7.414999999999999,10.725,4.914999999999999,4.285833333333331,4.775206894031575,5.17562664015549,7.257823631356795,5.55021837097621,4.8309375,3.892499999999999,4.928100757145046,6.842713741420756,6.063140677310226,6.05285954450096,4.789999999999999,4.8425,5.577041794715667,4.971116421657866,6.606862994901663,6.848116487448596,6.538402777777778,5.814583333333333,7.236688272130061,7.103325827486225,7.643972577512493,7.792616847091419
2000-08-31,MONSOON,6.85,4.84,3.6,6.101111111111113,5.325,4.914999999999998,5.6051241364189455,6.888281503186573,3.710302435836674,2.89998488668288,4.659375,4.802499999999999,4.892860454287027,6.928791316920664,2.912224784731129,2.051054631984699,4.805624999999999,4.755000000000001,4.786225076829401,4.7570680176687095,4.2393945652989125,4.53383836689359,7.533402777777777,6.316527777777778,6.7824574077224815,7.02483131274225,4.874596216488454,2.861985593751918
2000-11-30,POMKH,3.5,2.6975,3.55,7.225,6.00375,4.914999999999998,4.763074481851367,5.42429372720013,4.206462042853682,2.054638831244047,4.427291666666667,4.859375,4.014716272572216,4.995787211176992,3.8803859984124998,4.396476859292904,4.720624999999999,4.825000000000001,4.2917350460976404,4.567393346322477,3.9904553304853922,4.236093617606685,8.36840277777778,6.760277777777778,6.959474444633489,7.044941355609485,6.269805668684375,6.728709589200484
2001-02-28,POMRB,6.38,3.82,4.58,9.175,6.2725,5.734999999999998,5.4098446891108205,6.272362204790353,4.325704674107982,2.742698326320304,4.273958333333333,4.459375,3.93682976354333,4.265295174344761,4.531881229215568,5.292346045824287,4.790416666666667,4.786250000000001,4.407041027658584,4.554381958795789,4.1906804387443835,4.046860201873351,8.451597222222222,8.306527777777777,7.845684666780095,7.223393707849457,7.5962080638102005,7.79668421085189
2001-05-31,PREMON,8.36,6.223333333333334,6.89,11.22,6.272499999999999,6.272499999999997,6.5899068134664915,8.328478408187676,7.767545210523643,3.394722004121756,4.208020833333333,4.395208333333333,4.851431191459332,5.5037316468425885,6.282291496236122,5.908455987874156,4.874583333333334,4.655000000000001,5.400224616595151,4.876715406870391,6.656038367759905,7.041627324599782,8.546666666666667,8.430277777777777,9.195410800068057,7.5550747740102535,9.413497876264378,10.419931137706682
2001-08-31,MONSOON,6.85,3.87,4.683333333333334,6.2716666666666665,6.0,6.272499999999997,6.6939440880798955,8.400809539342108,4.4630927573342625,5.785574310394718,4.381458333333334,4.152708333333333,4.458858714875599,4.679191129829444,3.004904460730686,3.098948250162243,4.800833333333333,4.925833333333334,5.113468103290424,4.8329672681144284,4.048487590090547,3.821294757814038,8.689166666666667,8.472916666666666,8.0259131467075,7.453747786912847,6.3216417081970775,6.269903284231045
2001-11-30,POMKH,3.5,3.14,3.14,7.815,5.7275,6.272499999999997,5.416366452847938,5.818793758649267,4.847698255999088,2.0988255190516574,4.537083333333333,4.263333333333334,3.9313152289253597,3.619362653705421,3.69060797317627,3.6206423265932,4.892083333333334,4.823333333333334,4.324080861974254,4.572911626103479,4.332351778925363,4.4006073770445395,8.686666666666667,8.620416666666666,7.9415478880245,7.487298589755074,7.39387426169537,7.049294699118217
2002-02-28,POMRB,4.2,4.765,4.4,9.725,5.7275,5.727499999999997,4.929819871708762,4.533615631380802,4.871917702234249,4.1315777264841245,4.515833333333333,4.499583333333334,4.264789137355216,4.084396096843957,4.510161181922822,4.28275567279457,5.232916666666667,4.778333333333334,4.354448517184553,4.533104681493631,4.2181832848187755,4.05262879826593,8.887708333333334,8.757916666666667,8.6549287328147,7.674814378893445,8.585146866153822,8.207608752836798
2002-05-31,PREMON,8.36,6.5233333333333325,7.8,10.65,5.8869791666666655,5.727499999999997,6.3018919230252575,6.773421925703682,7.909767572397541,4.770540993804012,4.389583333333333,4.574583333333334,5.168206815746462,5.830877641069792,6.517523311733085,6.258590648975568,5.305,5.005833333333334,5.732669110310732,4.989927430356821,6.596777181853065,6.636375219174258,8.999791666666667,8.615416666666667,9.452957239688821,7.922933181127193,10.29137658398207,10.907462557027756
2002-08-31,MONSOON,6.85,3.4,6.5,8.45,6.219791666666667,5.727499999999997,6.5211351538151545,7.2866564817027,4.584239544358972,3.6734428525578373,4.238958333333333,4.457083333333333,4.460924089447877,4.720278996822706,3.2573515038462046,3.2562754955248043,5.16,5.460000000000001,6.039601466186439,5.191687674114738,4.394507633433507,5.179374079635988,8.860208333333333,9.159999999999998,9.051774343813292,7.970334030534155,6.833178808772686,6.368217976605518
2002-11-30,POMKH,4.775833333333334,2.6,1.9,6.533333333333334,6.3931249999999995,6.046458333333331,5.823014425622426,6.019949126511382,4.950892604714637,2.2226045840561186,4.142916666666666,4.3220833333333335,3.716554453668726,3.370603192214211,3.751030330328864,3.719470486122112,5.045,5.15,4.383760879711863,4.699708512771231,5.293299439020159,4.828338498119987,8.375833333333334,8.839583333333332,8.044397939621309,7.856624021488655,8.327143381281015,7.3731256810539545
2003-02-28,POMRB,5.586666666666666,4.1,4.48,9.89,6.498125,6.393124999999998,5.728475322040122,5.648213624529623,5.148882478932401,2.6459476445875536,4.13125,4.155833333333334,3.8699326722012355,3.534425150800574,4.410992721068698,4.429564729531358,4.855416666666667,5.17,4.422256527827118,4.652735194277408,4.258839506760118,3.4238083722741512,7.930416666666667,8.880833333333332,8.782638763772786,8.027570458293816,8.957993948089044,9.084539365369093
