Date,Season,Presidency Town,Presidency Town_Trend,Presidency Town_SMA,Presidency Town_EWMA,Presidency Town_DES,Presidency Town_TES
1996-02-29,POMRB,12.963888888888887,,,12.963888888888887,12.797442621474492,12.963888888888887
1996-05-31,PREMON,13.505,,,13.180333333333333,12.897661723573904,13.505
1996-08-31,MONSOON,13.362,12.792722222222222,,13.253,12.967506866778212,13.362
1996-11-30,POMKH,11.34,12.79272222222222,12.79272222222222,12.4878,12.546201419757688,11.34
1997-02-28,POMRB,12.963888888888887,12.792722222222222,12.79272222222222,12.678235555555556,12.558893485371087,12.963888888888887
1997-05-31,PREMON,13.505,12.792722222222222,12.792722222222219,13.008941333333334,12.718180009207837,13.505
1997-08-31,MONSOON,13.362,12.792722222222222,12.792722222222219,13.1501648,12.842553051016637,13.362
1997-11-30,POMKH,11.34,12.79272222222222,12.792722222222217,12.426098880000001,12.469005502091278,11.34
1998-02-28,POMRB,12.963888888888887,12.792722222222222,12.792722222222217,12.641214883555556,12.522778471077569,12.963888888888887
1998-05-31,PREMON,13.505,12.792722222222222,12.792722222222215,12.986728930133335,12.716515067155642,13.505
1998-08-31,MONSOON,13.362,12.792722222222222,12.792722222222215,13.136837358080001,12.8686418060373,13.362
1998-11-30,POMKH,11.34,12.79272222222222,12.792722222222213,12.418102414848,12.515396738868894,11.34
1999-02-28,POMRB,12.963888888888887,12.792722222222222,12.792722222222213,12.636417004464356,12.583444288865177,12.963888888888887
1999-05-31,PREMON,13.505,12.792722222222222,12.792722222222212,12.983850202678614,12.786301051268905,13.505
1999-08-31,MONSOON,13.362,12.698486111111112,12.792722222222212,13.135110121607168,12.942997443421481,13.362
1999-11-30,POMKH,11.34,12.654875,12.79272222222221,12.4170660729643,12.5899397629952,11.34
2000-02-29,POMRB,12.21,12.564000000000002,12.604249999999988,12.33423964377858,12.4706179982043,12.963888888888887
2000-05-31,PREMON,13.91,12.4875,12.705499999999988,12.964543786267148,12.782011198964382,13.463233302554633
2000-08-31,MONSOON,12.23,12.578750000000001,12.422499999999987,12.670726271760289,12.664854342499723,13.342896585269365
2000-11-30,POMKH,11.86,12.576250000000002,12.552499999999988,12.346435763056173,12.463295525823609,11.258389510762909
2001-02-28,POMRB,12.420000000000002,12.54875,12.604999999999988,12.375861457833704,12.415227203073158,12.594248150058773
2001-05-31,PREMON,13.68,12.521875000000001,12.547499999999989,12.897516874700223,12.686352033089225,13.628977759325442
2001-08-31,MONSOON,12.24,12.467500000000001,12.54999999999999,12.634510124820135,12.590402389487068,12.829354405872028
2001-11-30,POMKH,11.635,12.469999999999999,12.49374999999999,12.234706074892081,12.351810602647525,11.493992502854523
2002-02-28,POMRB,12.21,12.4975,12.44124999999999,12.224823644935249,12.27336752798064,12.477348253394645
2002-05-31,PREMON,13.91,12.524375000000001,12.498749999999989,12.898894186961149,12.625562987194002,13.600187348829285
2002-08-31,MONSOON,12.23,12.605,12.496249999999987,12.63133651217669,12.54734228864035,12.543427942781399
2002-11-30,POMKH,11.86,12.600000000000001,12.552499999999988,12.322801907306014,12.381444294507165,11.529749297408005
2003-02-28,POMRB,12.63,12.545000000000002,12.657499999999988,12.44568114438361,12.41648674045063,12.35129018362395
2003-05-31,PREMON,13.45,12.49125,12.54249999999999,12.847408686630164,12.654755496988818,13.747561151764783
2003-08-31,MONSOON,12.25,12.423749999999998,12.547499999999989,12.608445211978099,12.583182661346553,12.39641199194384
2003-11-30,POMKH,11.41,12.392499999999998,12.434999999999988,12.12906712718686,12.307068761236717,11.663003276038392
