Date,Season,Dabra,Bhitarwar,Bhander,Ghatigaon,Morar,Dabra_Trend,Dabra_SMA,Dabra_EWMA,Dabra_DES,Dabra_TES,Dabra_ARIMA,Bhitarwar_Trend,Bhitarwar_SMA,Bhitarwar_EWMA,Bhitarwar_DES,Bhitarwar_TES,Bhitarwar_ARIMA,Bhander_Trend,Bhander_SMA,Bhander_EWMA,Bhander_DES,Bhander_TES,Bhander_ARIMA,Ghatigaon_Trend,Ghatigaon_SMA,Ghatigaon_EWMA,Ghatigaon_DES,Ghatigaon_TES,Ghatigaon_ARIMA,Morar_Trend,Morar_SMA,Morar_EWMA,Morar_DES,Morar_TES,Morar_ARIMA
2001-11-30,POMKH,7.045999999999999,5.226666666666667,4.495,6.54111111111111,13.681428571428572,7.383083333333333,7.095333333333332,6.868662144257051,7.37883001599207,6.605234154860136,6.620477481411147,6.370364583333333,7.5140625000000005,6.141076599132672,6.323749781301676,6.226727935700371,6.3944715676585115,5.090000000000001,5.673750000000002,5.191722071995909,6.113025461845908,5.9898144453776485,5.711337075401961,7.936210317460317,8.610000000000001,7.44940326879796,7.541755212716932,7.724450321252949,6.995038847227949,13.73752976190476,15.186904761904762,14.119217373831239,14.162575575944453,13.804649047874513,13.782703706465602
2002-02-28,POMRB,7.876,6.213333333333334,5.5950000000000015,8.937777777777779,12.471666666666666,7.824395833333334,7.326833333333333,7.271597286554231,7.607276228854212,6.913941678820361,7.294654130177081,6.940416666666667,6.382395833333334,6.169979292812936,6.300180815515394,6.895944605740606,6.3405817222269745,5.10875,5.276250000000003,5.3530332431975465,6.014554958133365,6.2143005861055745,6.261272722700245,8.638809523809524,7.773888888888889,8.044753072389888,7.794533136127508,9.317882866034505,9.049599141424492,12.936880952380953,14.129821428571429,13.46019709096541,13.78463353958193,14.689813215356978,14.247492470768364
2002-05-31,PREMON,9.743333333333334,9.86,7.545,12.158571428571431,14.665,8.567145833333333,7.439333333333332,8.260291705265871,8.212519903796654,10.021177272200195,8.47242847609794,8.007916666666667,6.358333333333333,7.645987575687761,7.240507068696435,9.172086217872844,9.00990353188389,5.6625,4.903750000000003,6.229819945918528,6.41667609149041,8.143416017928555,7.2570769794926155,9.876626984126982,8.098531746031746,9.690280414862507,8.599464988666991,10.61521292391787,10.918388672100109,12.582845238095238,13.345238095238098,13.942118254579245,14.05593576535999,15.900102914486835,15.152750935661977
2002-08-31,MONSOON,8.172500000000001,8.79,3.62,9.078888888888887,9.296,9.141583333333333,8.209458333333332,8.225175023159522,8.430491467718667,6.128552071229284,7.013127700122661,8.949166666666667,7.522499999999999,8.103592545412656,7.653667922533591,5.230316153265371,5.905171613110572,6.3568750000000005,5.313750000000003,5.185891967551117,5.7622606791304065,3.55880805129938,3.497175919886014,11.189444444444444,9.1790873015873,9.445723804473058,8.692981779174046,6.427969019550892,7.358130871593953,13.107270833333333,12.528523809523813,12.083670952747546,12.90110315967682,12.677159252630219,13.582256002581252
2002-11-30,POMKH,9.9075,9.11,7.285,12.12142857142857,14.116,9.921041666666667,8.924833333333332,8.898105013895714,8.984387760879347,7.728020182011931,8.176137564857033,9.68,8.493333333333332,8.506155527247593,8.042716655550965,7.08668635050626,7.575803007159555,7.125625,6.011250000000003,6.025535180530671,6.1613316779750615,5.370319999077726,4.917192600349805,11.976775793650793,10.574166666666667,10.516005711255264,9.333965125329046,8.812963447782419,8.819497721141834,14.204666666666668,12.637166666666673,12.896602571648527,13.253935009249705,11.856037641913732,11.983817291221044
2003-02-28,POMRB,9.61,9.86,8.36,13.86,16.2325,10.7064375,9.358333333333333,9.182863008337428,9.41881930482698,8.504494721940985,8.573357237506697,9.75875,9.405,9.047693316348555,8.526896212794176,8.712748038418741,10.009830156508494,7.338749999999999,6.702500000000003,6.959321108318402,6.727575119119254,6.7892619657132105,6.724906841135109,12.254246031746032,11.804722222222221,11.853603426753159,10.185789406398392,11.826832481247799,11.868191661746192,15.605958333333334,13.577375000000007,14.230961542989117,14.054247104826493,13.22757380878244,13.94810115419506
2003-05-31,PREMON,14.245,12.06,10.93,13.535,19.683333333333334,10.900437499999999,10.483749999999999,11.207717805002456,10.823558017190283,11.650321915789387,10.119851312286574,9.434583333333332,9.955,10.252615989809133,9.46211811122433,11.737692613796598,11.310795201534242,6.920624999999999,7.548750000000002,8.54759266499104,7.786543694224323,9.48561853263443,8.605722515549562,12.138511904761904,12.148829365079362,12.526162056051895,10.829305304795446,13.887308084535928,14.074524214683795,16.579416666666667,14.831958333333342,16.411910259126802,15.528004257058784,16.255273584787552,15.960076870616478
2003-08-31,MONSOON,9.954,7.22,1.94,9.922222222222222,15.488,10.84825,10.929124999999999,10.706230683001474,11.19397137654497,8.53049262951318,8.996419559526728,9.139166666666666,9.5625,9.03956959388548,8.881394174500043,8.099264881050178,8.065390364372174,6.518125,7.128750000000001,5.904555598994624,6.392472115001546,5.616668384456029,5.544341382778582,11.566527777777779,12.359662698412695,11.484586122520026,10.690461503187912,9.100600402692042,9.354118410669034,16.7479375,16.37995833333334,16.042346155476082,15.572578182130044,14.247298588636633,14.72533763441978
2003-11-30,POMKH,9.678,8.086666666666666,5.62,10.352222222222222,15.711666666666664,10.468625000000001,10.871749999999999,10.294938409800885,11.411688776152493,9.963043332909333,10.342135511632545,8.669583333333334,9.306666666666667,8.658408422997955,8.680300386381665,8.396669084382687,8.461037625091006,6.344374999999999,6.712500000000001,5.790733359396775,6.233055896699957,6.118687349715257,5.934831427482664,11.086736111111112,11.91736111111111,11.031640562400906,10.655255462300238,10.907118676242535,10.93798368238985,16.152833333333334,16.778875000000006,15.910074359952315,15.662622562248568,15.67758266109635,15.538156425451923
2004-02-29,POMRB,9.422,8.52,6.805,11.053333333333335,15.985,10.1825,10.824749999999998,9.945763045880533,11.486680060724732,10.076486081477716,10.473223796289428,8.515416666666667,8.971666666666668,8.603045053798773,8.645653782773087,9.193406321759134,9.617187243701977,7.050000000000001,6.32375,6.196440015638065,6.401741362950795,6.692148926977341,6.824233605837925,10.822222222222223,11.215694444444443,11.040317670773877,10.75600468838253,12.699282723009286,12.41748985553511,15.43070238095238,16.717000000000006,15.940044615971388,15.79935927351052,16.43150765439784,16.1400433006997
