Date,Season,Jagatsinghapur,Kujang,Tirtol,Ersama,Nuagaon,Balikuda,Jagatsinghapur_Trend,Jagatsinghapur_SMA,Jagatsinghapur_EWMA,Jagatsinghapur_DES,Jagatsinghapur_TES,Jagatsinghapur_ARIMA,Kujang_Trend,Kujang_SMA,Kujang_EWMA,Kujang_DES,Kujang_TES,Kujang_ARIMA,Tirtol_Trend,Tirtol_SMA,Tirtol_EWMA,Tirtol_DES,Tirtol_TES,Tirtol_ARIMA,Ersama_Trend,Ersama_SMA,Ersama_EWMA,Ersama_TES,Ersama_ARIMA,Nuagaon_Trend,Nuagaon_SMA,Nuagaon_EWMA,Nuagaon_DES,Nuagaon_TES,Nuagaon_ARIMA,Balikuda_Trend,Balikuda_SMA,Balikuda_EWMA,Balikuda_DES,Balikuda_TES,Balikuda_ARIMA
1996-02-29,POMRB,2.6875,2.0325,2.004,2.05,2.9679999999999995,3.41,,,2.6875,4.254303655017851,2.893957014349907,0.0,,,2.0325,1.7244830415733627,2.0425,0.0,,,2.004,3.135935742452985,2.375759981231881,0.0,,,2.05,2.3033220075523007,0.0,,,2.9679999999999995,5.960123501142971,3.1666598546085885,0.0,,,3.41,5.1556869476882285,3.4200005075009097,0.0
1996-05-31,PREMON,3.6175,3.4400000000000004,2.678,2.45,4.88,4.4,,,3.0595,5.1157913528217245,3.386967093803891,0.9198816473646163,,,2.5955000000000004,1.9020040111458323,3.458836565096953,5.15274072941452e-09,,,2.2736,3.75381467263111,2.7675981433768237,0.8898684530063776,,,2.21,2.5403085197081934,1.0540965365670905,,,3.7327999999999997,7.838628299683895,4.175316473008895,7.529650873961932e-07,,,3.806,6.1115654166279265,4.419446561790785,-6.906269911027636e-22
1996-08-31,MONSOON,1.7400000000000002,1.91,2.19,1.61,1.352,2.29,2.5515624999999997,,2.5317,4.486543525682058,1.6541454889282272,1.0458763638703903,2.5259375,,2.3213,1.641568197967025,1.9365342500441216,2.1176522772655786e-08,2.1975,,2.24016,3.792735806453694,1.1864992562127863,1.2863056082173865,1.9849999999999999,,1.97,1.2282532677259377,1.3713527881878234,3.01825,,2.78048,5.583630006022819,1.8304586063221138,1.2380286588737317e-06,3.3162499999999997,,3.1995999999999998,5.716140080092914,2.31833958793448,-1.6982772435816515e-21
1996-11-30,POMKH,1.8075,2.45,1.67,1.68,2.768,3.1,2.5790625,2.463125,2.24202,3.7262214835628193,1.8454280618270174,0.8333623690081532,2.52625,2.458125,2.37278,1.6739741840761144,2.4831276440545347,3.091434704710861e-08,2.307875,2.1355,2.012096,3.320429496784823,1.7550610185356121,1.3878279542172023,2.06875,1.9475,1.854,1.5225456239982387,1.2937598087449227,2.947,2.992,2.7754879999999997,4.415638022832612,2.362211587032852,-3.3382653654138545e-08,3.34875,3.3000000000000003,3.15976,5.438828913218255,3.1366894382524664,-7.616256611525952e-22
1997-02-28,POMRB,3.3950000000000005,2.575,2.5,2.35,3.178,3.54,2.4737500000000003,2.6399999999999997,2.7032120000000006,3.791363887898079,2.913940678573409,2.5717898223539604,2.3528125,2.5937499999999996,2.453668,1.7998694615937294,2.069054668124189,1.9538770547511377,2.2435416666666668,2.2595,2.2072576,3.2170536291119394,2.5252629241536306,1.877016754598047,2.0687499999999996,2.0225,2.0524,2.354999281220752,1.886188448908894,2.822,3.0445,2.9364928,3.7284979796476443,3.284854163086138,2.96799910733897,3.285,3.3325000000000005,3.3118559999999997,5.194946264000567,3.448180678867223,3.409999664856302
1997-05-31,PREMON,3.13,2.9,3.065,2.82,4.1,4.53,2.4378125,2.5181249999999995,2.8739272000000002,3.64357867528669,3.5977653259829108,3.670430291910766,2.1834375,2.4587499999999993,2.6322007999999997,2.0650211399618614,3.5425771920982423,3.3069309064391317,2.138333333333333,2.35625,2.5503545599999997,3.3477202259022554,3.0241160577521717,2.6624322153829585,2.06875,2.115,2.3594399999999998,2.657602215441218,2.3691266384549743,2.71975,2.8495,3.40189568,3.8865947801673166,4.318335373045683,4.960977194754547,3.2337500000000006,3.3650000000000007,3.7991136,5.283118650718439,4.447040063083859,4.399999567556519
1997-08-31,MONSOON,1.3850000000000002,1.0625,1.2883333333333329,1.24,1.1320000000000001,1.65,2.4162500000000002,2.4293749999999994,2.2783563200000003,2.6445031990748116,1.6711367255576033,1.4169607519576346,2.161125,2.2468749999999993,2.0043204799999996,1.6784418814343762,1.9508224036400974,1.83611570722281,2.209270833333333,2.1308333333333334,2.0455460693333327,2.512957348858516,1.4833163202036843,2.2050697000435022,2.16875,2.0225000000000004,1.9116639999999998,1.412321696526538,1.7068293699806008,2.58025,2.7944999999999998,2.493937408,2.161275677219988,1.723889911296272,0.9620015813961622,3.2825,3.205000000000001,2.93946816,4.082595383609267,2.3460102782929235,2.2899997749328245
1997-11-30,POMKH,1.875,1.9425,1.73,2.05,2.1700000000000004,3.33,2.4825,2.446249999999999,2.117013792,2.1330742777698113,1.7591761558558825,1.6062405844274665,2.181,2.119999999999999,1.9795922879999996,1.6704993039393619,2.393589272960465,2.3552269540770516,2.2123333333333335,2.1458333333333335,1.9193276415999998,2.0678517745883926,1.6817286119540764,1.1963158303010013,2.2212499999999995,2.115,1.9669983999999996,1.5602078486579005,1.3815656777009497,2.4362500000000002,2.6449999999999996,2.3643624448000002,1.8143570880963065,2.224970670990033,2.724840045675969,3.3275,3.2625000000000015,3.095680896,3.725681849572261,3.1224005446569887,3.099999695323911
1998-02-28,POMRB,3.155,2.904,3.0075,2.78,2.66,3.7,2.6640625,2.3862499999999986,2.5322082752,2.4147414124584614,2.870361363730994,3.1483484642825554,2.311,2.2022499999999994,2.3493553728,2.0352322165299084,2.032654330617346,2.259601928005182,2.1764166666666664,2.2727083333333336,2.35459658496,2.3824527185479902,2.493109983281502,2.2134710214079965,2.26375,2.2225,2.29219904,2.4804779363411322,2.278158152045153,2.3777500000000007,2.5154999999999994,2.48261746688,2.0499275589276786,3.0230223515761137,2.873970607741624,3.1925000000000003,3.302500000000002,3.3374085376,3.5997938907831744,3.5270435051537072,3.5002740420468905
1998-05-31,PREMON,3.9,2.73,2.5820000000000003,2.81,3.466,4.73,2.7343749999999996,2.5787499999999985,3.0793249651199996,3.0879560976328375,3.499671047300978,3.107600268173445,2.3975625,2.1597499999999994,2.5016132236799997,2.3110749510048243,3.2905395366023895,3.1055808900902697,2.161625,2.151958333333334,2.445557950976,2.4513920952239587,3.1586339236117773,3.0468807407376426,2.2375,2.22,2.4993194240000003,2.86354713058732,2.762628285606957,2.351,2.3569999999999998,2.875970480128,2.9083122864320226,3.987234773174282,4.394132269023615,2.945,3.352500000000002,3.89444512256,3.951304570037022,4.523933758310907,4.490274020432817
