Date,Season,Ralan (part),Ralan (part)_Trend,Ralan (part)_SMA,Ralan (part)_EWMA,Ralan (part)_DES,Ralan (part)_TES,Ralan (part)_ARIMA
1996-02-29,POMRB,4.72375,,,4.72375,3.774854220378875,4.733749365678346,0.0
1996-05-31,PREMON,4.1724999999999985,,,4.5032499999999995,3.4098939551567504,4.191945170071039,4.72374300804086
1996-08-31,MONSOON,2.4516666666666667,3.7132291666666664,,3.682616666666666,2.8751045745440678,2.4800067771214866,4.446387699512564
1996-11-30,POMKH,3.5050000000000003,3.7132291666666664,3.7132291666666664,3.61157,2.6388330370725086,3.541688283364546,3.778391202350841
1997-02-28,POMRB,4.72375,3.7132291666666664,3.7132291666666664,4.056442,2.684903316571806,4.761404144929561,4.559445797551978
1997-05-31,PREMON,4.1724999999999985,3.7132291666666664,3.7132291666666664,4.102865199999999,2.6777459933623926,4.211343172312836,4.102591469708024
1997-08-31,MONSOON,2.4516666666666667,3.7132291666666664,3.713229166666667,3.442385786666666,2.41793163427479,2.4919057358857977,2.661837458818686
1997-11-30,POMKH,3.5050000000000003,3.7132291666666664,3.713229166666667,3.4674314719999995,2.3964708631429263,3.5468240237250304,3.5384048147971052
1998-02-28,POMRB,4.72375,3.7132291666666664,3.7132291666666672,3.9699588831999995,2.619758250108264,4.765169463480947,4.5961678026891795
1998-05-31,PREMON,4.1724999999999985,3.7132291666666664,3.7132291666666672,4.050975329919999,2.7556076035116965,4.213647072115119,4.117039860317368
1998-08-31,MONSOON,2.4516666666666667,3.7132291666666664,3.7132291666666677,3.411251864618666,2.5971378332018262,2.4926772080420534,2.6133938492039626
1998-11-30,POMKH,3.5050000000000003,3.7132291666666664,3.7132291666666677,3.4487511187711997,2.6515727288942728,3.5460122291153504,3.5305644062232022
1999-02-28,POMRB,4.72375,3.7132291666666664,3.713229166666668,3.95875067126272,2.938268970420083,4.764221230684266,4.596203966138138
1999-05-31,PREMON,4.1724999999999985,3.7132291666666664,3.713229166666668,4.044250402757632,3.122924460287271,4.212481777421349,4.1169609332685555
1999-08-31,MONSOON,2.4516666666666667,3.7132291666666664,3.7132291666666686,3.4072169083212454,2.9909782326213032,2.491216546468011,2.6132825622464098
1999-11-30,POMKH,3.5050000000000003,3.7132291666666664,3.7132291666666686,3.4463301449927473,3.0587558651748545,3.5441812219656414,3.530549213866
2000-02-29,POMRB,4.72375,3.7132291666666664,3.713229166666669,3.9572980869956482,3.352059824417654,4.762415754741418,4.596203576635215
2000-05-31,PREMON,4.1724999999999985,3.7132291666666664,3.713229166666669,4.043378852197389,3.5349167069929335,4.210670222902135,4.116889295150671
2000-08-31,MONSOON,2.4516666666666667,3.7132291666666664,3.7132291666666695,3.4066939779850998,3.389295138265463,2.4893648716523975,2.613181436372435
2000-11-30,POMKH,3.5050000000000003,3.3847916666666666,3.7132291666666695,3.44601638679106,3.4362344154420237,3.5422533987812845,3.5305353911061785
2001-02-28,POMRB,4.72375,3.056354166666667,3.71322916666667,3.957109832074636,3.7044318606735342,4.760521580483285,4.596203219730229
2001-05-31,PREMON,1.545,3.0563541666666665,3.0563541666666705,2.9922658992447815,3.373698593432538,4.208799534065121,4.116823980828969
2001-08-31,MONSOON,2.4516666666666667,3.0563541666666665,3.0563541666666705,2.7760262062135355,3.21587070246132,2.3419377397985226,2.5677843177482758
2001-11-30,POMKH,3.5050000000000003,3.056354166666667,3.0563541666666705,3.0676157237281214,3.2564348890024726,3.395609158988455,3.502324647484075
2002-02-28,POMRB,4.72375,3.056354166666667,3.0563541666666705,3.7300694342368725,3.521797678100372,4.615050607285651,4.568306078010462
2002-05-31,PREMON,1.545,3.0563541666666665,3.0563541666666705,2.8560416605421235,3.19531556204952,2.26706884441745,2.378651284231574
2002-08-31,MONSOON,2.4516666666666667,3.0563541666666665,3.0563541666666705,2.6942916629919407,3.0463519798853045,2.3989926336036675,2.570298662174592
2002-11-30,POMKH,3.5050000000000003,3.056354166666667,3.0563541666666705,3.018574997795165,3.0983921293876358,3.448179588793688,3.4940468495328796
2003-02-28,POMRB,4.72375,3.056354166666667,3.0563541666666705,3.700644998677099,3.3766969446154693,4.662985183123466,4.560111938058268
2003-05-31,PREMON,1.545,3.0563541666666665,3.0563541666666705,2.838386999206259,3.0653989975215943,1.7425300974903681,1.7847101785504886
2003-08-31,MONSOON,2.4516666666666667,3.0563541666666665,3.0563541666666705,2.683698866190422,2.9325511586009547,2.4320740138012167,2.5721399632676545
2003-11-30,POMKH,3.5050000000000003,3.056354166666667,3.0563541666666705,3.0122193197142533,3.0008691997228385,3.482189659461982,3.4922140125752783
