Date,Season,Kushalgarh,Anandpuri,Garhi,Banswara,Chhoti Sarwan,Ghatol,Bagidora,Sajjangarh,Kushalgarh_Trend,Kushalgarh_SMA,Kushalgarh_EWMA,Kushalgarh_DES,Kushalgarh_TES,Kushalgarh_ARIMA,Anandpuri_Trend,Anandpuri_SMA,Anandpuri_EWMA,Anandpuri_DES,Anandpuri_TES,Anandpuri_ARIMA,Garhi_Trend,Garhi_SMA,Garhi_EWMA,Garhi_DES,Garhi_TES,Garhi_ARIMA,Banswara_Trend,Banswara_SMA,Banswara_EWMA,Banswara_DES,Banswara_TES,Banswara_ARIMA,Chhoti Sarwan_Trend,Chhoti Sarwan_SMA,Chhoti Sarwan_EWMA,Chhoti Sarwan_DES,Chhoti Sarwan_TES,Chhoti Sarwan_ARIMA,Ghatol_Trend,Ghatol_SMA,Ghatol_EWMA,Ghatol_DES,Ghatol_TES,Ghatol_ARIMA,Bagidora_Trend,Bagidora_SMA,Bagidora_EWMA,Bagidora_DES,Bagidora_TES,Bagidora_ARIMA,Sajjangarh_Trend,Sajjangarh_SMA,Sajjangarh_EWMA,Sajjangarh_DES,Sajjangarh_TES,Sajjangarh_ARIMA
1998-05-31,PREMON,5.925448717948718,10.2925,8.516684981684982,5.6143870573870585,8.571562499999999,6.190446428571428,5.5086153846153865,5.693025641025642,3.7755412469474967,3.7755412469474967,4.598484341424761,3.8750873954410086,6.001137247499014,5.652352951182836,6.209358974358974,6.209358974358975,7.745068237883077,7.5945515747894765,10.350114683653068,10.292488260522257,5.441873024049364,5.4418730240493645,6.420306802971864,5.911096910948697,8.367983309390198,8.17895285436167,3.766333316980639,3.7663333169806386,4.3426645325425834,3.646833283777419,5.522073233394354,5.473588387084125,5.552646180555556,5.552646180555556,6.862587147968,5.099340209624905,8.616907169221298,8.115977657756872,4.051335896164021,4.051335896164021,4.722847564464762,5.242972148235597,6.102527065117462,5.888169136179234,3.333055135836386,3.3330551358363865,4.084483033435429,3.15315538167589,5.563574322529016,5.5086130815941985,3.6934439102564105,3.693443910256411,4.348247560149334,4.3311146308112445,5.6775955612022235,5.693025026270978
1998-08-31,MONSOON,1.6861805555555556,2.4533333333333336,3.4225367063492063,2.6815842490842487,2.5893055555555557,2.890111441798942,1.8267361111111111,2.4862500000000005,3.7755412469474967,3.7755412469474967,3.433562827077079,3.628818579786661,1.7666092644680016,1.608466963812522,6.209358974358974,6.209358974358975,5.628374276063179,5.270636596636916,2.5126514010012038,2.453330535096553,5.441873024049363,5.4418730240493645,5.221198764322801,5.447683503645421,3.513237584745669,3.457972316708046,3.766333316980639,3.7663333169806386,3.6782324191592495,3.503894793369112,2.7675638767282535,2.61433496565506,5.552646180555555,5.552646180555556,5.153274511003023,4.560950337455165,2.6348511533642682,3.052212550138936,4.051335896164021,4.051335896164021,3.9897531153984342,4.313738230609947,2.926434008256779,2.919308169960149,3.3330551358363865,3.3330551358363865,3.1813842645057018,2.8721935382299306,1.8830214262222353,1.826735187911145,3.6934439102564105,3.6934439102564114,3.6034485360896005,3.4315762106865377,2.4824671596814802,2.48624969664925
1998-11-30,POMKH,3.2859523809523803,5.180769230769231,4.9160918367346955,3.3496369047619052,3.608383333333333,3.3856162131519274,2.582142857142857,3.0310833333333336,3.775541246947497,3.7755412469474967,3.3745186486271996,3.555327968013265,3.3706490982706914,3.1345074602690053,6.209358974358974,6.209358974358976,5.4493322579456,4.831437655208716,5.241767649719407,5.180763321658221,5.441873024049364,5.4418730240493645,5.0991559932875585,5.399641270220713,5.014016591940592,4.760636823160301,3.766333316980639,3.7663333169806386,3.546794213400312,3.5352563637860186,3.3935014393329426,3.265634069535142,5.552646180555556,5.552646180555556,4.535318039935147,4.270838109326831,3.6542630313448417,3.909076725023781,4.051335896164021,4.051335896164021,3.7480983544998314,3.819869873784621,3.3998774691771545,3.3604064539970575,3.3330551358363865,3.3330551358363865,2.9416877015605634,2.687016239527501,2.639780658911554,2.5821419004595842,3.6934439102564105,3.6934439102564114,3.374502454987094,3.0850767198034044,3.0421728393398766,3.0310829105397965
1999-02-28,POMRB,4.204583333333334,6.910833333333333,4.912178571428571,3.4197250566893436,7.4413333333333345,3.7391695011337873,3.4147261904761907,3.5634166666666665,3.775541246947497,3.775541246947497,3.7065445225096534,3.5815509696318544,4.293087915105597,4.08950358265459,6.209358974358974,6.209358974358976,6.033932688100693,5.465173197811911,6.972008429329884,6.910828841401248,5.441873024049364,5.4418730240493645,5.024365024543964,5.336314158550274,4.880818281391128,4.822958550596197,3.766333316980639,3.7663333169806386,3.4959665507159245,3.570194786991005,3.386924945167097,3.356256289608139,5.552646180555556,5.552646180555556,5.697724157294422,4.78442555977108,7.486650746283047,7.171071797610098,4.051335896164021,4.051335896164021,3.744526813153414,3.6302321481961783,3.7767301861374767,3.646023272886537,3.3330551358363865,3.3330551358363865,3.130903097126814,2.597710842644598,3.472267702983688,3.4147262337417934,3.693443910256411,3.6934439102564114,3.450068139658923,3.1927434581481657,3.567639759801325,3.563416689286288
1999-05-31,PREMON,5.925448717948718,10.2925,8.516684981684982,5.6143870573870585,8.571562499999999,6.190446428571428,5.5086153846153865,5.693025641025642,3.7755412469474967,3.7755412469474967,4.594106200685279,3.788804260087105,6.017315743635474,5.763268708012051,6.209358974358974,6.209358974358975,7.737359612860415,7.920305131932826,10.353909851229893,10.292493310038203,5.441873024049364,5.4418730240493645,6.4212930074003705,6.296034039497137,8.365985518269664,8.279198415968075,3.766333316980639,3.7663333169806386,4.3433347533843785,4.214062742613884,5.521419556655397,5.510186218737546,5.552646180555556,5.552646180555556,6.847259494376653,5.527640450074137,8.616401011514744,8.143055227610908,4.051335896164021,4.051335896164021,4.72289465932062,4.664860814021165,6.102468692016544,5.979113104229324,3.333055135836386,3.3330551358363865,4.081988012122243,2.7073976347912243,5.566143694070718,5.508615079658356,3.6934439102564105,3.693443910256411,4.347251140205611,4.697010260035835,5.683950629999577,5.6930253162540705
1999-08-31,MONSOON,1.6861805555555556,2.4533333333333336,3.4225367063492063,2.6815842490842487,2.5893055555555557,2.890111441798942,1.8267361111111111,2.4862500000000005,3.7755412469474967,3.7755412469474967,3.4309359426333894,3.557425532033898,1.7809787312948848,1.640029745287105,6.209358974358974,6.209358974358975,5.623749101049583,5.852824238173006,2.515036005671271,2.453331738705568,5.441873024049363,5.4418730240493645,5.221790486979905,5.732554019988233,3.511705851851528,3.444908082962131,3.766333316980639,3.7663333169806386,3.6786345516643264,3.97760632516203,2.76700053251173,2.631815087803897,5.552646180555555,5.552646180555556,5.144077918848214,5.021518494974802,2.633752271035621,3.0222654632646115,4.051335896164021,4.051335896164021,3.989781372311948,3.972117626478775,2.9263907695989544,2.9058632749161917,3.3330551358363865,3.3330551358363865,3.17988725171779,2.5034150088711598,1.8843325729290292,1.8267359458232262,3.6934439102564105,3.6934439102564114,3.6028506841233665,3.819018010738128,2.483170412172388,2.486249838398474
1999-11-30,POMKH,3.2859523809523803,5.180769230769231,4.9160918367346955,3.3496369047619052,3.608383333333333,3.3856162131519274,2.582142857142857,3.0310833333333336,3.775541246947497,3.7755412469474967,3.3729425179609858,3.4977974713990148,3.3832649904567695,3.196015656575158,6.209358974358974,6.209358974358976,5.446557152937443,5.468036246661165,5.242816598897705,5.18076586335138,5.441873024049364,5.4418730240493645,5.099511026881821,5.592016507664853,5.012842192057223,4.801844758346574,3.766333316980639,3.7663333169806386,3.547035492903358,3.9112957595075675,3.3930159444585457,3.2874689463646396,5.552646180555556,5.552646180555556,4.529800084642261,4.738639193511084,3.6525285655547544,3.8900825762490263,4.051335896164021,4.051335896164021,3.74811530864794,3.6547799892147417,3.399845441042616,3.361037147193679,3.3330551358363865,3.3330551358363865,2.9407894938878165,2.386473522535868,2.6398865518830688,2.5821425411546604,3.6934439102564105,3.6934439102564114,3.3741437438073536,3.4068516428870823,3.0375165698994873,3.031083109235457
2000-02-29,POMRB,4.204583333333334,6.910833333333333,4.912178571428571,3.4197250566893436,7.4413333333333345,3.7391695011337873,3.4147261904761907,3.5634166666666665,3.775541246947497,3.775541246947497,3.705598844109925,3.537028646252514,4.304007624997645,4.106709914831664,6.209358974358974,6.209358974358976,6.032267625095798,6.062367319808842,6.972263963109708,6.910830590793716,5.441873024049364,5.4418730240493645,5.024578044700521,5.4474365153154185,4.879917853456654,4.839371650428228,3.766333316980639,3.7663333169806386,3.4961113184177526,3.8504507797489924,3.3865065415230213,3.3691726804002653,5.552646180555556,5.552646180555556,5.694413384118691,5.250979268060517,7.484837910940686,7.1757289415185594,4.051335896164021,4.051335896164021,3.744536985642279,3.588803313130108,3.7767064619643906,3.666638976903302,3.3330551358363865,3.3330551358363865,3.1303641725231666,2.3580649106742806,3.471765242843735,3.414725408446859,3.693443910256411,3.6934439102564114,3.4498529129510787,3.42034468143914,3.5665433918933696,3.56341667785836
2000-05-31,PREMON,5.925448717948718,10.2925,8.516684981684982,5.6143870573870585,8.571562499999999,6.190446428571428,5.5086153846153865,5.693025641025642,3.7755412469474967,3.7755412469474967,4.5935387936454415,3.756842313789132,6.026598340024007,5.787517310103205,6.209358974358974,6.209358974358975,7.736360575057478,8.429904188069981,10.35339467961445,10.292495915458,5.441873024049364,5.4418730240493645,6.421420819494305,6.329733871402177,8.365295148254594,8.329666164159788,3.766333316980639,3.7663333169806386,4.343421614005475,4.397909036436623,5.52105897280867,5.531391904838084,5.552646180555556,5.552646180555556,6.845273030471214,5.986279891465332,8.614470678954948,8.150163297627822,4.051335896164021,4.051335896164021,4.722900762813938,4.725046217795065,6.102451118829838,6.027204480127526,3.333055135836386,3.3330551358363865,4.081664657360054,2.524065374133739,5.565035680551861,5.5086143651875785,3.6934439102564105,3.693443910256411,4.347122004180903,4.8190309354157215,5.687763642979992,5.693025461506728
2000-08-31,MONSOON,1.6861805555555556,2.4533333333333336,3.4225367063492063,2.6815842490842487,2.5893055555555557,2.890111441798942,1.8267361111111111,2.4862500000000005,3.7755412469474967,3.7755412469474967,3.430595498409487,3.536573023380517,1.7886847076144914,1.646930057422417,6.209358974358974,6.209358974358975,5.62314967836782,6.2262465896296115,2.5137737823556856,2.4533323597367303,5.441873024049363,5.4418730240493645,5.221867174236265,5.707941268937704,3.5111765360234743,3.4388684251941086,3.766333316980639,3.7663333169806386,3.6786866680369847,4.078011800877812,2.766689778261922,2.6419435016127553,5.552646180555555,5.552646180555556,5.14288604050495,5.455632969601962,2.631665543738312,3.014103602041817,4.051335896164021,4.051335896164021,3.98978503440794,4.0823832892887095,2.9263777526271744,2.8999359718631457,3.3330551358363865,3.3330551358363865,3.179693238860477,2.368822957144534,1.8826239735037245,1.8267357153493888,3.6934439102564105,3.6934439102564114,3.6027732025085424,3.861525688450046,2.483938393896519,2.486249910431798
