Date,Season,Meerut,Parikshitgarh,Rajpura,Daurala,Sardhana,Sarurpur Khurd,Machra,Mawana Kalan,Hastinapur,Janikhurd,Kharkhoda,Rohta,Meerut_Trend,Meerut_SMA,Meerut_EWMA,Meerut_DES,Meerut_TES,Meerut_ARIMA,Parikshitgarh_Trend,Parikshitgarh_SMA,Parikshitgarh_EWMA,Parikshitgarh_DES,Parikshitgarh_TES,Parikshitgarh_ARIMA,Rajpura_Trend,Rajpura_SMA,Rajpura_EWMA,Rajpura_DES,Rajpura_TES,Rajpura_ARIMA,Daurala_Trend,Daurala_SMA,Daurala_EWMA,Daurala_DES,Daurala_TES,Daurala_ARIMA,Sardhana_Trend,Sardhana_SMA,Sardhana_EWMA,Sardhana_DES,Sardhana_TES,Sardhana_ARIMA,Sarurpur Khurd_Trend,Sarurpur Khurd_SMA,Sarurpur Khurd_EWMA,Sarurpur Khurd_DES,Sarurpur Khurd_TES,Sarurpur Khurd_ARIMA,Machra_Trend,Machra_SMA,Machra_EWMA,Machra_DES,Machra_TES,Machra_ARIMA,Mawana Kalan_Trend,Mawana Kalan_SMA,Mawana Kalan_EWMA,Mawana Kalan_DES,Mawana Kalan_TES,Mawana Kalan_ARIMA,Hastinapur_Trend,Hastinapur_SMA,Hastinapur_EWMA,Hastinapur_DES,Hastinapur_TES,Hastinapur_ARIMA,Janikhurd_Trend,Janikhurd_SMA,Janikhurd_EWMA,Janikhurd_DES,Janikhurd_TES,Janikhurd_ARIMA,Kharkhoda_Trend,Kharkhoda_SMA,Kharkhoda_EWMA,Kharkhoda_DES,Kharkhoda_TES,Kharkhoda_ARIMA,Rohta_Trend,Rohta_SMA,Rohta_EWMA,Rohta_DES,Rohta_TES,Rohta_ARIMA
1996-02-29,POMRB,10.64,11.91,7.88,8.63,3.85,8.3475,10.54,5.66,2.5,3.18,15.1975,7.5825,,,10.64,10.467105683924608,9.94146997095908,0.0,,,11.91,11.791715820821906,11.518845670583618,0.0,,,7.88,7.673353614873809,7.163925480228427,0.0,,,8.63,9.79096703217618,8.44744064529804,0.0,,,3.85,3.5836527446312783,3.872574025472892,0.0,,,8.3475,8.936793484593318,8.346088543009385,0.0,,,10.54,10.483771410881374,10.236754702007769,0.0,,,5.66,6.624495478587624,5.323560656856721,0.0,,,2.5,3.9655541534476817,2.490987241861742,0.0,,,3.18,1.7802482308854024,3.082873016113684,0.0,,,15.1975,16.43176993371117,15.150291486748571,0.0,,,7.5825,7.919767368271989,7.586270434695773,0.0
1996-05-31,PREMON,10.84,12.56,7.952857142857144,9.34,6.79,8.66,9.92,6.28,4.4,5.25,15.961538461538463,8.372499999999999,,,10.72,10.62996644332995,11.35909232902179,10.639954966536097,,,12.170000000000002,11.894853566537938,12.390199101225889,11.909980744174366,,,7.909142857142857,7.844869009171236,8.204964640311644,7.8799559142470965,,,8.914,10.315594170702616,9.618324251156302,4.459316191812511,,,5.026,4.382991167006008,6.7237079375214295,3.8499895660580687,,,8.4725,8.886968853563445,8.662845453904827,2.655635699737271,,,10.291999999999998,10.157386021687548,11.10774050124978,10.539998273867367,,,5.908,7.062510234594803,6.45070314618911,5.659997447896661,,,3.2600000000000002,3.9403409798393723,4.4249995405816325,2.499995334208642,,,4.008,2.47663443736372,5.21375288501185,3.1799867860722033,,,15.503115384615384,16.971692454063668,15.954523020998352,15.197481165082053,,,7.8984999999999985,8.0047283742188,8.36882372721026,7.563867651471931
1996-08-31,MONSOON,10.69,10.81,7.071428571428571,8.53,2.17,10.166666666666666,10.54,5.61,1.61,1.71,15.957777777777777,7.993333333333332,10.72125,,10.708,10.69153370051875,10.566987533035467,10.748325324158186,11.39375,,11.626000000000001,11.292679889752074,12.09246077396555,12.272051392478271,7.457321428571429,,7.574057142857143,7.703215011000204,7.878189368892944,7.920228216421786,8.625,,8.7604,10.245923595147575,8.374443200579613,5.413010544742693,4.948,,3.8835999999999995,3.915211425811347,2.2023565062095187,4.4677556820330215,9.208958333333333,,9.150166666666667,9.117833111609887,10.165196728159541,2.1253034808897207,10.384999999999998,,10.391199999999998,10.39471375796836,10.363315005028225,10.050387868667393,5.54,,5.7888,6.896840585094827,5.777853908138791,6.001813867605524,2.8350000000000004,,2.6,3.0186490861096678,1.55790296000621,3.4816241624323934,3.3625000000000003,,3.0888,2.0797484807966145,1.8793759071101488,4.231943346142538,15.533787393162394,,15.68498034188034,17.25209638745626,15.889219321513389,15.604223033301642,8.042083333333332,,7.936433333333332,8.003018582776216,7.9675424979942235,8.346051810834084
1996-11-30,POMKH,10.715,10.67,6.6483333333333325,8.15,6.982000000000001,9.661666666666667,10.54,4.87,2.78,3.25,15.01833333333333,8.22,10.724375,10.721250000000001,10.7108,10.741429819512168,10.058378794495907,10.723834282628268,11.275,11.4875,11.2436,10.87079389868228,11.187689448792012,11.615786095657977,7.588214285714286,7.388154761904762,7.203767619047619,7.475707070268935,6.7517561977656255,7.546499471060164,8.536249999999999,8.6625,8.51624,9.864338986350786,7.969918778555419,6.30967437734585,4.948,4.948,5.122960000000001,4.748707303146412,6.890989472124196,5.890518106099981,9.208958333333332,9.208958333333333,9.354766666666666,9.21599785406904,9.657517751291786,5.162228743658563,10.462499999999999,10.385,10.450719999999999,10.490819969219086,9.99329219013741,10.53457990343288,5.4825,5.605,5.42128,6.239010783538856,5.397522479238251,5.830113228654518,2.8475,2.8225,2.6719999999999997,2.6951759620232063,2.2639012909861416,2.79044369465687,3.3775,3.3475,3.1532799999999996,2.197362985776023,3.1743367574091206,3.346034621697786,15.533787393162392,15.533787393162394,15.418321538461537,16.922149294162356,15.091969679665528,15.74615169335738,8.042083333333332,8.042083333333332,8.049859999999999,8.043957707088396,8.188301629788159,7.970823112082237
1997-02-28,POMRB,10.64,11.16,8.433333333333334,8.33,3.85,8.3475,10.54,5.14,2.6,3.3,15.1975,7.5825,9.598749999999999,10.721250000000001,10.682480000000002,10.750829144794514,10.559203815060703,10.720514440158288,11.24375,11.3,11.210160000000002,10.800627711918363,10.996858290586179,11.272014393847824,7.695595238095239,7.526488095238096,7.695593904761905,7.847913208193338,7.797571051910344,7.184692886934493,8.219999999999999,8.587499999999999,8.441744,9.504375657277905,8.595397274722563,8.426610301613472,4.948,4.948,4.6137760000000005,4.68825904897756,3.99646454580266,3.7538872398474004,9.208958333333333,9.208958333333335,8.95186,9.059471229470367,8.348073345818301,8.298615875622435,10.365,10.385,10.486431999999999,10.52973831894809,10.170631135528524,10.536421120066544,5.368333333333334,5.4750000000000005,5.308768000000001,5.776936644678356,5.303180902397891,5.432773431669657,2.8462500000000004,2.8474999999999997,2.6431999999999998,2.429833320868903,2.980513551836977,2.6031723798796853,3.455,3.3775000000000004,3.2119679999999997,2.299429377082123,3.431292535678447,3.227068764497102,15.533787393162392,15.533787393162394,15.329992923076922,16.578907547128193,15.323639309432187,15.458301456596274,8.042083333333332,8.042083333333334,7.8629159999999985,7.958201350510584,7.628833579836897,8.195297741579695
1997-05-31,PREMON,10.865,12.36,8.446666666666667,8.93,6.79,8.66,10.54,6.34,4.4,5.25,15.961538461538463,8.372499999999999,8.905625,10.727500000000003,10.755488,10.83051317328815,11.768082663318296,10.691680931658068,11.46875,11.25,11.670096000000001,11.218857884507596,11.772165731175146,11.379105959466777,7.787529761904762,7.649940476190477,7.99602300952381,8.116975010287815,8.813638026691992,7.67061163093182,7.671250000000001,8.485,8.6370464,9.38987260544581,9.445118352380765,8.92713621814033,4.948,4.948,5.4842656000000005,5.398861688715164,6.882330720816634,6.697379213958108,9.208958333333333,9.208958333333335,8.835116,8.9875247907634,8.662066503309452,8.582462074554773,9.978749999999998,10.54,10.507859199999999,10.5454983611547,11.089423647766022,10.180562740489268,5.220416666666667,5.49,5.7212608000000005,6.004128350447743,6.222560719301233,5.554132376364622,2.735,2.8474999999999997,3.34592,2.891150922541876,4.800413297627017,3.614524068235765,3.5387500000000003,3.3775000000000004,4.0271808,2.879074495099806,5.4998794176925685,4.238008699308615,15.533787393162394,15.533787393162392,15.582611138461537,16.52382219966859,16.069723345985736,15.45323632365137,8.042083333333332,8.042083333333334,8.066749599999998,8.035986868537881,8.381206107711776,7.883366826681278
1997-08-31,MONSOON,1.66,10.76,7.436666666666667,6.41,2.17,10.166666666666666,9.14,4.636666666666667,1.6,2.33,15.957777777777777,7.993333333333332,9.10125,8.470000000000002,7.1172927999999995,7.885352761433899,10.846220544050544,10.752472615643706,11.65625,11.237499999999999,11.3060576,10.86796939636428,11.650516029625322,11.359155553204884,7.691071428571429,7.741250000000001,7.772280472380952,8.006310052540746,8.451147131857129,7.96862817706769,7.053749999999999,7.954999999999998,7.7462278399999995,8.240168709695832,8.349473112844372,8.1528968295811,4.948,4.948,4.15855936,4.805932138318383,2.2749251423657837,2.522906125888462,9.208958333333333,9.208958333333335,9.367736266666665,9.200256345883515,10.166911032674307,10.084782557062088,9.53,10.19,9.96071552,9.717530150757334,10.806495198990659,10.82576765142728,5.134166666666667,5.246666666666667,5.287423146666667,5.347878955913893,5.669532968036656,5.599762780617725,2.575,2.8449999999999998,2.647552,2.3631630357495608,1.85725465335027,2.3165628855040534,3.5225000000000004,3.5325000000000006,3.34830848,2.549722153210265,2.016633725919245,2.6985283773609225,15.533787393162394,15.533787393162392,15.732677794188033,16.42829903635673,15.965777046159968,15.611473636675393,8.042083333333332,8.042083333333334,8.037383093333332,8.028441227274262,7.971144754034306,8.187060871207025
1997-11-30,POMKH,14.2,12.52,7.01857142857143,5.88,6.982000000000001,9.661666666666667,8.85,4.66,1.9,3.3,15.01833333333333,8.22,8.66625,9.341250000000002,9.95037568,9.97396810666163,7.191852526068093,7.591653648887619,11.569999999999999,11.7,11.79163456,11.327285221095051,10.910843991570705,11.089641293377657,7.646562500000001,7.833809523809524,7.470796854857143,7.802367787149588,7.260125871294458,7.765388641830271,6.675,7.387499999999999,6.999736704,7.10093837556796,7.466159413135253,7.072428716827849,4.948,4.948,5.287935616,5.498902809932972,7.0277203209108885,6.7777053488555525,9.208958333333332,9.208958333333335,9.485308426666666,9.283558156695587,9.660230056175763,9.587116498622441,9.1375,9.7675,9.516429312,9.209413525087944,9.103870538220765,9.414410849876461,4.9816666666666665,5.194166666666667,5.0364538880000005,4.866772665169446,4.929493764874965,4.947634395703051,2.5250000000000004,2.625,2.3485312,2.0548976917945954,2.624191407712968,2.770851564294044,3.5,3.545000000000001,3.3289850879999996,2.5705248617109264,3.5069712491172944,3.38019113725085,15.533787393162392,15.533787393162392,15.446940009846152,15.926939281234304,15.142847011857382,15.624133627977379,8.042083333333332,8.042083333333334,8.110429856,8.064634034190933,8.189349590518669,8.05980243931478
1998-02-28,POMRB,8.719999999999999,10.81,7.291428571428571,5.66,3.85,8.3475,8.64,4.66,2.2,3.12,15.1975,7.5825,9.21375,8.861250000000002,9.458225408,9.60481166304538,9.838973882079042,9.880122914671013,11.47,11.6125,11.398980736,10.959388367799797,11.615906129210511,11.801971527714496,7.870708333333335,7.548333333333333,7.399049541485714,7.738790553544224,8.262990268074184,7.480621024788227,6.73,6.719999999999999,6.4638420224,6.1691919132996045,7.469187785101126,7.3578821623454065,4.948,4.948,4.712761369600001,5.290383735116483,3.965352340062285,3.8384182383498264,9.208958333333333,9.208958333333335,9.030185056,9.114848751733543,8.347592063627555,8.28449645696523,8.91125,9.2925,9.1658575872,8.87849842071759,8.70239891046748,9.216569741212947,4.784583333333333,5.074166666666667,4.8858723328,4.550103680391049,4.942451153075505,4.958848260347214,2.48375,2.525,2.2891187200000003,1.9393636843394693,2.734125148071068,2.4715933633121328,3.41,3.500000000000001,3.2453910527999996,2.545130202961089,3.6147711712695125,3.349443442093069,15.533787393162392,15.533787393162394,15.347164005907691,15.570050044981302,15.357450436171707,15.382439158416455,8.042083333333332,8.042083333333334,7.8992579136,7.975017480810637,7.629138450357564,7.928423148034001
1998-05-31,PREMON,9.305,12.02,9.2325,8.57,6.79,8.66,9.3,5.6,4.4,5.25,15.961538461538463,8.372499999999999,9.119375,8.471250000000001,9.3969352448,9.545082081262716,10.642428586679634,9.479032685990644,11.03125,11.5275,11.6473884416,11.197771862492218,11.983020553693821,11.730399602252946,8.082053571428572,7.744791666666666,8.132429724891429,8.274452293255097,8.779277968302509,7.408534600582196,6.82375,6.629999999999999,7.30630521344,6.679995382246119,7.840402386392139,7.643298307699062,4.948,4.948,5.543656821760001,5.847039137852677,6.889470272415336,6.696220074619733,9.208958333333333,9.208958333333335,8.882111033600001,9.032916386904706,8.660910351540535,8.589493985145136,8.605,8.9825,9.21951455232,9.137830421188127,9.309027405369344,8.66401477767703,4.4075,4.889166666666667,5.17152339968,4.8359321148289265,5.8122334882089515,5.346298109389311,2.38375,2.525,3.1334712320000007,2.679156421757669,4.507021729475013,3.3673947148138335,3.21875,3.500000000000001,4.04723463168,3.085971114254019,5.5723443162306125,4.506622390051997,15.533787393162394,15.533787393162392,15.59291378816,15.606194605694531,16.092192926093727,15.565495002811371,8.042083333333332,8.042083333333334,8.08855474816,8.04966348706234,8.381294799994205,8.032322426617645
