Date,Season,Sarupeta,Sarupeta_Trend,Sarupeta_SMA,Sarupeta_EWMA,Sarupeta_DES,Sarupeta_TES,Sarupeta_ARIMA
1996-02-29,POMRB,2.5766666666666667,,,2.5766666666666667,2.4031955785195582,2.439891215501414,0.0
1996-05-31,PREMON,1.5119999999999998,,,2.1508000000000003,2.1662295281493744,1.1098397497197858,2.5766648062323414
1996-08-31,MONSOON,1.85,1.7614583333333333,,2.0304800000000003,2.014593964138008,1.4411134990689227,2.044063644660276
1996-11-30,POMKH,0.9580000000000002,1.6135,1.7241666666666666,1.6014880000000002,1.7468289242560995,1.2197466236575478,1.9792658781435546
1997-02-28,POMRB,2.875,1.4299166666666667,1.79875,2.1108928000000002,1.8225378182639542,2.5213750565211015,2.322858288526591
1997-05-31,PREMON,0.03,1.5318333333333334,1.4282500000000002,1.27853568,1.4534340505385663,1.2678756118682353,1.5989047625785915
1997-08-31,MONSOON,1.8633333333333333,1.6134374999999999,1.4315833333333337,1.5124547413333334,1.4201638830663568,1.601088115673988,1.764635556230334
1997-11-30,POMKH,1.76,1.7935416666666666,1.6320833333333336,1.6114728448000002,1.386426497956079,1.1862729883023793,1.1406224806083385
1998-02-28,POMRB,2.725833333333333,1.9346875,1.5947916666666666,2.0572170402133336,1.5246109919972386,2.665409766155416,2.537288850172726
1998-05-31,PREMON,1.62,1.8195833333333333,1.9922916666666666,1.8823302241280002,1.4833698840836764,0.9528322411946484,0.8847397018717222
1998-08-31,MONSOON,1.4025,1.6991666666666667,1.8770833333333332,1.6903981344768,1.4169236808892098,1.7187652462751486,1.848430976252382
1998-11-30,POMKH,1.3,1.6912500000000001,1.7620833333333334,1.53423888068608,1.3454208436963586,1.393798378687285,1.4600415717662119
1999-02-28,POMRB,2.2225,1.7059375000000003,1.6362500000000002,1.8095433284116482,1.4373400474724851,2.7248691204252893,2.584853316845397
1999-05-31,PREMON,2.06,1.684375,1.74625,1.9097259970469889,1.5044260223563295,1.18731006706042,1.1686264057455578
1999-08-31,MONSOON,1.08,1.6921875000000002,1.6656250000000004,1.5778355982281935,1.4101187339466914,1.669566147267026,1.6877494467801855
1999-11-30,POMKH,1.45,1.56875,1.7031250000000002,1.526701358936916,1.3855742612245658,1.408770927646824,1.404112965017312
2000-02-29,POMRB,2.135,1.4233333333333333,1.6812500000000004,1.7700208153621495,1.4809031139352498,2.621987125989776,2.4350106988598013
2000-05-31,PREMON,1.16,1.4154166666666665,1.4562500000000003,1.5260124892172897,1.4126508693211455,1.4810720627108958,1.477082687417016
2000-08-31,MONSOON,0.8166666666666668,1.3697916666666667,1.3904166666666669,1.2422741601970404,1.2935714794237223,1.541530592847195,1.4516330941435633
2000-11-30,POMKH,1.65,1.1991666666666667,1.440416666666667,1.4053644961182243,1.3220224166695755,1.4626918909928308,1.383798333348548
2001-02-28,POMRB,1.57,1.1333333333333333,1.299166666666667,1.4712186976709347,1.339709922103725,2.5235411110814385,2.2773858642049207
2001-05-31,PREMON,0.36,1.0975,1.099166666666667,1.0267312186025608,1.1602742295955581,1.4304848173662879,1.3244090024069637
2001-08-31,MONSOON,1.09,1.1687500000000002,1.1675000000000004,1.0520387311615365,1.1145765183876073,1.3744665058595458,1.1686678362276808
2001-11-30,POMKH,1.09,1.4775,1.0275000000000003,1.067223238696922,1.0762887886715398,1.5587496575353992,1.4022290187842472
2002-02-28,POMRB,2.7,1.6212500000000003,1.3100000000000003,1.7203339432181532,1.315881489604849,2.290513534046425,1.9396693200685662
2002-05-31,PREMON,1.7,1.6420833333333333,1.6450000000000002,1.712200365930892,1.3817287069411772,1.163725355410874,0.9854611771693307
2002-08-31,MONSOON,0.9,1.6520833333333333,1.5975000000000004,1.3873202195585352,1.3097466455446822,1.3344401515380973,1.164720306764265
2002-11-30,POMKH,1.4466666666666663,1.6212499999999999,1.686666666666667,1.4110587984017877,1.3318168682613218,1.4655655955263844,1.3092772139037838
2003-02-28,POMRB,2.4233333333333333,1.6249999999999998,1.6175000000000004,1.815968612374406,1.5211658231924754,2.4506623181449925,2.1778084565657716
2003-05-31,PREMON,1.73,1.5766666666666669,1.6250000000000002,1.7815811674246436,1.5864401811226876,1.360446552791739,1.2299632120200736
2003-08-31,MONSOON,0.9,1.5760416666666666,1.6250000000000002,1.4289487004547863,1.5042256725762737,1.2511527329463736,1.1000105905943651
2003-11-30,POMKH,1.06,1.4945833333333336,1.5283333333333335,1.2813692202728717,1.4477502755371352,1.5021435931142753,1.3639653283082707
2004-02-29,POMRB,2.805,1.4647916666666667,1.6237500000000002,1.8908215321637232,1.6913938484445241,2.4848082358298322,2.22299652159397
2004-05-31,PREMON,0.6966666666666667,1.6154166666666667,1.365416666666667,1.4131595859649004,1.565912035121671,1.5090758845850003,1.4007013705077116
2004-08-31,MONSOON,1.6949999999999998,1.6060416666666666,1.564166666666667,1.5258957515789402,1.609253702550063,1.1918890119425836,1.018417564884098
2004-11-30,POMKH,1.47,1.6143333333333332,1.666666666666667,1.503537450947364,1.6101332088538047,1.4166337834473262,1.2721323039500925
2005-02-28,POMRB,2.3200000000000003,1.62325,1.545416666666667,1.8301224705684185,1.7542848280211436,2.619199046742555,2.3929016029445123
2005-05-31,PREMON,1.2479999999999998,1.5453333333333332,1.6832500000000004,1.5972734823410508,1.707880162408632,1.3167606382382964,1.181736633509104
2005-08-31,MONSOON,1.215,1.5430416666666666,1.5632500000000005,1.4443640894046306,1.6523092780342734,1.3790440743552494,1.2590945642751497
